* Measurement data measured by REW V5.20 Beta 47
* Source: IEC-711 (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.530
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: May 1, 2020 8:09:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: F-Audio Major - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	90.221825	24.0293
21.200001	90.230194	23.3107
21.799999	90.246819	22.5917
22.400000	90.272873	21.8652
23.000000	90.294556	21.1530
23.600000	90.302177	20.4688
24.299999	90.299164	19.6918
25.000000	90.302109	18.8986
25.799999	90.320297	17.9842
26.500000	90.338470	17.2883
27.200001	90.355316	16.7188
28.000000	90.368919	16.0539
29.000000	90.363808	15.1306
30.000000	90.365265	14.3241
30.700001	90.376350	13.7893
31.500000	90.380836	13.1794
32.500000	90.377823	12.4245
33.500000	90.370125	11.6976
34.500000	90.365662	11.1005
35.500000	90.361557	10.4871
36.500000	90.348846	9.8670
37.500000	90.341614	9.2700
38.700001	90.320107	8.5903
40.000000	90.288467	7.9188
41.200001	90.273689	7.2987
42.500000	90.265724	6.6567
43.700001	90.234390	6.1483
45.000000	90.201889	5.6295
46.200001	90.187752	5.0332
47.500000	90.157043	4.5099
48.700001	90.116753	4.1099
50.000000	90.089111	3.5315
51.500000	90.062325	3.0187
53.000000	90.012054	2.5580
54.500000	89.976974	2.0460
56.000000	89.929192	1.6371
58.000000	89.870773	0.8777
60.000000	89.877052	1.5243
61.500000	89.777939	0.1203
63.000000	89.730156	-0.4049
65.000000	89.664391	-0.7883
67.000000	89.602615	-1.2897
69.000000	89.552757	-1.7615
71.000000	89.478783	-2.0680
73.000000	89.410149	-2.5381
75.000000	89.357635	-2.9369
77.500000	89.265884	-3.2465
80.000000	89.170700	-3.6554
82.500000	89.097382	-4.0009
85.000000	89.013336	-4.3289
87.500000	88.923119	-4.5886
90.000000	88.835205	-4.8554
92.500000	88.752663	-5.0640
95.000000	88.663857	-5.3721
97.500000	88.570648	-5.6098
100.000000	88.497711	-5.7539
103.000000	88.382210	-5.9674
106.000000	88.282143	-6.1164
109.000000	88.178307	-6.2836
112.000000	88.066444	-6.2753
115.000000	87.987457	-6.1393
118.000000	87.844872	-6.3616
122.000000	87.706970	-6.4869
125.000000	87.626785	-6.5311
128.000000	87.526321	-6.5173
132.000000	87.390076	-6.4530
136.000000	87.247917	-6.4857
140.000000	87.110802	-6.4110
145.000000	86.963524	-6.1402
150.000000	86.781784	-5.9022
155.000000	86.637566	-5.7286
160.000000	86.475502	-5.4220
165.000000	86.314880	-5.0732
170.000000	86.171806	-4.7807
175.000000	86.025406	-4.4143
180.000000	85.878731	-3.9111
185.000000	85.738358	-3.5483
190.000000	85.584740	-3.1409
195.000000	85.447678	-2.6861
200.000000	85.316742	-2.1564
206.000000	85.152023	-1.4910
212.000000	84.988503	-0.8835
218.000000	84.843445	-0.2016
224.000000	84.687500	0.4361
230.000000	84.547821	1.2275
236.000000	84.402122	2.0924
243.000000	84.243622	2.9948
250.000000	84.071205	3.7631
258.000000	83.896553	4.8836
265.000000	83.746933	5.8470
272.000000	83.600761	6.7739
280.000000	83.446541	7.8091
290.000000	83.250214	9.3618
300.000000	83.021362	10.8135
307.000000	82.945808	11.8947
315.000000	82.788231	13.0281
325.000000	82.632629	14.4031
335.000000	82.467491	16.1354
345.000000	82.308792	17.6491
355.000000	82.185036	19.0833
365.000000	82.034302	20.7421
375.000000	81.896317	22.3476
387.000000	81.754028	24.2932
400.000000	81.590263	26.3215
412.000000	81.465164	28.2438
425.000000	81.317596	30.4192
437.000000	81.217155	32.2817
450.000000	81.098663	34.2395
462.000000	80.994568	36.3264
475.000000	80.889107	38.2786
487.000000	80.823242	40.2007
500.000000	80.725296	42.1547
515.000000	80.625198	44.4304
530.000000	80.540550	46.7613
545.000000	80.471024	49.0776
560.000000	80.403168	51.3652
580.000000	80.323227	54.4345
600.000000	80.262177	57.4094
615.000000	80.215309	59.3806
630.000000	80.176865	61.6383
650.000000	80.136810	64.5267
670.000000	80.101288	67.2109
690.000000	80.080528	70.0261
710.000000	80.050980	72.6926
730.000000	80.039558	75.2924
750.000000	80.019600	77.8240
775.000000	80.016342	81.0361
800.000000	80.012856	84.1961
825.000000	80.010689	87.0602
850.000000	80.005455	90.0407
875.000000	79.966110	93.0923
900.000000	79.965111	96.2787
925.000000	79.914520	99.3954
950.000000	79.895271	102.7293
975.000000	79.914993	106.4425
1000.000000	79.992844	109.6129
1030.000000	80.105743	114.4175
1060.000000	80.295685	118.6452
1090.000000	80.551498	122.6106
1120.000000	80.835960	126.2658
1150.000000	81.139809	129.3487
1180.000000	81.450592	132.2153
1220.000000	81.833374	135.5374
1250.000000	82.117783	137.7551
1280.000000	82.386711	139.7596
1320.000000	82.699287	142.2672
1360.000000	82.984901	144.5497
1400.000000	83.244812	146.7948
1450.000000	83.548981	149.3757
1500.000000	83.831207	152.0294
1550.000000	84.097443	154.5518
1600.000000	84.387650	157.1055
1650.000000	84.644890	159.5840
1700.000000	84.935287	161.9872
1750.000000	85.211754	164.2463
1800.000000	85.499092	166.3499
1850.000000	85.813797	168.2253
1900.000000	86.116066	170.0630
1950.000000	86.426971	171.5293
2000.000000	86.743210	172.7407
2060.000000	87.117226	174.0962
2120.000000	87.472298	175.0026
2180.000000	87.818497	175.4625
2240.000000	88.115974	175.5772
2300.000000	88.375549	175.3438
2360.000000	88.584694	174.8551
2430.000000	88.743431	173.9846
2500.000000	88.799896	173.0066
2580.000000	88.754631	171.8721
2650.000000	88.633049	171.1075
2720.000000	88.441589	170.6588
2800.000000	88.157082	170.6029
2900.000000	87.735588	171.2187
3000.000000	87.310921	172.5756
3070.000000	87.001305	174.0615
3150.000000	86.670738	176.0747
3250.000000	86.302139	178.9886
3350.000000	85.975754	-177.6684
3450.000000	85.721016	-174.0450
3550.000000	85.512756	-170.1274
3650.000000	85.388046	-166.0604
3750.000000	85.325943	-162.0310
3870.000000	85.322037	-156.9806
4000.000000	85.444374	-151.6541
4120.000000	85.676216	-146.6969
4250.000000	86.059639	-141.7494
4370.000000	86.526443	-137.4848
4500.000000	87.189919	-133.4580
