* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 12, 2024 4:33:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: May L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 31.469 -177.0733
0.732422 35.272 162.6804
1.098633 39.448 132.4780
1.464844 43.895 104.3515
1.831055 48.082 82.0020
2.197266 51.748 64.5101
2.563477 54.906 50.4112
2.929688 57.648 38.6036
3.295898 60.059 28.2922
3.662109 62.192 18.9185
4.028320 64.071 10.1527
4.394531 65.707 1.8793
4.760742 67.117 -5.8597
5.126953 68.326 -12.9558
5.493164 69.374 -19.3317
5.859375 70.307 -25.0150
6.225586 71.162 -30.1498
6.591797 71.956 -34.9329
6.958008 72.685 -39.5122
7.324219 73.341 -43.9246
7.690430 73.921 -48.1132
8.056641 74.434 -52.0020
8.422852 74.900 -55.5695
8.789062 75.338 -58.8726
9.155273 75.756 -62.0085
9.521484 76.155 -65.0547
9.887695 76.530 -68.0396
10.253906 76.882 -70.9639
10.620117 77.212 -73.8353
10.986328 77.521 -76.6732
11.352539 77.803 -79.4766
11.718750 78.055 -82.1946
12.084961 78.282 -84.7466
12.451172 78.500 -87.0925
12.817383 78.728 -89.2968
13.183594 78.968 -91.5098
13.549805 79.203 -93.8548
13.916016 79.403 -96.3109
14.282227 79.551 -98.6981
14.648438 79.655 -100.7886
15.014648 79.751 -102.4746
15.380859 79.876 -103.8716
15.747070 80.037 -105.2438
16.113281 80.211 -106.7888
16.479492 80.360 -108.4817
16.845703 80.472 -110.1256
17.211914 80.566 -111.5583
17.578125 80.679 -112.8401
17.944336 80.820 -114.2417
18.310547 80.953 -116.0022
18.676758 81.020 -118.0681
19.042969 80.983 -120.0479
19.409180 80.865 -121.4072
19.775391 80.751 -121.8226
20.141602 80.753 -121.5291
20.507812 80.921 -121.3043
20.874023 81.198 -121.9207
21.240234 81.464 -123.5969
21.606445 81.620 -125.9680
21.972656 81.630 -128.3862
22.338867 81.526 -130.2297
22.705078 81.389 -131.1397
23.071289 81.318 -131.1831
23.437500 81.383 -130.8427
23.803711 81.584 -130.7622
24.169922 81.864 -131.4092
24.536133 82.142 -132.9077
24.902344 82.346 -135.0778
25.268555 82.436 -137.5503
25.634766 82.403 -139.8809
26.000977 82.277 -141.6677
26.367188 82.120 -142.6917
26.733398 82.002 -143.0367
27.099609 81.964 -143.0654
27.465820 81.998 -143.1920
27.832031 82.062 -143.6235
28.198242 82.114 -144.2966
28.564453 82.141 -145.0199
28.930664 82.158 -145.6644
29.296875 82.185 -146.2582
29.663086 82.226 -146.9307
30.029297 82.266 -147.7725
30.395508 82.284 -148.7443
30.761719 82.270 -149.7064
31.127930 82.237 -150.5258
31.494141 82.204 -151.1696
31.860352 82.189 -151.7148
32.226562 82.193 -152.2737
32.592773 82.204 -152.9056
32.958984 82.213 -153.5929
33.325195 82.217 -154.2852
33.691406 82.220 -154.9586
34.057617 82.226 -155.6318
34.423828 82.230 -156.3307
34.790039 82.226 -157.0421
35.156250 82.210 -157.7053
35.522461 82.190 -158.2557
35.888672 82.178 -158.6837
36.254883 82.187 -159.0615
36.621094 82.215 -159.5053
36.987305 82.249 -160.0966
37.353516 82.269 -160.8235
37.719727 82.263 -161.5840
38.085938 82.232 -162.2464
38.452148 82.191 -162.7275
38.818359 82.162 -163.0414
39.184570 82.155 -163.2864
39.550781 82.168 -163.5776
39.916992 82.188 -163.9753
40.283203 82.202 -164.4636
40.649414 82.207 -164.9861
41.015625 82.203 -165.5020
41.381836 82.194 -166.0118
41.748047 82.180 -166.5355
42.114258 82.153 -167.0635
42.480469 82.108 -167.5317
42.846680 82.052 -167.8501
43.212891 82.003 -167.9727
43.579102 81.979 -167.9564
43.945312 81.991 -167.9510
44.311523 82.029 -168.1124
44.677734 82.069 -168.5052
45.043945 82.091 -169.0707
45.410156 82.084 -169.6780
45.776367 82.057 -170.2104
46.142578 82.024 -170.6279
46.508789 81.997 -170.9676
46.875000 81.980 -171.2927
47.241211 81.968 -171.6386
47.607422 81.958 -172.0012
47.973633 81.949 -172.3671
48.339844 81.943 -172.7453
48.706055 81.940 -173.1608
49.072266 81.932 -173.6181
49.438477 81.915 -174.0752
49.804688 81.890 -174.4636
50.170898 81.868 -174.7475
50.537109 81.862 -174.9704
50.903320 81.876 -175.2386
51.269531 81.897 -175.6420
51.635742 81.905 -176.1760
52.001953 81.887 -176.7358
52.368164 81.847 -177.1854
52.734375 81.803 -177.4534
53.100586 81.773 -177.5833
53.466797 81.766 -177.6955
53.833008 81.771 -177.8928
54.199219 81.774 -178.1910
54.565430 81.765 -178.5304
54.931641 81.745 -178.8433
55.297852 81.722 -179.1100
55.664062 81.700 -179.3588
56.030273 81.678 -179.6182
56.396484 81.652 -179.8804
56.762695 81.621 179.8862
57.128906 81.592 179.6915
57.495117 81.568 179.4999
57.861328 81.548 179.2632
58.227539 81.520 178.9821
58.593750 81.480 178.7269
58.959961 81.435 178.5859
59.326172 81.404 178.5723
59.692383 81.403 178.5781
60.058594 81.427 178.4354
60.424805 81.453 178.0491
60.791016 81.453 177.4835
61.157227 81.414 176.9286
61.523438 81.350 176.5743
61.889648 81.292 176.4791
62.255859 81.267 176.5259
62.622070 81.277 176.5115
62.988281 81.303 176.2985
63.354492 81.317 175.9007
63.720703 81.305 175.4470
64.086914 81.271 175.0757
64.453125 81.231 174.8475
64.819336 81.200 174.7286
65.185547 81.183 174.6399
65.551758 81.176 174.5187
65.917969 81.173 174.3447
66.284180 81.168 174.1237
66.650391 81.158 173.8655
67.016602 81.141 173.5829
67.382812 81.113 173.3037
67.749023 81.076 173.0728
68.115234 81.036 172.9279
68.481445 81.003 172.8665
68.847656 80.984 172.8344
69.213867 80.980 172.7557
69.580078 80.981 172.5822
69.946289 80.976 172.3234
70.312500 80.962 172.0322
70.678711 80.938 171.7621
71.044922 80.913 171.5299
71.411133 80.891 171.3146
71.777344 80.868 171.0885
72.143555 80.842 170.8538
72.509766 80.809 170.6487
72.875977 80.773 170.5177
73.242188 80.744 170.4684
73.608398 80.729 170.4539
73.974609 80.727 170.3991
74.340820 80.728 170.2562
74.707031 80.722 170.0428
75.073242 80.703 169.8307
75.439453 80.675 169.6929
75.805664 80.651 169.6456
76.171875 80.642 169.6313
76.538086 80.646 169.5603
76.904297 80.652 169.3785
77.270508 80.648 169.1058
77.636719 80.629 168.8157
78.002930 80.599 168.5751
78.369141 80.567 168.3964
78.735352 80.540 168.2383
79.101562 80.515 168.0538
79.467773 80.484 167.8417
79.833984 80.443 167.6521
80.200195 80.395 167.5449
80.566406 80.353 167.5385
80.932617 80.324 167.5925
81.298828 80.310 167.6404
81.665039 80.306 167.6367
82.031250 80.307 167.5736
82.397461 80.309 167.4581
82.763672 80.311 167.2828
83.129883 80.308 167.0302
83.496094 80.292 166.7101
83.862305 80.255 166.3898
84.228516 80.199 166.1728
84.594727 80.138 166.1297
84.960938 80.095 166.2292
85.327148 80.078 166.3397
85.693359 80.078 166.3207
86.059570 80.073 166.1362
86.425781 80.044 165.8886
86.791992 79.992 165.7450
87.158203 79.940 165.8050
87.524414 79.916 166.0081
87.890625 79.929 166.1637
88.256836 79.964 166.0945
88.623047 79.989 165.7750
88.989258 79.980 165.3468
89.355469 79.940 165.0127
89.721680 79.892 164.8906
90.087891 79.865 164.9288
90.454102 79.868 164.9508
90.820312 79.885 164.8047
91.186523 79.888 164.4891
91.552734 79.860 164.1539
91.918945 79.809 163.9840
92.285156 79.763 164.0536
92.651367 79.750 164.2541
93.017578 79.773 164.3638
93.383789 79.810 164.2144
93.750000 79.825 163.8157
94.116211 79.795 163.3442
94.482422 79.726 163.0242
94.848633 79.644 162.9862
95.214844 79.581 163.1883
95.581055 79.554 163.4561
95.947266 79.553 163.6157
96.313477 79.556 163.6108
96.679688 79.546 163.5140
97.045898 79.522 163.4428
97.412109 79.498 163.4595
97.778320 79.487 163.5262
98.144531 79.493 163.5444
98.510742 79.506 163.4386
98.876953 79.511 163.2147
99.243164 79.497 162.9521
99.609375 79.467 162.7461
99.975586 79.433 162.6470
100.341797 79.406 162.6360
100.708008 79.391 162.6501
101.074219 79.384 162.6320
101.440430 79.378 162.5670
101.806641 79.367 162.4818
102.172852 79.352 162.4127
102.539062 79.338 162.3694
102.905273 79.327 162.3253
103.271484 79.319 162.2401
103.637695 79.306 162.0983
104.003906 79.281 161.9316
104.370117 79.244 161.8044
104.736328 79.203 161.7686
105.102539 79.169 161.8192
105.468750 79.152 161.8870
105.834961 79.150 161.8802
106.201172 79.151 161.7485
106.567383 79.141 161.5182
106.933594 79.113 161.2741
107.299805 79.073 161.1024
107.666016 79.032 161.0370
108.032227 79.002 161.0465
108.398438 78.985 161.0688
108.764648 78.976 161.0626
109.130859 78.968 161.0304
109.497070 78.961 160.9988
109.863281 78.957 160.9786
110.229492 78.957 160.9457
110.595703 78.959 160.8623
110.961914 78.952 160.7238
111.328125 78.929 160.5858
111.694336 78.890 160.5440
112.060547 78.849 160.6690
112.426758 78.826 160.9371
112.792969 78.836 161.2127
113.159180 78.872 161.3163
113.525391 78.910 161.1425
113.891602 78.917 160.7388
114.257812 78.878 160.2898
114.624023 78.801 160.0132
114.990234 78.718 160.0233
115.356445 78.662 160.2428
115.722656 78.647 160.4459
116.088867 78.656 160.4272
116.455078 78.652 160.1630
116.821289 78.611 159.8290
117.187500 78.539 159.6669
117.553711 78.472 159.7972
117.919922 78.446 160.1091
118.286133 78.469 160.3328
118.652344 78.513 160.2577
119.018555 78.537 159.8998
119.384766 78.516 159.4797
119.750977 78.459 159.2542
120.117188 78.401 159.3325
120.483398 78.375 159.6036
120.849609 78.387 159.8384
121.215820 78.416 159.8790
121.582031 78.431 159.7443
121.948242 78.421 159.5742
122.314453 78.393 159.4944
122.680664 78.365 159.5222
123.046875 78.346 159.5833
123.413086 78.331 159.6049
123.779297 78.310 159.5894
124.145508 78.281 159.5984
124.511719 78.252 159.6764
124.877930 78.235 159.7941
125.244141 78.234 159.8681
125.610352 78.239 159.8337
125.976562 78.239 159.6977
126.342773 78.228 159.5221
126.708984 78.210 159.3647
127.075195 78.192 159.2351
127.441406 78.177 159.1041
127.807617 78.162 158.9496
128.173828 78.141 158.7888
128.540039 78.115 158.6648
128.906250 78.087 158.6051
129.272461 78.065 158.5944
129.638672 78.050 158.5894
130.004883 78.035 158.5616
130.371094 78.014 158.5261
130.737305 77.984 158.5322
131.103516 77.951 158.6240
131.469727 77.924 158.8043
131.835938 77.910 159.0278
132.202148 77.910 159.2251
132.568359 77.918 159.3394
132.934570 77.924 159.3523
133.300781 77.920 159.2888
133.666992 77.901 159.2062
134.033203 77.867 159.1736
134.399414 77.830 159.2452
134.765625 77.800 159.4324
135.131836 77.793 159.6847
135.498047 77.814 159.8945
135.864258 77.857 159.9365
136.230469 77.905 159.7288
136.596680 77.932 159.2866
136.962891 77.918 158.7345
137.329102 77.859 158.2652
137.695312 77.772 158.0527
138.061523 77.686 158.1538
138.427734 77.631 158.4620
138.793945 77.612 158.7745
139.160156 77.609 158.9426
139.526367 77.596 158.9792
139.892578 77.562 159.0246
140.258789 77.520 159.2016
140.625000 77.491 159.4851
140.991211 77.482 159.7196
141.357422 77.474 159.7915
141.723633 77.438 159.7870
142.089844 77.375 159.9511
142.456055 77.329 160.4364
142.822266 77.357 161.0352
143.188477 77.465 161.2140
143.554688 77.583 160.5404
143.920898 77.605 159.1003
144.287109 77.456 157.5342
144.653320 77.155 156.7449
145.019531 76.829 157.3807
145.385742 76.662 159.1979
145.751953 76.745 160.9592
146.118164 76.973 161.4594
146.484375 77.152 160.5436
146.850586 77.151 159.0000
147.216797 76.967 157.9003
147.583008 76.708 157.9825
147.949219 76.526 159.1907
148.315430 76.502 160.7351
148.681641 76.583 161.8708
149.047852 76.675 162.5507
149.414062 76.745 163.2192
