* Measurement data measured by REW V5.20.13
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -59.2 dBFS, measurement signal peak level -31.9 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: May 27, 2023 8:07:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0731 ms (25 mm, 0.99 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 0.4 ppm
* Measurement: Meteor R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	85.358	-135.3831
21.200001	85.444	-137.4100
21.799999	85.523	-139.4179
22.400000	85.602	-141.3138
23.000000	85.647	-143.1237
23.600000	85.658	-144.9640
24.299999	85.677	-147.1195
25.000000	85.712	-149.1470
25.799999	85.734	-151.3587
26.500000	85.755	-153.2725
27.200001	85.779	-155.1230
28.000000	85.780	-157.1697
29.000000	85.765	-159.6284
30.000000	85.761	-161.9819
30.700001	85.761	-163.6593
31.500000	85.761	-165.5415
32.500000	85.753	-167.7270
33.500000	85.741	-169.9001
34.500000	85.716	-172.0519
35.500000	85.698	-174.0844
36.500000	85.683	-176.0741
37.500000	85.658	-178.0008
38.700001	85.627	179.7878
40.000000	85.589	177.2576
41.200001	85.571	175.2364
42.500000	85.507	172.9000
43.700001	85.473	170.7921
45.000000	85.441	168.7291
46.200001	85.391	166.7513
47.500000	85.353	164.8212
48.700001	85.289	162.9178
50.000000	85.221	160.9658
51.500000	85.181	158.8124
53.000000	85.119	156.6591
54.500000	85.053	154.5832
56.000000	84.988	152.5494
58.000000	84.893	149.8880
60.000000	84.813	147.7864
61.500000	84.727	145.4568
63.000000	84.649	143.7014
65.000000	84.547	141.2735
67.000000	84.445	138.9931
69.000000	84.342	136.7426
71.000000	84.234	134.5707
73.000000	84.128	132.4429
75.000000	84.016	130.3738
77.500000	83.874	127.8237
80.000000	83.734	125.3879
82.500000	83.589	123.0117
85.000000	83.446	120.7212
87.500000	83.301	118.4888
90.000000	83.155	116.3138
92.500000	83.013	114.1992
95.000000	82.867	112.1736
97.500000	82.724	110.1616
100.000000	82.581	108.2445
103.000000	82.413	105.9808
106.000000	82.244	103.8098
109.000000	82.081	101.6942
112.000000	81.915	99.6748
115.000000	81.755	97.6658
118.000000	81.594	95.7682
122.000000	81.382	93.3031
125.000000	81.223	91.5308
128.000000	81.070	89.8039
132.000000	80.865	87.5976
136.000000	80.660	85.4772
140.000000	80.463	83.4542
145.000000	80.221	81.0424
150.000000	79.984	78.7441
155.000000	79.756	76.5659
160.000000	79.530	74.4855
165.000000	79.309	72.5058
170.000000	79.097	70.6370
175.000000	78.893	68.8461
180.000000	78.707	67.3071
185.000000	78.501	65.5421
190.000000	78.317	64.0097
195.000000	78.141	62.5488
200.000000	77.966	61.1550
206.000000	77.769	59.5632
212.000000	77.582	58.0819
218.000000	77.404	56.6461
224.000000	77.235	55.2837
230.000000	77.078	54.0083
236.000000	76.927	52.7841
243.000000	76.760	51.4214
250.000000	76.605	50.1496
258.000000	76.437	48.7604
265.000000	76.305	47.6068
272.000000	76.183	46.5115
280.000000	76.055	45.3001
290.000000	75.908	43.8734
300.000000	75.761	42.3573
307.000000	75.690	41.6073
315.000000	75.604	40.6029
325.000000	75.501	39.3871
335.000000	75.411	38.2126
345.000000	75.332	37.0925
355.000000	75.260	36.0056
365.000000	75.196	34.9205
375.000000	75.136	33.8708
387.000000	75.076	32.6320
400.000000	75.014	31.3622
412.000000	74.962	30.2021
425.000000	74.913	29.0132
437.000000	74.873	27.9153
450.000000	74.831	26.7408
462.000000	74.795	25.6904
475.000000	74.756	24.5927
487.000000	74.723	23.6250
500.000000	74.687	22.5868
515.000000	74.646	21.4421
530.000000	74.605	20.3430
545.000000	74.568	19.2764
560.000000	74.532	18.2499
580.000000	74.481	16.9609
600.000000	74.428	15.7619
615.000000	74.392	14.8938
630.000000	74.354	14.0770
650.000000	74.306	13.0901
670.000000	74.259	12.1720
690.000000	74.213	11.3192
710.000000	74.176	10.5468
730.000000	74.141	9.8576
750.000000	74.112	9.2396
775.000000	74.082	8.5718
800.000000	74.070	8.0024
825.000000	74.070	7.5162
850.000000	74.084	7.0911
875.000000	74.114	6.7208
900.000000	74.167	6.4210
925.000000	74.232	6.0516
950.000000	74.318	5.6765
975.000000	74.416	5.2598
1000.000000	74.527	4.7985
1030.000000	74.674	4.1223
1060.000000	74.832	3.3590
1090.000000	74.989	2.4697
1120.000000	75.152	1.4572
1150.000000	75.308	0.3488
1180.000000	75.455	-0.8714
1220.000000	75.631	-2.5892
1250.000000	75.750	-3.9106
1280.000000	75.856	-5.2318
1320.000000	75.980	-6.9798
1360.000000	76.090	-8.6934
1400.000000	76.191	-10.3326
1450.000000	76.306	-12.2627
1500.000000	76.423	-14.0511
1550.000000	76.541	-15.7551
1600.000000	76.671	-17.3506
1650.000000	76.814	-18.8962
1700.000000	76.973	-20.4125
1750.000000	77.150	-21.9122
1800.000000	77.348	-23.4164
1850.000000	77.565	-24.9749
1900.000000	77.800	-26.6091
1950.000000	78.054	-28.3279
2000.000000	78.325	-30.1614
2060.000000	78.677	-32.5787
2120.000000	79.047	-35.2408
2180.000000	79.430	-38.2255
2240.000000	79.825	-41.5508
2300.000000	80.219	-45.2586
2360.000000	80.598	-49.3785
2430.000000	81.012	-54.7315
2500.000000	81.364	-60.6417
2580.000000	81.666	-67.9497
2650.000000	81.829	-74.6637
2720.000000	81.887	-81.4952
2800.000000	81.840	-89.2123
2900.000000	81.646	-98.4413
3000.000000	81.368	-107.1088
3070.000000	81.146	-112.9003
3150.000000	80.872	-119.3510
3250.000000	80.481	-127.1112
3350.000000	80.061	-134.1832
3450.000000	79.730	-140.4751
3550.000000	79.580	-146.7298
3650.000000	79.609	-153.7804
3750.000000	79.772	-162.2519
3870.000000	80.054	-174.9841
4000.000000	80.274	167.2892
4120.000000	80.119	147.3663
4250.000000	79.322	123.9533
4370.000000	78.080	103.1576
4500.000000	76.541	82.9227
4620.000000	75.245	66.1509
4750.000000	74.209	49.3681
4870.000000	73.702	34.6673
5000.000000	73.681	19.1909
5150.000000	74.314	1.4542
5300.000000	75.499	-17.3108
5450.000000	76.900	-38.9124
5600.000000	77.865	-64.1774
5800.000000	77.586	-97.2881
6000.000000	76.133	-121.3062
6150.000000	74.979	-132.6998
6300.000000	74.038	-140.3699
6500.000000	73.183	-147.0884
6700.000000	72.770	-151.6047
6900.000000	72.741	-155.1693
7100.000000	73.035	-158.5813
7300.000000	73.610	-162.6338
7500.000000	74.357	-167.8523
7750.000000	75.431	-176.4089
8000.000000	76.504	172.0160
8250.000000	77.247	157.3546
8500.000000	77.423	141.8169
8750.000000	77.172	127.3545
9000.000000	76.697	115.0811
9250.000000	76.293	104.7568
9500.000000	76.128	95.1537
9750.000000	76.239	84.9636
10000.000000	76.580	73.0658
10300.000000	77.112	55.4218
10600.000000	77.425	33.9379
10900.000000	77.216	10.9001
11200.000000	76.594	-10.1652
11500.000000	75.977	-28.3317
11800.000000	75.673	-43.9077
12200.000000	76.034	-64.7289
12500.000000	76.742	-82.5237
12800.000000	77.622	-104.6501
13200.000000	78.051	-143.4039
13600.000000	76.226	175.1860
14000.000000	72.954	143.8209
14500.000000	69.098	115.2111
15000.000000	66.087	89.4878
15500.000000	64.306	60.5811
16000.000000	64.138	22.2988
16500.000000	65.620	-27.6108
17000.000000	68.309	-86.6210
17500.000000	71.335	-155.5659
18000.000000	72.955	124.8086
18500.000000	72.863	42.0654
19000.000000	72.273	-47.7961
19500.000000	70.632	-161.0002
