* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.169
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 28, 2020 2:03:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cat Ear Mia - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	79.064476	-111.0694
21.200001	79.211243	-113.0481
21.799999	79.347717	-114.9603
22.400000	79.467163	-116.7426
23.000000	79.570145	-118.3771
23.600000	79.667183	-119.9208
24.299999	79.788872	-121.7188
25.000000	79.924728	-123.6498
25.799999	80.055458	-126.0994
26.500000	80.112289	-128.0752
27.200001	80.176956	-129.4625
28.000000	80.343376	-130.7837
29.000000	80.513657	-132.8442
30.000000	80.550690	-134.4069
30.700001	80.601387	-135.4865
31.500000	80.641838	-137.0774
32.500000	80.679306	-138.7501
33.500000	80.771255	-140.5230
34.500000	80.800720	-142.2842
35.500000	80.846802	-143.5884
36.500000	80.864883	-144.9402
37.500000	80.887207	-146.1357
38.700001	80.983757	-148.0213
40.000000	81.019913	-149.3946
41.200001	81.011765	-150.6078
42.500000	80.974350	-152.4756
43.700001	81.055489	-154.0480
45.000000	81.100792	-155.2428
46.200001	81.067894	-156.3862
47.500000	81.041603	-157.5446
48.700001	81.104721	-159.0323
50.000000	81.079987	-160.2250
51.500000	81.052620	-160.8562
53.000000	81.059906	-162.1196
54.500000	81.046494	-163.6659
56.000000	81.052231	-164.9531
58.000000	81.045120	-166.0891
60.000000	80.974167	-167.4013
61.500000	80.977463	-169.3223
63.000000	80.902878	-169.5554
65.000000	80.862724	-170.3756
67.000000	80.822136	-171.5047
69.000000	80.800064	-172.8098
71.000000	80.779518	-173.2269
73.000000	80.684418	-174.5744
75.000000	80.693779	-176.0294
77.500000	80.604660	-176.7696
80.000000	80.589989	-176.5478
82.500000	80.633369	-177.8138
85.000000	80.228958	178.6468
87.500000	80.376167	-175.9499
90.000000	84.621246	137.3899
92.500000	81.141953	-179.7767
95.000000	80.467209	176.9763
97.500000	80.122437	177.8763
100.000000	80.201530	177.4848
103.000000	80.146950	176.3597
106.000000	80.053558	175.6113
109.000000	79.984215	174.9074
112.000000	79.901047	174.1479
115.000000	79.819206	173.4582
118.000000	79.731331	173.0312
122.000000	79.616653	172.4708
125.000000	79.689774	171.7650
128.000000	79.475151	171.3215
132.000000	79.398247	170.7050
136.000000	79.284943	170.1564
140.000000	79.175598	169.9485
145.000000	79.083298	169.2899
150.000000	78.974571	168.6353
155.000000	78.875305	168.2337
160.000000	78.741592	167.7706
165.000000	78.647469	167.2914
170.000000	78.525513	166.9964
