* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.169
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 28, 2020 2:06:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cat Ear Mia - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	79.619225	-107.9330
21.200001	79.723755	-110.0480
21.799999	79.843376	-111.7983
22.400000	80.000992	-113.2782
23.000000	80.165428	-114.7483
23.600000	80.294716	-116.3038
24.299999	80.417839	-118.1239
25.000000	80.574326	-120.0998
25.799999	80.739273	-122.7413
26.500000	80.790756	-124.7080
27.200001	80.837639	-125.9704
28.000000	80.967361	-127.5913
29.000000	81.059952	-130.2422
30.000000	81.149445	-131.9255
30.700001	81.282867	-133.2738
31.500000	81.356224	-135.3062
32.500000	81.365723	-137.2043
33.500000	81.447906	-138.8024
34.500000	81.508102	-140.6377
35.500000	81.566048	-142.4438
36.500000	81.582245	-143.9542
37.500000	81.629990	-144.9312
38.700001	81.769775	-147.0332
40.000000	81.805016	-149.0832
41.200001	81.692947	-150.0824
42.500000	81.698853	-151.7427
43.700001	81.768204	-153.7535
45.000000	81.786217	-154.4502
46.200001	81.731552	-156.2442
47.500000	81.763191	-157.5493
48.700001	81.856384	-158.2177
50.000000	81.787331	-159.4350
51.500000	81.731659	-161.5925
53.000000	81.724258	-162.2792
54.500000	81.748672	-163.7554
56.000000	81.735245	-164.8297
58.000000	81.681152	-166.4151
60.000000	81.684509	-168.1062
61.500000	81.640762	-169.2789
63.000000	81.664497	-170.1208
65.000000	81.578262	-171.2240
67.000000	81.507195	-172.3744
69.000000	81.506989	-173.1478
71.000000	81.498100	-174.8039
73.000000	81.587204	-176.9677
75.000000	81.363762	-176.4005
77.500000	81.283661	-177.7356
80.000000	81.192329	-178.4656
82.500000	81.175255	-179.8456
85.000000	81.042122	178.9471
87.500000	80.873901	178.7538
90.000000	81.636696	168.3881
92.500000	80.894348	177.3867
95.000000	80.767372	176.2110
97.500000	80.657143	175.8629
100.000000	80.626480	175.1354
103.000000	80.541573	174.1985
106.000000	80.469101	173.3206
109.000000	80.388741	172.6282
112.000000	80.316887	172.0483
115.000000	80.252075	171.3697
118.000000	80.130852	170.7765
122.000000	80.014801	170.0460
125.000000	79.932434	169.6849
128.000000	79.838165	169.1138
132.000000	79.719421	168.5435
136.000000	79.627029	167.9618
140.000000	79.512314	167.5416
145.000000	79.415237	167.0720
150.000000	79.239296	166.7406
155.000000	79.093277	166.2538
160.000000	78.980591	165.9962
