* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.625
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 25, 2020 7:00:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UM Mini MEST - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	90.089928	-145.7140
21.200001	90.086418	-147.0185
21.799999	90.095367	-148.4957
22.400000	90.053833	-149.6543
23.000000	89.977898	-150.6863
23.600000	89.972855	-151.8088
24.299999	89.991386	-152.9543
25.000000	89.902679	-154.2992
25.799999	89.841011	-156.0024
26.500000	89.838593	-156.9713
27.200001	89.782043	-158.0262
28.000000	89.719009	-159.3286
29.000000	89.649223	-160.3641
30.000000	89.563972	-161.7269
30.700001	89.538361	-162.3992
31.500000	89.489731	-163.3927
32.500000	89.460114	-164.9077
33.500000	89.414841	-165.8593
34.500000	89.374130	-167.0441
35.500000	89.314468	-168.1450
36.500000	89.253120	-169.2379
37.500000	89.212448	-170.2190
38.700001	89.141304	-171.2551
40.000000	89.071091	-172.5240
41.200001	89.012177	-173.6443
42.500000	88.912079	-174.6425
43.700001	88.846970	-175.6141
45.000000	88.756050	-176.4777
46.200001	88.684235	-177.3896
47.500000	88.618782	-178.3647
48.700001	88.518669	-179.1634
50.000000	88.431274	179.8916
51.500000	88.357178	178.9890
53.000000	88.249657	178.0264
54.500000	88.139305	177.1508
56.000000	88.071251	176.2713
58.000000	87.994118	175.1548
60.000000	87.907021	174.3079
61.500000	87.837051	173.4618
63.000000	87.758583	172.6686
65.000000	87.658005	171.8031
67.000000	87.565422	170.8978
69.000000	87.475662	170.1549
71.000000	87.382622	169.3817
73.000000	87.286148	168.6557
75.000000	87.194427	167.9922
77.500000	87.071716	167.1208
80.000000	86.947914	166.3591
82.500000	86.831543	165.6151
85.000000	86.717979	164.9896
87.500000	86.604088	164.3260
90.000000	86.502449	163.5114
92.500000	86.376686	163.1708
95.000000	86.266441	162.6635
97.500000	86.152420	162.1552
100.000000	86.040543	161.6973
103.000000	85.935959	161.2425
106.000000	85.830750	160.7045
109.000000	85.731560	160.2762
112.000000	85.619476	159.8346
115.000000	85.522507	159.4545
118.000000	85.415512	158.9825
122.000000	85.296707	158.6851
125.000000	85.203247	158.3950
128.000000	85.111374	158.1181
132.000000	84.994843	157.8057
136.000000	84.872368	157.4962
140.000000	84.755585	157.2354
145.000000	84.620934	156.9708
150.000000	84.484596	156.7173
155.000000	84.358284	156.5264
160.000000	84.230240	156.3670
165.000000	84.109726	156.2081
170.000000	83.990601	156.1059
175.000000	83.879433	156.0343
180.000000	83.764679	155.9984
185.000000	83.666077	155.9309
190.000000	83.567757	155.8887
195.000000	83.467293	155.8785
200.000000	83.371460	155.8690
206.000000	83.260117	155.8926
212.000000	83.155296	155.9329
218.000000	83.051727	155.9835
224.000000	82.954704	156.0591
230.000000	82.860779	156.1247
236.000000	82.771225	156.2132
243.000000	82.667976	156.3384
250.000000	82.570511	156.4493
258.000000	82.468597	156.5862
265.000000	82.376625	156.7340
272.000000	82.289772	156.8724
280.000000	82.195908	157.0284
290.000000	82.083145	157.2607
300.000000	81.987267	157.4631
307.000000	81.907021	157.6479
315.000000	81.829163	157.8378
325.000000	81.733658	158.0736
335.000000	81.642838	158.3237
345.000000	81.557396	158.5736
355.000000	81.475967	158.8080
365.000000	81.396935	159.0585
375.000000	81.321342	159.3140
387.000000	81.232628	159.6148
400.000000	81.141777	159.9437
412.000000	81.060432	160.2495
425.000000	80.976837	160.5873
437.000000	80.902802	160.9105
450.000000	80.828384	161.2596
462.000000	80.760803	161.5564
475.000000	80.689407	161.9366
487.000000	80.626060	162.2447
500.000000	80.557205	162.6068
515.000000	80.485367	163.0409
530.000000	80.414688	163.4724
545.000000	80.347130	163.9159
560.000000	80.283394	164.3522
580.000000	80.201706	164.9626
600.000000	80.124359	165.6190
615.000000	80.070114	166.0748
630.000000	80.018867	166.6080
650.000000	79.956818	167.3013
670.000000	79.901321	168.0214
690.000000	79.849319	168.7844
710.000000	79.801659	169.5752
730.000000	79.767281	170.3486
750.000000	79.739960	171.1938
775.000000	79.712540	172.2401
800.000000	79.705750	173.3416
825.000000	79.714020	174.4479
850.000000	79.736969	175.5279
875.000000	79.777817	176.6315
900.000000	79.839546	177.7018
925.000000	79.913925	178.7606
950.000000	80.004822	179.7179
975.000000	80.107574	-179.3823
1000.000000	80.228355	-178.5429
1030.000000	80.382584	-177.7119
1060.000000	80.548073	-176.9826
1090.000000	80.715775	-176.4088
1120.000000	80.879715	-175.9468
1150.000000	81.047600	-175.5900
1180.000000	81.207649	-175.3362
1220.000000	81.414406	-175.0972
1250.000000	81.564278	-175.0023
1280.000000	81.706833	-174.9156
1320.000000	81.888138	-174.8516
1360.000000	82.063072	-174.7828
1400.000000	82.233742	-174.7389
1450.000000	82.448593	-174.6852
1500.000000	82.665405	-174.6222
1550.000000	82.894112	-174.5803
1600.000000	83.138397	-174.5325
1650.000000	83.392097	-174.6747
1700.000000	83.682739	-174.7512
1750.000000	83.987991	-175.0251
1800.000000	84.308762	-175.5595
1850.000000	84.641457	-176.4000
1900.000000	84.974083	-177.6160
1950.000000	85.293457	-179.2347
2000.000000	85.576767	178.7292
2060.000000	85.836479	175.7938
2120.000000	85.978104	172.5364
2180.000000	85.978699	169.2761
2240.000000	85.853760	166.3873
2300.000000	85.644562	164.0963
2360.000000	85.400101	162.3982
2430.000000	85.107307	160.9589
2500.000000	84.808060	159.8936
2580.000000	84.438599	159.1038
2650.000000	84.084373	158.9458
2720.000000	83.722229	159.3498
2800.000000	83.319542	160.5035
2900.000000	82.890274	162.9016
3000.000000	82.594116	166.1089
3070.000000	82.488060	168.6145
3150.000000	82.481903	171.4509
3250.000000	82.612564	174.4712
3350.000000	82.796150	176.5531
3450.000000	82.913643	177.9993
3550.000000	82.942757	179.5608
3650.000000	82.951080	-178.3299
3750.000000	83.001907	-175.7285
3870.000000	83.171318	-172.2976
4000.000000	83.486359	-168.5814
4120.000000	83.891846	-165.4928
4250.000000	84.431175	-162.7880
4370.000000	84.986557	-161.0592
4500.000000	85.603363	-160.2124
4620.000000	86.124527	-160.3580
4750.000000	86.572540	-161.1740
4870.000000	86.870361	-162.0386
5000.000000	87.132835	-162.6807
5150.000000	87.482742	-163.4577
5300.000000	87.819023	-165.4212
5450.000000	87.934128	-168.5626
5600.000000	87.681511	-171.2187
5800.000000	87.218697	-171.8257
6000.000000	86.849014	-170.8410
6150.000000	86.628990	-169.3836
6300.000000	86.474014	-167.4551
6500.000000	86.399704	-164.3935
6700.000000	86.510681	-161.1323
6900.000000	86.865883	-158.4635
7100.000000	87.235413	-157.4477
7300.000000	87.760185	-156.6327
7500.000000	88.353218	-158.5425
7750.000000	88.777840	-164.3542
8000.000000	88.497688	-171.9975
8250.000000	87.506966	-177.6801
8500.000000	86.226517	-179.3157
8750.000000	85.053741	-177.3593
9000.000000	84.210205	-173.0460
9250.000000	83.819107	-167.7312
9500.000000	83.963470	-162.7336
9750.000000	84.640663	-159.8447
10000.000000	85.874977	-161.5779
10300.000000	87.313660	-175.9460
10600.000000	86.380981	159.4924
10900.000000	83.158463	145.9128
11200.000000	79.981476	144.6832
11500.000000	77.555817	149.2314
11800.000000	75.893394	155.8698
12200.000000	74.691307	164.4352
12500.000000	74.464447	169.2186
12800.000000	74.789490	169.8826
13200.000000	75.326675	160.9617
13600.000000	74.466095	141.8306
14000.000000	71.707108	126.7769
14500.000000	68.297707	119.8810
15000.000000	66.105377	114.2692
15500.000000	65.811005	103.3093
16000.000000	65.368217	68.7832
16500.000000	61.726059	31.4629
17000.000000	57.353470	3.8829
17500.000000	53.228497	-19.1186
18000.000000	49.534206	-41.3196
18500.000000	46.278694	-66.8810
19000.000000	43.315960	-99.6367
19500.000000	39.785652	-71.9379
