* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 28, 2024 12:06:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Multiverse Mentor L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 41.579 156.6455
0.732422 44.346 126.6321
1.098633 48.666 96.5594
1.464844 53.285 72.4412
1.831055 57.409 53.5148
2.197266 60.875 37.9796
2.563477 63.741 24.7857
2.929688 66.110 13.4229
3.295899 68.087 3.6273
3.662110 69.765 -4.7921
4.028321 71.226 -12.0426
4.394532 72.531 -18.3730
4.760743 73.718 -24.0418
5.126954 74.802 -29.2601
5.493164 75.788 -34.1498
5.859375 76.678 -38.7441
6.225586 77.479 -43.0260
6.591797 78.202 -46.9765
6.958008 78.864 -50.6083
7.324219 79.478 -53.9702
7.690430 80.051 -57.1259
8.056641 80.585 -60.1257
8.422852 81.082 -62.9927
8.789063 81.541 -65.7292
9.155274 81.968 -68.3342
9.521485 82.366 -70.8152
9.887696 82.738 -73.1881
10.253907 83.087 -75.4671
10.620118 83.415 -77.6576
10.986329 83.723 -79.7598
11.352540 84.014 -81.7791
11.718751 84.293 -83.7320
12.084962 84.559 -85.6398
12.451173 84.810 -87.5130
12.817384 85.044 -89.3414
13.183595 85.263 -91.0992
13.549806 85.469 -92.7651
13.916017 85.670 -94.3433
14.282228 85.869 -95.8665
14.648439 86.067 -97.3769
15.014650 86.258 -98.8991
15.380861 86.436 -100.4235
15.747072 86.600 -101.9158
16.113283 86.751 -103.3434
16.479493 86.896 -104.6985
16.845704 87.037 -106.0020
17.211915 87.176 -107.2836
17.578126 87.308 -108.5571
17.944337 87.430 -109.8094
18.310548 87.542 -111.0137
18.676759 87.649 -112.1539
19.042970 87.754 -113.2404
19.409181 87.860 -114.3032
19.775392 87.965 -115.3683
20.141603 88.062 -116.4369
20.507814 88.149 -117.4863
20.874025 88.222 -118.4909
21.240236 88.289 -119.4463
21.606447 88.351 -120.3752
21.972658 88.413 -121.3100
22.338869 88.469 -122.2655
22.705080 88.513 -123.2257
23.071291 88.549 -124.1554
23.437502 88.578 -125.0278
23.803713 88.606 -125.8460
24.169924 88.639 -126.6403
24.536135 88.674 -127.4451
24.902346 88.706 -128.2733
25.268557 88.733 -129.1104
25.634768 88.753 -129.9303
26.000979 88.768 -130.7181
26.367190 88.783 -131.4789
26.733401 88.796 -132.2267
27.099612 88.805 -132.9642
27.465823 88.811 -133.6753
27.832033 88.813 -134.3380
28.198244 88.819 -134.9487
28.564455 88.831 -135.5353
28.930666 88.851 -136.1448
29.296877 88.872 -136.8113
29.663088 88.887 -137.5295
30.029299 88.890 -138.2558
30.395510 88.884 -138.9358
30.761721 88.875 -139.5399
31.127932 88.871 -140.0815
31.494143 88.875 -140.6055
31.860354 88.886 -141.1551
32.226565 88.897 -141.7447
32.592776 88.903 -142.3554
32.958987 88.904 -142.9547
33.325198 88.901 -143.5209
33.691409 88.900 -144.0552
34.057620 88.900 -144.5734
34.423831 88.902 -145.0882
34.790042 88.903 -145.5986
35.156253 88.904 -146.0937
35.522464 88.904 -146.5672
35.888675 88.909 -147.0278
36.254886 88.916 -147.4960
36.621097 88.924 -147.9886
36.987308 88.928 -148.5035
37.353519 88.927 -149.0188
37.719730 88.921 -149.5063
38.085941 88.913 -149.9514
38.452152 88.909 -150.3638
38.818363 88.909 -150.7707
39.184573 88.913 -151.1981
39.550784 88.916 -151.6528
39.916995 88.913 -152.1193
40.283206 88.907 -152.5721
40.649417 88.899 -152.9945
41.015628 88.891 -153.3890
41.381839 88.887 -153.7724
41.748050 88.885 -154.1612
42.114261 88.883 -154.5590
42.480472 88.879 -154.9558
42.846683 88.874 -155.3387
43.212894 88.869 -155.7036
43.579105 88.867 -156.0589
43.945316 88.867 -156.4181
44.311527 88.866 -156.7883
44.677738 88.865 -157.1654
45.043949 88.860 -157.5387
45.410160 88.855 -157.9001
45.776371 88.850 -158.2496
46.142582 88.844 -158.5931
46.508793 88.839 -158.9344
46.875004 88.833 -159.2717
47.241215 88.826 -159.6006
47.607426 88.819 -159.9212
47.973637 88.814 -160.2412
48.339848 88.809 -160.5695
48.706059 88.802 -160.9070
49.072270 88.793 -161.2425
49.438481 88.782 -161.5599
49.804692 88.771 -161.8523
50.170902 88.764 -162.1308
50.537113 88.761 -162.4192
50.903324 88.759 -162.7369
51.269535 88.755 -163.0832
51.635746 88.745 -163.4361
52.001957 88.731 -163.7657
52.368168 88.715 -164.0542
52.734379 88.701 -164.3055
53.100590 88.693 -164.5408
53.466801 88.690 -164.7836
53.833012 88.689 -165.0468
54.199223 88.688 -165.3297
54.565434 88.685 -165.6238
54.931645 88.679 -165.9183
55.297856 88.671 -166.2037
55.664067 88.661 -166.4724
56.030278 88.652 -166.7214
56.396489 88.644 -166.9558
56.762700 88.639 -167.1896
57.128911 88.634 -167.4367
57.495122 88.627 -167.6990
57.861333 88.617 -167.9600
58.227544 88.602 -168.1936
58.593755 88.589 -168.3844
58.959966 88.581 -168.5446
59.326177 88.581 -168.7121
59.692388 88.586 -168.9276
60.058599 88.590 -169.2064
60.424810 88.587 -169.5269
60.791021 88.574 -169.8445
61.157232 88.555 -170.1203
61.523442 88.535 -170.3438
61.889653 88.520 -170.5354
62.255864 88.510 -170.7267
62.622075 88.502 -170.9382
62.988286 88.494 -171.1686
63.354497 88.484 -171.4032
63.720708 88.472 -171.6285
64.086919 88.460 -171.8421
64.453130 88.450 -172.0500
64.819341 88.440 -172.2580
65.185552 88.430 -172.4660
65.551763 88.420 -172.6707
65.917974 88.410 -172.8707
66.284185 88.402 -173.0697
66.650396 88.394 -173.2731
67.016607 88.385 -173.4819
67.382818 88.375 -173.6909
67.749029 88.364 -173.8923
68.115240 88.353 -174.0826
68.481451 88.343 -174.2654
68.847662 88.334 -174.4485
69.213873 88.325 -174.6373
69.580084 88.316 -174.8313
69.946295 88.306 -175.0245
70.312506 88.295 -175.2116
70.678717 88.284 -175.3918
71.044928 88.274 -175.5697
71.411139 88.265 -175.7508
71.777350 88.255 -175.9367
72.143561 88.244 -176.1237
72.509771 88.232 -176.3051
72.875982 88.219 -176.4760
73.242193 88.208 -176.6372
73.608404 88.198 -176.7952
73.974615 88.189 -176.9582
74.340826 88.181 -177.1314
74.707037 88.171 -177.3131
75.073248 88.160 -177.4963
75.439459 88.147 -177.6722
75.805670 88.134 -177.8355
76.171881 88.121 -177.9869
76.538092 88.109 -178.1322
76.904303 88.099 -178.2780
77.270514 88.089 -178.4282
77.636725 88.079 -178.5830
78.002936 88.069 -178.7399
78.369147 88.058 -178.8967
78.735358 88.047 -179.0523
79.101569 88.036 -179.2068
79.467780 88.024 -179.3600
79.833991 88.012 -179.5106
80.200202 88.000 -179.6576
80.566413 87.988 -179.8013
80.932624 87.976 -179.9432
81.298835 87.965 179.9149
81.665046 87.953 179.7724
82.031257 87.942 179.6308
82.397468 87.930 179.4918
82.763679 87.918 179.3553
83.129890 87.908 179.2188
83.496101 87.897 179.0793
83.862311 87.886 178.9358
84.228522 87.874 178.7909
84.594733 87.862 178.6497
84.960944 87.849 178.5160
85.327155 87.836 178.3896
85.693366 87.825 178.2661
86.059577 87.814 178.1398
86.425788 87.804 178.0079
86.791999 87.793 177.8721
87.158210 87.781 177.7368
87.524421 87.768 177.6060
87.890632 87.755 177.4805
88.256843 87.743 177.3583
88.623054 87.731 177.2371
88.989265 87.718 177.1166
89.355476 87.706 176.9977
89.721687 87.694 176.8813
90.087898 87.682 176.7662
90.454109 87.671 176.6500
90.820320 87.659 176.5316
91.186531 87.647 176.4129
91.552742 87.634 176.2983
91.918953 87.621 176.1908
92.285164 87.609 176.0891
92.651375 87.598 175.9876
93.017586 87.588 175.8807
93.383797 87.579 175.7663
93.750008 87.568 175.6479
94.116219 87.556 175.5314
94.482430 87.544 175.4202
94.848641 87.532 175.3135
95.214851 87.522 175.2070
95.581062 87.511 175.0974
95.947273 87.500 174.9849
96.313484 87.488 174.8734
96.679695 87.476 174.7659
97.045906 87.464 174.6623
97.412117 87.453 174.5591
97.778328 87.442 174.4529
98.144539 87.431 174.3439
98.510750 87.419 174.2361
98.876961 87.406 174.1343
99.243172 87.393 174.0396
99.609383 87.382 173.9484
99.975594 87.372 173.8548
100.341805 87.362 173.7550
100.708016 87.351 173.6502
101.074227 87.339 173.5457
101.440438 87.327 173.4466
101.806649 87.314 173.3546
102.172860 87.303 173.2672
102.539071 87.291 173.1797
102.905282 87.281 173.0897
103.271493 87.270 172.9973
103.637704 87.259 172.9052
104.003915 87.247 172.8152
104.370126 87.236 172.7273
104.736337 87.225 172.6402
105.102548 87.214 172.5529
105.468759 87.203 172.4657
105.834970 87.192 172.3797
106.201180 87.181 172.2952
106.567391 87.170 172.2110
106.933602 87.159 172.1253
107.299813 87.149 172.0379
107.666024 87.137 171.9511
108.032235 87.125 171.8685
108.398446 87.114 171.7918
108.764657 87.103 171.7185
109.130868 87.094 171.6426
109.497079 87.085 171.5587
109.863290 87.075 171.4660
110.229501 87.064 171.3704
110.595712 87.051 171.2805
110.961923 87.037 171.2026
111.328134 87.025 171.1360
111.694345 87.013 171.0735
112.060556 87.004 171.0065
112.426767 86.994 170.9310
112.792978 86.984 170.8499
113.159189 86.973 170.7701
113.525400 86.961 170.6973
113.891611 86.950 170.6313
114.257822 86.939 170.5672
114.624033 86.930 170.4991
114.990244 86.921 170.4246
115.356455 86.911 170.3466
115.722666 86.900 170.2698
116.088877 86.888 170.1977
116.455088 86.877 170.1298
116.821299 86.867 170.0629
117.187510 86.857 169.9941
117.553720 86.846 169.9232
117.919931 86.835 169.8524
118.286142 86.824 169.7846
118.652353 86.812 169.7213
119.018564 86.802 169.6614
119.384775 86.791 169.6022
119.750986 86.781 169.5413
120.117197 86.772 169.4773
120.483408 86.762 169.4105
120.849619 86.751 169.3426
121.215830 86.741 169.2759
121.582041 86.729 169.2124
121.948252 86.718 169.1528
122.314463 86.708 169.0958
122.680674 86.697 169.0387
123.046885 86.688 168.9787
123.413096 86.678 168.9151
123.779307 86.667 168.8497
124.145518 86.656 168.7856
124.511729 86.645 168.7257
124.877940 86.634 168.6703
125.244151 86.623 168.6176
125.610362 86.613 168.5648
125.976573 86.603 168.5099
126.342784 86.594 168.4526
126.708995 86.584 168.3943
127.075206 86.573 168.3363
127.441417 86.563 168.2794
127.807628 86.552 168.2235
128.173839 86.542 168.1685
128.540049 86.531 168.1147
128.906260 86.520 168.0626
129.272471 86.509 168.0123
129.638682 86.499 167.9630
130.004893 86.488 167.9135
130.371104 86.478 167.8629
130.737315 86.468 167.8116
131.103526 86.457 167.7607
131.469737 86.446 167.7114
131.835948 86.435 167.6638
132.202159 86.425 167.6169
132.568370 86.414 167.5694
132.934581 86.404 167.5213
133.300792 86.394 167.4734
133.667003 86.383 167.4268
134.033214 86.373 167.3812
134.399425 86.363 167.3344
134.765636 86.354 167.2845
135.131847 86.344 167.2310
135.498058 86.333 167.1766
135.864269 86.322 167.1249
136.230480 86.311 167.0786
136.596691 86.300 167.0363
136.962902 86.290 166.9942
137.329113 86.281 166.9485
137.695324 86.270 166.8992
138.061535 86.260 166.8502
138.427746 86.248 166.8066
138.793957 86.237 166.7710
139.160168 86.227 166.7402
139.526379 86.218 166.7078
139.892589 86.209 166.6676
140.258800 86.201 166.6188
140.625011 86.191 166.5658
140.991222 86.180 166.5155
141.357433 86.169 166.4730
141.723644 86.157 166.4383
142.089855 86.147 166.4075
142.456066 86.137 166.3753
142.822277 86.128 166.3387
143.188488 86.119 166.2980
143.554699 86.109 166.2559
143.920910 86.099 166.2148
144.287121 86.088 166.1765
144.653332 86.078 166.1402
145.019543 86.068 166.1052
145.385754 86.058 166.0703
145.751965 86.048 166.0352
146.118176 86.038 165.9999
146.484387 86.028 165.9643
146.850598 86.018 165.9281
147.216809 86.008 165.8910
