* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 21, 2024 3:18:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NE4 R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 34.064 177.6317
0.732422 32.245 -163.5398
1.098633 35.815 -130.0859
1.464844 41.563 -125.3260
1.831055 46.015 -133.0387
2.197266 49.408 -143.7786
2.563477 52.079 -154.7322
2.929688 54.246 -164.9029
3.295898 56.062 -173.9452
3.662109 57.635 178.1715
4.028320 59.041 171.3049
4.394531 60.327 165.2418
4.760742 61.515 159.7801
5.126953 62.615 154.7763
5.493164 63.631 150.1514
5.859375 64.567 145.8684
6.225586 65.429 141.9050
6.591797 66.226 138.2373
6.958008 66.963 134.8399
7.324219 67.647 131.6948
7.690430 68.286 128.7926
8.056641 68.889 126.1170
8.422852 69.468 123.6181
8.789062 70.033 121.1981
9.155273 70.581 118.7343
9.521484 71.098 116.1375
9.887695 71.564 113.4089
10.253906 71.963 110.6553
10.620117 72.294 108.0467
10.986328 72.573 105.7344
11.352539 72.830 103.7686
11.718750 73.091 102.0659
12.084961 73.368 100.4601
12.451172 73.651 98.8098
12.817383 73.922 97.0789
13.183594 74.168 95.3333
13.549805 74.391 93.6674
13.916016 74.603 92.1251
14.282227 74.814 90.6719
14.648438 75.029 89.2332
15.014648 75.238 87.7612
15.380859 75.434 86.2682
15.747070 75.614 84.8041
16.113281 75.782 83.4047
16.479492 75.946 82.0604
16.845703 76.106 80.7327
17.211914 76.256 79.4013
17.578125 76.392 78.0951
17.944336 76.514 76.8751
18.310547 76.632 75.7814
18.676758 76.758 74.7872
19.042969 76.900 73.8021
19.409180 77.051 72.7286
19.775391 77.196 71.5279
20.141602 77.319 70.2453
20.507812 77.412 68.9801
20.874023 77.476 67.8261
21.240234 77.527 66.8234
21.606445 77.577 65.9456
21.972656 77.633 65.1278
22.338867 77.694 64.3099
22.705078 77.752 63.4667
23.071289 77.803 62.6090
23.437500 77.845 61.7642
23.803711 77.879 60.9545
24.169922 77.910 60.1861
24.536133 77.938 59.4507
24.902344 77.964 58.7360
25.268555 77.989 58.0351
25.634766 78.012 57.3500
26.000977 78.033 56.6870
26.367188 78.055 56.0463
26.733398 78.082 55.4137
27.099609 78.114 54.7609
27.465820 78.149 54.0565
27.832031 78.184 53.2813
28.198242 78.211 52.4392
28.564453 78.227 51.5582
28.930664 78.228 50.6824
29.296875 78.218 49.8602
29.663086 78.200 49.1322
30.029297 78.182 48.5193
30.395508 78.176 48.0107
30.761719 78.186 47.5587
31.127930 78.215 47.0911
31.494141 78.255 46.5439
31.860352 78.296 45.8982
32.226562 78.324 45.1967
32.592773 78.336 44.5230
32.958984 78.340 43.9527
33.325195 78.347 43.5036
33.691406 78.368 43.1224
34.057617 78.403 42.7200
34.423828 78.444 42.2346
34.790039 78.479 41.6703
35.156250 78.499 41.0850
35.522461 78.507 40.5394
35.888672 78.513 40.0497
36.254883 78.520 39.5797
36.621094 78.527 39.0809
36.987305 78.524 38.5454
37.353516 78.505 38.0298
37.719727 78.473 37.6240
38.085938 78.443 37.3840
38.452148 78.435 37.2702
38.818359 78.462 37.1408
39.184570 78.516 36.8227
39.550781 78.570 36.2204
39.916992 78.593 35.3871
40.283203 78.568 34.5133
40.649414 78.500 33.8369
41.015625 78.421 33.5131
41.381836 78.371 33.5057
41.748047 78.374 33.5866
42.114258 78.420 33.4847
42.480469 78.472 33.0820
42.846680 78.494 32.4911
43.212891 78.477 31.9603
43.579102 78.445 31.6808
43.945312 78.439 31.6247
44.311523 78.478 31.5492
44.677734 78.540 31.1981
45.043945 78.579 30.5318
45.410156 78.562 29.7795
45.776367 78.495 29.2799
46.142578 78.425 29.2233
46.508789 78.410 29.4652
46.875000 78.466 29.5971
47.241211 78.555 29.2713
47.607422 78.609 28.4824
47.973633 78.589 27.5604
48.339844 78.503 26.9331
48.706055 78.411 26.8292
49.072266 78.378 27.0932
49.438477 78.425 27.2847
49.804688 78.514 27.0310
50.170898 78.580 26.3063
50.537109 78.581 25.4064
50.903320 78.523 24.7159
51.269531 78.450 24.4510
51.635742 78.417 24.5231
52.001953 78.444 24.6187
52.368164 78.509 24.4523
52.734375 78.567 23.9689
53.100586 78.587 23.3417
53.466797 78.567 22.8188
53.833008 78.532 22.5537
54.199219 78.516 22.5188
54.565430 78.532 22.5465
54.931641 78.575 22.4622
55.297852 78.619 22.1987
55.664062 78.646 21.8140
56.030273 78.649 21.4240
56.396484 78.637 21.1170
56.762695 78.620 20.9094
57.128906 78.607 20.7589
57.495117 78.599 20.6153
57.861328 78.590 20.4604
58.227539 78.579 20.3087
58.593750 78.567 20.1754
58.959961 78.560 20.0499
59.326172 78.557 19.9004
59.692383 78.555 19.7057
60.058594 78.551 19.4784
60.424805 78.544 19.2526
60.791016 78.540 19.0428
61.157227 78.547 18.8136
61.523438 78.562 18.4971
61.889648 78.574 18.0520
62.255859 78.568 17.5147
62.622070 78.538 16.9964
62.988281 78.490 16.6193
63.354492 78.445 16.4357
63.720703 78.422 16.3874
64.086914 78.427 16.3451
64.453125 78.450 16.2010
64.819336 78.472 15.9377
65.185547 78.484 15.6221
65.551758 78.485 15.3397
65.917969 78.484 15.1282
66.284180 78.491 14.9584
66.650391 78.505 14.7715
67.016602 78.520 14.5337
67.382812 78.527 14.2625
67.749023 78.525 14.0079
68.115234 78.516 13.8103
68.481445 78.509 13.6711
68.847656 78.508 13.5553
69.213867 78.510 13.4219
69.580078 78.511 13.2575
69.946289 78.504 13.0889
70.312500 78.490 12.9666
70.678711 78.476 12.9264
71.044922 78.475 12.9529
71.411133 78.491 12.9706
71.777344 78.523 12.8807
72.143555 78.553 12.6286
72.509766 78.563 12.2538
72.875977 78.546 11.8813
73.242188 78.508 11.6497
73.608398 78.472 11.6141
73.974609 78.461 11.6921
74.340820 78.478 11.7112
74.707031 78.505 11.5405
75.073242 78.514 11.2002
75.439453 78.489 10.8560
75.805664 78.441 10.7027
76.171875 78.401 10.8126
76.538086 78.402 11.0574
76.904297 78.449 11.1833
77.270508 78.513 10.9968
77.636719 78.557 10.5024
78.002930 78.554 9.8888
78.369141 78.508 9.3994
78.735352 78.446 9.1835
79.101562 78.402 9.2139
79.467773 78.393 9.3218
79.833984 78.415 9.3236
80.200195 78.446 9.1362
80.566406 78.464 8.8008
80.932617 78.462 8.4234
81.298828 78.443 8.0991
81.665039 78.420 7.8685
82.031250 78.401 7.7175
82.397461 78.390 7.6034
82.763672 78.388 7.4834
83.129883 78.389 7.3339
83.496094 78.388 7.1594
83.862305 78.382 6.9909
84.228516 78.372 6.8697
84.594727 78.366 6.8174
84.960938 78.372 6.8077
85.327148 78.395 6.7667
85.693359 78.426 6.6126
86.059570 78.452 6.3146
86.425781 78.456 5.9267
86.791992 78.431 5.5694
87.158203 78.386 5.3682
87.524414 78.341 5.3802
87.890625 78.318 5.5532
88.256836 78.327 5.7492
88.623047 78.361 5.8234
88.989258 78.401 5.7064
89.355469 78.427 5.4339
89.721680 78.429 5.1137
90.087891 78.412 4.8574
90.454102 78.391 4.7156
90.820312 78.380 4.6506
91.186523 78.383 4.5652
91.552734 78.394 4.3734
91.918945 78.394 4.0635
92.285156 78.373 3.7117
92.651367 78.330 3.4364
93.017578 78.279 3.3227
93.383789 78.239 3.3638
93.750000 78.223 3.4616
94.116211 78.229 3.4946
94.482422 78.240 3.4013
94.848633 78.244 3.2156
95.214844 78.234 3.0294
95.581055 78.219 2.9165
95.947266 78.213 2.8743
96.313477 78.222 2.8268
96.679688 78.242 2.6858
97.045898 78.259 2.4218
97.412109 78.258 2.0893
97.778320 78.237 1.7925
98.144531 78.204 1.6215
98.510742 78.176 1.5983
98.876953 78.165 1.6666
99.243164 78.175 1.7275
99.609375 78.199 1.6981
99.975586 78.224 1.5522
100.341797 78.238 1.3250
100.708008 78.238 1.0849
101.074219 78.226 0.8952
101.440430 78.212 0.7829
101.806641 78.203 0.7287
102.172852 78.204 0.6833
102.539062 78.210 0.5990
102.905273 78.216 0.4579
103.271484 78.216 0.2789
103.637695 78.207 0.1027
104.003906 78.191 -0.0344
104.370117 78.176 -0.1193
104.736328 78.164 -0.1649
105.102539 78.160 -0.1983
105.468750 78.161 -0.2461
105.834961 78.166 -0.3258
106.201172 78.173 -0.4441
106.567383 78.177 -0.5968
106.933594 78.176 -0.7698
107.299805 78.170 -0.9424
107.666016 78.161 -1.0957
108.032227 78.151 -1.2227
108.398438 78.142 -1.3317
108.764648 78.135 -1.4384
109.130859 78.128 -1.5519
109.497070 78.120 -1.6671
109.863281 78.109 -1.7692
110.229492 78.099 -1.8473
110.595703 78.090 -1.9033
110.961914 78.086 -1.9506
111.328125 78.085 -2.0044
111.694336 78.087 -2.0753
112.060547 78.091 -2.1695
112.426758 78.093 -2.2898
112.792969 78.092 -2.4328
113.159180 78.086 -2.5810
113.525391 78.073 -2.7036
113.891602 78.059 -2.7713
114.257812 78.048 -2.7797
114.624023 78.048 -2.7609
114.990234 78.059 -2.7689
115.356445 78.076 -2.8459
115.722656 78.090 -2.9957
116.088867 78.095 -3.1857
116.455078 78.090 -3.3717
116.821289 78.080 -3.5246
117.187500 78.067 -3.6385
117.553711 78.055 -3.7194
117.919922 78.045 -3.7737
118.286133 78.040 -3.8114
118.652344 78.042 -3.8565
119.018555 78.049 -3.9465
119.384766 78.054 -4.1082
119.750977 78.051 -4.3288
120.117188 78.032 -4.5498
120.483398 78.002 -4.6980
120.849609 77.971 -4.7355
121.215820 77.952 -4.6901
121.582031 77.950 -4.6385
121.948242 77.960 -4.6534
122.314453 77.972 -4.7575
122.680664 77.978 -4.9221
123.046875 77.977 -5.1010
123.413086 77.971 -5.2678
123.779297 77.962 -5.4224
124.145508 77.952 -5.5706
124.511719 77.938 -5.7020
124.877930 77.921 -5.7927
125.244141 77.907 -5.8293
125.610352 77.900 -5.8289
125.976562 77.903 -5.8333
126.342773 77.912 -5.8799
126.708984 77.923 -5.9790
127.075195 77.930 -6.1161
127.441406 77.933 -6.2732
127.807617 77.932 -6.4444
128.173828 77.927 -6.6280
128.540039 77.913 -6.8077
128.906250 77.892 -6.9466
129.272461 77.869 -7.0098
129.638672 77.853 -7.0000
130.004883 77.852 -6.9713
130.371094 77.862 -6.9993
130.737305 77.873 -7.1251
131.103516 77.874 -7.3200
131.469727 77.860 -7.5020
131.835938 77.837 -7.5945
132.202148 77.820 -7.5841
132.568359 77.819 -7.5321
132.934570 77.831 -7.5297
133.300781 77.847 -7.6283
133.666992 77.852 -7.8038
134.033203 77.843 -7.9786
134.399414 77.824 -8.0791
134.765625 77.806 -8.0873
135.131836 77.800 -8.0491
135.498047 77.805 -8.0372
135.864258 77.814 -8.0980
136.230469 77.817 -8.2235
136.596680 77.809 -8.3630
136.962891 77.794 -8.4623
137.329102 77.778 -8.5008
137.695312 77.772 -8.5062
138.061523 77.775 -8.5387
138.427734 77.785 -8.6551
138.793945 77.789 -8.8717
139.160156 77.777 -9.1467
139.526367 77.746 -9.3925
139.892578 77.702 -9.5166
140.258789 77.661 -9.4769
140.625000 77.641 -9.3199
140.991211 77.649 -9.1680
141.357422 77.678 -9.1491
141.723633 77.708 -9.3132
142.089844 77.718 -9.5979
142.456055 77.703 -9.8699
142.822266 77.673 -10.0130
143.188477 77.648 -10.0057
143.554688 77.641 -9.9312
143.920898 77.651 -9.9055
144.287109 77.663 -9.9826
144.653320 77.665 -10.1186
145.019531 77.657 -10.2238
145.385742 77.649 -10.2561
145.751953 77.654 -10.2722
146.118164 77.670 -10.3853
146.484375 77.680 -10.6572
146.850586 77.662 -11.0210
147.216797 77.611 -11.3039
147.583008 77.542 -11.3404
147.949219 77.491 -11.1028
148.315430 77.486 -10.7487
148.681641 77.525 -10.5265
149.047852 77.582 -10.6002
149.414062 77.622 -10.9425
