* Measurement data measured by REW V5.20 Beta 31
* Source: IEC-711 (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.530
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS With no timing reference
* Dated: Jan 7, 2020 8:02:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NiceHCK NX7 Pro - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	84.650269	-136.8126
21.200001	84.703346	-137.1230
21.799999	84.723557	-137.4769
22.400000	84.717674	-137.8737
23.000000	84.697365	-138.2558
23.600000	84.684006	-138.5871
24.299999	84.697884	-139.0008
25.000000	84.730812	-139.5730
25.799999	84.751488	-140.2697
26.500000	84.762207	-140.6536
27.200001	84.792503	-140.8852
28.000000	84.828384	-141.2027
29.000000	84.822815	-141.4683
30.000000	84.814842	-141.4492
30.700001	84.813560	-141.5347
31.500000	84.788490	-141.6918
32.500000	84.754944	-141.7500
33.500000	84.749100	-141.9069
34.500000	84.727608	-142.1284
35.500000	84.711258	-142.1356
36.500000	84.713806	-142.1276
37.500000	84.702850	-142.1195
38.700001	84.673309	-142.0120
40.000000	84.632996	-141.8347
41.200001	84.594406	-141.7039
42.500000	84.552505	-141.5711
43.700001	84.517570	-141.4326
45.000000	84.482483	-141.1903
46.200001	84.459045	-140.9599
47.500000	84.395546	-140.6836
48.700001	84.357040	-140.1610
50.000000	84.321495	-139.9223
51.500000	84.260597	-139.5310
53.000000	84.198273	-139.1990
54.500000	84.150940	-138.6274
56.000000	84.110123	-138.1889
58.000000	84.026680	-137.3138
60.000000	83.991539	-136.2213
61.500000	83.935493	-136.1185
63.000000	83.863541	-135.4518
65.000000	83.778473	-134.7037
67.000000	83.711380	-133.9653
69.000000	83.649948	-133.0428
71.000000	83.575836	-132.2140
73.000000	83.501610	-131.2835
75.000000	83.435486	-130.3816
77.500000	83.349663	-129.2733
80.000000	83.250763	-128.1425
82.500000	83.165543	-126.9247
85.000000	83.060837	-125.7194
