* Measurement data measured by REW V5.20 Beta 13
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at -20.0 dBFS  With no timing reference
* Dated: Jul 13, 2019 8:51:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: TFZ No3 - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	82.503220	21.9598
20.600000	82.568932	20.6758
21.200001	82.610718	19.8425
21.799999	82.669640	18.9508
22.400000	82.702057	17.7888
23.000000	82.693436	16.6293
23.600000	82.684547	15.6210
24.299999	82.703018	14.4168
25.000000	82.723686	13.1143
25.799999	82.747864	11.7516
26.500000	82.785439	10.6193
27.200001	82.817886	9.4865
28.000000	82.840118	8.3021
29.000000	82.846977	6.9423
30.000000	82.833893	5.7930
30.700001	82.827850	4.9364
31.500000	82.775620	3.9458
32.500000	82.736526	3.3639
33.500000	82.830902	2.1629
34.500000	82.778687	0.3607
35.500000	82.724808	-0.3476
36.500000	82.792038	-1.5257
37.500000	82.738037	-2.9793
38.700001	82.699989	-3.7459
40.000000	82.711502	-5.1423
41.200001	82.677994	-6.1301
42.500000	82.663116	-7.5129
43.700001	82.608063	-8.5630
45.000000	82.531258	-9.7778
46.200001	82.475945	-10.3715
47.500000	82.439270	-11.3754
48.700001	82.432053	-11.9787
50.000000	82.417557	-13.4202
51.500000	82.310539	-14.3530
53.000000	82.254814	-15.2644
54.500000	82.199776	-16.1865
56.000000	82.127457	-17.1402
58.000000	82.031189	-18.4462
60.000000	81.895226	-19.3360
61.500000	81.921265	-20.1698
63.000000	81.861633	-21.1390
65.000000	81.779602	-22.2162
67.000000	81.690636	-23.1751
69.000000	81.632278	-23.9338
71.000000	81.538338	-24.9548
73.000000	81.448189	-25.8413
75.000000	81.371307	-26.7639
77.500000	81.285156	-27.7512
80.000000	81.185547	-28.6658
82.500000	81.059570	-29.5149
85.000000	80.965050	-30.9289
87.500000	80.968025	-31.7692
90.000000	81.262230	-33.5798
92.500000	80.756653	-33.4137
95.000000	80.589088	-33.7669
97.500000	80.470741	-34.7765
100.000000	80.416740	-35.6683
103.000000	80.262604	-36.3782
106.000000	80.112122	-37.3480
109.000000	80.006538	-38.2835
112.000000	79.874519	-38.9423
115.000000	79.740410	-39.7134
118.000000	79.633385	-40.3519
122.000000	79.470634	-41.1870
125.000000	79.331604	-41.8046
128.000000	79.191978	-42.3367
132.000000	79.044205	-43.3047
136.000000	78.873238	-43.9448
140.000000	78.716400	-44.2924
145.000000	78.489746	-45.0854
150.000000	78.338371	-45.6199
155.000000	78.197327	-46.2989
160.000000	77.996384	-47.0233
165.000000	77.812576	-47.7478
170.000000	77.602158	-48.2152
175.000000	77.406830	-48.6690
180.000000	77.197517	-48.9421
185.000000	77.012360	-49.3504
190.000000	76.795303	-49.2904
195.000000	76.601578	-48.7990
200.000000	76.509209	-48.1534
206.000000	76.562836	-47.9570
212.000000	76.521965	-48.9022
218.000000	76.385246	-49.9879
224.000000	76.212051	-50.7092
230.000000	76.043900	-51.0993
236.000000	75.854446	-51.1544
243.000000	75.658043	-51.5725
250.000000	75.481514	-51.7463
258.000000	75.278671	-51.8407
265.000000	75.103943	-52.0196
272.000000	74.952309	-52.0729
280.000000	74.782410	-52.1857
290.000000	74.546707	-52.1049
300.000000	74.324188	-52.2081
307.000000	74.225723	-52.0502
315.000000	74.044983	-52.0538
325.000000	73.888725	-51.8318
335.000000	73.697456	-51.4849
345.000000	73.551987	-51.2136
