* Measurement data measured by REW V5.20.13
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -60.8 dBFS, measurement signal peak level -23.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: Jun 27, 2023 9:17:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0476 ms (16 mm, 0.64 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: OH10 R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	92.150	-133.7745
21.200001	92.184	-135.1356
21.799999	92.252	-136.4847
22.400000	92.304	-137.9760
23.000000	92.308	-139.4420
23.600000	92.316	-140.6437
24.299999	92.373	-141.8670
25.000000	92.410	-143.2324
25.799999	92.376	-144.8186
26.500000	92.364	-146.0235
27.200001	92.384	-147.2335
28.000000	92.370	-148.7085
29.000000	92.329	-150.3720
30.000000	92.316	-151.9603
30.700001	92.293	-153.1169
31.500000	92.269	-154.3097
32.500000	92.248	-155.6587
33.500000	92.217	-157.0614
34.500000	92.187	-158.3244
35.500000	92.175	-159.5980
36.500000	92.138	-160.8535
37.500000	92.104	-161.9618
38.700001	92.094	-163.3498
40.000000	92.010	-164.6960
41.200001	91.991	-165.9572
42.500000	91.950	-167.2381
43.700001	91.877	-168.4240
45.000000	91.841	-169.7525
46.200001	91.822	-170.7419
47.500000	91.769	-171.7344
48.700001	91.723	-172.7478
50.000000	91.679	-173.8332
51.500000	91.614	-174.9367
53.000000	91.555	-176.0523
54.500000	91.504	-177.0964
56.000000	91.430	-178.1577
58.000000	91.371	-179.4228
60.000000	91.285	179.5097
61.500000	91.221	178.4222
63.000000	91.188	177.7033
65.000000	91.098	176.5663
67.000000	91.020	175.4284
69.000000	90.945	174.3885
71.000000	90.864	173.5131
73.000000	90.791	172.5015
75.000000	90.701	171.5978
77.500000	90.605	170.8141
80.000000	90.489	169.6347
82.500000	90.395	168.6882
85.000000	90.286	167.7579
87.500000	90.187	166.9017
90.000000	90.088	166.0944
92.500000	89.984	165.3119
95.000000	89.881	164.5807
97.500000	89.787	163.8286
100.000000	89.690	163.1267
103.000000	89.580	162.3575
106.000000	89.468	161.6212
109.000000	89.360	160.9292
112.000000	89.247	160.3009
115.000000	89.139	159.6582
118.000000	89.040	159.0393
122.000000	88.905	158.3000
125.000000	88.792	157.8470
128.000000	88.690	157.3258
132.000000	88.557	156.7705
136.000000	88.425	156.2263
140.000000	88.290	155.6703
145.000000	88.140	155.0930
150.000000	87.975	154.6026
155.000000	87.819	154.1450
160.000000	87.656	153.6054
165.000000	87.512	153.2248
170.000000	87.363	152.8793
175.000000	87.219	152.5876
180.000000	87.075	152.3210
185.000000	86.937	152.0584
190.000000	86.800	151.8278
195.000000	86.665	151.6565
200.000000	86.537	151.4928
206.000000	86.383	151.3485
212.000000	86.233	151.2367
218.000000	86.086	151.1546
224.000000	85.946	151.1134
230.000000	85.804	151.0650
236.000000	85.672	151.0506
243.000000	85.517	151.0720
250.000000	85.365	151.1141
258.000000	85.204	151.2250
265.000000	85.068	151.3450
272.000000	84.935	151.4839
280.000000	84.787	151.6326
290.000000	84.610	151.8951
300.000000	84.445	152.1606
307.000000	84.324	152.4047
315.000000	84.194	152.6379
325.000000	84.044	153.0153
335.000000	83.897	153.3750
345.000000	83.759	153.7415
355.000000	83.621	154.1779
365.000000	83.494	154.5992
375.000000	83.368	155.0446
387.000000	83.223	155.5965
400.000000	83.076	156.2175
412.000000	82.948	156.8314
425.000000	82.819	157.5067
437.000000	82.708	158.1628
450.000000	82.596	158.8738
462.000000	82.501	159.5105
475.000000	82.400	160.2427
487.000000	82.314	160.9082
500.000000	82.226	161.6302
515.000000	82.131	162.4697
530.000000	82.045	163.3203
545.000000	81.962	164.1981
560.000000	81.891	165.0495
580.000000	81.804	166.2152
600.000000	81.727	167.3981
615.000000	81.678	168.3104
630.000000	81.634	169.2106
650.000000	81.588	170.4338
670.000000	81.551	171.6746
690.000000	81.528	172.9325
710.000000	81.518	174.1852
730.000000	81.519	175.4583
750.000000	81.535	176.7343
775.000000	81.573	178.3342
800.000000	81.635	179.9219
825.000000	81.719	-178.5249
850.000000	81.831	-177.0128
