* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260. Timing signal peak level -32.1 dBFS, measurement signal peak level -27.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: Dec 28, 2020 8:35:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0330 ms (-11 mm, -0.45 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Empire Ears Odin - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	87.863708	-149.4516
21.200001	87.830391	-150.2591
21.799999	87.807602	-151.3452
22.400000	87.808510	-152.9086
23.000000	87.827927	-154.5822
23.600000	87.859650	-155.9515
24.299999	87.892006	-157.1111
25.000000	87.879204	-158.2208
25.799999	87.790352	-159.7635
26.500000	87.717888	-161.2191
27.200001	87.711823	-162.7018
28.000000	87.728127	-164.3318
29.000000	87.686897	-165.8165
30.000000	87.640869	-167.2305
30.700001	87.603264	-168.4825
31.500000	87.557281	-169.7656
32.500000	87.519897	-171.1108
33.500000	87.449677	-172.5408
34.500000	87.375542	-173.9786
35.500000	87.339020	-175.4270
36.500000	87.289955	-176.7288
37.500000	87.221863	-177.8867
38.700001	87.142075	-179.3376
40.000000	87.083855	179.1667
41.200001	87.009743	177.8395
42.500000	86.928146	176.2847
43.700001	86.814659	174.7505
45.000000	86.741722	173.7629
46.200001	86.708969	172.6703
47.500000	86.629143	171.4608
48.700001	86.549744	170.3853
50.000000	86.481186	169.2533
51.500000	86.382988	167.9633
53.000000	86.295532	166.7260
54.500000	86.206665	165.5869
56.000000	86.124260	164.3921
58.000000	86.015167	162.9578
60.000000	85.849060	161.6599
61.500000	85.799767	160.5720
63.000000	85.720329	159.5743
65.000000	85.598930	158.3251
67.000000	85.488083	157.1370
69.000000	85.381439	156.0002
71.000000	85.269150	154.9275
73.000000	85.158295	153.7098
75.000000	85.050926	152.8441
77.500000	84.910515	151.6453
80.000000	84.775444	150.4857
82.500000	84.641579	149.4016
85.000000	84.510651	148.3412
87.500000	84.386551	147.3193
90.000000	84.268837	146.7625
92.500000	84.126534	145.4154
95.000000	84.003662	144.5596
97.500000	83.885559	143.6514
100.000000	83.767319	142.8611
103.000000	83.640274	141.8865
106.000000	83.506592	140.9658
109.000000	83.376076	140.1126
112.000000	83.256027	139.3309
115.000000	83.138779	138.4985
118.000000	83.023445	137.7325
122.000000	82.870857	136.7675
125.000000	82.758698	136.0714
128.000000	82.652344	135.3917
132.000000	82.513885	134.6006
136.000000	82.378128	133.7545
140.000000	82.247742	132.9655
145.000000	82.088615	131.9937
150.000000	81.939178	131.1726
155.000000	81.796371	130.3322
160.000000	81.654564	129.5845
165.000000	81.518570	128.7926
170.000000	81.388374	128.0897
175.000000	81.262810	127.4088
180.000000	81.144501	126.7098
185.000000	81.030685	126.1016
190.000000	80.920227	125.4817
195.000000	80.817322	124.8878
200.000000	80.714661	124.3288
206.000000	80.604324	123.6829
212.000000	80.493286	123.0500
218.000000	80.385429	122.3544
224.000000	80.296387	121.8270
230.000000	80.193329	121.2812
236.000000	80.108154	120.7311
243.000000	80.010117	120.1230
250.000000	79.917007	119.5127
258.000000	79.821602	118.8593
265.000000	79.740067	118.2953
272.000000	79.664757	117.7285
280.000000	79.592369	117.1225
290.000000	79.499542	116.4073
300.000000	79.424561	115.7556
307.000000	79.368996	115.2338
315.000000	79.312340	114.6805
325.000000	79.250664	114.0337
335.000000	79.196304	113.3934
345.000000	79.145325	112.7813
355.000000	79.101303	112.2105
365.000000	79.066414	111.6062
375.000000	79.028564	111.0414
387.000000	78.998367	110.3643
400.000000	78.967682	109.7020
412.000000	78.946098	109.0726
425.000000	78.932617	108.4414
437.000000	78.916504	107.8533
450.000000	78.912979	107.2521
462.000000	78.907341	106.7343
475.000000	78.911377	106.1953
487.000000	78.912277	105.6949
500.000000	78.921417	105.1924
515.000000	78.935471	104.6319
530.000000	78.952324	104.1255
545.000000	78.972237	103.6331
560.000000	78.996307	103.1662
580.000000	79.032066	102.6120
600.000000	79.073952	102.0955
615.000000	79.108978	101.7597
630.000000	79.144157	101.4283
650.000000	79.188614	101.1278
670.000000	79.277466	100.8029
690.000000	79.319221	100.3065
710.000000	79.351219	100.2532
730.000000	79.422462	100.3062
750.000000	79.508255	100.3574
