* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 8, 2021 9:42:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Odin Sample 2 R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	91.933472	-144.0556
21.200001	91.976456	-145.4934
21.799999	92.018654	-146.8630
22.400000	92.062202	-148.2795
23.000000	92.084953	-149.7134
23.600000	92.084351	-151.0624
24.299999	92.072891	-152.5623
25.000000	92.053932	-154.0793
25.799999	92.023941	-155.7140
26.500000	92.008965	-157.0290
27.200001	91.989639	-158.3772
28.000000	91.933670	-159.8255
29.000000	91.890793	-161.3583
30.000000	91.883377	-163.2152
30.700001	91.839310	-164.5117
31.500000	91.785416	-165.7043
32.500000	91.746925	-167.2188
33.500000	91.685104	-168.7752
34.500000	91.637474	-170.1228
35.500000	91.605377	-171.5657
36.500000	91.548698	-172.9052
37.500000	91.495972	-174.0756
38.700001	91.417419	-175.5956
40.000000	91.335350	-177.2085
41.200001	91.276398	-178.6332
42.500000	91.204781	-179.9617
43.700001	91.136322	178.6793
45.000000	91.052879	177.2706
46.200001	90.989288	176.1215
47.500000	90.921677	174.8203
48.700001	90.854576	173.6987
50.000000	90.783318	172.5896
51.500000	90.687180	171.2836
53.000000	90.595016	170.0341
54.500000	90.512695	168.9219
56.000000	90.428825	167.7874
58.000000	90.307999	166.3686
60.000000	90.162521	164.9124
61.500000	90.069321	163.6800
63.000000	90.027367	162.6793
65.000000	89.916412	161.4984
67.000000	89.804626	160.4726
69.000000	89.639877	159.2510
71.000000	89.554039	158.0073
73.000000	89.424431	157.0290
75.000000	89.321419	156.0020
77.500000	89.174187	154.9255
80.000000	89.053673	153.6906
82.500000	88.831100	152.5359
85.000000	88.714638	151.7410
87.500000	88.640167	150.7456
90.000000	88.548378	149.2872
92.500000	88.318512	148.4878
95.000000	88.237518	147.5693
97.500000	88.093819	146.8512
100.000000	87.978584	146.0814
103.000000	87.871162	145.0717
106.000000	87.706482	144.7792
109.000000	87.561546	143.9082
112.000000	87.252380	142.7636
115.000000	87.229370	141.4499
118.000000	87.202820	141.5381
122.000000	86.956047	140.6259
125.000000	86.895523	139.6603
128.000000	86.693802	139.2599
132.000000	86.576019	138.4732
136.000000	86.392097	137.7756
140.000000	86.251785	137.1771
145.000000	86.066429	136.3099
150.000000	85.885559	135.5420
155.000000	85.716721	134.8392
160.000000	85.529678	134.2552
165.000000	85.372673	133.5861
170.000000	85.218422	133.0659
175.000000	85.061905	132.5384
180.000000	84.898201	132.0673
185.000000	84.762115	131.6126
