* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Apr 14, 2022 7:58:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Opal OH2 L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	84.330406	-68.9533
21.200001	84.612968	-70.5396
21.799999	84.852280	-72.1613
22.400000	85.063614	-73.8304
23.000000	85.277573	-75.3486
23.600000	85.489517	-76.7034
24.299999	85.713593	-78.4071
25.000000	85.913208	-80.0761
25.799999	86.088638	-81.8078
26.500000	86.256485	-83.6470
27.200001	86.442085	-85.2428
28.000000	86.585388	-86.6137
29.000000	86.807777	-88.6090
30.000000	87.026398	-90.7721
30.700001	87.168716	-92.1556
31.500000	87.320206	-93.6326
32.500000	87.496956	-95.4637
33.500000	87.639473	-97.1631
34.500000	87.794502	-98.8384
35.500000	87.932816	-100.3604
36.500000	88.084656	-101.8424
37.500000	88.196854	-103.4158
38.700001	88.356400	-105.0922
40.000000	88.503632	-107.0540
41.200001	88.628159	-108.6715
42.500000	88.767616	-110.3094
43.700001	88.891197	-111.6259
45.000000	88.999733	-113.3511
46.200001	89.080315	-114.7088
47.500000	89.195564	-116.1577
48.700001	89.282471	-117.4395
50.000000	89.382408	-118.8428
51.500000	89.475647	-120.2716
53.000000	89.578598	-121.7252
54.500000	89.661018	-123.1154
56.000000	89.741005	-124.4076
58.000000	89.852669	-126.0931
60.000000	89.933701	-127.6771
61.500000	90.010666	-128.8578
63.000000	90.072266	-130.0079
65.000000	90.154160	-131.4525
67.000000	90.223244	-132.8358
69.000000	90.290092	-134.1529
71.000000	90.348351	-135.4092
73.000000	90.405197	-136.5832
75.000000	90.451286	-137.8064
77.500000	90.511429	-139.1771
80.000000	90.561096	-140.4581
82.500000	90.605209	-141.7373
85.000000	90.651512	-142.9157
87.500000	90.688316	-144.0907
90.000000	90.708038	-145.1028
92.500000	90.751663	-146.2317
95.000000	90.783508	-147.2385
97.500000	90.806488	-148.1948
100.000000	90.832207	-149.1365
103.000000	90.864227	-150.1898
106.000000	90.885857	-151.2218
109.000000	90.912468	-152.2005
112.000000	90.932678	-153.1403
115.000000	90.950783	-154.0285
118.000000	90.967834	-154.8826
122.000000	90.989731	-155.9741
125.000000	91.001465	-156.7526
128.000000	91.012421	-157.4924
132.000000	91.022827	-158.4541
136.000000	91.025696	-159.3477
140.000000	91.032211	-160.2070
145.000000	91.032120	-161.2821
150.000000	91.036819	-162.2065
155.000000	91.036026	-163.1201
160.000000	91.024300	-163.9843
165.000000	91.014145	-164.7889
170.000000	91.000458	-165.5612
175.000000	90.985893	-166.3044
180.000000	90.970627	-166.9782
185.000000	90.952995	-167.6361
190.000000	90.929764	-168.2689
195.000000	90.901932	-168.8480
200.000000	90.881470	-169.4387
206.000000	90.851440	-170.0751
212.000000	90.817749	-170.6921
218.000000	90.783501	-171.2469
224.000000	90.747360	-171.7706
230.000000	90.711029	-172.2857
236.000000	90.668076	-172.7499
243.000000	90.626671	-173.2718
250.000000	90.580185	-173.7542
258.000000	90.528976	-174.2806
265.000000	90.477440	-174.7052
272.000000	90.427841	-175.0701
280.000000	90.371872	-175.4837
290.000000	90.299820	-175.9305
300.000000	90.222404	-176.2926
307.000000	90.173553	-176.5837
315.000000	90.108215	-176.8562
325.000000	90.030975	-177.1508
335.000000	89.955032	-177.3708
345.000000	89.879051	-177.6042
355.000000	89.802498	-177.7747
365.000000	89.722679	-177.9096
375.000000	89.647652	-178.0118
387.000000	89.555885	-178.0903
400.000000	89.459023	-178.1317
412.000000	89.367493	-178.1427
425.000000	89.271492	-178.0820
437.000000	89.183159	-178.0001
450.000000	89.089691	-177.8797
462.000000	89.005539	-177.7205
475.000000	88.914001	-177.5120
487.000000	88.829773	-177.2972
500.000000	88.741982	-177.0329
515.000000	88.647865	-176.6771
530.000000	88.549484	-176.2880
545.000000	88.455353	-175.8625
560.000000	88.366501	-175.3894
580.000000	88.250801	-174.7014
600.000000	88.139717	-173.9623
615.000000	88.063118	-173.3622
630.000000	87.989426	-172.7327
650.000000	87.895630	-171.8627
670.000000	87.811996	-170.9453
690.000000	87.733185	-169.9859
710.000000	87.668716	-169.0179
730.000000	87.613609	-168.0682
750.000000	87.564568	-167.2081
775.000000	87.462334	-166.6186
800.000000	87.103485	-165.0080
825.000000	87.083397	-161.6352
850.000000	87.158455	-159.6044
875.000000	87.192955	-157.7584
900.000000	87.225746	-155.7797
925.000000	87.299187	-153.5845
950.000000	87.450104	-151.4103
975.000000	87.652153	-149.6340
1000.000000	87.856094	-148.2539
1030.000000	88.082443	-146.8164
1060.000000	88.304352	-145.5281
1090.000000	88.529648	-144.3670
1120.000000	88.757065	-143.3221
1150.000000	88.985870	-142.4577
1180.000000	89.208008	-141.6914
1220.000000	89.497307	-140.8690
1250.000000	89.706894	-140.3820
1280.000000	89.905838	-139.9464
1320.000000	90.156158	-139.4630
1360.000000	90.394623	-139.0416
1400.000000	90.624657	-138.6617
1450.000000	90.902817	-138.2203
