* Measurement data measured by REW V5.20
* Source: C:\Users\ahngu\Desktop\oratory1990.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 9, 2021 12:47:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\ahngu\Desktop\oratory1990.txt Format: Comma/Tab/Space delimited data 695 values loaded, 20 Hz to 19,896 Hz log spaced 
* Measurement: oratory1990
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	68.000000	0
20.600000	67.990639	0
21.200001	67.990242	0
21.799999	67.973076	0
22.400000	67.965874	0
23.000000	67.960320	0
23.600000	67.950264	0
24.299999	67.939323	0
25.000000	67.950020	0
25.799999	67.949997	0
26.500000	67.952591	0
27.200001	67.960236	0
28.000000	67.969879	0
29.000000	67.980003	0
30.000000	67.979935	0
30.700001	67.989578	0
31.500000	67.989998	0
32.500000	67.997566	0
33.500000	67.992035	0
34.500000	67.982330	0
35.500000	67.973465	0
36.500000	67.965599	0
37.500000	67.958412	0
38.700001	67.939804	0
40.000000	67.949883	0
41.200001	67.959991	0
42.500000	67.967255	0
43.700001	67.975243	0
45.000000	67.969780	0
46.200001	67.948509	0
47.500000	67.920639	0
48.700001	67.895615	0
50.000000	67.870132	0
51.500000	67.849426	0
53.000000	67.820580	0
54.500000	67.791878	0
56.000000	67.775238	0
58.000000	67.739639	0
60.000000	67.708900	0
61.500000	67.690887	0
63.000000	67.654106	0
65.000000	67.601730	0
67.000000	67.539322	0
69.000000	67.490143	0
71.000000	67.443459	0
73.000000	67.376434	0
75.000000	67.303268	0
77.500000	67.215813	0
80.000000	67.130844	0
82.500000	67.048340	0
85.000000	66.940125	0
87.500000	66.801651	0
90.000000	66.652237	0
92.500000	66.514359	0
95.000000	66.380516	0
97.500000	66.249794	0
100.000000	66.122627	0
103.000000	65.967506	0
106.000000	65.810005	0
109.000000	65.659164	0
112.000000	65.521423	0
115.000000	65.380783	0
118.000000	65.217735	0
122.000000	64.996056	0
125.000000	64.840179	0
128.000000	64.680626	0
132.000000	64.480728	0
136.000000	64.279404	0
140.000000	64.039413	0
145.000000	63.752895	0
150.000000	63.475418	0
155.000000	63.206627	0
160.000000	62.951584	0
165.000000	62.694103	0
170.000000	62.452621	0
175.000000	62.211029	0
180.000000	61.984592	0
185.000000	61.758656	0
190.000000	61.569557	0
195.000000	61.379776	0
200.000000	61.197308	0
206.000000	60.984276	0
212.000000	60.771519	0
218.000000	60.575966	0
224.000000	60.411896	0
230.000000	60.262688	0
236.000000	60.108322	0
243.000000	59.941307	0
250.000000	59.769394	0
258.000000	59.620159	0
265.000000	59.532139	0
272.000000	59.440140	0
280.000000	59.340691	0
290.000000	59.217007	0
300.000000	59.105114	0
307.000000	59.051105	0
315.000000	58.988956	0
325.000000	58.905647	0
335.000000	58.832947	0
345.000000	58.757874	0
355.000000	58.720318	0
