* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: May 11, 2021 11:23:23 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Orchestra L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	73.604561	46.1923
20.600000	73.661110	44.4427
21.200001	73.677292	42.7787
21.799999	73.691864	41.3199
22.400000	73.726463	39.9025
23.000000	73.758118	38.3733
23.600000	73.761086	36.8700
24.299999	73.755005	35.3863
25.000000	73.777130	33.9919
25.799999	73.795624	32.2475
26.500000	73.790237	30.8412
27.200001	73.804848	29.5085
28.000000	73.817047	27.7283
29.000000	73.754700	25.6152
30.000000	73.715912	23.9367
30.700001	73.722755	22.6697
31.500000	73.718323	21.2343
32.500000	73.717392	19.5421
33.500000	73.710121	17.8475
34.500000	73.696129	16.2682
35.500000	73.682144	14.7363
36.500000	73.664047	13.2606
37.500000	73.643227	11.7975
38.700001	73.606415	10.1082
40.000000	73.568817	8.3573
41.200001	73.531891	6.7822
42.500000	73.491287	5.1050
43.700001	73.444756	3.6389
45.000000	73.402382	2.0958
46.200001	73.349426	0.6832
47.500000	73.293999	-0.7300
48.700001	73.244576	-2.0291
50.000000	73.192482	-3.4146
51.500000	73.118469	-4.9993
53.000000	73.053001	-6.4563
54.500000	72.987083	-7.9173
56.000000	72.937645	-9.4050
58.000000	72.876442	-11.1243
60.000000	72.833649	-12.8224
61.500000	72.782822	-14.1190
63.000000	72.735397	-15.3210
65.000000	72.673035	-16.9092
67.000000	72.607552	-18.4449
69.000000	72.543892	-19.9135
71.000000	72.481491	-21.3486
73.000000	72.413651	-22.7308
75.000000	72.349014	-24.0867
77.500000	72.266617	-25.6841
80.000000	72.185509	-27.2618
82.500000	72.109772	-28.7677
85.000000	72.020050	-30.2588
87.500000	71.944725	-31.6187
90.000000	71.864655	-33.0825
92.500000	71.784554	-34.2811
95.000000	71.706413	-35.5605
97.500000	71.624596	-36.8116
100.000000	71.549767	-38.0159
103.000000	71.482224	-39.3861
106.000000	71.423683	-40.6943
109.000000	71.360222	-42.0721
112.000000	71.296455	-43.3130
115.000000	71.239136	-44.5532
118.000000	71.179451	-45.7280
122.000000	71.102631	-47.2238
125.000000	71.046829	-48.3169
128.000000	70.993500	-49.3836
132.000000	70.924576	-50.7891
136.000000	70.861053	-52.1207
140.000000	70.798592	-53.4186
145.000000	70.722527	-54.9677
150.000000	70.649796	-56.4570
155.000000	70.582611	-57.8997
160.000000	70.521469	-59.2654
165.000000	70.460747	-60.5999
170.000000	70.404442	-61.8734
175.000000	70.352417	-63.0985
180.000000	70.296722	-64.3356
185.000000	70.254913	-65.4509
190.000000	70.211121	-66.5663
195.000000	70.170616	-67.6284
200.000000	70.133156	-68.6749
206.000000	70.088341	-69.8801
212.000000	70.047623	-71.0496
218.000000	70.011139	-72.1592
224.000000	69.976730	-73.2396
230.000000	69.944176	-74.2762
236.000000	69.913849	-75.2723
243.000000	69.881638	-76.3965
250.000000	69.853142	-77.4691
258.000000	69.821304	-78.6366
265.000000	69.796494	-79.6103
272.000000	69.773979	-80.5486
280.000000	69.751060	-81.5697
290.000000	69.722969	-82.7871
300.000000	69.699455	-83.9519
307.000000	69.681892	-84.6847
315.000000	69.666115	-85.5107
325.000000	69.646561	-86.4891
335.000000	69.627823	-87.3944
345.000000	69.612907	-88.2531
355.000000	69.597374	-89.0526
365.000000	69.582909	-89.7919
375.000000	69.567787	-90.4774
387.000000	69.552773	-91.2454
400.000000	69.537155	-92.0018
412.000000	69.522728	-92.6300
425.000000	69.509262	-93.2406
437.000000	69.497108	-93.7366
450.000000	69.483093	-94.2197
462.000000	69.470558	-94.6184
475.000000	69.457367	-94.9803
487.000000	69.444862	-95.2841
500.000000	69.431976	-95.5510
515.000000	69.415009	-95.7964
