* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: May 11, 2021 11:24:28 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Orchestra R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	73.456413	46.6088
20.600000	73.505707	45.0157
21.200001	73.534790	43.4695
21.799999	73.559807	41.9659
22.400000	73.582161	40.4844
23.000000	73.597916	39.0150
23.600000	73.603729	37.6056
24.299999	73.611366	36.1104
25.000000	73.638504	34.6606
25.799999	73.664276	32.8759
26.500000	73.658401	31.4174
27.200001	73.664558	30.1653
28.000000	73.696198	28.5862
29.000000	73.666290	26.4344
30.000000	73.610329	24.8009
30.700001	73.617714	23.6841
31.500000	73.618866	22.3099
32.500000	73.609802	20.6909
33.500000	73.604111	19.0695
34.500000	73.589813	17.5099
35.500000	73.579979	16.0128
36.500000	73.566376	14.5525
37.500000	73.549484	13.1522
38.700001	73.522202	11.5396
40.000000	73.488312	9.8708
41.200001	73.452438	8.3627
42.500000	73.411217	6.7816
43.700001	73.373436	5.3296
45.000000	73.327179	3.8058
46.200001	73.282722	2.4490
47.500000	73.236565	1.0434
48.700001	73.187027	-0.2578
50.000000	73.131180	-1.5333
51.500000	73.075203	-3.0176
53.000000	73.010269	-4.4671
54.500000	72.946350	-5.8788
56.000000	72.885941	-7.1730
58.000000	72.860664	-8.9638
60.000000	72.811745	-10.6858
61.500000	72.763947	-11.9171
63.000000	72.726791	-13.0850
65.000000	72.671158	-14.6223
67.000000	72.610184	-16.0941
69.000000	72.555885	-17.5734
71.000000	72.502037	-19.0304
73.000000	72.438263	-20.3362
75.000000	72.381516	-21.5984
77.500000	72.303741	-23.1509
80.000000	72.225777	-24.6942
82.500000	72.151901	-26.1750
85.000000	72.077087	-27.6045
87.500000	71.999550	-28.9446
90.000000	71.917725	-30.3004
92.500000	71.851105	-31.5612
95.000000	71.779846	-32.8124
97.500000	71.709106	-34.0167
100.000000	71.640984	-35.1964
103.000000	71.577446	-36.5658
106.000000	71.517212	-37.8857
109.000000	71.459488	-39.1711
112.000000	71.403549	-40.4130
115.000000	71.348808	-41.6202
118.000000	71.297447	-42.7772
122.000000	71.224205	-44.2981
125.000000	71.171684	-45.4031
128.000000	71.124008	-46.4618
132.000000	71.058350	-47.8279
136.000000	70.994675	-49.1705
140.000000	70.937241	-50.4564
145.000000	70.863434	-52.0051
150.000000	70.796402	-53.5096
155.000000	70.730576	-54.9351
160.000000	70.670189	-56.3241
165.000000	70.612061	-57.6559
170.000000	70.555435	-58.9473
175.000000	70.503716	-60.1946
180.000000	70.453369	-61.3895
185.000000	70.407883	-62.5520
190.000000	70.363541	-63.6772
195.000000	70.322243	-64.7690
200.000000	70.283295	-65.8165
206.000000	70.238174	-67.0458
212.000000	70.196556	-68.2480
218.000000	70.157890	-69.3708
224.000000	70.120911	-70.4636
230.000000	70.088577	-71.5161
236.000000	70.056725	-72.5374
243.000000	70.023247	-73.6835
250.000000	69.990791	-74.7903
258.000000	69.957626	-75.9827
265.000000	69.930069	-76.9927
272.000000	69.904236	-77.9636
280.000000	69.877113	-79.0153
290.000000	69.846535	-80.2679
300.000000	69.819733	-81.4454
307.000000	69.799301	-82.2184
315.000000	69.777939	-83.0718
325.000000	69.754730	-84.0800
335.000000	69.733757	-85.0208
345.000000	69.712860	-85.9014
355.000000	69.693756	-86.7360
365.000000	69.675781	-87.5039
375.000000	69.658394	-88.2310
387.000000	69.638809	-89.0248
400.000000	69.618744	-89.8149
412.000000	69.600685	-90.4611
425.000000	69.581215	-91.1093
437.000000	69.564697	-91.6377
450.000000	69.547897	-92.1422
462.000000	69.532028	-92.5618
475.000000	69.515495	-92.9571
487.000000	69.499313	-93.2772
500.000000	69.483139	-93.5536
515.000000	69.462906	-93.8259
530.000000	69.443024	-94.0386
545.000000	69.421013	-94.1873
560.000000	69.398323	-94.2683
580.000000	69.360313	-94.2854
600.000000	69.316460	-94.1525
615.000000	69.283005	-93.9384
630.000000	69.249855	-93.6318
650.000000	69.214653	-93.0942
670.000000	69.189987	-92.4310
690.000000	69.176140	-91.6698
710.000000	69.171707	-90.8370
730.000000	69.177155	-89.9509
750.000000	69.189682	-88.9968
775.000000	69.216362	-87.7296
800.000000	69.257759	-86.3740
825.000000	69.313011	-84.9587
850.000000	69.383652	-83.4890
875.000000	69.470673	-81.9915
900.000000	69.572968	-80.4689
925.000000	69.692703	-78.9578
950.000000	69.828308	-77.4680
975.000000	69.977371	-76.0315
1000.000000	70.139046	-74.6652
1030.000000	70.343719	-73.1204
1060.000000	70.557205	-71.7144
1090.000000	70.771423	-70.4447
1120.000000	70.980904	-69.3012
1150.000000	71.182114	-68.2583
1180.000000	71.373352	-67.3027
1220.000000	71.606636	-66.1299
1250.000000	71.765892	-65.2829
1280.000000	71.912865	-64.4471
1320.000000	72.091019	-63.3174
1360.000000	72.253876	-62.1428
1400.000000	72.405014	-60.9236
1450.000000	72.583984	-59.3082
1500.000000	72.760353	-57.6191
1550.000000	72.936066	-55.8687
1600.000000	73.117233	-54.0783
1650.000000	73.304794	-52.2781
1700.000000	73.500427	-50.4996
1750.000000	73.704910	-48.7635
1800.000000	73.916443	-47.0981
1850.000000	74.133728	-45.5238
1900.000000	74.355354	-44.0691
1950.000000	74.576942	-42.7402
2000.000000	74.796066	-41.5651
2060.000000	75.049004	-40.3534
2120.000000	75.283348	-39.3739
2180.000000	75.490593	-38.6083
2240.000000	75.664085	-38.0370
2300.000000	75.796394	-37.6089
2360.000000	75.882607	-37.2735
2430.000000	75.922928	-36.9049
2500.000000	75.901672	-36.4627
2580.000000	75.811874	-35.7513
2650.000000	75.691292	-34.8767
2720.000000	75.546951	-33.7394
2800.000000	75.371292	-32.1357
2900.000000	75.156761	-29.7910
3000.000000	74.958809	-27.2621
3070.000000	74.823471	-25.4625
3150.000000	74.662384	-23.3773
3250.000000	74.447380	-20.6490
3350.000000	74.231293	-17.6886
3450.000000	74.036781	-14.5151
3550.000000	73.880272	-11.2285
3650.000000	73.769287	-7.9215
3750.000000	73.714706	-4.6670
3870.000000	73.745125	-1.0094
4000.000000	73.918228	2.2585
4120.000000	74.208702	4.0599
4250.000000	74.593491	3.9326
4370.000000	74.873581	1.5167
4500.000000	74.907890	-3.1911
4620.000000	74.610298	-8.2841
4750.000000	74.009888	-13.2740
4870.000000	73.356934	-16.8231
5000.000000	72.704292	-19.5840
5150.000000	72.161819	-21.8483
5300.000000	71.930130	-23.6520
5450.000000	72.040894	-25.3906
5600.000000	72.489464	-27.4830
5800.000000	73.514336	-31.0236
6000.000000	74.862183	-36.7877
6150.000000	75.782700	-43.3078
6300.000000	76.327576	-50.1694
6500.000000	76.573364	-57.9957
6700.000000	76.419571	-63.0601
6900.000000	76.113609	-65.1580
7100.000000	75.816719	-64.9586
7300.000000	75.588074	-63.5625
7500.000000	75.364731	-61.6102
7750.000000	74.982697	-58.8937
8000.000000	74.412270	-55.1832
8250.000000	73.697594	-49.9453
8500.000000	72.938759	-42.9468
8750.000000	72.240250	-34.3938
9000.000000	71.669296	-24.7715
9250.000000	71.259537	-14.5865
9500.000000	71.013252	-4.3667
9750.000000	70.910057	5.4203
10000.000000	70.908859	14.3722
10300.000000	70.955276	23.6428
10600.000000	70.926491	31.2899
10900.000000	70.774719	37.6107
11200.000000	70.363014	42.2966
11500.000000	69.474388	47.0882
11800.000000	68.286438	55.1403
12200.000000	67.546051	70.5967
12500.000000	67.865303	78.3598
12800.000000	68.200027	80.1727
13200.000000	67.999695	75.5351
13600.000000	66.458641	66.7478
14000.000000	63.578693	62.3249
14500.000000	59.812107	66.7300
15000.000000	56.579979	75.9114
15500.000000	54.042858	88.0722
16000.000000	52.297913	99.5007
16500.000000	51.168015	107.6998
17000.000000	50.593807	110.2125
17500.000000	50.239803	103.0684
18000.000000	49.131233	86.0119
18500.000000	48.212315	71.0189
19000.000000	50.637272	34.7472
19500.000000	51.494499	-44.6216
