* Measurement data measured by REW V5.20 Beta 19
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.557
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS  With no timing reference
* Dated: Aug 28, 2019 8:47:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Peacock P1 - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	64.558022	-152.2936
21.200001	64.532425	-153.5299
21.799999	64.510361	-154.8410
22.400000	64.493484	-156.2783
23.000000	64.483963	-157.7916
23.600000	64.489082	-159.3200
24.299999	64.517456	-161.0869
25.000000	64.564346	-162.8011
25.799999	64.628410	-164.6367
26.500000	64.685959	-166.1060
27.200001	64.739960	-167.4688
28.000000	64.789749	-168.9433
29.000000	64.832626	-170.7124
30.000000	64.858757	-172.5118
30.700001	64.868874	-173.7765
31.500000	64.887360	-175.2312
32.500000	64.911613	-177.1128
33.500000	64.943100	-178.8450
34.500000	64.989326	179.3949
35.500000	65.003441	177.8298
36.500000	65.051361	176.4204
37.500000	65.060364	174.7366
38.700001	65.037155	173.1732
40.000000	65.047333	171.3235
41.200001	65.065331	169.9012
42.500000	65.161354	168.1009
43.700001	65.217422	166.2318
45.000000	65.219109	164.3569
46.200001	65.199158	162.9207
47.500000	65.169273	161.4297
48.700001	65.137093	160.0197
50.000000	65.089516	158.4752
51.500000	65.049217	156.7718
53.000000	65.020172	155.0883
54.500000	64.991829	153.4724
56.000000	64.958153	151.9719
58.000000	64.909966	150.0298
60.000000	64.869049	148.1281
61.500000	64.841805	146.7770
63.000000	64.814217	145.3197
65.000000	64.759888	143.6313
67.000000	64.736893	141.9139
69.000000	64.705795	140.1190
71.000000	64.660400	138.4816
73.000000	64.611000	136.9031
75.000000	64.544441	135.4525
77.500000	64.472122	133.7175
80.000000	64.418961	132.0096
82.500000	64.377884	130.3521
85.000000	64.363243	128.7268
87.500000	64.352295	126.9655
90.000000	64.328842	125.1138
92.500000	64.291748	123.1163
95.000000	64.231155	121.2514
97.500000	64.171516	119.3943
100.000000	64.099518	117.6442
103.000000	64.028641	115.5289
106.000000	63.944199	113.5353
109.000000	63.854820	111.6749
112.000000	63.774345	109.8637
115.000000	63.685596	108.0302
118.000000	63.593204	106.3132
122.000000	63.455227	104.1838
125.000000	63.352150	102.6230
128.000000	63.251778	101.0472
132.000000	63.119484	99.0399
136.000000	62.991745	97.1575
140.000000	62.864479	95.2943
145.000000	62.695930	93.0775
150.000000	62.523102	90.9998
155.000000	62.372208	88.9638
