* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: May 4, 2022 1:22:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: P1 Max Giant Panda R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	82.406342	-114.3692
21.200001	82.495148	-116.2501
21.799999	82.606903	-117.8796
22.400000	82.706924	-119.3500
23.000000	82.772614	-120.9551
23.600000	82.793648	-122.6087
24.299999	82.826172	-124.3342
25.000000	82.904060	-125.5431
25.799999	82.911720	-127.1635
26.500000	82.930626	-129.0275
27.200001	82.978455	-130.3800
28.000000	82.974014	-131.9783
29.000000	82.966301	-133.8887
30.000000	82.984390	-135.3553
30.700001	82.998581	-136.4262
31.500000	82.994873	-137.8248
32.500000	82.988487	-139.3513
33.500000	82.917503	-140.9452
34.500000	82.998436	-142.4630
35.500000	83.020325	-143.7579
36.500000	82.982712	-145.0847
37.500000	82.988419	-146.2350
38.700001	82.975876	-147.8931
40.000000	82.972755	-149.2346
41.200001	82.961082	-150.4943
42.500000	82.982529	-151.9092
43.700001	82.898705	-153.2064
45.000000	82.863983	-153.8665
46.200001	82.874786	-155.3325
47.500000	82.868393	-156.3604
48.700001	82.889877	-157.6204
50.000000	82.837921	-158.7443
51.500000	82.818420	-159.8018
53.000000	82.759216	-160.6258
54.500000	82.697144	-161.6769
56.000000	82.741127	-162.9140
58.000000	82.660858	-164.4388
60.000000	82.675354	-165.1626
61.500000	82.638191	-166.2612
63.000000	82.596977	-167.1756
65.000000	82.561249	-168.0258
67.000000	82.525650	-169.2504
69.000000	82.464455	-170.2901
71.000000	82.404892	-171.2243
73.000000	82.366920	-172.0053
75.000000	82.339828	-172.8446
77.500000	82.276505	-173.8312
80.000000	82.221695	-175.0319
82.500000	82.158340	-175.7647
85.000000	82.104004	-176.6693
87.500000	82.041214	-177.5367
90.000000	81.972717	-178.1901
92.500000	81.899017	-178.9547
95.000000	81.829346	-179.6475
97.500000	81.781105	179.5352
100.000000	81.719437	179.0818
103.000000	81.636368	178.1172
106.000000	81.571136	177.3631
109.000000	81.479698	176.9211
112.000000	81.437904	176.1798
115.000000	81.358215	175.4926
118.000000	81.290298	174.9692
122.000000	81.204384	174.2075
125.000000	81.134506	173.7173
128.000000	81.068176	173.3231
132.000000	80.950333	172.6176
136.000000	80.875847	172.1887
140.000000	80.784149	171.5543
145.000000	80.675682	171.1079
150.000000	80.563980	170.6118
155.000000	80.439629	170.0815
160.000000	80.328354	169.6494
165.000000	80.220543	169.3516
170.000000	80.105011	168.8902
175.000000	80.005463	168.4747
180.000000	79.882721	168.2654
185.000000	79.787323	168.1102
190.000000	79.675934	167.8215
195.000000	79.576111	167.7387
200.000000	79.454842	167.6257
206.000000	79.328781	167.4033
212.000000	79.210342	167.3428
218.000000	79.086739	167.2715
224.000000	78.967072	167.2227
230.000000	78.850304	167.2470
236.000000	78.735283	167.2802
243.000000	78.599442	167.3807
250.000000	78.473366	167.5097
258.000000	78.319321	167.6907
265.000000	78.199707	167.8719
272.000000	78.075531	168.1310
280.000000	77.938202	168.4429
290.000000	77.770081	168.8897
300.000000	77.620392	169.3766
307.000000	77.498695	169.7360
315.000000	77.369377	170.2146
325.000000	77.222626	170.8516
335.000000	77.083214	171.6254
345.000000	76.924278	172.3532
355.000000	76.799332	173.1959
365.000000	76.672218	174.0605
375.000000	76.538536	174.8824
387.000000	76.405830	176.1048
400.000000	76.273018	177.4606
412.000000	76.173256	178.8209
425.000000	76.078529	-179.6762
437.000000	75.991653	-178.1826
450.000000	75.923500	-176.5864
462.000000	75.885262	-175.0062
475.000000	75.870956	-173.3198
487.000000	75.883087	-171.7410
