* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.630
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 18, 2024 6:48:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: P1 Max II L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 47.179 101.6571
0.732422 54.541 58.1783
1.098633 60.843 33.6469
1.464844 65.792 15.6758
1.831055 69.650 0.3756
2.197266 72.646 -13.3529
2.563477 74.956 -25.7338
2.929688 76.729 -36.7176
3.295898 78.097 -46.2198
3.662109 79.181 -54.2548
4.028320 80.087 -61.0067
4.394531 80.887 -66.8050
4.760742 81.614 -71.9988
5.126953 82.269 -76.8178
5.493164 82.848 -81.3262
5.859375 83.355 -85.4876
6.225586 83.807 -89.2724
6.591797 84.225 -92.7275
6.958008 84.619 -95.9650
7.324219 84.988 -99.0894
7.690430 85.321 -102.1312
8.056641 85.610 -105.0407
8.422852 85.861 -107.7416
8.789062 86.087 -110.2008
9.155273 86.302 -112.4614
9.521484 86.512 -114.6146
9.887695 86.709 -116.7342
10.253906 86.883 -118.8263
10.620117 87.029 -120.8352
10.986328 87.151 -122.6928
11.352539 87.259 -124.3746
11.718750 87.366 -125.9185
12.084961 87.473 -127.3942
12.451172 87.578 -128.8508
12.817383 87.672 -130.2872
13.183594 87.755 -131.6688
13.549805 87.831 -132.9707
13.916016 87.908 -134.2096
14.282227 87.986 -135.4334
14.648438 88.060 -136.6798
15.014648 88.122 -137.9386
15.380859 88.169 -139.1542
15.747070 88.205 -140.2672
16.113281 88.240 -141.2621
16.479492 88.283 -142.1838
16.845703 88.333 -143.1040
17.211914 88.383 -144.0641
17.578125 88.421 -145.0401
17.944336 88.443 -145.9595
18.310547 88.458 -146.7566
18.676758 88.478 -147.4275
19.042969 88.514 -148.0410
19.409180 88.562 -148.6933
19.775391 88.611 -149.4367
20.141602 88.646 -150.2409
20.507812 88.662 -151.0166
20.874023 88.661 -151.6861
21.240234 88.665 -152.2530
21.606445 88.680 -152.8156
21.972656 88.706 -153.5035
22.338867 88.720 -154.3764
22.705078 88.700 -155.3641
23.071289 88.637 -156.2908
23.437500 88.543 -156.9702
23.803711 88.450 -157.3200
24.169922 88.392 -157.4272
24.536133 88.380 -157.5038
24.902344 88.403 -157.7535
25.268555 88.433 -158.2504
25.634766 88.443 -158.9229
26.000977 88.427 -159.6293
26.367188 88.391 -160.2561
26.733398 88.350 -160.7718
27.099609 88.313 -161.2129
27.465820 88.281 -161.6273
27.832031 88.249 -162.0293
28.198242 88.217 -162.4005
28.564453 88.188 -162.7275
28.930664 88.167 -163.0335
29.296875 88.156 -163.3731
29.663086 88.148 -163.7944
30.029297 88.131 -164.3006
30.395508 88.099 -164.8409
30.761719 88.048 -165.3347
31.127930 87.989 -165.7125
31.494141 87.932 -165.9528
31.860352 87.892 -166.0966
32.226562 87.874 -166.2322
32.592773 87.875 -166.4538
32.958984 87.882 -166.8126
33.325195 87.880 -167.2906
33.691406 87.861 -167.8134
34.057617 87.828 -168.2955
34.423828 87.791 -168.6927
34.790039 87.758 -169.0250
35.156250 87.734 -169.3507
35.522461 87.711 -169.7096
35.888672 87.681 -170.0824
36.254883 87.641 -170.4031
36.621094 87.600 -170.6154
36.987305 87.570 -170.7273
37.353516 87.559 -170.8157
37.719727 87.563 -170.9726
38.085938 87.569 -171.2391
38.452148 87.565 -171.5819
38.818359 87.547 -171.9281
39.184570 87.521 -172.2214
39.550781 87.494 -172.4552
39.916992 87.471 -172.6600
40.283203 87.453 -172.8679
40.649414 87.437 -173.0900
41.015625 87.420 -173.3252
41.381836 87.404 -173.5791
41.748047 87.387 -173.8644
42.114258 87.362 -174.1759
42.480469 87.326 -174.4691
42.846680 87.283 -174.6752
43.212891 87.244 -174.7540
43.579102 87.226 -174.7460
43.945312 87.235 -174.7719
44.311523 87.263 -174.9611
44.677734 87.286 -175.3618
45.043945 87.284 -175.9020
45.410156 87.247 -176.4297
45.776367 87.186 -176.7990
46.142578 87.122 -176.9492
46.508789 87.075 -176.9297
46.875000 87.054 -176.8581
47.241211 87.053 -176.8425
47.607422 87.061 -176.9292
47.973633 87.067 -177.1039
48.339844 87.066 -177.3282
48.706055 87.058 -177.5731
49.072266 87.045 -177.8274
49.438477 87.024 -178.0842
49.804688 86.995 -178.3244
50.170898 86.959 -178.5156
50.537109 86.921 -178.6277
50.903320 86.889 -178.6554
51.269531 86.871 -178.6332
51.635742 86.871 -178.6292
52.001953 86.886 -178.7162
52.368164 86.903 -178.9328
52.734375 86.909 -179.2579
53.100586 86.898 -179.6167
53.466797 86.873 -179.9214
53.833008 86.844 179.8746
54.199219 86.823 179.7462
54.565430 86.814 179.6172
54.931641 86.809 179.4263
55.297852 86.797 179.1861
55.664062 86.771 178.9791
56.030273 86.739 178.8868
56.396484 86.720 178.9041
56.762695 86.722 178.9184
57.128906 86.735 178.7941
57.495117 86.734 178.5036
57.861328 86.695 178.1876
58.227539 86.621 178.0840
58.593750 86.549 178.3542
58.959961 86.525 178.9157
59.326172 86.576 179.4346
59.692383 86.677 179.5403
60.058594 86.771 179.0938
60.424805 86.803 178.2720
60.791016 86.755 177.4416
61.157227 86.649 176.9424
61.523438 86.540 176.8946
61.889648 86.473 177.1374
62.255859 86.459 177.3613
62.622070 86.472 177.3457
62.988281 86.475 177.0917
63.354492 86.452 176.7635
63.720703 86.408 176.5310
64.086914 86.366 176.4451
64.453125 86.342 176.4269
64.819336 86.337 176.3603
65.185547 86.336 176.1937
65.551758 86.328 175.9657
65.917969 86.311 175.7507
66.284180 86.292 175.5900
66.650391 86.278 175.4705
67.016602 86.269 175.3555
67.382812 86.262 175.2273
67.749023 86.255 175.0972
68.115234 86.247 174.9791
68.481445 86.242 174.8652
68.847656 86.237 174.7341
69.213867 86.227 174.5821
69.580078 86.208 174.4419
69.946289 86.184 174.3613
70.312500 86.161 174.3576
70.678711 86.150 174.3912
71.044922 86.149 174.3897
71.411133 86.150 174.3067
71.777344 86.143 174.1606
72.143555 86.125 174.0169
72.509766 86.101 173.9290
72.875977 86.081 173.8896
73.242188 86.071 173.8374
73.608398 86.065 173.7166
73.974609 86.051 173.5336
74.340820 86.024 173.3580
74.707031 85.989 173.2656
75.073242 85.962 173.2704
75.439453 85.953 173.3054
75.805664 85.959 173.2722
76.171875 85.967 173.1198
76.538086 85.964 172.8842
76.904297 85.944 172.6583
77.270508 85.915 172.5222
77.636719 85.890 172.4870
78.002930 85.879 172.4934
78.369141 85.880 172.4616
78.735352 85.883 172.3514
79.101562 85.879 172.1844
79.467773 85.862 172.0206
79.833984 85.837 171.9137
80.200195 85.814 171.8773
80.566406 85.797 171.8809
80.932617 85.788 171.8724
81.298828 85.783 171.8127
81.665039 85.773 171.7008
82.031250 85.753 171.5761
82.397461 85.724 171.4960
82.763672 85.695 171.4964
83.129883 85.676 171.5583
83.496094 85.674 171.6086
83.862305 85.683 171.5636
84.228516 85.689 171.3921
84.594727 85.679 171.1459
84.960938 85.651 170.9306
85.327148 85.616 170.8310
85.693359 85.591 170.8428
86.059570 85.586 170.8678
86.425781 85.596 170.7876
86.791992 85.603 170.5604
87.158203 85.587 170.2602
87.524414 85.548 170.0274
87.890625 85.499 169.9688
88.256836 85.463 170.0796
88.623047 85.453 170.2466
88.989258 85.466 170.3339
89.355469 85.483 170.2803
89.721680 85.488 170.1287
90.087891 85.478 169.9749
90.454102 85.459 169.8889
90.820312 85.443 169.8704
91.186523 85.435 169.8649
91.552734 85.431 169.8203
91.918945 85.424 169.7299
92.285156 85.409 169.6307
92.651367 85.388 169.5665
93.017578 85.367 169.5510
93.383789 85.352 169.5612
93.750000 85.342 169.5592
94.116211 85.335 169.5222
94.482422 85.325 169.4554
94.848633 85.311 169.3830
95.214844 85.295 169.3276
95.581055 85.279 169.2966
95.947266 85.267 169.2795
96.313477 85.259 169.2581
96.679688 85.254 169.2170
97.045898 85.249 169.1514
97.412109 85.242 169.0666
97.778320 85.233 168.9734
98.144531 85.221 168.8820
98.510742 85.207 168.7988
98.876953 85.192 168.7292
99.243164 85.175 168.6789
99.609375 85.159 168.6523
99.975586 85.146 168.6453
100.341797 85.138 168.6400
100.708008 85.134 168.6099
101.074219 85.130 168.5372
101.440430 85.121 168.4302
101.806641 85.104 168.3242
102.172852 85.082 168.2594
102.539062 85.061 168.2507
102.905273 85.048 168.2709
103.271484 85.044 168.2675
103.637695 85.043 168.2020
104.003906 85.037 168.0805
104.370117 85.022 167.9498
104.736328 85.001 167.8600
105.102539 84.980 167.8249
105.468750 84.967 167.8123
105.834961 84.960 167.7736
106.201172 84.953 167.6883
106.567383 84.938 167.5839
106.933594 84.916 167.5148
107.299805 84.894 167.5171
107.666016 84.879 167.5764
108.032227 84.878 167.6357
108.398438 84.884 167.6369
108.764648 84.890 167.5621
109.130859 84.888 167.4412
109.497070 84.877 167.3249
109.863281 84.860 167.2476
110.229492 84.844 167.2098
110.595703 84.831 167.1882
110.961914 84.819 167.1619
111.328125 84.807 167.1294
111.694336 84.792 167.1045
112.060547 84.778 167.0990
112.426758 84.766 167.1093
112.792969 84.758 167.1188
113.159180 84.754 167.1102
113.525391 84.749 167.0771
113.891602 84.744 167.0232
114.257812 84.736 166.9551
114.624023 84.726 166.8776
114.990234 84.712 166.7971
115.356445 84.695 166.7267
115.722656 84.674 166.6859
116.088867 84.653 166.6882
116.455078 84.638 166.7262
116.821289 84.630 166.7696
117.187500 84.628 166.7809
117.553711 84.628 166.7416
117.919922 84.622 166.6672
118.286133 84.608 166.5983
118.652344 84.591 166.5720
119.018555 84.577 166.5939
119.384766 84.571 166.6323
119.750977 84.571 166.6406
120.117188 84.574 166.5905
120.483398 84.571 166.4923
120.849609 84.559 166.3862
121.215820 84.540 166.3127
121.582031 84.521 166.2874
121.948242 84.505 166.2943
122.314453 84.494 166.3039
122.680664 84.486 166.2974
123.046875 84.476 166.2781
123.413086 84.466 166.2626
123.779297 84.457 166.2609
124.145508 84.451 166.2641
124.511719 84.450 166.2490
124.877930 84.450 166.1956
125.244141 84.447 166.1025
125.610352 84.438 165.9904
125.976562 84.422 165.8893
126.342773 84.402 165.8233
126.708984 84.382 165.7979
127.075195 84.365 165.8004
127.441406 84.352 165.8099
127.807617 84.341 165.8109
128.173828 84.331 165.8019
128.540039 84.319 165.7944
128.906250 84.307 165.8017
129.272461 84.296 165.8271
129.638672 84.290 165.8584
130.004883 84.288 165.8737
130.371094 84.287 165.8575
130.737305 84.285 165.8109
131.103516 84.278 165.7510
131.469727 84.268 165.6971
131.835938 84.256 165.6574
132.202148 84.245 165.6260
132.568359 84.234 165.5936
132.934570 84.222 165.5592
133.300781 84.209 165.5307
133.666992 84.196 165.5135
134.033203 84.186 165.4998
134.399414 84.178 165.4730
134.765625 84.169 165.4253
135.131836 84.155 165.3715
135.498047 84.139 165.3402
135.864258 84.123 165.3478
136.230469 84.113 165.3781
136.596680 84.109 165.3918
136.962891 84.107 165.3622
137.329102 84.100 165.3052
137.695312 84.086 165.2690
138.061523 84.072 165.2888
138.427734 84.066 165.3454
138.793945 84.070 165.3719
139.160156 84.076 165.3159
139.526367 84.069 165.2018
139.892578 84.044 165.1331
140.258789 84.013 165.2172
140.625000 83.998 165.4641
140.991211 84.018 165.7421
141.357422 84.070 165.8513
141.723633 84.126 165.6675
142.089844 84.152 165.2385
142.456055 84.132 164.7578
142.822266 84.071 164.4478
143.188477 83.999 164.4269
143.554688 83.948 164.6418
143.920898 83.931 164.9158
144.287109 83.941 165.0792
144.653320 83.954 165.0769
145.019531 83.954 164.9734
145.385742 83.937 164.8760
145.751953 83.913 164.8509
146.118164 83.893 164.8910
146.484375 83.881 164.9445
146.850586 83.874 164.9693
147.216797 83.866 164.9625
147.583008 83.854 164.9502
147.949219 83.841 164.9560
148.315430 83.830 164.9803
148.681641 83.823 165.0056
149.047852 83.818 165.0150
149.414062 83.812 165.0064
