* Measurement data measured by REW V5.20 Beta 19
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.557
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS  With no timing reference
* Dated: Aug 28, 2019 8:48:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Peacock P1 - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	63.457218	-141.4953
21.200001	63.485775	-142.7067
21.799999	63.504299	-143.9435
22.400000	63.519314	-145.2877
23.000000	63.533318	-146.7253
23.600000	63.552673	-148.2040
24.299999	63.589340	-149.9341
25.000000	63.642509	-151.6349
25.799999	63.716850	-153.5017
26.500000	63.785728	-155.0377
27.200001	63.852558	-156.4753
28.000000	63.921097	-158.0249
29.000000	63.988678	-159.8732
30.000000	64.040634	-161.6889
30.700001	64.070419	-162.9863
31.500000	64.099281	-164.4877
32.500000	64.137474	-166.3522
33.500000	64.184372	-168.1946
34.500000	64.235474	-169.9786
35.500000	64.287437	-171.6718
36.500000	64.334251	-173.2903
37.500000	64.371590	-174.8420
38.700001	64.406715	-176.6659
40.000000	64.435036	-178.6383
41.200001	64.459221	179.5493
42.500000	64.487495	177.6271
43.700001	64.515182	175.9117
45.000000	64.540848	174.1336
46.200001	64.559372	172.5703
47.500000	64.575142	170.9001
48.700001	64.582672	169.3765
50.000000	64.589661	167.7397
51.500000	64.593941	165.8973
53.000000	64.598846	164.1283
54.500000	64.600464	162.4154
56.000000	64.598724	160.7591
58.000000	64.589905	158.5726
60.000000	64.576462	156.4588
61.500000	64.568459	154.9103
63.000000	64.558495	153.4061
65.000000	64.543915	151.4438
67.000000	64.521042	149.5455
69.000000	64.496834	147.7066
71.000000	64.471725	145.8871
73.000000	64.444588	144.1056
75.000000	64.420769	142.3690
77.500000	64.383560	140.2622
80.000000	64.344673	138.2101
82.500000	64.300941	136.1700
85.000000	64.258179	134.2314
87.500000	64.217178	132.2994
90.000000	64.169388	130.4074
92.500000	64.119453	128.5571
95.000000	64.061951	126.7801
97.500000	64.008682	125.0265
100.000000	63.953419	123.2806
103.000000	63.883339	121.2615
106.000000	63.808010	119.3095
109.000000	63.731987	117.4142
112.000000	63.658405	115.5405
115.000000	63.581383	113.7405
118.000000	63.500008	111.9966
122.000000	63.394485	109.6977
125.000000	63.309074	108.0761
128.000000	63.228443	106.4741
132.000000	63.126053	104.3730
136.000000	63.020569	102.3974
140.000000	62.909676	100.4639
145.000000	62.775276	98.1448
150.000000	62.640854	95.9291
155.000000	62.506676	93.7910
160.000000	62.374542	91.7520
165.000000	62.244781	89.7820
170.000000	62.118172	87.9011
175.000000	61.990246	86.0826
180.000000	61.866722	84.3360
185.000000	61.741970	82.6552
190.000000	61.621315	81.0383
195.000000	61.501221	79.4727
200.000000	61.382195	77.9742
206.000000	61.241501	76.2354
212.000000	61.102749	74.5723
218.000000	60.968082	72.9788
224.000000	60.835354	71.4508
230.000000	60.705830	69.9849
236.000000	60.577671	68.5782
243.000000	60.428688	67.0077
250.000000	60.284523	65.5202
258.000000	60.124626	63.8922
265.000000	59.986908	62.5527
272.000000	59.852081	61.2690
280.000000	59.701385	59.8898
290.000000	59.522041	58.2502
300.000000	59.349911	56.7444
307.000000	59.234539	55.7338
315.000000	59.106766	54.6500
325.000000	58.956112	53.3730
335.000000	58.816124	52.1775
345.000000	58.684502	51.0663
355.000000	58.565628	50.0100
365.000000	58.454018	49.0229
375.000000	58.352268	48.0789
387.000000	58.246212	46.9907
400.000000	58.147411	45.8698
412.000000	58.071156	44.8453
425.000000	57.989632	43.6995
437.000000	57.977226	42.9116
450.000000	57.936714	41.7877
462.000000	57.884441	40.6422
475.000000	57.917374	39.4012
487.000000	57.973152	38.5080
500.000000	57.967709	37.3727
515.000000	57.988758	35.6590
530.000000	57.976974	33.9992
545.000000	57.959988	32.3211
560.000000	57.930820	30.6289
580.000000	57.858917	28.3797
600.000000	57.764137	26.2483
615.000000	57.691853	24.7323
630.000000	57.604698	23.2388
650.000000	57.486568	21.3943
670.000000	57.364777	19.6948
690.000000	57.247849	18.2632
710.000000	57.127178	16.7321
730.000000	57.011543	15.4968
750.000000	56.901943	14.3854
775.000000	56.779232	13.2223
800.000000	56.666729	12.1754
825.000000	56.572247	11.3630
850.000000	56.496784	10.7145
875.000000	56.433704	10.2849
900.000000	56.438370	9.9444
925.000000	56.411919	9.5479
950.000000	56.481575	9.6559
975.000000	56.531952	9.5375
1000.000000	56.626091	9.5788
1030.000000	56.824615	9.1594
1060.000000	57.046333	8.6663
1090.000000	57.313519	7.3711
1120.000000	57.380421	4.8342
1150.000000	57.062572	5.0190
1180.000000	57.249641	7.1152
1220.000000	57.676712	7.3035
1250.000000	58.009048	6.6727
1280.000000	58.295490	5.6876
1320.000000	58.601387	4.1472
1360.000000	58.857384	2.6142
1400.000000	59.069927	1.1611
1450.000000	59.315796	-0.4761
1500.000000	59.528328	-1.8723
1550.000000	59.731968	-3.0208
1600.000000	59.933159	-3.9338
1650.000000	60.151428	-4.6513
1700.000000	60.380920	-5.2422
1750.000000	60.603241	-5.6815
1800.000000	60.839405	-5.9898
1850.000000	61.098770	-6.2080
1900.000000	61.359470	-6.3372
1950.000000	61.634350	-6.4113
2000.000000	61.920273	-6.4584
2060.000000	62.285141	-6.5101
2120.000000	62.657898	-6.6388
2180.000000	63.029625	-6.8796
2240.000000	63.398914	-7.2677
2300.000000	63.771606	-7.8447
2360.000000	64.122574	-8.6103
2430.000000	64.523392	-9.7762
2500.000000	64.888908	-11.3057
2580.000000	65.307152	-13.5962
2650.000000	65.590996	-16.0305
2720.000000	65.831665	-18.8104
2800.000000	66.031670	-22.1849
2900.000000	66.224541	-26.2219
3000.000000	66.122246	-29.3672
3070.000000	65.992630	-30.8650
3150.000000	65.813416	-31.7402
3250.000000	65.629410	-31.5518
3350.000000	65.325142	-29.9317
3450.000000	65.066063	-27.2085
3550.000000	64.885872	-23.5226
3650.000000	64.825401	-19.0895
3750.000000	64.829025	-14.0935
3870.000000	64.945435	-7.6592
4000.000000	65.231796	-0.5263
4120.000000	65.670181	5.7516
4250.000000	66.207275	11.5691
4370.000000	66.773972	15.3125
4500.000000	67.306618	16.9237
4620.000000	67.579529	16.2025
4750.000000	67.215500	14.8054
4870.000000	66.412758	15.2689
5000.000000	65.208214	19.8607
5150.000000	63.907112	30.5465
5300.000000	63.183300	44.3735
5450.000000	62.865345	58.0141
5600.000000	62.642193	69.5865
5800.000000	61.917984	83.5415
6000.000000	60.852825	100.4003
6150.000000	59.906158	116.0324
6300.000000	59.047859	133.7045
6500.000000	58.125149	159.4704
6700.000000	57.477272	-173.1260
6900.000000	57.088249	-144.6001
7100.000000	56.949009	-115.3491
7300.000000	57.057781	-85.5162
7500.000000	57.447342	-55.2652
7750.000000	58.456882	-17.8712
8000.000000	60.049850	18.2360
8250.000000	62.577095	48.0083
8500.000000	65.086395	60.1481
8750.000000	63.941555	55.5074
9000.000000	59.744587	72.3120
9250.000000	56.010666	106.5245
9500.000000	53.201942	147.4996
9750.000000	51.061123	-168.3858
10000.000000	49.401100	-122.3508
10300.000000	47.889595	-65.3465
10600.000000	46.783131	-6.7725
10900.000000	46.035091	53.1881
11200.000000	45.627804	114.4507
11500.000000	45.596031	176.8026
11800.000000	46.009697	-120.2130
12200.000000	47.346252	-37.1563
12500.000000	48.689262	22.4949
12800.000000	50.093018	81.9783
13200.000000	53.135231	160.2305
13600.000000	57.035500	-133.4050
14000.000000	60.178810	-84.9067
14500.000000	59.103725	-35.4738
15000.000000	55.030907	43.3811
15500.000000	52.110977	140.4683
16000.000000	50.575912	-115.6674
16500.000000	50.283348	-9.7117
17000.000000	51.120350	95.1870
17500.000000	53.402149	-164.7894
18000.000000	56.133873	-84.6914
18500.000000	55.476284	-22.8013
19000.000000	51.569065	56.3840
19500.000000	48.505840	148.8862
