* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 6, 2024 2:12:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: P20 R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 41.970 158.2776
0.732422 41.821 134.9245
1.098633 42.356 110.0655
1.464844 44.124 87.0060
1.831055 46.853 68.5715
2.197266 49.901 54.1079
2.563477 52.822 41.9587
2.929688 55.421 31.2059
3.295898 57.652 21.5809
3.662109 59.550 13.0665
4.028320 61.182 5.6499
4.394531 62.620 -0.7821
4.760742 63.923 -6.4446
5.126953 65.125 -11.5927
5.493164 66.240 -16.4432
5.859375 67.267 -21.1280
6.225586 68.202 -25.6887
6.591797 69.040 -30.0909
6.958008 69.785 -34.2489
7.324219 70.451 -38.0638
7.690430 71.062 -41.4807
8.056641 71.646 -44.5443
8.422852 72.224 -47.4070
8.789062 72.793 -50.2532
9.155273 73.332 -53.1810
9.521484 73.819 -56.1331
9.887695 74.247 -58.9379
10.253906 74.635 -61.4419
10.620117 75.018 -63.6477
10.986328 75.419 -65.7480
11.352539 75.828 -67.9907
11.718750 76.206 -70.4722
12.084961 76.517 -73.0378
12.451172 76.755 -75.3713
12.817383 76.960 -77.2178
13.183594 77.190 -78.6088
13.549805 77.485 -79.9047
13.916016 77.822 -81.5412
14.282227 78.135 -83.6772
14.648438 78.364 -86.0686
15.014648 78.496 -88.2334
15.380859 78.583 -89.7716
15.747070 78.712 -90.6837
16.113281 78.941 -91.4535
16.479492 79.245 -92.7060
16.845703 79.537 -94.7087
17.211914 79.729 -97.1956
17.578125 79.788 -99.5633
17.944336 79.757 -101.2157
18.310547 79.739 -101.9230
18.676758 79.832 -102.0406
19.042969 80.062 -102.3124
19.409180 80.359 -103.3172
19.775391 80.626 -105.1066
20.141602 80.793 -107.3021
20.507812 80.852 -109.3975
20.874023 80.834 -111.0221
21.240234 80.805 -112.0858
21.606445 80.808 -112.7681
21.972656 80.858 -113.3535
22.338867 80.937 -114.0395
22.705078 81.022 -114.8653
23.071289 81.101 -115.7765
23.437500 81.173 -116.7236
23.803711 81.241 -117.7070
24.169922 81.303 -118.7526
24.536133 81.351 -119.8587
24.902344 81.377 -120.9710
25.268555 81.383 -122.0045
25.634766 81.379 -122.8945
26.000977 81.382 -123.6418
26.367188 81.402 -124.3200
26.733398 81.442 -125.0370
27.099609 81.489 -125.8723
27.465820 81.527 -126.8308
27.832031 81.545 -127.8416
28.198242 81.543 -128.8006
28.564453 81.530 -129.6316
28.930664 81.520 -130.3311
29.296875 81.526 -130.9656
29.663086 81.544 -131.6219
30.029297 81.565 -132.3441
30.395508 81.580 -133.1091
30.761719 81.585 -133.8561
31.127930 81.586 -134.5413
31.494141 81.589 -135.1737
31.860352 81.601 -135.8010
32.226562 81.612 -136.4597
32.592773 81.618 -137.1381
32.958984 81.616 -137.7858
33.325195 81.613 -138.3641
33.691406 81.617 -138.8907
34.057617 81.634 -139.4352
34.423828 81.656 -140.0644
34.790039 81.670 -140.7838
35.156250 81.666 -141.5261
35.522461 81.647 -142.1976
35.888672 81.626 -142.7465
36.254883 81.615 -143.1998
36.621094 81.621 -143.6416
36.987305 81.639 -144.1499
37.353516 81.655 -144.7447
37.719727 81.664 -145.3870
38.085938 81.662 -146.0178
38.452148 81.654 -146.6010
38.818359 81.646 -147.1353
39.184570 81.641 -147.6373
39.550781 81.637 -148.1172
39.916992 81.636 -148.5747
40.283203 81.638 -149.0129
40.649414 81.646 -149.4516
41.015625 81.656 -149.9175
41.381836 81.663 -150.4194
41.748047 81.663 -150.9316
42.114258 81.656 -151.4079
42.480469 81.647 -151.8188
42.846680 81.645 -152.1820
43.212891 81.654 -152.5567
43.579102 81.667 -153.0007
43.945312 81.674 -153.5235
44.311523 81.667 -154.0748
44.677734 81.646 -154.5772
45.043945 81.619 -154.9796
45.410156 81.601 -155.2915
45.776367 81.596 -155.5755
46.142578 81.603 -155.9039
46.508789 81.615 -156.3150
46.875000 81.622 -156.8008
47.241211 81.618 -157.3236
47.607422 81.604 -157.8410
47.973633 81.581 -158.3192
48.339844 81.552 -158.7339
48.706055 81.522 -159.0707
49.072266 81.498 -159.3339
49.438477 81.485 -159.5549
49.804688 81.483 -159.7840
50.170898 81.489 -160.0623
50.537109 81.493 -160.3948
50.903320 81.492 -160.7488
51.269531 81.487 -161.0841
51.635742 81.483 -161.3905
52.001953 81.486 -161.7008
52.368164 81.493 -162.0636
52.734375 81.496 -162.4997
53.100586 81.487 -162.9789
53.466797 81.463 -163.4365
53.833008 81.431 -163.8163
54.199219 81.398 -164.1030
54.565430 81.374 -164.3246
54.931641 81.362 -164.5277
55.297852 81.360 -164.7533
55.664062 81.364 -165.0290
56.030273 81.369 -165.3703
56.396484 81.370 -165.7727
56.762695 81.358 -166.1967
57.128906 81.334 -166.5694
57.495117 81.306 -166.8233
57.861328 81.291 -166.9588
58.227539 81.303 -167.0762
58.593750 81.336 -167.3277
58.959961 81.369 -167.8060
59.326172 81.373 -168.4573
59.692383 81.332 -169.0930
60.058594 81.258 -169.4978
60.424805 81.184 -169.5699
60.791016 81.145 -169.4029
61.157227 81.152 -169.2282
61.523438 81.189 -169.2508
61.889648 81.225 -169.5150
62.255859 81.237 -169.9093
62.622070 81.224 -170.2783
62.988281 81.203 -170.5405
63.354492 81.190 -170.7280
63.720703 81.187 -170.9320
64.086914 81.186 -171.2117
64.453125 81.177 -171.5493
64.819336 81.156 -171.8807
65.185547 81.128 -172.1571
65.551758 81.102 -172.3803
65.917969 81.081 -172.5857
66.284180 81.062 -172.7998
66.650391 81.042 -173.0176
67.016602 81.022 -173.2187
67.382812 81.004 -173.3963
67.749023 80.990 -173.5672
68.115234 80.980 -173.7514
68.481445 80.969 -173.9488
68.847656 80.957 -174.1396
69.213867 80.947 -174.3098
69.580078 80.942 -174.4743
69.946289 80.942 -174.6688
70.312500 80.941 -174.9155
70.678711 80.932 -175.1952
71.044922 80.913 -175.4549
71.411133 80.890 -175.6484
71.777344 80.872 -175.7758
72.143555 80.864 -175.8871
72.509766 80.864 -176.0438
72.875977 80.863 -176.2706
73.242188 80.853 -176.5377
73.608398 80.833 -176.7849
73.974609 80.808 -176.9678
74.340820 80.788 -177.0881
74.707031 80.778 -177.1904
75.073242 80.776 -177.3285
75.439453 80.777 -177.5304
75.805664 80.772 -177.7849
76.171875 80.758 -178.0536
76.538086 80.736 -178.2952
76.904297 80.712 -178.4862
77.270508 80.691 -178.6295
77.636719 80.675 -178.7493
78.002930 80.666 -178.8780
78.369141 80.661 -179.0395
78.735352 80.655 -179.2379
79.101562 80.645 -179.4570
79.467773 80.629 -179.6698
79.833984 80.610 -179.8546
80.200195 80.592 179.9928
80.566406 80.577 179.8582
80.932617 80.567 179.7199
81.298828 80.558 179.5630
81.665039 80.548 179.3876
82.031250 80.536 179.2061
82.397461 80.521 179.0327
82.763672 80.505 178.8745
83.129883 80.491 178.7292
83.496094 80.478 178.5887
83.862305 80.466 178.4451
84.228516 80.455 178.2947
84.594727 80.444 178.1382
84.960938 80.432 177.9789
85.327148 80.418 177.8206
85.693359 80.404 177.6664
86.059570 80.390 177.5179
86.425781 80.376 177.3741
86.791992 80.362 177.2326
87.158203 80.348 177.0909
87.524414 80.335 176.9483
87.890625 80.321 176.8059
88.256836 80.307 176.6655
88.623047 80.292 176.5275
88.989258 80.278 176.3909
89.355469 80.264 176.2540
89.721680 80.251 176.1166
90.087891 80.237 175.9796
90.454102 80.223 175.8444
90.820312 80.209 175.7106
91.186523 80.196 175.5762
91.552734 80.183 175.4396
91.918945 80.169 175.3022
92.285156 80.155 175.1694
92.651367 80.140 175.0478
93.017578 80.126 174.9402
93.383789 80.115 174.8422
93.750000 80.106 174.7416
94.116211 80.100 174.6242
94.482422 80.095 174.4819
94.848633 80.086 174.3188
95.214844 80.073 174.1511
95.581055 80.055 173.9989
95.947266 80.036 173.8752
96.313477 80.019 173.7783
96.679688 80.004 173.6931
97.045898 79.992 173.6021
97.412109 79.980 173.4970
97.778320 79.967 173.3839
98.144531 79.953 173.2760
98.510742 79.938 173.1809
98.876953 79.926 173.0922
99.243164 79.916 172.9929
99.609375 79.907 172.8692
99.975586 79.895 172.7239
100.341797 79.879 172.5772
100.708008 79.859 172.4534
101.074219 79.840 172.3627
101.440430 79.825 172.2924
101.806641 79.815 172.2157
102.172852 79.807 172.1113
102.539062 79.797 171.9792
102.905273 79.783 171.8403
103.271484 79.766 171.7207
103.637695 79.748 171.6327
104.003906 79.734 171.5664
104.370117 79.725 171.4982
104.736328 79.719 171.4080
105.102539 79.711 171.2923
105.468750 79.701 171.1644
105.834961 79.687 171.0425
106.201172 79.673 170.9368
106.567383 79.659 170.8446
106.933594 79.646 170.7554
107.299805 79.634 170.6614
107.666016 79.621 170.5640
108.032227 79.607 170.4723
108.398438 79.592 170.3943
108.764648 79.579 170.3293
109.130859 79.569 170.2660
109.497070 79.561 170.1892
109.863281 79.554 170.0910
110.229492 79.545 169.9765
110.595703 79.532 169.8613
110.961914 79.517 169.7606
111.328125 79.503 169.6788
111.694336 79.490 169.6060
112.060547 79.480 169.5263
112.426758 79.470 169.4306
112.792969 79.457 169.3248
113.159180 79.442 169.2265
113.525391 79.424 169.1517
113.891602 79.408 169.1023
114.257812 79.396 169.0641
114.624023 79.388 169.0166
114.990234 79.380 168.9481
115.356445 79.372 168.8628
115.722656 79.360 168.7757
116.088867 79.348 168.6994
116.455078 79.337 168.6341
116.821289 79.328 168.5681
117.187500 79.321 168.4877
117.553711 79.313 168.3879
117.919922 79.302 168.2753
118.286133 79.289 168.1633
118.652344 79.273 168.0630
119.018555 79.257 167.9783
119.384766 79.242 167.9064
119.750977 79.228 167.8410
120.117188 79.216 167.7762
120.483398 79.205 167.7072
120.849609 79.194 167.6309
121.215820 79.182 167.5485
121.582031 79.169 167.4652
121.948242 79.155 167.3894
122.314453 79.140 167.3268
122.680664 79.128 167.2749
123.046875 79.117 167.2231
123.413086 79.108 167.1596
123.779297 79.098 167.0803
124.145508 79.086 166.9937
124.511719 79.071 166.9168
124.877930 79.055 166.8631
125.244141 79.040 166.8331
125.610352 79.030 166.8129
125.976562 79.024 166.7822
126.342773 79.020 166.7265
126.708984 79.014 166.6447
127.075195 79.006 166.5481
127.441406 78.995 166.4532
127.807617 78.981 166.3725
128.173828 78.967 166.3100
128.540039 78.955 166.2606
128.906250 78.945 166.2132
129.272461 78.937 166.1559
129.638672 78.930 166.0809
130.004883 78.921 165.9885
130.371094 78.909 165.8890
130.737305 78.892 165.7987
131.103516 78.873 165.7330
131.469727 78.855 165.6975
131.835938 78.840 165.6844
132.202148 78.829 165.6754
132.568359 78.822 165.6517
132.934570 78.815 165.6038
133.300781 78.807 165.5352
133.666992 78.797 165.4587
134.033203 78.784 165.3873
134.399414 78.769 165.3279
134.765625 78.755 165.2790
135.131836 78.742 165.2348
135.498047 78.730 165.1903
135.864258 78.718 165.1445
136.230469 78.705 165.0993
136.596680 78.694 165.0566
136.962891 78.682 165.0161
137.329102 78.672 164.9752
137.695312 78.662 164.9307
138.061523 78.653 164.8804
138.427734 78.644 164.8240
138.793945 78.635 164.7618
139.160156 78.625 164.6956
139.526367 78.614 164.6275
139.892578 78.603 164.5610
140.258789 78.590 164.4996
140.625000 78.577 164.4451
140.991211 78.564 164.3968
141.357422 78.552 164.3518
141.723633 78.540 164.3076
142.089844 78.529 164.2640
142.456055 78.517 164.2228
142.822266 78.505 164.1867
143.188477 78.494 164.1555
143.554688 78.483 164.1256
143.920898 78.474 164.0920
144.287109 78.466 164.0510
144.653320 78.457 164.0018
145.019531 78.447 163.9471
145.385742 78.436 163.8908
145.751953 78.424 163.8365
146.118164 78.411 163.7879
146.484375 78.397 163.7485
146.850586 78.383 163.7206
147.216797 78.371 163.7032
147.583008 78.360 163.6909
