* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jun 7, 2021 9:24:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HarmonicDyne PD1 R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	99.389503	-141.0415
21.200001	99.435493	-142.6183
21.799999	99.465637	-144.2148
22.400000	99.484612	-145.7774
23.000000	99.492218	-147.2337
23.600000	99.491844	-148.5926
24.299999	99.481354	-150.1393
25.000000	99.458176	-151.6944
25.799999	99.420761	-153.4488
26.500000	99.384567	-154.9109
27.200001	99.348427	-156.2825
28.000000	99.308212	-157.7754
29.000000	99.251869	-159.6142
30.000000	99.183838	-161.3928
30.700001	99.136047	-162.5705
31.500000	99.085014	-163.8697
32.500000	99.020332	-165.4460
33.500000	98.951340	-166.9466
34.500000	98.881561	-168.3909
35.500000	98.809319	-169.7916
36.500000	98.736816	-171.1285
37.500000	98.665619	-172.4093
38.700001	98.578728	-173.8805
40.000000	98.481514	-175.4024
41.200001	98.393234	-176.7555
42.500000	98.295906	-178.1406
43.700001	98.206551	-179.3652
45.000000	98.108727	179.3542
46.200001	98.020905	178.2411
47.500000	97.918633	177.0732
48.700001	97.826416	176.0449
50.000000	97.729614	174.9749
51.500000	97.616592	173.8427
53.000000	97.503189	172.6852
54.500000	97.391098	171.6214
56.000000	97.279976	170.6183
58.000000	97.133499	169.3234
60.000000	96.999245	168.1497
61.500000	96.878014	167.2796
63.000000	96.772224	166.4680
65.000000	96.628830	165.4483
67.000000	96.485825	164.4982
69.000000	96.345901	163.5720
71.000000	96.206894	162.7321
73.000000	96.068184	161.9396
75.000000	95.932121	161.1825
77.500000	95.761131	160.3055
80.000000	95.593277	159.4912
82.500000	95.429482	158.7423
85.000000	95.265045	158.0508
87.500000	95.090408	157.4644
90.000000	94.939896	156.7252
92.500000	94.798965	156.2567
95.000000	94.647278	155.7420
97.500000	94.500732	155.2849
100.000000	94.357574	154.8575
103.000000	94.191559	154.3883
106.000000	94.030838	153.9519
109.000000	93.872551	153.5820
112.000000	93.720787	153.2509
115.000000	93.573013	152.9531
118.000000	93.428459	152.6819
122.000000	93.241478	152.3613
125.000000	93.104019	152.1841
128.000000	92.970139	152.0216
132.000000	92.796066	151.8463
136.000000	92.625664	151.7072
140.000000	92.461746	151.6024
145.000000	92.263184	151.5358
150.000000	92.070480	151.5066
155.000000	91.884300	151.5395
160.000000	91.705544	151.6024
165.000000	91.533386	151.6999
170.000000	91.366394	151.8348
175.000000	91.204994	151.9984
180.000000	91.051651	152.1923
185.000000	90.898285	152.4208
190.000000	90.751945	152.6563
195.000000	90.611603	152.9247
200.000000	90.475426	153.2098
206.000000	90.318542	153.5692
212.000000	90.168648	153.9473
218.000000	90.023865	154.3511
224.000000	89.884781	154.7706
230.000000	89.752335	155.2051
236.000000	89.624756	155.6458
243.000000	89.480438	156.1908
250.000000	89.343674	156.7471
258.000000	89.195900	157.3935
265.000000	89.071144	157.9609
272.000000	88.954353	158.5543
280.000000	88.825607	159.2291
290.000000	88.675926	160.0951
300.000000	88.530777	160.9636
307.000000	88.439461	161.5711
315.000000	88.337151	162.2763
325.000000	88.217728	163.1523
335.000000	88.106628	164.0319
345.000000	87.999603	164.9062
355.000000	87.902969	165.8026
365.000000	87.811874	166.6781
375.000000	87.725052	167.5610
387.000000	87.630203	168.6067
400.000000	87.534760	169.7421
412.000000	87.453720	170.7679
425.000000	87.374420	171.8788
437.000000	87.307404	172.8981
450.000000	87.241837	173.9939
462.000000	87.186905	174.9971
475.000000	87.132553	176.0740
487.000000	87.088379	177.0534
500.000000	87.044456	178.1036
515.000000	87.000031	179.3052
530.000000	86.962662	-179.5075
545.000000	86.930214	-178.3371
560.000000	86.903580	-177.1828
580.000000	86.877388	-175.6601
600.000000	86.859146	-174.1789
615.000000	86.849854	-173.0752
630.000000	86.845245	-171.9896
650.000000	86.843353	-170.5706
670.000000	86.847763	-169.1737
690.000000	86.851479	-167.7950
710.000000	86.858948	-166.3737
730.000000	86.876770	-164.8938
750.000000	86.920128	-163.4289
775.000000	86.990677	-161.7688
800.000000	87.056412	-160.2470
825.000000	87.114891	-158.7518
850.000000	87.169540	-157.2137
875.000000	87.234970	-155.5744
900.000000	87.322754	-153.9058
925.000000	87.435120	-152.2818
950.000000	87.565659	-150.7600
975.000000	87.708206	-149.3619
1000.000000	87.856743	-148.0725
1030.000000	88.039726	-146.6691
1060.000000	88.222488	-145.3819
1090.000000	88.402695	-144.2269
1120.000000	88.577698	-143.1642
1150.000000	88.745361	-142.1808
1180.000000	88.905632	-141.2511
1220.000000	89.108459	-140.0615
1250.000000	89.251015	-139.1822
1280.000000	89.389488	-138.3023
1320.000000	89.566681	-137.0934
1360.000000	89.740692	-135.8304
1400.000000	89.916977	-134.4888
1450.000000	90.149033	-132.6969
1500.000000	90.403893	-130.7807
1550.000000	90.693077	-128.7499
1600.000000	91.026474	-126.6349
1650.000000	91.417694	-124.4943
1700.000000	91.876335	-122.4193
1750.000000	92.410324	-120.5025
1800.000000	93.026192	-118.9014
1850.000000	93.723183	-117.7571
1900.000000	94.496460	-117.2997
1950.000000	95.327385	-117.7315
2000.000000	96.178658	-119.2833
2060.000000	97.154915	-122.8179
2120.000000	97.957832	-128.1288
2180.000000	98.476143	-134.6268
2240.000000	98.661400	-141.3126
2300.000000	98.564064	-147.2766
2360.000000	98.287018	-151.9937
2430.000000	97.873383	-155.8796
2500.000000	97.460564	-158.3499
2580.000000	97.053864	-159.9485
2650.000000	96.775894	-160.6552
2720.000000	96.573486	-160.9687
2800.000000	96.433487	-161.0752
2900.000000	96.385506	-161.1330
3000.000000	96.462311	-161.4315
3070.000000	96.579361	-161.9510
3150.000000	96.760391	-163.0038
3250.000000	97.024261	-165.2098
3350.000000	97.271988	-168.5887
3450.000000	97.424080	-173.1852
3550.000000	97.394875	-178.7788
3650.000000	97.118378	175.1541
3750.000000	96.578781	169.3174
3870.000000	95.642311	163.4748
4000.000000	94.408958	159.1683
4120.000000	93.195412	157.0824
4250.000000	91.893341	156.5799
4370.000000	90.748840	157.4218
4500.000000	89.595222	159.4265
4620.000000	88.617584	162.0665
4750.000000	87.654755	165.5990
4870.000000	86.854553	169.3503
5000.000000	86.080482	173.8380
5150.000000	85.304871	179.4789
5300.000000	84.652466	-174.4935
5450.000000	84.111298	-168.0148
5600.000000	83.777924	-160.8641
5800.000000	83.539574	-152.1432
6000.000000	83.676414	-144.1013
6150.000000	83.766090	-138.2727
6300.000000	84.018181	-132.2469
6500.000000	84.643013	-124.5039
6700.000000	85.637115	-117.5360
6900.000000	87.085335	-111.9284
7100.000000	89.125862	-108.9161
7300.000000	91.894119	-111.7109
7500.000000	94.911133	-127.3495
7750.000000	95.398857	-165.7536
8000.000000	92.100960	172.8532
8250.000000	89.256371	168.8117
8500.000000	87.528069	170.1792
8750.000000	86.668831	172.0688
9000.000000	86.388489	172.5470
9250.000000	86.634659	169.6114
9500.000000	86.939926	159.3472
9750.000000	85.929031	142.1295
10000.000000	82.966675	130.6169
10300.000000	79.247299	135.1345
10600.000000	77.321037	147.3454
10900.000000	77.115921	158.4173
11200.000000	77.794174	162.0966
11500.000000	78.471291	160.5133
11800.000000	79.100357	157.4785
12200.000000	80.988251	153.0359
12500.000000	83.630928	141.7703
12800.000000	86.246140	115.7837
13200.000000	85.649353	69.1202
13600.000000	82.878120	46.4851
14000.000000	82.015251	35.5442
14500.000000	84.112297	10.1700
15000.000000	82.899529	-57.8084
15500.000000	75.389336	-93.8358
16000.000000	68.764511	-112.7383
16500.000000	64.928696	-124.9081
17000.000000	62.881062	-166.5340
17500.000000	57.194889	176.1041
18000.000000	59.531586	153.1623
18500.000000	63.336349	108.6479
19000.000000	67.084412	42.5859
19500.000000	66.867119	-49.7891
