* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Feb 1, 2022 5:41:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Phonix R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	79.849655	71.7223
21.200001	79.992592	70.3058
21.799999	80.069611	68.7358
22.400000	80.106049	66.9828
23.000000	80.205574	64.9887
23.600000	80.406677	63.2497
24.299999	80.626129	62.0952
25.000000	80.722160	61.8677
25.799999	80.642525	61.7256
26.500000	80.583542	59.6691
27.200001	80.813309	57.5114
28.000000	80.913055	57.6474
29.000000	80.858757	55.4181
30.000000	81.069153	54.5717
30.700001	80.983231	53.4374
31.500000	81.127419	52.1182
32.500000	81.141327	51.2592
33.500000	81.249634	49.9502
34.500000	81.284050	48.8781
35.500000	81.344330	47.8127
36.500000	81.408798	46.7481
37.500000	81.432266	45.9449
38.700001	81.542671	44.4537
40.000000	81.619209	43.2504
41.200001	81.645233	42.2766
42.500000	81.718307	41.0215
43.700001	81.748398	39.9520
45.000000	81.798523	39.0570
46.200001	81.843765	38.0247
47.500000	81.904533	37.0776
48.700001	81.961273	36.3182
50.000000	82.020554	35.2230
51.500000	82.062073	34.0234
53.000000	82.105957	33.1732
54.500000	82.141624	32.0679
56.000000	82.188515	31.2081
58.000000	82.243362	29.9890
60.000000	82.330002	28.6555
61.500000	82.333694	27.9082
63.000000	82.370186	27.1136
65.000000	82.423065	26.0055
67.000000	82.452393	24.9833
69.000000	82.499710	23.9313
71.000000	82.520821	22.9724
73.000000	82.554306	22.0277
75.000000	82.581161	21.0340
77.500000	82.629227	19.8827
80.000000	82.642258	18.8430
82.500000	82.669373	17.7763
85.000000	82.676018	16.8351
87.500000	82.670044	16.2196
90.000000	82.706665	14.8678
92.500000	82.725510	13.8859
95.000000	82.726753	13.0119
97.500000	82.732719	12.1198
100.000000	82.736710	11.2971
103.000000	82.741814	10.3054
106.000000	82.743370	9.3722
109.000000	82.753296	8.5012
112.000000	82.746429	7.5426
115.000000	82.742447	6.6822
118.000000	82.739029	5.8684
122.000000	82.729622	4.7863
125.000000	82.720764	4.0035
