* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 13, 2024 2:18:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Pilgrim Noir L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 39.595 149.0365
0.732422 40.693 118.0252
1.098633 42.860 89.9894
1.464844 45.755 67.5929
1.831055 48.852 50.1665
2.197266 51.819 35.8174
2.563477 54.501 23.2177
2.929688 56.838 11.7892
3.295898 58.833 1.4013
3.662109 60.528 -7.9093
4.028320 61.985 -16.1233
4.394531 63.272 -23.3396
4.760742 64.439 -29.7820
5.126953 65.511 -35.7149
5.493164 66.490 -41.3274
5.859375 67.367 -46.6699
6.225586 68.141 -51.6831
6.591797 68.828 -56.2856
6.958008 69.450 -60.4597
7.324219 70.032 -64.2839
7.690430 70.584 -67.8929
8.056641 71.102 -71.3980
8.422852 71.577 -74.8308
8.789062 72.001 -78.1481
9.155273 72.381 -81.2857
9.521484 72.729 -84.2161
9.887695 73.057 -86.9721
10.253906 73.372 -89.6245
10.620117 73.672 -92.2367
10.986328 73.952 -94.8314
11.352539 74.207 -97.3887
11.718750 74.437 -99.8687
12.084961 74.647 -102.2379
12.451172 74.845 -104.4850
12.817383 75.037 -106.6260
13.183594 75.229 -108.7013
13.549805 75.422 -110.7665
13.916016 75.610 -112.8704
14.282227 75.782 -115.0262
14.648438 75.927 -117.1897
15.014648 76.040 -119.2650
15.380859 76.130 -121.1461
15.747070 76.213 -122.7781
16.113281 76.309 -124.2038
16.479492 76.431 -125.5540
16.845703 76.572 -126.9747
17.211914 76.713 -128.5407
17.578125 76.834 -130.2173
17.944336 76.925 -131.8943
18.310547 76.992 -133.4606
18.676758 77.049 -134.8686
19.042969 77.111 -136.1521
19.409180 77.183 -137.3893
19.775391 77.260 -138.6449
20.141602 77.335 -139.9361
20.507812 77.401 -141.2436
20.874023 77.451 -142.5446
21.240234 77.493 -143.8332
21.606445 77.524 -145.1129
21.972656 77.545 -146.3747
22.338867 77.557 -147.5904
22.705078 77.564 -148.7358
23.071289 77.577 -149.8257
23.437500 77.597 -150.9230
23.803711 77.619 -152.1008
24.169922 77.630 -153.3782
24.536133 77.613 -154.6821
24.902344 77.568 -155.8724
25.268555 77.508 -156.8266
25.634766 77.463 -157.5353
26.000977 77.454 -158.1372
26.367188 77.479 -158.8446
26.733398 77.514 -159.7990
27.099609 77.525 -160.9698
27.465820 77.493 -162.1718
27.832031 77.426 -163.1820
28.198242 77.358 -163.8862
28.564453 77.323 -164.3698
28.930664 77.336 -164.8760
29.296875 77.382 -165.6412
29.663086 77.420 -166.7355
30.029297 77.419 -168.0292
30.395508 77.371 -169.2856
30.761719 77.293 -170.3031
31.127930 77.220 -171.0285
31.494141 77.180 -171.5818
31.860352 77.179 -172.1690
32.226562 77.198 -172.9441
32.592773 77.209 -173.9236
32.958984 77.195 -175.0017
33.325195 77.153 -176.0308
33.691406 77.094 -176.9061
34.057617 77.038 -177.6108
34.423828 76.996 -178.2065
34.790039 76.971 -178.7830
35.156250 76.956 -179.4041
35.522461 76.942 179.9178
35.888672 76.923 179.2119
36.254883 76.898 178.5189
36.621094 76.872 177.8638
36.987305 76.849 177.2410
37.353516 76.832 176.6177
37.719727 76.822 175.9510
38.085938 76.811 175.2131
38.452148 76.791 174.4128
38.818359 76.755 173.6021
39.184570 76.705 172.8588
39.550781 76.649 172.2468
39.916992 76.602 171.7725
40.283203 76.577 171.3658
40.649414 76.574 170.9139
41.015625 76.580 170.3336
41.381836 76.578 169.6306
41.748047 76.556 168.8984
42.114258 76.518 168.2506
42.480469 76.480 167.7330
42.846680 76.456 167.2812
43.212891 76.447 166.7691
43.579102 76.433 166.1222
43.945312 76.392 165.4019
44.311523 76.318 164.7863
44.677734 76.228 164.4529
45.043945 76.160 164.4322
45.410156 76.147 164.5406
45.776367 76.191 164.4742
46.142578 76.260 164.0073
46.508789 76.308 163.1304
46.875000 76.304 162.0316
47.241211 76.242 160.9738
47.607422 76.144 160.1590
47.973633 76.043 159.6448
48.339844 75.965 159.3431
48.706055 75.921 159.0943
49.072266 75.903 158.7626
49.438477 75.894 158.2936
49.804688 75.879 157.7154
50.170898 75.851 157.1042
50.537109 75.813 156.5396
50.903320 75.773 156.0625
51.269531 75.742 155.6525
51.635742 75.723 155.2420
52.001953 75.711 154.7688
52.368164 75.692 154.2311
52.734375 75.660 153.6972
53.100586 75.618 153.2509
53.466797 75.583 152.9103
53.833008 75.566 152.5917
54.199219 75.564 152.1661
54.565430 75.555 151.5734
54.931641 75.518 150.8919
55.297852 75.451 150.2941
55.664062 75.373 149.9175
56.030273 75.315 149.7430
56.396484 75.295 149.5916
56.762695 75.301 149.2634
57.128906 75.304 148.7014
57.495117 75.279 148.0271
57.861328 75.230 147.4271
58.227539 75.179 146.9900
58.593750 75.148 146.6307
58.959961 75.137 146.1754
59.326172 75.120 145.5406
59.692383 75.068 144.8385
60.058594 74.979 144.3139
60.424805 74.882 144.1600
60.791016 74.825 144.3422
61.157227 74.834 144.5809
61.523438 74.894 144.5444
61.889648 74.959 144.0906
62.255859 74.983 143.3457
62.622070 74.950 142.5903
62.988281 74.878 142.0757
63.354492 74.805 141.8816
63.720703 74.762 141.8901
64.086914 74.757 141.8864
64.453125 74.775 141.7050
64.819336 74.791 141.3096
65.185547 74.786 140.7719
65.551758 74.753 140.2044
65.917969 74.699 139.7069
66.284180 74.633 139.3416
66.650391 74.570 139.1237
67.016602 74.523 139.0134
67.382812 74.502 138.9174
67.749023 74.502 138.7216
68.115234 74.508 138.3523
68.481445 74.501 137.8262
68.847656 74.468 137.2502
69.213867 74.411 136.7633
69.580078 74.346 136.4537
69.946289 74.294 136.3044
70.312500 74.265 136.2093
70.678711 74.256 136.0529
71.044922 74.252 135.7882
71.411133 74.240 135.4515
71.777344 74.220 135.1102
72.143555 74.196 134.7992
72.509766 74.173 134.4990
72.875977 74.150 134.1718
73.242188 74.121 133.8165
73.608398 74.080 133.4844
73.974609 74.033 133.2397
74.340820 73.993 133.0957
74.707031 73.971 132.9870
75.073242 73.966 132.8097
75.439453 73.966 132.4993
75.805664 73.955 132.0775
76.171875 73.928 131.6290
76.538086 73.888 131.2325
76.904297 73.847 130.9049
77.270508 73.811 130.6041
77.636719 73.777 130.2859
78.002930 73.737 129.9596
78.369141 73.689 129.6883
78.735352 73.640 129.5322
79.101562 73.606 129.4828
79.467773 73.598 129.4484
79.833984 73.610 129.3100
80.200195 73.626 129.0035
80.566406 73.630 128.5574
80.932617 73.612 128.0639
81.298828 73.575 127.6141
81.665039 73.528 127.2507
82.031250 73.480 126.9658
82.397461 73.432 126.7358
82.763672 73.386 126.5549
83.129883 73.342 126.4340
83.496094 73.307 126.3709
83.862305 73.286 126.3257
84.228516 73.280 126.2307
84.594727 73.281 126.0332
84.960938 73.277 125.7328
85.327148 73.260 125.3816
85.693359 73.232 125.0478
86.059570 73.199 124.7687
86.425781 73.169 124.5303
86.791992 73.146 124.2864
87.158203 73.124 124.0016
87.524414 73.095 123.6829
87.890625 73.058 123.3762
88.256836 73.014 123.1324
88.623047 72.972 122.9698
88.989258 72.939 122.8611
89.355469 72.918 122.7522
89.721680 72.904 122.5997
90.087891 72.890 122.3970
90.454102 72.872 122.1714
90.820312 72.849 121.9593
91.186523 72.826 121.7792
91.552734 72.807 121.6211
91.918945 72.794 121.4562
92.285156 72.785 121.2576
92.651367 72.776 121.0139
93.017578 72.764 120.7318
93.383789 72.745 120.4273
93.750000 72.720 120.1180
94.116211 72.688 119.8195
94.482422 72.651 119.5454
94.848633 72.610 119.3077
95.214844 72.568 119.1136
95.581055 72.526 118.9631
95.947266 72.489 118.8484
96.313477 72.457 118.7555
96.679688 72.431 118.6683
97.045898 72.410 118.5712
97.412109 72.393 118.4530
97.778320 72.377 118.3110
98.144531 72.361 118.1530
98.510742 72.345 117.9922
98.876953 72.330 117.8361
99.243164 72.319 117.6761
99.609375 72.313 117.4882
99.975586 72.307 117.2487
100.341797 72.297 116.9562
100.708008 72.277 116.6409
101.074219 72.248 116.3517
101.440430 72.213 116.1265
101.806641 72.182 115.9666
102.172852 72.159 115.8345
102.539062 72.145 115.6786
102.905273 72.133 115.4683
103.271484 72.116 115.2108
103.637695 72.090 114.9427
104.003906 72.057 114.7041
104.370117 72.021 114.5162
104.736328 71.986 114.3766
105.102539 71.955 114.2689
105.468750 71.929 114.1756
105.834961 71.908 114.0832
106.201172 71.891 113.9804
106.567383 71.878 113.8559
106.933594 71.865 113.7008
107.299805 71.851 113.5151
107.666016 71.833 113.3105
108.032227 71.810 113.1072
108.398438 71.782 112.9261
108.764648 71.753 112.7807
109.130859 71.726 112.6725
109.497070 71.703 112.5901
109.863281 71.687 112.5134
110.229492 71.675 112.4204
110.595703 71.667 112.2973
110.961914 71.658 112.1436
111.328125 71.648 111.9691
111.694336 71.634 111.7843
112.060547 71.619 111.5913
112.426758 71.602 111.3867
112.792969 71.579 111.1748
113.159180 71.549 110.9791
113.525391 71.513 110.8365
113.891602 71.478 110.7720
114.257812 71.452 110.7715
114.624023 71.441 110.7793
114.990234 71.440 110.7293
115.356445 71.441 110.5917
115.722656 71.435 110.3940
116.088867 71.419 110.1992
116.455078 71.399 110.0558
116.821289 71.384 109.9582
117.187500 71.379 109.8517
117.553711 71.379 109.6799
117.919922 71.374 109.4342
118.286133 71.356 109.1645
118.652344 71.328 108.9414
119.018555 71.298 108.8029
119.384766 71.275 108.7270
119.750977 71.263 108.6522
120.117188 71.257 108.5278
120.483398 71.249 108.3494
120.849609 71.234 108.1530
121.215820 71.212 107.9791
121.582031 71.189 107.8423
121.948242 71.168 107.7303
122.314453 71.148 107.6262
122.680664 71.129 107.5286
123.046875 71.111 107.4449
123.413086 71.097 107.3701
123.779297 71.089 107.2764
124.145508 71.082 107.1338
124.511719 71.070 106.9419
124.877930 71.049 106.7407
125.244141 71.021 106.5813
125.610352 70.995 106.4783
125.976562 70.977 106.3887
126.342773 70.966 106.2471
126.708984 70.949 106.0322
127.075195 70.918 105.8032
127.441406 70.873 105.6628
127.807617 70.832 105.6696
128.173828 70.812 105.7690
128.540039 70.819 105.8156
128.906250 70.838 105.6862
129.272461 70.843 105.3867
129.638672 70.819 105.0563
130.004883 70.774 104.8635
130.371094 70.734 104.8711
130.737305 70.721 104.9766
131.103516 70.737 104.9901
131.469727 70.760 104.7940
131.835938 70.760 104.4394
132.202148 70.729 104.0997
132.568359 70.680 103.9306
132.934570 70.641 103.9453
133.300781 70.629 104.0071
133.666992 70.637 103.9507
134.033203 70.640 103.7245
134.399414 70.619 103.4275
134.765625 70.575 103.2182
135.131836 70.530 103.1829
135.498047 70.503 103.2658
135.864258 70.503 103.3194
136.230469 70.516 103.2282
136.596680 70.520 102.9950
136.962891 70.505 102.7217
137.329102 70.475 102.5186
137.695312 70.446 102.4215
138.061523 70.429 102.3783
138.427734 70.424 102.3062
138.793945 70.422 102.1635
139.160156 70.413 101.9770
139.526367 70.395 101.8110
139.892578 70.374 101.7132
140.258789 70.359 101.6785
140.625000 70.355 101.6543
140.991211 70.360 101.5779
141.357422 70.364 101.4197
141.723633 70.358 101.2054
142.089844 70.335 101.0052
142.456055 70.300 100.8950
142.822266 70.267 100.9075
143.188477 70.249 101.0031
143.554688 70.249 101.0851
143.920898 70.260 101.0615
144.287109 70.267 100.9100
144.653320 70.258 100.6946
145.019531 70.230 100.5197
145.385742 70.198 100.4531
145.751953 70.176 100.4735
146.118164 70.171 100.4866
146.484375 70.177 100.4007
146.850586 70.178 100.1979
147.216797 70.165 99.9437
147.583008 70.137 99.7328
147.949219 70.105 99.6183
148.315430 70.084 99.5785
148.681641 70.077 99.5403
149.047852 70.079 99.4364
149.414062 70.081 99.2487
149.780273 70.073 99.0115
150.146484 70.052 98.7875
150.512695 70.023 98.6356
