* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 13, 2024 2:19:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Pilgrim Noir R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 33.706 173.4771
0.732422 34.614 149.7829
1.098633 37.057 108.0427
1.464844 41.693 70.4916
1.831055 46.241 45.7680
2.197266 49.886 28.7309
2.563477 52.744 16.1518
2.929688 55.059 6.5459
3.295898 57.033 -1.0705
3.662109 58.792 -7.5737
4.028320 60.383 -13.6605
4.394531 61.800 -19.6933
4.760742 63.028 -25.6972
5.126953 64.070 -31.4958
5.493164 64.953 -36.8775
5.859375 65.724 -41.7218
6.225586 66.433 -46.0633
6.591797 67.117 -50.0776
6.958008 67.788 -53.9940
7.324219 68.434 -57.9836
7.690430 69.034 -62.0871
8.056641 69.570 -66.2141
8.422852 70.039 -70.2013
8.789062 70.456 -73.8998
9.155273 70.847 -77.2587
9.521484 71.239 -80.3622
9.887695 71.637 -83.3844
10.253906 72.028 -86.4742
10.620117 72.384 -89.6551
10.986328 72.685 -92.8097
11.352539 72.930 -95.7567
11.718750 73.139 -98.3660
12.084961 73.339 -100.6401
12.451172 73.547 -102.7036
12.817383 73.762 -104.7012
13.183594 73.971 -106.6937
13.549805 74.164 -108.6448
13.916016 74.347 -110.5044
14.282227 74.532 -112.3042
14.648438 74.722 -114.1643
15.014648 74.900 -116.1914
15.380859 75.036 -118.3537
15.747070 75.114 -120.4507
16.113281 75.145 -122.2144
16.479492 75.173 -123.4923
16.845703 75.250 -124.3982
17.211914 75.401 -125.2868
17.578125 75.602 -126.5210
17.944336 75.799 -128.2275
18.310547 75.942 -130.2460
18.676758 76.016 -132.2656
19.042969 76.037 -134.0115
19.409180 76.046 -135.3789
19.775391 76.073 -136.4520
20.141602 76.133 -137.4085
20.507812 76.216 -138.3923
20.874023 76.306 -139.4642
21.240234 76.399 -140.6451
21.606445 76.490 -141.9750
21.972656 76.570 -143.5104
22.338867 76.619 -145.2590
22.705078 76.613 -147.1159
23.071289 76.545 -148.8664
23.437500 76.431 -150.2689
23.803711 76.312 -151.1880
24.169922 76.238 -151.7083
24.536133 76.238 -152.1282
24.902344 76.298 -152.7942
25.268555 76.375 -153.8858
25.634766 76.420 -155.3215
26.000977 76.406 -156.8273
26.367188 76.346 -158.0962
26.733398 76.278 -158.9601
27.099609 76.249 -159.4992
27.465820 76.281 -160.0035
27.832031 76.354 -160.7748
28.198242 76.420 -161.9165
28.564453 76.437 -163.2737
28.930664 76.391 -164.5379
29.296875 76.307 -165.4321
29.663086 76.233 -165.8834
30.029297 76.211 -166.0841
30.395508 76.248 -166.3690
30.761719 76.311 -166.9839
31.127930 76.357 -167.9398
31.494141 76.357 -169.0504
31.860352 76.313 -170.0815
32.226562 76.248 -170.8990
32.592773 76.192 -171.5333
32.958984 76.158 -172.1270
33.325195 76.137 -172.8125
33.691406 76.112 -173.6178
34.057617 76.070 -174.4663
34.423828 76.012 -175.2502
34.790039 75.953 -175.9100
35.156250 75.906 -176.4710
35.522461 75.878 -177.0198
35.888672 75.864 -177.6434
36.254883 75.849 -178.3723
36.621094 75.819 -179.1554
36.987305 75.768 -179.8742
37.353516 75.704 179.6050
37.719727 75.654 179.3472
38.085938 75.647 179.2663
38.452148 75.700 179.1154
38.818359 75.795 178.6047
39.184570 75.884 177.5869
39.550781 75.913 176.1736
39.916992 75.850 174.7038
40.283203 75.706 173.5949
40.649414 75.535 173.1316
41.015625 75.408 173.2748
41.381836 75.373 173.6471
41.748047 75.420 173.7844
42.114258 75.497 173.4554
42.480469 75.552 172.7497
42.846680 75.566 171.9131
43.212891 75.553 171.1250
43.579102 75.531 170.3962
43.945312 75.502 169.6465
44.311523 75.448 168.8756
44.677734 75.359 168.2449
45.043945 75.252 167.9726
45.410156 75.176 168.1101
45.776367 75.174 168.4012
46.142578 75.242 168.4192
46.508789 75.326 167.9053
46.875000 75.363 166.9701
47.241211 75.327 165.9871
47.607422 75.248 165.3009
47.973633 75.185 164.9545
48.339844 75.174 164.6419
48.706055 75.198 163.9805
49.072266 75.197 162.8671
49.438477 75.122 161.5766
49.804688 74.977 160.5565
50.170898 74.823 160.0845
50.537109 74.736 160.0093
50.903320 74.743 159.8174
51.269531 74.798 159.0534
51.635742 74.818 157.6889
52.001953 74.745 156.1227
52.368164 74.583 154.9099
52.734375 74.397 154.4313
53.100586 74.275 154.6412
53.466797 74.272 155.0724
53.833008 74.368 155.1700
54.199219 74.495 154.6712
54.565430 74.585 153.6942
54.931641 74.605 152.5723
55.297852 74.561 151.6437
55.664062 74.486 151.1079
56.030273 74.420 150.9675
56.396484 74.391 151.0588
56.762695 74.399 151.1585
57.128906 74.426 151.1111
57.495117 74.444 150.9036
57.861328 74.436 150.6491
58.227539 74.405 150.4981
58.593750 74.373 150.5262
58.959961 74.365 150.6654
59.326172 74.390 150.7345
59.692383 74.434 150.5595
60.058594 74.470 150.0880
60.424805 74.475 149.4088
60.791016 74.443 148.6781
61.157227 74.383 148.0208
61.523438 74.313 147.4749
61.889648 74.243 147.0105
62.255859 74.175 146.5929
62.622070 74.110 146.2271
62.988281 74.051 145.9413
63.354492 74.010 145.7299
63.720703 73.993 145.5185
64.086914 73.999 145.1946
64.453125 74.011 144.6866
64.819336 74.006 144.0236
65.185547 73.971 143.3286
65.551758 73.910 142.7514
65.917969 73.839 142.3842
66.284180 73.781 142.2088
66.650391 73.747 142.1110
67.016602 73.733 141.9592
67.382812 73.723 141.6929
67.749023 73.698 141.3602
68.115234 73.654 141.0800
68.481445 73.604 140.9547
68.847656 73.570 140.9856
69.213867 73.570 141.0494
69.580078 73.600 140.9663
69.946289 73.639 140.6179
70.312500 73.658 140.0247
70.678711 73.640 139.3295
71.044922 73.587 138.7077
71.411133 73.517 138.2675
71.777344 73.452 137.9990
72.143555 73.405 137.8039
72.509766 73.373 137.5817
72.875977 73.343 137.2996
73.242188 73.308 136.9948
73.608398 73.267 136.7219
73.974609 73.228 136.5021
74.340820 73.196 136.3140
74.707031 73.171 136.1242
75.073242 73.150 135.9194
75.439453 73.131 135.7072
75.805664 73.117 135.4898
76.171875 73.109 135.2451
76.538086 73.105 134.9376
76.904297 73.097 134.5492
77.270508 73.080 134.1008
77.636719 73.047 133.6437
78.002930 73.002 133.2339
78.369141 72.950 132.9084
78.735352 72.898 132.6798
79.101562 72.853 132.5394
79.467773 72.822 132.4564
79.833984 72.809 132.3741
80.200195 72.810 132.2221
80.566406 72.815 131.9522
80.932617 72.812 131.5771
81.298828 72.789 131.1758
81.665039 72.752 130.8489
82.031250 72.713 130.6483
82.397461 72.688 130.5326
82.763672 72.682 130.3928
83.129883 72.684 130.1358
83.496094 72.676 129.7581
83.862305 72.648 129.3467
84.228516 72.602 129.0096
84.594727 72.553 128.7943
84.960938 72.515 128.6566
85.327148 72.489 128.5076
85.693359 72.466 128.2941
86.059570 72.436 128.0423
86.425781 72.397 127.8273
86.791992 72.358 127.6992
87.158203 72.333 127.6310
87.524414 72.326 127.5326
87.890625 72.329 127.3204
88.256836 72.327 126.9817
88.623047 72.307 126.5832
88.989258 72.270 126.2231
89.355469 72.225 125.9686
89.721680 72.185 125.8203
90.087891 72.158 125.7227
90.454102 72.144 125.6072
90.820312 72.137 125.4321
91.186523 72.129 125.1956
91.552734 72.115 124.9228
91.918945 72.095 124.6430
92.285156 72.069 124.3752
92.651367 72.041 124.1246
93.017578 72.010 123.8884
93.383789 71.978 123.6643
93.750000 71.942 123.4569
94.116211 71.905 123.2785
94.482422 71.867 123.1417
94.848633 71.834 123.0475
95.214844 71.809 122.9760
95.581055 71.795 122.8893
95.947266 71.787 122.7486
96.313477 71.780 122.5365
96.679688 71.767 122.2684
97.045898 71.745 121.9850
97.412109 71.715 121.7307
97.778320 71.682 121.5301
98.144531 71.652 121.3791
98.510742 71.628 121.2519
98.876953 71.610 121.1204
99.243164 71.595 120.9695
99.609375 71.580 120.8007
99.975586 71.563 120.6253
100.341797 71.546 120.4541
100.708008 71.528 120.2913
101.074219 71.510 120.1348
101.440430 71.493 119.9806
101.806641 71.477 119.8265
102.172852 71.460 119.6717
102.539062 71.445 119.5141
102.905273 71.431 119.3473
103.271484 71.417 119.1621
103.637695 71.401 118.9536
104.003906 71.381 118.7292
104.370117 71.356 118.5107
104.736328 71.326 118.3246
105.102539 71.297 118.1843
105.468750 71.274 118.0760
105.834961 71.258 117.9622
106.201172 71.248 117.8057
106.567383 71.237 117.5967
106.933594 71.220 117.3617
107.299805 71.196 117.1428
107.666016 71.171 116.9630
108.032227 71.151 116.8065
108.398438 71.135 116.6333
108.764648 71.119 116.4194
109.130859 71.095 116.1864
109.497070 71.064 115.9899
109.863281 71.031 115.8725
110.229492 71.007 115.8196
110.595703 70.998 115.7622
110.961914 70.998 115.6309
111.328125 70.993 115.4162
111.694336 70.978 115.1776
112.060547 70.954 114.9897
112.426758 70.933 114.8709
112.792969 70.924 114.7617
113.159180 70.921 114.5814
113.525391 70.910 114.3187
113.891602 70.879 114.0672
114.257812 70.836 113.9626
114.624023 70.806 114.0578
114.990234 70.814 114.2358
115.356445 70.863 114.2572
115.722656 70.926 113.9310
116.088867 70.959 113.2666
116.455078 70.930 112.4830
116.821289 70.843 111.8845
117.187500 70.729 111.6839
117.553711 70.637 111.8723
117.919922 70.595 112.2271
118.286133 70.599 112.4771
118.652344 70.617 112.4906
119.018555 70.622 112.3290
119.384766 70.603 112.1511
119.750977 70.574 112.0720
120.117188 70.553 112.0839
120.483398 70.549 112.0864
120.849609 70.552 111.9863
121.215820 70.549 111.7767
121.582031 70.529 111.5323
121.948242 70.495 111.3421
122.314453 70.458 111.2439
122.680664 70.430 111.2080
123.046875 70.412 111.1758
123.413086 70.400 111.1103
123.779297 70.389 111.0138
124.145508 70.378 110.9063
124.511719 70.369 110.7930
124.877930 70.365 110.6546
125.244141 70.361 110.4685
125.610352 70.353 110.2366
125.976562 70.335 109.9927
126.342773 70.310 109.7830
126.708984 70.281 109.6371
127.075195 70.256 109.5509
127.441406 70.239 109.4941
127.807617 70.230 109.4319
128.173828 70.225 109.3432
128.540039 70.221 109.2252
128.906250 70.216 109.0854
129.272461 70.209 108.9346
129.638672 70.198 108.7828
130.004883 70.185 108.6394
130.371094 70.171 108.5097
130.737305 70.157 108.3915
131.103516 70.144 108.2759
131.469727 70.130 108.1553
131.835938 70.114 108.0323
132.202148 70.096 107.9213
132.568359 70.077 107.8365
132.934570 70.060 107.7762
133.300781 70.049 107.7167
133.666992 70.042 107.6259
134.033203 70.034 107.4877
134.399414 70.020 107.3188
134.765625 69.996 107.1619
135.131836 69.968 107.0583
135.498047 69.943 107.0179
135.864258 69.928 107.0093
136.230469 69.923 106.9782
136.596680 69.924 106.8811
136.962891 69.922 106.7121
137.329102 69.911 106.5030
137.695312 69.891 106.3019
138.061523 69.866 106.1458
138.427734 69.840 106.0435
138.793945 69.820 105.9771
139.160156 69.805 105.9170
139.526367 69.796 105.8398
139.892578 69.787 105.7379
140.258789 69.777 105.6194
140.625000 69.765 105.5002
140.991211 69.752 105.3943
141.357422 69.739 105.3064
141.723633 69.728 105.2303
142.089844 69.721 105.1522
142.456055 69.715 105.0588
142.822266 69.710 104.9457
143.188477 69.702 104.8195
143.554688 69.691 104.6923
143.920898 69.678 104.5728
144.287109 69.665 104.4603
144.653320 69.651 104.3481
145.019531 69.635 104.2346
145.385742 69.615 104.1320
145.751953 69.593 104.0622
146.118164 69.572 104.0390
146.484375 69.560 104.0501
146.850586 69.557 104.0540
147.216797 69.563 104.0013
147.583008 69.569 103.8672
147.949219 69.568 103.6711
148.315430 69.554 103.4666
148.681641 69.533 103.3083
149.047852 69.510 103.2186
149.414062 69.494 103.1774
149.780273 69.486 103.1411
150.146484 69.485 103.0742
150.512695 69.483 102.9689
