* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Nov 1, 2021 12:44:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Provence L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	93.389542	-146.2102
21.200001	93.410461	-147.6157
21.799999	93.413712	-149.0007
22.400000	93.408562	-150.3300
23.000000	93.399467	-151.5747
23.600000	93.387985	-152.7810
24.299999	93.363777	-154.1927
25.000000	93.325302	-155.5813
25.799999	93.275215	-157.1158
26.500000	93.226883	-158.4303
27.200001	93.169479	-159.6908
28.000000	93.094490	-161.0345
29.000000	92.995377	-162.5755
30.000000	92.912186	-164.0328
30.700001	92.862518	-165.0729
31.500000	92.801842	-166.2170
32.500000	92.722450	-167.5126
33.500000	92.636124	-168.7374
34.500000	92.551666	-169.9030
35.500000	92.471870	-171.0552
36.500000	92.385956	-172.1259
37.500000	92.301483	-173.1708
38.700001	92.195526	-174.4000
40.000000	92.092445	-175.5695
41.200001	91.997635	-176.6073
42.500000	91.892487	-177.6741
43.700001	91.801361	-178.6394
45.000000	91.699303	-179.5892
46.200001	91.612228	179.5981
47.500000	91.507843	178.7333
48.700001	91.415123	178.0176
50.000000	91.323715	177.2523
51.500000	91.214188	176.4184
53.000000	91.104752	175.6261
54.500000	91.001907	174.9088
56.000000	90.903122	174.2103
58.000000	90.769234	173.3559
60.000000	90.634033	172.5734
61.500000	90.551903	172.0162
63.000000	90.460175	171.5278
65.000000	90.342720	170.8849
67.000000	90.228516	170.2814
69.000000	90.113182	169.7462
71.000000	90.004448	169.2448
73.000000	89.901825	168.7909
75.000000	89.798508	168.3502
77.500000	89.669319	167.8477
80.000000	89.546890	167.4141
82.500000	89.428238	166.9712
85.000000	89.315536	166.6112
87.500000	89.253036	166.2503
90.000000	89.105148	165.9976
92.500000	88.994263	165.7013
95.000000	88.899643	165.3772
97.500000	88.807617	165.1727
100.000000	88.721596	164.9461
103.000000	88.618668	164.7288
106.000000	88.519722	164.5372
109.000000	88.424149	164.3362
112.000000	88.340889	164.1862
115.000000	88.257294	163.9781
118.000000	88.093872	163.1054
122.000000	88.072601	163.7571
125.000000	87.996208	163.6273
128.000000	87.923782	163.5273
132.000000	87.833054	163.4009
136.000000	87.742035	163.3068
140.000000	87.655098	163.2385
145.000000	87.552406	163.1308
150.000000	87.454315	163.0761
155.000000	87.357994	163.0172
160.000000	87.266991	162.9675
165.000000	87.177719	162.9413
170.000000	87.091942	162.9133
175.000000	87.007088	162.9100
180.000000	86.927353	162.8724
185.000000	86.845940	162.8976
190.000000	86.769119	162.9157
195.000000	86.692947	162.9170
200.000000	86.617386	162.9225
206.000000	86.529709	162.9765
212.000000	86.445984	163.0099
218.000000	86.361313	163.0461
224.000000	86.279228	163.1068
230.000000	86.199051	163.1620
236.000000	86.116043	163.2393
243.000000	86.027390	163.3286
250.000000	85.938454	163.4261
258.000000	85.840927	163.5504
265.000000	85.752769	163.6858
272.000000	85.668617	163.7976
280.000000	85.574585	163.9515
290.000000	85.456711	164.1592
300.000000	85.339935	164.3713
307.000000	85.264534	164.5511
315.000000	85.176323	164.7634
325.000000	85.066925	165.0383
335.000000	84.961426	165.3213
345.000000	84.856064	165.6322
355.000000	84.752594	165.9692
365.000000	84.651306	166.2989
375.000000	84.554596	166.6601
387.000000	84.441803	167.1200
400.000000	84.321587	167.6368
412.000000	84.214287	168.1495
425.000000	84.100250	168.7178
437.000000	84.002121	169.2629
450.000000	83.897713	169.8878
462.000000	83.806374	170.4825
475.000000	83.710495	171.1459
487.000000	83.626945	171.7585
500.000000	83.538773	172.4402
515.000000	83.446007	173.2528
530.000000	83.355820	174.0939
545.000000	83.273026	174.9214
560.000000	83.197929	175.7893
580.000000	83.102173	176.9441
600.000000	83.013603	178.1039
615.000000	82.956566	179.0028
630.000000	82.901443	179.8992
650.000000	82.838989	-178.9018
670.000000	82.776474	-177.6812
690.000000	82.723785	-176.4562
710.000000	82.679596	-175.2106
730.000000	82.640610	-173.9336
750.000000	82.610390	-172.6456
775.000000	82.587265	-171.0269
800.000000	82.577759	-169.3683
825.000000	82.584900	-167.6989
850.000000	82.613022	-166.0150
875.000000	82.657623	-164.3653
900.000000	82.724014	-162.7432
925.000000	82.807640	-161.1716
950.000000	82.906738	-159.6910
975.000000	83.022614	-158.2913
1000.000000	83.151855	-157.0037
1030.000000	83.315811	-155.6085
1060.000000	83.485229	-154.3813
1090.000000	83.651146	-153.2886
1120.000000	83.819107	-152.2977
1150.000000	83.988617	-151.4118
1180.000000	84.157997	-150.6534
1220.000000	84.371895	-149.8343
1250.000000	84.518600	-149.3184
1280.000000	84.653397	-148.8410
1320.000000	84.814224	-148.2500
1360.000000	84.961243	-147.6604
1400.000000	85.098480	-147.0531
1450.000000	85.260757	-146.2494
1500.000000	85.421577	-145.3795
1550.000000	85.587540	-144.4821
1600.000000	85.762276	-143.5631
1650.000000	85.946823	-142.6446
1700.000000	86.146034	-141.7419
1750.000000	86.360207	-140.8739
1800.000000	86.587334	-140.0847
1850.000000	86.827759	-139.3929
1900.000000	87.081909	-138.8185
1950.000000	87.345268	-138.3799
2000.000000	87.617889	-138.0861
2060.000000	87.948235	-137.9668
2120.000000	88.280235	-138.1108
2180.000000	88.602997	-138.5407
2240.000000	88.909149	-139.2363
2300.000000	89.187637	-140.1952
2360.000000	89.430313	-141.3730
2430.000000	89.661560	-142.9463
2500.000000	89.833099	-144.6393
2580.000000	89.954315	-146.6132
2650.000000	89.997040	-148.2792
2720.000000	89.986069	-149.7758
2800.000000	89.924469	-151.1926
2900.000000	89.797714	-152.4071
3000.000000	89.656578	-152.9808
3070.000000	89.570023	-153.0358
3150.000000	89.496620	-152.7995
3250.000000	89.460289	-152.1742
3350.000000	89.500984	-151.3399
3450.000000	89.627396	-150.5047
3550.000000	89.840889	-149.8797
3650.000000	90.134613	-149.7151
3750.000000	90.485329	-150.2792
3870.000000	90.916733	-152.2560
4000.000000	91.250900	-156.1740
4120.000000	91.275650	-160.8499
4250.000000	90.919937	-165.4893
4370.000000	90.348816	-167.9658
