* Measurement data measured by REW V5.20.13
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -64.3 dBFS, measurement signal peak level -26.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: Jun 24, 2023 5:20:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0012 ms (0.40 mm, 0.02 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: -0.1 ppm
* Measurement: Quartet Off On R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	91.346	-113.1119
21.200001	91.471	-114.9070
21.799999	91.582	-116.6034
22.400000	91.671	-118.2410
23.000000	91.737	-119.8414
23.600000	91.796	-121.3669
24.299999	91.863	-123.0568
25.000000	91.913	-124.7517
25.799999	91.958	-126.6815
26.500000	91.999	-128.2297
27.200001	92.030	-129.6879
28.000000	92.056	-131.3570
29.000000	92.102	-133.3102
30.000000	92.124	-135.1630
30.700001	92.129	-136.4861
31.500000	92.144	-137.9403
32.500000	92.165	-139.6557
33.500000	92.190	-141.2840
34.500000	92.198	-142.8551
35.500000	92.196	-144.3756
36.500000	92.203	-145.8507
37.500000	92.206	-147.3062
38.700001	92.201	-148.8513
40.000000	92.204	-150.5928
41.200001	92.197	-152.1405
42.500000	92.192	-153.5467
43.700001	92.190	-154.9827
45.000000	92.175	-156.4312
46.200001	92.160	-157.6791
47.500000	92.141	-159.0705
48.700001	92.131	-160.1993
50.000000	92.113	-161.4677
51.500000	92.096	-162.8510
53.000000	92.058	-164.2118
54.500000	92.043	-165.4882
56.000000	92.012	-166.6152
58.000000	91.973	-168.2383
60.000000	91.957	-169.9850
61.500000	91.903	-170.8141
63.000000	91.872	-171.8941
65.000000	91.828	-173.2417
67.000000	91.780	-174.5105
69.000000	91.731	-175.7643
71.000000	91.682	-176.9301
73.000000	91.627	-178.0975
75.000000	91.579	-179.2150
77.500000	91.505	179.4677
80.000000	91.430	178.2496
82.500000	91.362	177.0250
85.000000	91.290	175.8683
87.500000	91.215	174.7449
90.000000	91.139	173.6649
92.500000	91.062	172.6393
95.000000	90.988	171.6561
97.500000	90.911	170.7174
100.000000	90.841	169.7875
103.000000	90.749	168.7286
106.000000	90.662	167.7257
109.000000	90.574	166.7721
112.000000	90.486	165.8374
115.000000	90.397	164.9514
118.000000	90.311	164.0929
122.000000	90.193	163.0257
125.000000	90.105	162.2543
128.000000	90.017	161.5142
132.000000	89.896	160.5800
136.000000	89.778	159.6910
140.000000	89.658	158.8514
145.000000	89.510	157.8661
150.000000	89.360	156.9454
155.000000	89.209	156.1027
160.000000	89.061	155.2843
165.000000	88.910	154.5469
170.000000	88.763	153.8587
175.000000	88.616	153.2189
180.000000	88.479	152.6382
185.000000	88.322	152.0898
190.000000	88.178	151.5953
195.000000	88.033	151.1479
200.000000	87.891	150.7278
206.000000	87.722	150.2900
212.000000	87.555	149.9037
218.000000	87.390	149.5615
224.000000	87.229	149.2790
230.000000	87.071	149.0516
236.000000	86.914	148.8502
243.000000	86.738	148.7023
250.000000	86.564	148.6078
258.000000	86.373	148.5704
265.000000	86.210	148.5932
272.000000	86.055	148.6537
280.000000	85.887	148.8004
290.000000	85.686	149.0556
300.000000	85.500	149.3016
307.000000	85.378	149.6417
315.000000	85.250	149.9906
325.000000	85.100	150.4511
335.000000	84.969	150.9485
345.000000	84.853	151.4562
355.000000	84.749	151.9917
365.000000	84.660	152.5054
375.000000	84.583	153.0117
387.000000	84.507	153.5799
400.000000	84.438	154.1641
412.000000	84.387	154.6534
425.000000	84.342	155.1215
437.000000	84.307	155.5049
450.000000	84.275	155.8738
462.000000	84.249	156.1726
475.000000	84.223	156.4550
487.000000	84.202	156.6975
500.000000	84.177	156.9226
515.000000	84.152	157.1713
530.000000	84.127	157.4059
545.000000	84.103	157.6151
560.000000	84.078	157.8445
580.000000	84.050	158.1445
600.000000	84.023	158.4522
615.000000	84.005	158.6920
630.000000	83.991	158.9486
650.000000	83.976	159.3092
670.000000	83.965	159.6918
690.000000	83.960	160.0910
710.000000	83.957	160.5269
730.000000	83.952	161.1001
750.000000	84.008	161.7988
775.000000	84.076	162.2393
800.000000	84.136	162.7481
825.000000	84.208	163.2910
850.000000	84.295	163.8116
875.000000	84.396	164.3022
900.000000	84.506	164.7321
925.000000	84.615	165.0944
950.000000	84.717	165.4357
975.000000	84.802	165.8615
1000.000000	84.880	166.6043
1030.000000	85.045	168.0537
1060.000000	85.363	169.4891
1090.000000	85.774	170.1758
1120.000000	86.186	170.1223
1150.000000	86.568	169.6051
1180.000000	86.915	168.8220
1220.000000	87.328	167.5109
1250.000000	87.608	166.4053
1280.000000	87.862	165.2398
1320.000000	88.169	163.6295
1360.000000	88.440	161.9951
1400.000000	88.681	160.4000
1450.000000	88.950	158.4963
1500.000000	89.194	156.7527
1550.000000	89.427	155.1426
1600.000000	89.660	153.6620
1650.000000	89.897	152.2667
