* Measurement data measured by REW V5.20.13
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -63.5 dBFS, measurement signal peak level -24.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: Jun 24, 2023 5:21:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0400 ms (-14 mm, -0.54 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 0.3 ppm
* Measurement: Quartet On Off R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	92.157	-112.8467
21.200001	92.285	-114.6308
21.799999	92.397	-116.3096
22.400000	92.483	-117.9328
23.000000	92.546	-119.5680
23.600000	92.610	-121.1832
24.299999	92.683	-122.9311
25.000000	92.733	-124.5651
25.799999	92.775	-126.4497
26.500000	92.822	-128.0448
27.200001	92.860	-129.5010
28.000000	92.883	-131.1087
29.000000	92.918	-133.1391
30.000000	92.942	-135.0594
30.700001	92.951	-136.3307
31.500000	92.969	-137.7423
32.500000	92.989	-139.4398
33.500000	92.998	-141.0491
34.500000	93.008	-142.6252
35.500000	93.018	-144.1282
36.500000	93.020	-145.5760
37.500000	93.022	-146.9559
38.700001	93.025	-148.5641
40.000000	93.015	-150.2283
41.200001	93.011	-151.7237
42.500000	93.004	-153.2130
43.700001	92.998	-154.6142
45.000000	92.980	-156.0334
46.200001	92.969	-157.2675
47.500000	92.952	-158.5832
48.700001	92.932	-159.7290
50.000000	92.913	-160.9601
51.500000	92.881	-162.2869
53.000000	92.861	-163.6051
54.500000	92.832	-164.8615
56.000000	92.804	-166.0192
58.000000	92.763	-167.5576
60.000000	92.708	-169.2222
61.500000	92.692	-170.1129
63.000000	92.657	-171.1298
65.000000	92.609	-172.4127
67.000000	92.558	-173.7113
69.000000	92.509	-174.8550
71.000000	92.462	-176.0561
73.000000	92.403	-177.1198
75.000000	92.348	-178.1947
77.500000	92.280	-179.4603
80.000000	92.204	179.3179
82.500000	92.129	178.1473
85.000000	92.053	177.0329
87.500000	91.976	175.9649
90.000000	91.901	174.9457
92.500000	91.822	173.9509
95.000000	91.742	173.0182
97.500000	91.666	172.1099
100.000000	91.589	171.2254
103.000000	91.497	170.2296
106.000000	91.407	169.2700
109.000000	91.314	168.3488
112.000000	91.224	167.4831
115.000000	91.133	166.6379
118.000000	91.043	165.8496
122.000000	90.921	164.8302
