* Measurement data measured by REW V5.20.13
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.500. Timing signal peak level -19.2 dBFS, measurement signal peak level -19.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -3.0 dBFS using an acoustic timing reference
* Dated: Sep 15, 2023 3:35:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1065 ms (-37 mm, -1.44 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 0.2 ppm
* Measurement: Quintet L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	97.726	-136.9476
21.200001	97.785	-139.0055
21.799999	97.832	-141.0321
22.400000	97.870	-143.0341
23.000000	97.893	-144.9766
23.600000	97.900	-146.8490
24.299999	97.893	-148.9550
25.000000	97.876	-150.9661
25.799999	97.854	-153.1808
26.500000	97.829	-155.1160
27.200001	97.788	-157.0132
28.000000	97.739	-159.0400
29.000000	97.697	-161.4724
30.000000	97.636	-163.8286
30.700001	97.583	-165.3604
31.500000	97.528	-167.0901
32.500000	97.465	-169.2672
33.500000	97.402	-171.3461
34.500000	97.327	-173.2909
35.500000	97.250	-175.1169
36.500000	97.175	-176.9410
37.500000	97.095	-178.6926
38.700001	97.004	179.2770
40.000000	96.894	177.1390
41.200001	96.787	175.2941
42.500000	96.695	173.4186
43.700001	96.607	171.6313
45.000000	96.492	169.8545
46.200001	96.389	168.2482
47.500000	96.290	166.5697
48.700001	96.194	165.0865
50.000000	96.087	163.6149
51.500000	95.959	161.9172
53.000000	95.844	160.2433
54.500000	95.727	158.6328
56.000000	95.606	157.1713
58.000000	95.439	155.2079
60.000000	95.336	153.2648
61.500000	95.180	152.0368
63.000000	95.065	150.7635
65.000000	94.917	149.1938
67.000000	94.766	147.5886
69.000000	94.619	146.0955
71.000000	94.477	144.6730
73.000000	94.332	143.3152
75.000000	94.196	141.9778
77.500000	94.019	140.4280
80.000000	93.851	138.9246
82.500000	93.683	137.5158
85.000000	93.522	136.1588
87.500000	93.364	134.8609
