* Measurement data measured by REW V5.20.13
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.500. Timing signal peak level -57.6 dBFS, measurement signal peak level -18.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -3.0 dBFS using an acoustic timing reference
* Dated: Sep 15, 2023 3:35:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0958 ms (-33 mm, -1.29 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: -0.6 ppm
* Measurement: Quintet R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	97.986	-138.0149
21.200001	98.045	-140.1418
21.799999	98.091	-142.2289
22.400000	98.130	-144.2406
23.000000	98.151	-146.1389
23.600000	98.151	-147.9383
24.299999	98.133	-149.9877
25.000000	98.109	-152.0526
25.799999	98.082	-154.3992
26.500000	98.059	-156.3393
27.200001	98.033	-158.1563
28.000000	97.991	-160.1647
29.000000	97.920	-162.6108
30.000000	97.852	-164.9671
30.700001	97.807	-166.5710
31.500000	97.752	-168.3340
32.500000	97.682	-170.4488
33.500000	97.610	-172.4840
34.500000	97.535	-174.4385
35.500000	97.458	-176.3732
36.500000	97.376	-178.1858
37.500000	97.308	-179.8915
38.700001	97.205	177.9808
40.000000	97.100	175.8719
41.200001	97.008	173.9608
42.500000	96.893	172.2546
43.700001	96.801	170.3920
45.000000	96.687	168.5869
46.200001	96.592	167.0513
47.500000	96.475	165.3467
48.700001	96.374	163.8387
50.000000	96.268	162.3612
51.500000	96.144	160.6237
53.000000	96.027	158.9976
54.500000	95.889	157.4681
56.000000	95.773	155.8788
58.000000	95.626	153.8025
60.000000	95.467	151.8525
61.500000	95.336	150.7642
63.000000	95.219	149.5687
65.000000	95.068	147.9237
67.000000	94.924	146.3664
69.000000	94.764	144.8871
71.000000	94.615	143.4595
73.000000	94.472	142.1066
75.000000	94.326	140.8011
77.500000	94.150	139.2234
80.000000	93.975	137.7460
82.500000	93.809	136.3172
85.000000	93.640	134.9897
87.500000	93.477	133.6721
90.000000	93.324	132.4534
92.500000	93.170	131.2616
95.000000	93.023	130.1142
97.500000	92.876	129.0278
100.000000	92.736	127.9874
103.000000	92.578	126.7870
106.000000	92.424	125.6277
109.000000	92.273	124.5354
112.000000	92.130	123.4647
115.000000	91.997	122.4532
118.000000	91.864	121.4536
122.000000	91.688	120.2182
125.000000	91.567	119.3155
128.000000	91.449	118.4549
132.000000	91.294	117.3549
136.000000	91.148	116.3027
140.000000	91.007	115.2724
145.000000	90.839	114.0575
150.000000	90.679	112.9112
155.000000	90.528	111.8141
160.000000	90.384	110.7787
165.000000	90.250	109.7792
170.000000	90.120	108.8361
175.000000	89.999	107.9063
180.000000	89.872	107.0831
185.000000	89.773	106.1558
190.000000	89.670	105.3426
195.000000	89.573	104.5410
200.000000	89.480	103.7741
206.000000	89.375	102.8963
212.000000	89.276	102.0474
218.000000	89.185	101.2260
224.000000	89.098	100.4237
230.000000	89.021	99.6626
236.000000	88.948	98.9540
243.000000	88.860	98.1192
250.000000	88.788	97.3182
258.000000	88.707	96.4653
265.000000	88.645	95.7274
272.000000	88.587	95.0273
280.000000	88.525	94.2544
290.000000	88.456	93.3237
300.000000	88.382	92.4880
307.000000	88.358	91.8748
315.000000	88.317	91.2318
325.000000	88.271	90.4587
335.000000	88.232	89.7362
345.000000	88.198	89.0574
355.000000	88.167	88.3842
365.000000	88.141	87.7773
375.000000	88.117	87.1855
387.000000	88.093	86.5237
400.000000	88.070	85.8583
412.000000	88.054	85.2860
425.000000	88.039	84.7304
437.000000	88.027	84.2549
450.000000	88.016	83.7876
462.000000	88.010	83.3845
475.000000	88.005	82.9888
487.000000	87.999	82.6621
500.000000	87.996	82.3747
515.000000	87.996	82.0383
530.000000	87.994	81.7929
545.000000	87.995	81.6011
560.000000	88.000	81.4512
580.000000	88.006	81.3344
600.000000	88.015	81.2902
615.000000	88.022	81.3140
630.000000	88.033	81.4026
650.000000	88.047	81.5656
670.000000	88.065	81.8170
690.000000	88.089	82.1332
710.000000	88.117	82.5275
730.000000	88.149	82.9772
750.000000	88.187	83.4887
775.000000	88.228	84.2230
800.000000	88.298	85.1824
825.000000	88.393	86.0927
850.000000	88.494	87.0154
875.000000	88.605	87.9686
900.000000	88.730	88.9464
925.000000	88.867	89.9078
950.000000	89.016	90.8578
975.000000	89.175	91.7666
1000.000000	89.340	92.6401
1030.000000	89.541	93.6259
1060.000000	89.750	94.5905
1090.000000	89.961	95.5405
1120.000000	90.187	96.4709
1150.000000	90.430	97.3103
1180.000000	90.684	97.9890
1220.000000	91.018	98.5889
1250.000000	91.250	98.8635
1280.000000	91.460	99.0522
1320.000000	91.707	99.2488
1360.000000	91.924	99.4789
1400.000000	92.116	99.7683
1450.000000	92.333	100.2563
1500.000000	92.534	100.8846
1550.000000	92.729	101.6464
1600.000000	92.923	102.5220
1650.000000	93.121	103.4877
1700.000000	93.326	104.5165
1750.000000	93.540	105.5872
1800.000000	93.764	106.6742
1850.000000	93.999	107.7616
1900.000000	94.246	108.8263
1950.000000	94.504	109.8456
2000.000000	94.773	110.7997
2060.000000	95.108	111.8365
2120.000000	95.455	112.7210
2180.000000	95.810	113.4344
2240.000000	96.171	113.9290
2300.000000	96.530	114.1873
2360.000000	96.881	114.1984
2430.000000	97.268	113.8768
2500.000000	97.620	113.2068
2580.000000	97.959	112.0677
2650.000000	98.188	110.8190
2720.000000	98.342	109.4411
2800.000000	98.424	107.8596
2900.000000	98.389	106.1267
3000.000000	98.233	104.9447
3070.000000	98.077	104.5364
3150.000000	97.874	104.5110
3250.000000	97.615	105.0803
3350.000000	97.372	106.1835
3450.000000	97.154	107.6914
3550.000000	96.963	109.5174
3650.000000	96.802	111.6244
3750.000000	96.678	113.9581
3870.000000	96.588	116.9556
4000.000000	96.568	120.2728
4120.000000	96.612	123.2138
4250.000000	96.712	126.1722
4370.000000	96.845	128.6326
4500.000000	97.025	130.8975
4620.000000	97.206	132.4995
4750.000000	97.389	133.6313
4870.000000	97.513	134.1362
5000.000000	97.568	134.2224
5150.000000	97.505	133.9505
5300.000000	97.286	133.5225
5450.000000	96.885	133.2729
5600.000000	96.303	133.7568
