* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 12, 2021 4:00:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: RX-100 R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	91.909950	-126.2401
21.200001	91.973694	-128.0448
21.799999	92.035362	-129.8056
22.400000	92.093040	-131.5255
23.000000	92.132957	-133.1466
23.600000	92.154549	-134.6544
24.299999	92.164391	-136.3551
25.000000	92.162636	-138.0500
25.799999	92.155243	-139.9262
26.500000	92.147797	-141.5098
27.200001	92.129433	-143.0634
28.000000	92.093987	-144.7481
29.000000	92.060005	-146.7236
30.000000	92.030930	-148.6632
30.700001	91.999298	-149.9327
31.500000	91.962006	-151.2946
32.500000	91.921570	-152.9892
33.500000	91.878098	-154.6343
34.500000	91.831444	-156.1420
35.500000	91.784180	-157.5903
36.500000	91.731461	-159.0234
37.500000	91.680840	-160.3775
38.700001	91.627380	-161.9466
40.000000	91.557220	-163.5540
41.200001	91.489723	-164.9428
42.500000	91.419266	-166.3925
43.700001	91.359863	-167.6561
45.000000	91.282211	-169.0066
46.200001	91.214706	-170.1549
47.500000	91.143417	-171.4523
48.700001	91.066292	-172.4190
50.000000	90.995621	-173.5142
51.500000	90.897736	-174.7622
53.000000	90.822670	-175.9337
54.500000	90.729256	-177.0536
56.000000	90.637077	-178.0812
58.000000	90.526230	-179.4031
60.000000	90.413979	179.4797
61.500000	90.329880	178.5063
63.000000	90.241203	177.6810
65.000000	90.127731	176.6132
67.000000	90.015762	175.6349
69.000000	89.905907	174.8469
71.000000	89.783966	173.7914
73.000000	89.674950	172.9819
75.000000	89.564636	172.2190
77.500000	89.434410	171.2314
80.000000	89.287048	170.5115
82.500000	89.151581	169.6823
85.000000	89.020325	169.0060
87.500000	88.888580	168.3591
90.000000	88.730087	167.7878
92.500000	88.629272	167.1407
95.000000	88.504845	166.6236
97.500000	88.387070	166.1739
100.000000	88.266647	165.7087
103.000000	88.135315	165.2460
106.000000	88.002289	164.8027
109.000000	87.868828	164.4077
112.000000	87.753242	164.0325
115.000000	87.624512	163.7427
118.000000	87.511490	163.4270
122.000000	87.354050	163.1690
125.000000	87.247620	162.8969
