* Measurement data measured by REW V5.20 Beta 37
* Source: IEC-711 (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep With no timing reference
* Dated: Apr 9, 2020 3:37:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ S2 TWS - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	66.817558	-82.1538
20.600000	67.095695	-81.3266
21.200001	67.395370	-80.8826
21.799999	67.646973	-80.8909
22.400000	67.842827	-81.0583
23.000000	68.019226	-81.3161
23.600000	68.177170	-81.8309
24.299999	68.285080	-82.5781
25.000000	68.337265	-82.7785
25.799999	68.489632	-82.3579
26.500000	68.707726	-82.2967
27.200001	68.900177	-82.6050
28.000000	69.065857	-82.9126
29.000000	69.234383	-83.0364
30.000000	69.410095	-83.0619
30.700001	69.498230	-83.2932
31.500000	69.543442	-83.1127
32.500000	69.735092	-82.6202
33.500000	69.862907	-82.9345
34.500000	70.027573	-82.2787
35.500000	70.222397	-83.1812
36.500000	70.126907	-82.4882
37.500000	70.509949	-81.4124
38.700001	70.575516	-84.0123
40.000000	70.426369	-83.0189
41.200001	70.589188	-82.7136
42.500000	70.653000	-83.8642
43.700001	70.509933	-82.2128
45.000000	70.910492	-81.3195
46.200001	70.927025	-80.6655
47.500000	71.173698	-79.6656
48.700001	71.235260	-78.8306
50.000000	71.344856	-79.2480
51.500000	71.137665	-77.9637
53.000000	71.217590	-77.8638
54.500000	71.310188	-77.2728
56.000000	71.341339	-77.6964
58.000000	71.518501	-77.1179
60.000000	71.579926	-76.8419
61.500000	71.459694	-75.2337
63.000000	71.476761	-74.5032
65.000000	71.301224	-71.7219
67.000000	71.580917	-71.7052
69.000000	71.386093	-71.1537
71.000000	71.203087	-70.4005
73.000000	71.252556	-69.4259
75.000000	71.302376	-68.5304
77.500000	71.323891	-66.8052
80.000000	71.331787	-64.3776
82.500000	71.116806	-64.0990
85.000000	71.246750	-62.8402
87.500000	71.079155	-60.1987
90.000000	71.459213	-52.4742
92.500000	70.871262	-56.7196
95.000000	70.462196	-55.6427
97.500000	70.571846	-54.8330
100.000000	70.462982	-53.6784
103.000000	70.309067	-50.4203
106.000000	70.030052	-48.8390
109.000000	69.827652	-46.3606
112.000000	69.529808	-43.5670
115.000000	69.321136	-41.1124
118.000000	69.107391	-37.9219
122.000000	68.900803	-32.4257
125.000000	68.702362	-29.0181
128.000000	68.649612	-25.5281
132.000000	68.877121	-21.0258
136.000000	68.641052	-16.0766
140.000000	68.605263	-12.0713
145.000000	68.895699	-7.7892
150.000000	68.754128	-4.0208
155.000000	68.755577	0.9890
160.000000	68.599472	4.0951
165.000000	68.822464	7.9546
170.000000	68.123924	13.4973
175.000000	68.248444	22.7069
180.000000	67.607979	20.3600
185.000000	66.314331	37.8952
190.000000	64.778076	40.4195
195.000000	68.571960	28.7377
200.000000	68.762024	42.4594
206.000000	67.186066	50.1101
212.000000	67.759033	50.9710
218.000000	67.590050	56.9878
224.000000	67.486801	60.4202
230.000000	67.208954	66.4119
236.000000	67.194763	70.9682
243.000000	67.096275	77.9503
250.000000	66.671539	83.3869
258.000000	66.627304	90.9034
265.000000	66.461761	97.4840
272.000000	66.300858	103.3846
280.000000	66.293648	109.9579
290.000000	66.208427	119.5530
300.000000	66.157951	127.7490
307.000000	65.988693	133.7613
315.000000	65.871696	139.5742
325.000000	65.721954	147.8219
335.000000	65.499039	155.8097
345.000000	65.566315	164.7631
355.000000	65.284317	172.2499
365.000000	65.200661	-179.9497
375.000000	65.135941	-172.5880
387.000000	64.864754	-162.5647
400.000000	64.793396	-152.8025
412.000000	64.479134	-142.8386
425.000000	64.452744	-133.4647
437.000000	64.260406	-123.7484
450.000000	64.164352	-114.4559
462.000000	63.916306	-105.1161
475.000000	63.777557	-95.6211
487.000000	63.613094	-85.9857
500.000000	63.481724	-77.1370
515.000000	63.303562	-66.0957
530.000000	63.080479	-54.5477
545.000000	62.904587	-44.0554
560.000000	62.689667	-33.0242
580.000000	62.420265	-19.4263
600.000000	62.300522	-4.9294
615.000000	62.210201	6.2439
630.000000	61.950531	15.9556
650.000000	61.701641	30.1244
670.000000	61.373455	44.4861
690.000000	61.253273	57.6765
710.000000	61.223606	71.8781
730.000000	60.993370	85.3683
750.000000	60.707878	98.8058
775.000000	60.529697	116.0742
800.000000	60.220314	132.6052
825.000000	59.989346	149.1603
850.000000	59.737625	165.5788
875.000000	59.535378	-177.6871
900.000000	59.375889	-160.2810
925.000000	59.213558	-142.1407
950.000000	59.153496	-125.8395
975.000000	59.021416	-110.5280
1000.000000	58.967354	-89.4851
1030.000000	59.264179	-72.8486
1060.000000	59.342506	-54.1237
1090.000000	59.584183	-34.7517
1120.000000	59.714138	-16.2177
1150.000000	60.200180	0.9809
1180.000000	60.547222	17.0933
1220.000000	60.878048	38.7106
1250.000000	61.313347	55.1606
1280.000000	61.609207	70.0053
1320.000000	61.934631	90.9915
1360.000000	62.241875	109.9825
1400.000000	62.628235	128.7048
1450.000000	62.761608	150.8361
1500.000000	63.109840	173.2788
1550.000000	63.490368	-164.1421
1600.000000	63.710087	-143.6383
1650.000000	63.880985	-122.0120
1700.000000	64.187798	-100.6243
1750.000000	64.405518	-80.4271
1800.000000	64.507256	-60.5852
1850.000000	64.854530	-40.8925
1900.000000	65.159584	-20.6549
1950.000000	65.319138	-1.9351
2000.000000	65.360420	18.2476
2060.000000	65.705734	38.9523
2120.000000	66.027122	59.8807
2180.000000	66.241882	81.4182
2240.000000	66.691956	102.2208
2300.000000	66.966614	122.2052
2360.000000	67.399193	141.4640
2430.000000	67.697266	164.0037
2500.000000	68.199478	-174.3414
2580.000000	68.598221	-151.6241
2650.000000	69.128479	-132.2512
2720.000000	69.593369	-112.5779
2800.000000	70.273666	-92.1423
2900.000000	70.957298	-67.4602
3000.000000	71.571228	-44.4869
3070.000000	71.875954	-28.5122
3150.000000	72.264038	-12.7236
3250.000000	72.782539	6.3667
3350.000000	72.927322	25.0864
3450.000000	73.026443	42.6407
3550.000000	72.892860	59.8558
3650.000000	72.652176	77.4766
3750.000000	72.483444	95.2859
3870.000000	72.202370	115.6829
4000.000000	71.901543	138.0518
4120.000000	71.421364	157.4219
4250.000000	70.844246	178.6428
4370.000000	70.057823	-160.5896
4500.000000	69.293701	-132.5419
4620.000000	69.933693	-103.3361
4750.000000	71.688156	-80.5583
4870.000000	73.081444	-65.7192
5000.000000	74.166740	-51.6781
5150.000000	75.559860	-38.9583
5300.000000	76.785294	-30.2445
5450.000000	77.612457	-25.0087
5600.000000	77.953033	-23.2511
5800.000000	77.101891	-21.6162
6000.000000	75.489174	-16.5924
6150.000000	74.211037	-9.2976
6300.000000	73.154083	-0.8691
6500.000000	71.676750	12.1708
6700.000000	70.718620	25.0844
6900.000000	70.096809	37.6561
7100.000000	69.772804	49.4879
7300.000000	69.813034	59.5902
7500.000000	70.384346	68.3286
7750.000000	71.666542	73.3213
8000.000000	73.540344	70.3904
8250.000000	75.268066	53.1035
8500.000000	74.806824	24.7456
8750.000000	72.092484	3.1265
9000.000000	69.205650	-8.9429
9250.000000	66.857300	-15.3489
9500.000000	65.141304	-21.5159
9750.000000	64.113091	-28.9241
10000.000000	63.352013	-40.0051
10300.000000	62.691788	-59.8267
10600.000000	61.474266	-86.1467
10900.000000	59.252766	-116.3558
11200.000000	55.819786	-145.9944
11500.000000	51.298103	-170.4568
11800.000000	46.043644	41.6372
12200.000000	40.854736	102.4561
12500.000000	48.254364	-35.2236
12800.000000	53.709183	-112.5879
13200.000000	59.162689	-168.4131
13600.000000	62.554943	126.8174
14000.000000	64.491005	60.5322
14500.000000	66.452484	-24.1934
15000.000000	68.225143	-112.9287
