* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.169
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 19, 2020 2:25:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SA6 - On L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	86.236748	-137.7341
21.200001	86.259026	-139.5575
21.799999	86.285492	-141.1029
22.400000	86.300064	-142.4910
23.000000	86.309387	-143.9804
23.600000	86.312309	-145.5410
24.299999	86.316910	-147.3691
25.000000	86.328209	-149.0800
25.799999	86.318993	-151.1243
26.500000	86.311188	-152.7280
27.200001	86.273994	-154.1899
28.000000	86.241539	-155.8647
29.000000	86.186508	-157.8285
30.000000	86.122101	-159.8628
30.700001	86.098152	-161.3223
31.500000	86.115105	-162.8103
32.500000	86.110085	-164.6400
33.500000	86.070984	-166.3300
34.500000	86.058289	-168.1258
35.500000	86.035049	-169.6886
36.500000	85.993408	-171.3201
37.500000	85.948303	-172.9307
38.700001	85.896286	-174.7148
40.000000	85.823006	-176.6507
41.200001	85.761917	-178.1955
42.500000	85.697273	179.9160
43.700001	85.592705	178.4215
45.000000	85.525414	176.6978
46.200001	85.441544	175.2672
47.500000	85.353989	173.6856
48.700001	85.267830	172.2748
50.000000	85.170654	170.8037
51.500000	85.049141	169.1876
53.000000	84.920082	167.6204
54.500000	84.798477	166.0305
56.000000	84.699318	164.7223
58.000000	84.613487	162.6918
60.000000	84.521355	160.7468
61.500000	84.430359	159.5948
63.000000	84.354042	158.3080
65.000000	84.247276	156.6683
67.000000	84.138596	155.1083
69.000000	84.029480	153.5860
71.000000	83.915352	152.1151
73.000000	83.804283	150.7052
75.000000	83.686028	149.3253
77.500000	83.544174	147.6929
80.000000	83.399612	146.1410
82.500000	83.256424	144.5973
85.000000	83.114395	143.1132
87.500000	82.967964	141.7647
90.000000	82.801407	139.9782
92.500000	82.676765	139.1169
95.000000	82.537750	137.8286
97.500000	82.400436	136.6157
100.000000	82.258339	135.5172
103.000000	82.121193	134.1965
106.000000	81.991348	132.9016
109.000000	81.868271	131.6517
112.000000	81.725777	130.5294
115.000000	81.595917	129.3610
118.000000	81.476517	128.2420
122.000000	81.314774	126.7740
125.000000	81.194595	125.7727
128.000000	81.077423	124.8363
132.000000	80.920708	123.5750
136.000000	80.774277	122.3531
140.000000	80.627296	121.2140
145.000000	80.452911	119.8546
150.000000	80.284851	118.5542
155.000000	80.121452	117.2928
160.000000	79.961700	116.1236
165.000000	79.807076	115.0339
170.000000	79.663078	113.9304
175.000000	79.527870	112.8597
