* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.169
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 19, 2020 2:20:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SA6 - On R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	86.241478	-133.1545
21.200001	86.281906	-134.8338
21.799999	86.322319	-136.4458
22.400000	86.350632	-138.1116
23.000000	86.369453	-139.7280
23.600000	86.383553	-141.2568
24.299999	86.408234	-143.0668
25.000000	86.426933	-144.7623
25.799999	86.406151	-146.4246
26.500000	86.387619	-147.9671
27.200001	86.391541	-149.6297
28.000000	86.360092	-151.3636
29.000000	86.283302	-153.4730
30.000000	86.247101	-155.4817
30.700001	86.260574	-156.7671
31.500000	86.264175	-158.2795
32.500000	86.262573	-160.1284
33.500000	86.248962	-161.8866
34.500000	86.246590	-163.5597
35.500000	86.221603	-165.2049
36.500000	86.198929	-166.7924
37.500000	86.169403	-168.3833
38.700001	86.126526	-170.1326
40.000000	86.079292	-172.0131
41.200001	86.023491	-173.6818
42.500000	85.960823	-175.4509
43.700001	85.902191	-176.9993
45.000000	85.830246	-178.6301
46.200001	85.760239	179.8936
47.500000	85.674080	178.3442
48.700001	85.600990	176.9619
50.000000	85.520523	175.5076
51.500000	85.411507	173.8954
53.000000	85.304672	172.3165
54.500000	85.193993	170.7981
56.000000	85.117523	169.3069
58.000000	85.039642	167.4376
60.000000	84.943169	165.6504
61.500000	84.894859	164.2892
63.000000	84.829849	163.0273
65.000000	84.740456	161.3533
67.000000	84.640656	159.7562
69.000000	84.546989	158.2360
71.000000	84.456879	156.7734
73.000000	84.361656	155.2622
75.000000	84.251549	153.9628
77.500000	84.127617	152.2632
80.000000	84.003174	150.6590
82.500000	83.872658	149.1331
85.000000	83.746002	147.6436
87.500000	83.616737	146.1993
90.000000	83.714912	145.3754
92.500000	83.351562	143.5764
95.000000	83.219864	142.2632
97.500000	83.092087	141.0219
100.000000	82.964806	139.8198
103.000000	82.844376	138.4458
106.000000	82.721382	137.1197
109.000000	82.602165	135.8398
112.000000	82.483871	134.5833
115.000000	82.366859	133.3882
118.000000	82.254051	132.2556
122.000000	82.103668	130.7698
125.000000	81.990822	129.7160
128.000000	81.880905	128.6992
132.000000	81.738609	127.3864
136.000000	81.596588	126.1352
140.000000	81.465065	124.8958
145.000000	81.293686	123.4606
150.000000	81.131905	122.0992
155.000000	80.976540	120.7824
160.000000	80.826523	119.5445
165.000000	80.679688	118.3384
170.000000	80.540283	117.1992
175.000000	80.402191	116.1102
180.000000	80.267357	115.0439
185.000000	80.147636	114.0402
190.000000	80.025520	113.0621
195.000000	79.909187	112.1322
200.000000	79.794952	111.2439
206.000000	79.669037	110.2037
212.000000	79.547638	109.2092
218.000000	79.428627	108.2687
224.000000	79.315704	107.3548
230.000000	79.209129	106.4841
236.000000	79.108452	105.6281
243.000000	78.998589	104.6932
250.000000	78.894760	103.7775
258.000000	78.785675	102.7892
265.000000	78.694534	101.9575
272.000000	78.611893	101.1629
280.000000	78.525703	100.2976
290.000000	78.423477	99.2626
300.000000	78.336502	98.2268
307.000000	78.276947	97.5822
315.000000	78.216721	96.8484
325.000000	78.151161	95.9614
335.000000	78.093903	95.1139
345.000000	78.044022	94.3049
355.000000	77.997711	93.5433
365.000000	77.964561	92.7681
375.000000	77.936310	92.0599
387.000000	77.909164	91.2110
400.000000	77.887024	90.3534
412.000000	77.877258	89.5675
425.000000	77.870323	88.7630
437.000000	77.871521	88.0463
450.000000	77.879173	87.3032
462.000000	77.892052	86.6304
475.000000	77.911148	85.9316
487.000000	77.932465	85.2926
500.000000	77.959496	84.6317
515.000000	77.996582	83.8797
530.000000	78.035515	83.1562
545.000000	78.078064	82.4620
560.000000	78.123131	81.7811
580.000000	78.187805	80.9201
600.000000	78.257179	80.0987
615.000000	78.307724	79.4920
630.000000	78.363190	78.9311
650.000000	78.437302	78.2103
670.000000	78.512939	77.5436
690.000000	78.593124	76.9067
710.000000	78.674446	76.3211
730.000000	78.756943	75.7657
750.000000	78.842453	75.2641
775.000000	78.954109	74.6923
800.000000	79.072845	74.1852
825.000000	79.198380	73.7330
850.000000	79.334793	73.3088
875.000000	79.479485	72.9159
900.000000	79.633720	72.5393
925.000000	79.798279	72.1456
950.000000	79.973389	71.7332
975.000000	80.154877	71.2904
1000.000000	80.343674	70.7898
1030.000000	80.574432	70.0778
1060.000000	80.805367	69.2829
1090.000000	81.033554	68.3716
1120.000000	81.251137	67.3649
1150.000000	81.457901	66.2870
1180.000000	81.646088	65.1508
1220.000000	81.876228	63.5897
1250.000000	82.028885	62.4128
1280.000000	82.168251	61.2454
1320.000000	82.333229	59.7496
1360.000000	82.480896	58.3296
1400.000000	82.614532	56.9987
1450.000000	82.769112	55.4539
1500.000000	82.917755	54.0133
1550.000000	83.062943	52.6682
1600.000000	83.209000	51.3651
1650.000000	83.353821	50.0717
1700.000000	83.494598	48.7948
