* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.169
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 19, 2020 2:25:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SA6 L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	84.514366	-137.2779
21.200001	84.518166	-139.0019
21.799999	84.578140	-140.4798
22.400000	84.626488	-141.7054
23.000000	84.621956	-143.3126
23.600000	84.637543	-145.1720
24.299999	84.660278	-146.8173
25.000000	84.660934	-148.4125
25.799999	84.681030	-150.2318
26.500000	84.610352	-151.8468
27.200001	84.555862	-153.4624
28.000000	84.502487	-155.0503
29.000000	84.467850	-157.2822
30.000000	84.398697	-159.3243
30.700001	84.423546	-160.8055
31.500000	84.429901	-162.1872
32.500000	84.391846	-163.9858
33.500000	84.398033	-165.7945
34.500000	84.370316	-167.3689
35.500000	84.341492	-169.1622
36.500000	84.311523	-170.6862
37.500000	84.276978	-172.2419
38.700001	84.218567	-174.0082
40.000000	84.165260	-175.8667
41.200001	84.096085	-177.5733
42.500000	84.028244	-179.2934
43.700001	83.949814	179.1320
45.000000	83.871384	177.4352
46.200001	83.795311	176.0486
47.500000	83.703506	174.3901
48.700001	83.604156	173.0574
50.000000	83.516869	171.6244
51.500000	83.403854	169.9962
53.000000	83.287140	168.4004
54.500000	83.164772	166.8915
56.000000	83.086456	165.4249
58.000000	82.991669	163.6109
60.000000	82.878693	161.6274
61.500000	82.822174	160.4385
63.000000	82.749283	159.1808
65.000000	82.646523	157.5634
67.000000	82.547272	155.9927
69.000000	82.445198	154.4876
71.000000	82.338203	153.0247
73.000000	82.227135	151.6470
75.000000	82.108353	150.2608
77.500000	81.976967	148.5706
80.000000	81.843048	147.0814
82.500000	81.708237	145.5413
85.000000	81.563164	144.1012
87.500000	81.437996	142.7739
90.000000	81.360664	142.5190
92.500000	81.154640	140.0479
95.000000	81.006752	138.7225
97.500000	80.885117	137.6691
100.000000	80.760277	136.4874
103.000000	80.629494	135.1871
106.000000	80.509697	133.8809
109.000000	80.378189	132.6912
112.000000	80.268402	131.4837
115.000000	80.146255	130.2982
118.000000	80.028633	129.2401
122.000000	79.880165	127.8484
125.000000	79.769287	126.8432
128.000000	79.660751	125.8510
132.000000	79.521942	124.6060
136.000000	79.382042	123.4243
140.000000	79.247345	122.2842
145.000000	79.086151	120.9294
150.000000	78.936554	119.6066
155.000000	78.789261	118.3531
160.000000	78.645416	117.2021
165.000000	78.510651	116.0528
170.000000	78.380630	114.9925
175.000000	78.255531	113.9592
180.000000	78.145020	113.0062
185.000000	78.025078	112.0295
190.000000	77.916206	111.1138
195.000000	77.814629	110.2360
200.000000	77.712448	109.4070
206.000000	77.605156	108.4217
212.000000	77.502197	107.4979
218.000000	77.404213	106.5900
224.000000	77.313126	105.7681
230.000000	77.217705	104.9058
236.000000	77.139816	104.1678
243.000000	77.053223	103.2921
250.000000	76.970306	102.4030
258.000000	76.895737	101.4741
265.000000	76.822937	100.6608
272.000000	76.767258	99.9633
280.000000	76.709656	99.1271
290.000000	76.636589	98.1138
300.000000	76.584145	97.1494
307.000000	76.546722	96.5421
315.000000	76.517914	95.8405
325.000000	76.481384	95.0054
335.000000	76.455696	94.1989
345.000000	76.438118	93.4410
355.000000	76.426750	92.6849
365.000000	76.421509	91.9784
375.000000	76.420349	91.2851
387.000000	76.425461	90.4928
400.000000	76.441048	89.6736
412.000000	76.461624	88.9270
425.000000	76.490219	88.1470
437.000000	76.523056	87.4657
450.000000	76.562363	86.7418
462.000000	76.600327	86.1029
475.000000	76.644928	85.4237
487.000000	76.694221	84.8124
500.000000	76.746559	84.1799
515.000000	76.809822	83.4665
530.000000	76.877007	82.7861
545.000000	76.945679	82.1115
560.000000	77.016853	81.4756
580.000000	77.111038	80.6466
600.000000	77.211060	79.8567
615.000000	77.285515	79.3040
630.000000	77.358040	78.7821
650.000000	77.459183	78.0997
670.000000	77.559868	77.4591
690.000000	77.658875	76.8714
710.000000	77.764267	76.3253
730.000000	77.867386	75.8278
750.000000	77.973381	75.3727
775.000000	78.109146	74.8628
800.000000	78.250511	74.4006
825.000000	78.399147	74.0001
850.000000	78.556595	73.6277
875.000000	78.721397	73.2867
900.000000	78.894958	72.9635
925.000000	79.077660	72.6115
950.000000	79.271324	72.2568
975.000000	79.471779	71.8372
1000.000000	79.677460	71.3845
1030.000000	79.926895	70.7312
1060.000000	80.176582	69.9664
1090.000000	80.422523	69.0982
1120.000000	80.660347	68.1284
1150.000000	80.882057	67.0734
1180.000000	81.090279	65.9572
1220.000000	81.341011	64.4069
1250.000000	81.507957	63.2371
1280.000000	81.659401	62.0849
1320.000000	81.839050	60.5964
1360.000000	82.000671	59.1884
1400.000000	82.144989	57.8733
1450.000000	82.313141	56.3455
1500.000000	82.473030	54.9428
1550.000000	82.628487	53.6275
1600.000000	82.783966	52.3685
1650.000000	82.938438	51.1442
1700.000000	83.087959	49.9324
1750.000000	83.234222	48.7348
1800.000000	83.376060	47.5726
1850.000000	83.520981	46.4319
1900.000000	83.670830	45.2780
1950.000000	83.823334	44.0511
2000.000000	83.975769	42.7219
2060.000000	84.147011	40.9807
2120.000000	84.297424	39.0669
2180.000000	84.415962	37.0190
2240.000000	84.494995	34.8798
2300.000000	84.529472	32.6972
2360.000000	84.517509	30.5505
2430.000000	84.446526	28.1729
2500.000000	84.321594	26.0482
2580.000000	84.130852	24.0089
2650.000000	83.935013	22.5927
2720.000000	83.724792	21.5472
2800.000000	83.481491	20.8080
2900.000000	83.199295	20.5341
3000.000000	82.972130	20.8585
3070.000000	82.855553	21.3473
3150.000000	82.773796	22.0568
3250.000000	82.746887	22.9919
3350.000000	82.780464	23.7983
3450.000000	82.843399	24.4908
3550.000000	82.933975	25.2104
3650.000000	83.076111	26.0250
3750.000000	83.297638	26.8063
3870.000000	83.685616	27.3536
4000.000000	84.241028	26.9525
4120.000000	84.832825	25.1752
4250.000000	85.467987	21.2584
4370.000000	85.918243	15.5067
4500.000000	86.047470	7.1573
4620.000000	85.650696	-1.3243
4750.000000	84.637756	-9.1268
4870.000000	83.346191	-13.5134
5000.000000	81.823830	-14.8035
5150.000000	80.159164	-12.4176
