* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.169
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 19, 2020 2:19:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SA6 R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	84.053665	-126.5312
21.200001	84.129532	-128.3943
21.799999	84.177208	-130.3534
22.400000	84.189240	-132.0392
23.000000	84.185883	-133.5211
23.600000	84.237030	-135.1192
24.299999	84.318680	-137.1215
25.000000	84.336472	-139.1150
25.799999	84.283813	-140.9050
26.500000	84.271141	-142.6148
27.200001	84.332214	-144.0669
28.000000	84.290726	-145.7337
29.000000	84.272057	-148.3541
30.000000	84.236473	-150.2700
30.700001	84.255859	-151.7174
31.500000	84.269821	-153.2684
32.500000	84.273018	-155.3235
33.500000	84.286224	-157.1442
34.500000	84.282280	-158.9713
35.500000	84.268379	-160.6707
36.500000	84.264175	-162.3575
37.500000	84.231041	-164.0127
38.700001	84.211349	-165.8573
40.000000	84.175537	-167.8781
41.200001	84.118279	-169.6079
42.500000	84.074860	-171.4262
43.700001	84.014961	-173.0668
45.000000	83.954483	-174.7873
46.200001	83.886948	-176.3375
47.500000	83.821213	-177.9539
48.700001	83.747101	-179.4092
50.000000	83.670975	179.0825
51.500000	83.572258	177.3919
53.000000	83.479561	175.7634
54.500000	83.370949	174.2267
56.000000	83.284195	172.6263
58.000000	83.236893	170.7300
60.000000	83.154892	168.8028
61.500000	83.110329	167.4793
63.000000	83.050377	166.1089
65.000000	82.967613	164.4275
67.000000	82.884323	162.7540
69.000000	82.797836	161.1678
71.000000	82.706367	159.6472
73.000000	82.616699	158.1783
75.000000	82.528152	156.7596
77.500000	82.408577	155.0310
80.000000	82.291763	153.3850
82.500000	82.169441	151.7811
85.000000	82.053070	150.2667
87.500000	81.927307	148.7573
90.000000	81.990105	146.5702
92.500000	81.691658	146.0314
