* Measurement data measured by REW V5.19
* Source: Microphone (USB Sound Device        ), no input selected, L, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at -20.0 dBFS  With no timing reference
* Dated: Mar 30, 2019 12:57:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 2.0 dB
* Note: ; 
* Measurement: AKG x Samsung
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	8.490050	30.1323
20.600000	8.643574	28.6461
21.200001	8.760063	27.4478
21.799999	8.874990	26.2441
22.400000	8.967458	24.8405
23.000000	9.022154	23.4376
23.600000	9.076525	22.2333
24.299999	9.190060	20.8412
25.000000	9.319668	19.1352
25.799999	9.419170	17.1366
26.500000	9.492860	15.6989
27.200001	9.586388	14.4136
28.000000	9.695293	12.9339
29.000000	9.809128	11.1522
30.000000	9.908777	9.3965
30.700001	9.961315	8.1395
31.500000	10.007655	6.7682
32.500000	10.072609	5.0733
33.500000	10.125582	3.3427
34.500000	10.192944	1.7282
35.500000	10.259222	-0.0869
36.500000	10.291615	-1.6961
37.500000	10.354445	-3.2246
38.700001	10.410414	-5.0937
40.000000	10.453541	-7.1297
41.200001	10.488944	-8.2478
42.500000	10.673376	-10.4172
43.700001	10.607363	-12.5376
45.000000	10.605560	-13.9454
46.200001	10.592575	-15.4598
47.500000	10.605711	-17.0073
48.700001	10.610394	-18.6400
50.000000	10.609555	-20.2888
51.500000	10.620708	-22.1840
53.000000	10.625011	-23.9030
54.500000	10.631110	-25.5862
56.000000	10.631704	-27.2604
58.000000	10.614486	-29.4698
60.000000	10.588059	-31.5227
61.500000	10.580730	-33.1520
63.000000	10.563146	-34.6897
65.000000	10.542683	-36.7680
67.000000	10.506338	-38.6923
69.000000	10.477619	-40.5500
71.000000	10.448484	-42.4755
73.000000	10.407866	-44.2685
75.000000	10.362486	-46.0679
77.500000	10.308945	-48.2095
80.000000	10.248518	-50.3986
82.500000	10.192591	-52.4341
85.000000	10.131321	-54.4851
87.500000	10.067567	-56.3965
90.000000	10.001261	-58.3349
92.500000	9.934215	-60.2775
95.000000	9.860088	-62.0903
97.500000	9.790175	-63.8947
100.000000	9.716272	-65.6437
103.000000	9.643455	-67.7093
106.000000	9.546749	-69.7410
109.000000	9.464307	-71.6490
112.000000	9.369460	-73.5795
115.000000	9.278101	-75.4189
118.000000	9.190588	-77.2987
122.000000	9.067642	-79.7155
125.000000	8.971590	-81.4003
128.000000	8.875372	-83.1473
132.000000	8.755317	-85.4051
136.000000	8.622709	-87.5273
140.000000	8.503300	-89.6314
145.000000	8.348796	-92.2101
150.000000	8.202562	-94.7098
155.000000	8.056744	-97.1542
160.000000	7.901422	-99.5038
165.000000	7.747510	-101.7930
170.000000	7.604152	-103.9571
175.000000	7.459870	-106.1713
180.000000	7.318324	-108.2189
185.000000	7.156044	-110.3987
190.000000	7.033161	-112.3723
195.000000	6.899393	-114.2806
200.000000	6.766316	-116.1844
206.000000	6.608787	-118.4546
212.000000	6.447411	-120.6330
218.000000	6.299676	-122.7494
224.000000	6.139781	-124.8185
230.000000	5.996938	-126.9002
236.000000	5.841391	-128.8188
243.000000	5.683088	-131.0500
250.000000	5.513960	-133.2790
258.000000	5.334042	-135.6909
265.000000	5.181116	-137.8131
272.000000	5.025023	-139.8455
280.000000	4.855762	-142.1415
290.000000	4.645206	-144.9151
300.000000	4.455272	-147.6396
307.000000	4.310545	-149.4124
315.000000	4.171652	-151.4163
325.000000	3.966434	-153.8488
335.000000	3.794768	-156.2703
345.000000	3.628936	-158.6359
355.000000	3.448679	-160.8662
365.000000	3.295558	-163.1181
375.000000	3.135688	-165.2823
387.000000	2.958634	-167.8647
400.000000	2.766300	-170.5844
