* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260. Timing signal peak level -68.0 dBFS, measurement signal peak level -34.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: Aug 30, 2021 3:53:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0684 ms (23 mm, 0.92 in) using estimated IR delay relative to Acoustic reference on HEADPHONE R with no timing offset
* Measurement: Satsuma L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	75.244690	66.5657
21.200001	75.386009	64.9222
21.799999	75.523682	63.7504
22.400000	75.631577	62.6579
23.000000	75.692657	61.2514
23.600000	75.735558	59.6876
24.299999	75.795181	58.1922
25.000000	75.846100	56.9320
25.799999	75.881989	55.4770
26.500000	75.912529	54.2342
27.200001	75.994766	52.8729
28.000000	76.090210	51.4127
29.000000	76.104179	49.6788
30.000000	76.143112	48.2757
30.700001	76.132874	47.3941
31.500000	76.152473	46.1212
32.500000	76.203918	44.9247
33.500000	76.226799	43.4756
34.500000	76.263412	42.2884
35.500000	76.282913	41.0771
36.500000	76.309128	39.9707
37.500000	76.314651	38.7562
38.700001	76.341202	37.4294
40.000000	76.380524	36.0650
41.200001	76.396927	35.0446
42.500000	76.414375	33.6624
43.700001	76.410255	32.6518
45.000000	76.439438	31.5322
46.200001	76.438980	30.5774
47.500000	76.468781	29.5073
48.700001	76.483147	28.6466
50.000000	76.491127	27.7202
51.500000	76.499451	26.5887
53.000000	76.499657	25.6845
54.500000	76.509064	24.6946
56.000000	76.512787	23.7852
58.000000	76.517426	22.6137
60.000000	76.467575	21.3577
61.500000	76.541206	20.7349
63.000000	76.540161	19.9070
65.000000	76.526764	18.9357
67.000000	76.532341	18.0406
69.000000	76.536171	17.1397
71.000000	76.539787	16.3397
73.000000	76.531891	15.5389
75.000000	76.523071	14.6531
77.500000	76.511948	13.5810
80.000000	76.526718	12.7221
82.500000	76.508583	11.8715
85.000000	76.505280	11.0508
87.500000	76.494827	10.1892
90.000000	76.527901	9.8582
92.500000	76.475418	8.7301
95.000000	76.466095	7.9798
97.500000	76.458122	7.2413
100.000000	76.443512	6.5782
103.000000	76.433434	5.8179
106.000000	76.428482	5.0847
109.000000	76.420326	4.3494
112.000000	76.407990	3.6385
115.000000	76.399101	2.9377
118.000000	76.393005	2.3173
122.000000	76.381500	1.4792
125.000000	76.365265	0.8792
128.000000	76.356689	0.2847
132.000000	76.343323	-0.5014
136.000000	76.328918	-1.2472
140.000000	76.309326	-1.9374
145.000000	76.286018	-2.7872
150.000000	76.270866	-3.6769
155.000000	76.244370	-4.3881
160.000000	76.222755	-5.2016
165.000000	76.192337	-5.9546
170.000000	76.160309	-6.6755
175.000000	76.127731	-7.3694
180.000000	76.107819	-8.0087
185.000000	76.070778	-8.7118
190.000000	76.036072	-9.3407
195.000000	76.004120	-9.9696
200.000000	75.970650	-10.5788
206.000000	75.928391	-11.2969
212.000000	75.891174	-11.9870
218.000000	75.844780	-12.6346
224.000000	75.804550	-13.2848
230.000000	75.755798	-13.9137
236.000000	75.709732	-14.5236
243.000000	75.659904	-15.1994
250.000000	75.605415	-15.8721
258.000000	75.543961	-16.6216
265.000000	75.487831	-17.2353
272.000000	75.429420	-17.8508
280.000000	75.366394	-18.4928
290.000000	75.283440	-19.3331
300.000000	75.190392	-20.0530
307.000000	75.138046	-20.6162
315.000000	75.073166	-21.2130
325.000000	74.986397	-21.8870
335.000000	74.899521	-22.5598
345.000000	74.812202	-23.2033
355.000000	74.726509	-23.8244
365.000000	74.637314	-24.4119
375.000000	74.551796	-24.9635
387.000000	74.444435	-25.6121
400.000000	74.332489	-26.2741
412.000000	74.224907	-26.8690
425.000000	74.106735	-27.4556
437.000000	74.005524	-27.9619
450.000000	73.889725	-28.4737
462.000000	73.783676	-28.9467
475.000000	73.672226	-29.3890
487.000000	73.566109	-29.7692
500.000000	73.456116	-30.1695
515.000000	73.327362	-30.6072
530.000000	73.202614	-30.9590
545.000000	73.081299	-31.2788
560.000000	72.957596	-31.5742
580.000000	72.798134	-31.9086
600.000000	72.645676	-32.1644
615.000000	72.526764	-32.3212
630.000000	72.414505	-32.4506
650.000000	72.274681	-32.5455
670.000000	72.135132	-32.5837
690.000000	72.002396	-32.5728
710.000000	71.880295	-32.5126
730.000000	71.766418	-32.3457
750.000000	71.658897	-32.1815
775.000000	71.538239	-31.8577
800.000000	71.437210	-31.5313
825.000000	71.349953	-31.1268
850.000000	71.287758	-30.6805
875.000000	71.245117	-30.2263
900.000000	71.222954	-29.7804
925.000000	71.222534	-29.3863
950.000000	71.237236	-29.0150
975.000000	71.270973	-28.7063
1000.000000	71.319611	-28.5072
1030.000000	71.399811	-28.4115
1060.000000	71.480492	-28.4692
1090.000000	71.572449	-28.6996
1120.000000	71.659950	-29.1106
1150.000000	71.739090	-29.6428
1180.000000	71.805328	-30.2829
1220.000000	71.869766	-31.2781
1250.000000	71.907310	-32.0166
1280.000000	71.925255	-32.7810
1320.000000	71.940292	-33.8121
1360.000000	71.923775	-34.7517
1400.000000	71.906631	-35.6221
1450.000000	71.867889	-36.5934
1500.000000	71.828705	-37.3887
1550.000000	71.787148	-38.0263
1600.000000	71.764473	-38.5729
1650.000000	71.749527	-38.9915
1700.000000	71.742241	-39.3137
1750.000000	71.761642	-39.5892
1800.000000	71.795601	-39.7455
1850.000000	71.848854	-39.8889
1900.000000	71.921028	-40.0011
1950.000000	72.016693	-40.1211
2000.000000	72.126328	-40.2024
2060.000000	72.286987	-40.2861
2120.000000	72.484863	-40.3980
2180.000000	72.712044	-40.5598
2240.000000	72.972595	-40.7639
2300.000000	73.270088	-41.0569
2360.000000	73.603653	-41.4620
2430.000000	74.042862	-42.0696
2500.000000	74.534203	-42.9308
2580.000000	75.166679	-44.2765
2650.000000	75.781631	-45.8508
2720.000000	76.453323	-47.9149
2800.000000	77.289314	-51.0365
2900.000000	78.408714	-56.4148
3000.000000	79.553238	-63.9587
3070.000000	80.297173	-70.8012
3150.000000	80.988434	-80.2417
3250.000000	81.440369	-93.8741
3350.000000	81.319641	-107.8865
3450.000000	80.705742	-120.4481
3550.000000	79.801636	-130.6466
3650.000000	78.793671	-138.5002
3750.000000	77.799599	-144.4237
3870.000000	76.697975	-149.7171
4000.000000	75.642059	-153.8736
4120.000000	74.800186	-156.7046
4250.000000	74.017677	-158.9945
4370.000000	73.408211	-160.6127
4500.000000	72.864922	-161.9891
4620.000000	72.464310	-162.9675
4750.000000	72.128326	-163.8404
4870.000000	71.904510	-164.4932
5000.000000	71.761612	-165.1215
5150.000000	71.719421	-165.7972
5300.000000	71.810562	-166.4764
5450.000000	72.041710	-167.2919
5600.000000	72.416862	-168.3493
5800.000000	73.159416	-170.2915
6000.000000	74.211678	-173.2788
6150.000000	75.228615	-176.6324
6300.000000	76.453796	178.4833
6500.000000	78.376450	168.2232
6700.000000	80.312729	150.9194
6900.000000	81.366478	126.3847
7100.000000	80.830574	100.8252
7300.000000	79.337791	81.9474
7500.000000	77.787041	69.4594
7750.000000	76.329597	59.0266
8000.000000	75.519867	50.8976
8250.000000	75.321365	42.7578
8500.000000	75.686310	32.6582
8750.000000	76.459717	18.1992
9000.000000	77.132751	-3.2471
9250.000000	76.741737	-30.2854
9500.000000	74.976234	-55.0126
9750.000000	72.655106	-72.8179
10000.000000	70.490784	-85.2900
10300.000000	68.399002	-96.4924
10600.000000	66.891357	-106.1672
10900.000000	65.879471	-115.9545
11200.000000	65.320663	-126.8068
11500.000000	65.164467	-140.0135
11800.000000	65.279182	-157.1025
12200.000000	65.201012	171.7551
12500.000000	64.239456	144.1071
12800.000000	62.378647	118.1216
13200.000000	59.455864	89.7238
13600.000000	56.723705	66.1546
14000.000000	54.518761	44.7693
14500.000000	52.562214	17.9580
15000.000000	51.453503	-11.5353
15500.000000	50.966869	-46.7874
16000.000000	50.753815	-89.7326
16500.000000	50.004135	-141.7854
17000.000000	48.107819	161.6498
17500.000000	45.119110	106.5920
18000.000000	41.656780	59.8962
18500.000000	41.303268	15.0126
19000.000000	41.907330	-62.5295
19500.000000	40.477524	-157.2009
