* Measurement data measured by REW V5.20 Beta 31
* Source: IEC-711 (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.530
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS With no timing reference
* Dated: Jan 20, 2020 7:13:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Shuoer Singer - L Blue
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	89.065880	-138.7826
21.200001	89.121674	-139.2917
21.799999	89.152565	-139.9356
22.400000	89.148857	-140.6474
23.000000	89.133209	-141.2928
23.600000	89.135544	-141.9426
24.299999	89.153534	-142.8612
25.000000	89.160736	-143.8417
25.799999	89.166382	-144.7524
26.500000	89.191818	-145.3964
27.200001	89.224136	-146.0221
28.000000	89.246040	-146.6635
29.000000	89.261650	-147.3196
30.000000	89.249504	-148.0108
30.700001	89.218300	-148.4010
31.500000	89.194504	-148.7712
32.500000	89.172829	-149.4181
33.500000	89.130974	-150.0293
34.500000	89.111732	-150.5231
35.500000	89.094742	-151.0600
36.500000	89.068062	-151.4641
37.500000	89.040596	-151.8021
38.700001	88.988647	-152.1370
40.000000	88.926987	-152.4299
41.200001	88.865463	-152.7353
42.500000	88.799675	-153.0437
43.700001	88.747932	-153.3208
45.000000	88.686607	-153.5648
46.200001	88.635338	-153.6818
47.500000	88.569984	-153.8045
48.700001	88.503021	-153.8362
50.000000	88.426682	-153.8646
51.500000	88.343765	-153.8929
53.000000	88.259804	-153.9155
54.500000	88.174042	-153.8592
56.000000	88.095634	-153.7279
58.000000	87.992455	-153.4821
60.000000	87.888512	-153.0167
61.500000	87.808456	-153.1122
63.000000	87.718987	-152.8671
65.000000	87.605789	-152.6211
67.000000	87.500053	-152.1901
69.000000	87.409592	-151.8290
71.000000	87.299362	-151.4137
73.000000	87.184143	-150.8940
75.000000	87.087021	-150.4833
77.500000	86.969986	-149.8127
80.000000	86.840027	-149.1971
82.500000	86.713516	-148.5051
85.000000	86.593498	-147.8377
87.500000	86.476044	-147.1233
90.000000	86.352005	-146.4109
92.500000	86.227249	-145.6359
95.000000	86.101906	-144.8797
97.500000	85.989380	-144.0623
100.000000	85.869438	-143.2829
103.000000	85.724686	-142.2763
106.000000	85.584518	-141.2516
109.000000	85.431702	-140.2293
112.000000	85.291908	-139.1550
115.000000	85.137764	-138.0622
118.000000	84.999573	-137.1089
122.000000	84.800430	-135.5560
125.000000	84.684486	-134.3436
128.000000	84.532700	-133.0780
132.000000	84.358429	-131.5466
136.000000	84.179749	-129.9469
140.000000	83.996170	-128.2274
145.000000	83.798088	-126.3044
150.000000	83.587891	-124.1238
155.000000	83.367119	-121.9120
