* Measurement data measured by REW V5.20 Beta 31
* Source: IEC-711 (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.530
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS With no timing reference
* Dated: Jan 20, 2020 7:12:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Shuoer Singer - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	88.962379	-138.9557
21.200001	88.999397	-139.3409
21.799999	89.046669	-139.6474
22.400000	89.099113	-140.2022
23.000000	89.122681	-141.0055
23.600000	89.116783	-141.8038
24.299999	89.114586	-142.6158
25.000000	89.135216	-143.4657
25.799999	89.150902	-144.5112
26.500000	89.149940	-145.2453
27.200001	89.162689	-145.7598
28.000000	89.199379	-146.3172
29.000000	89.224594	-147.1285
30.000000	89.194794	-147.8387
30.700001	89.162674	-148.1364
31.500000	89.151756	-148.4513
32.500000	89.127525	-149.1572
33.500000	89.066818	-149.6008
34.500000	89.079224	-149.9821
35.500000	89.070290	-150.7556
36.500000	89.026741	-151.2597
37.500000	88.990311	-151.6681
38.700001	88.939102	-151.9942
40.000000	88.880333	-152.4198
41.200001	88.810326	-152.6244
42.500000	88.759064	-152.9221
43.700001	88.700287	-153.1761
45.000000	88.644676	-153.3688
46.200001	88.594826	-153.5365
47.500000	88.525017	-153.6742
48.700001	88.459885	-153.7436
50.000000	88.373421	-153.8041
51.500000	88.288437	-153.7223
53.000000	88.222588	-153.7352
54.500000	88.138504	-153.7580
56.000000	88.049889	-153.6249
58.000000	87.948700	-153.3744
60.000000	87.866486	-153.0627
61.500000	87.764618	-153.1116
63.000000	87.675468	-152.8869
65.000000	87.562027	-152.4538
67.000000	87.471649	-152.0024
69.000000	87.337234	-151.5985
71.000000	87.235443	-151.1007
73.000000	87.139511	-150.6823
75.000000	87.058228	-150.1533
77.500000	86.947418	-149.6452
80.000000	86.812462	-148.9884
82.500000	86.688133	-148.2956
85.000000	86.557266	-147.6886
87.500000	86.446014	-147.0058
90.000000	86.327232	-146.2272
92.500000	86.201256	-145.3957
95.000000	86.067177	-144.7513
97.500000	85.945602	-143.9411
100.000000	85.839127	-143.2146
103.000000	85.679756	-142.3043
106.000000	85.539825	-141.0884
109.000000	85.396957	-140.1161
112.000000	85.262749	-139.0889
115.000000	85.111160	-137.9885
118.000000	84.944618	-136.9186
122.000000	84.772278	-135.3680
125.000000	84.645393	-134.3108
128.000000	84.509018	-133.0641
