* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.625
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 26, 2020 10:05:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CFA Solaris 2020 - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	81.129089	8.9796
21.200001	81.019714	8.6867
21.799999	81.071968	8.0355
22.400000	80.965515	7.1315
23.000000	80.986191	5.8570
23.600000	81.116211	6.1410
24.299999	81.003525	6.1230
25.000000	81.000763	4.5387
25.799999	81.045128	4.8254
26.500000	80.902657	4.2869
27.200001	80.973450	3.3135
28.000000	80.966988	3.4451
29.000000	80.945953	2.6124
30.000000	80.909599	2.2490
30.700001	80.895744	1.7494
31.500000	80.887497	1.4467
32.500000	80.868874	0.9845
33.500000	80.870743	0.6030
34.500000	80.842117	0.2398
35.500000	80.835556	-0.2257
36.500000	80.787033	-0.5675
37.500000	80.773697	-0.8713
38.700001	80.766739	-1.4915
40.000000	80.751060	-1.7909
41.200001	80.700783	-2.1490
42.500000	80.689430	-2.5619
43.700001	80.654564	-2.9179
45.000000	80.643494	-3.2291
46.200001	80.594894	-3.6944
47.500000	80.588936	-3.8340
48.700001	80.556183	-4.3465
50.000000	80.524620	-4.4497
51.500000	80.510216	-4.8653
53.000000	80.483864	-5.1777
54.500000	80.441437	-5.5138
56.000000	80.414886	-5.8051
58.000000	80.364449	-6.0891
60.000000	80.304321	-6.5454
61.500000	80.297539	-6.7070
63.000000	80.268860	-7.0433
65.000000	80.219749	-7.3662
67.000000	80.190201	-7.6317
69.000000	80.146454	-7.9545
71.000000	80.108109	-8.2070
73.000000	80.068230	-8.4959
75.000000	80.030464	-8.6747
77.500000	79.987411	-8.9183
80.000000	79.932976	-9.1211
82.500000	79.882263	-9.5003
85.000000	79.835121	-9.7364
87.500000	79.782921	-9.9281
90.000000	79.667496	-10.1981
92.500000	79.683197	-10.3695
95.000000	79.641342	-10.5465
97.500000	79.593987	-10.7357
100.000000	79.551376	-10.8788
103.000000	79.496590	-11.0700
106.000000	79.439354	-11.2740
109.000000	79.389793	-11.3890
112.000000	79.333481	-11.5529
115.000000	79.282913	-11.6422
118.000000	79.235733	-11.7614
122.000000	79.169250	-11.9208
125.000000	79.120056	-12.0004
128.000000	79.069725	-12.0786
132.000000	79.008682	-12.1816
136.000000	78.945580	-12.2650
140.000000	78.886375	-12.3707
145.000000	78.811829	-12.4397
150.000000	78.740707	-12.5267
155.000000	78.669510	-12.5858
160.000000	78.601501	-12.6292
165.000000	78.532257	-12.6474
170.000000	78.470406	-12.6570
175.000000	78.401649	-12.6906
180.000000	78.344002	-12.7074
185.000000	78.280663	-12.6863
190.000000	78.218040	-12.6720
195.000000	78.160316	-12.6457
200.000000	78.103401	-12.6303
206.000000	78.034515	-12.5792
212.000000	77.964668	-12.5403
218.000000	77.900391	-12.4830
224.000000	77.836395	-12.4380
230.000000	77.772484	-12.3616
236.000000	77.709518	-12.2909
243.000000	77.635963	-12.1870
250.000000	77.566261	-12.0866
258.000000	77.486862	-11.9422
265.000000	77.420746	-11.8373
272.000000	77.351341	-11.7082
280.000000	77.274124	-11.5672
290.000000	77.181297	-11.3621
300.000000	77.088432	-11.1738
307.000000	77.028267	-11.0061
315.000000	76.953629	-10.7984
325.000000	76.866463	-10.5633
335.000000	76.779037	-10.3074
345.000000	76.693314	-10.0313
355.000000	76.607201	-9.7500
365.000000	76.525253	-9.4547
375.000000	76.442398	-9.1597
387.000000	76.343979	-8.7774
400.000000	76.239990	-8.3421
412.000000	76.145905	-7.9251
425.000000	76.043716	-7.4622
437.000000	75.953445	-7.0109
450.000000	75.855194	-6.5141
462.000000	75.767281	-6.0292
475.000000	75.674232	-5.4893
487.000000	75.588669	-4.9789
500.000000	75.499939	-4.4116
515.000000	75.397865	-3.7319
530.000000	75.301727	-3.0545
545.000000	75.209915	-2.3356
560.000000	75.124359	-1.6686
580.000000	75.027084	-1.1795
600.000000	74.668556	0.2864
615.000000	74.668755	1.6644
630.000000	74.618500	2.5248
650.000000	74.529266	3.7001
670.000000	74.435974	4.9159
690.000000	74.343613	6.1535
710.000000	74.251099	7.4358
730.000000	74.155998	8.7167
750.000000	74.050209	10.1486
775.000000	73.945061	12.2579
800.000000	73.891998	14.3456
825.000000	73.859131	16.3651
850.000000	73.831566	18.3685
875.000000	73.815681	20.4117
900.000000	73.811119	22.4822
925.000000	73.819374	24.6106
950.000000	73.842117	26.7899
975.000000	73.879105	29.0254
1000.000000	73.938255	31.3443
1030.000000	74.040047	34.2328
1060.000000	74.179123	37.2978
1090.000000	74.394691	40.4823
1120.000000	74.695801	43.6642
1150.000000	75.096909	46.5869
1180.000000	75.585617	49.0218
1220.000000	76.314293	51.1394
1250.000000	76.862686	51.8629
1280.000000	77.375771	51.9837
1320.000000	77.982162	51.4784
1360.000000	78.498230	50.5497
1400.000000	78.940125	49.4086
1450.000000	79.416306	47.8182
1500.000000	79.828430	46.0879
1550.000000	80.190910	44.2155
1600.000000	80.508575	42.1853
1650.000000	80.779274	40.0031
1700.000000	81.008881	37.6711
1750.000000	81.197685	35.1816
1800.000000	81.347198	32.5037
1850.000000	81.449738	29.5782
1900.000000	81.487450	26.3615
1950.000000	81.437737	22.8960
2000.000000	81.274933	19.3263
2060.000000	80.916512	15.2245
2120.000000	80.394997	11.7372
2180.000000	79.757301	9.1808
2240.000000	79.059937	7.6928
2300.000000	78.353264	7.2204
2360.000000	77.675507	7.6452
2430.000000	76.948914	9.0517
2500.000000	76.311913	11.2042
2580.000000	75.703537	14.3205
2650.000000	75.277161	17.4366
2720.000000	74.949890	20.7517
2800.000000	74.696274	24.6414
2900.000000	74.548325	29.3973
3000.000000	74.571823	33.7665
3070.000000	74.676682	36.4149
3150.000000	74.866776	38.9058
3250.000000	75.164680	41.0347
3350.000000	75.460823	42.0116
3450.000000	75.670708	42.0246
3550.000000	75.735878	41.6298
3650.000000	75.659904	41.5678
3750.000000	75.526566	42.4465
3870.000000	75.459419	44.8174
4000.000000	75.678818	48.2488
4120.000000	76.223900	51.0232
4250.000000	77.172836	52.1100
4370.000000	78.249062	49.8603
4500.000000	79.246918	42.7263
4620.000000	79.543518	33.1497
4750.000000	79.108810	23.6917
4870.000000	78.294983	17.2872
5000.000000	77.173851	13.5281
5150.000000	75.886856	13.0679
5300.000000	74.851013	15.5218
5450.000000	74.130463	19.6066
5600.000000	73.709984	24.6443
5800.000000	73.594910	31.9707
6000.000000	73.950371	39.3210
6150.000000	74.517586	44.4527
6300.000000	75.346306	48.9417
6500.000000	76.862411	53.1221
6700.000000	78.834267	53.7136
6900.000000	81.030518	47.9362
7100.000000	82.600243	33.6890
7300.000000	82.572716	16.4817
7500.000000	81.285606	5.2692
7750.000000	79.516335	1.3014
8000.000000	78.256027	3.5393
8250.000000	77.606682	8.3913
8500.000000	77.498390	14.0224
8750.000000	77.892616	19.0655
9000.000000	78.715683	22.4049
9250.000000	79.908615	22.5711
9500.000000	81.234085	17.4584
9750.000000	82.068146	5.7045
10000.000000	81.638885	-9.1985
10300.000000	79.615425	-20.9244
10600.000000	77.433556	-22.5927
10900.000000	75.965790	-20.0892
11200.000000	75.053299	-17.1229
11500.000000	74.631035	-14.9185
11800.000000	74.694504	-15.5595
12200.000000	74.978333	-25.5028
12500.000000	74.418449	-41.9059
12800.000000	71.921005	-59.4116
13200.000000	66.596985	-67.1917
13600.000000	60.732098	-52.7940
14000.000000	58.546379	-0.8707
14500.000000	67.614899	14.2622
15000.000000	69.243752	-28.2540
15500.000000	67.872444	-49.5431
16000.000000	67.950943	-68.4154
16500.000000	68.524406	-107.3708
17000.000000	65.602249	-153.9880
17500.000000	61.812222	170.9639
18000.000000	59.372967	136.9523
18500.000000	58.602589	92.7289
19000.000000	58.480087	26.2584
19500.000000	55.832935	-62.2173
