* Measurement data measured by REW V5.19
* Source: Microphone (2- USB Sound Device        ), no input selected, R, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at -20.0 dBFS  With no timing reference
* Dated: Apr 11, 2019 9:06:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Solaris (Left)
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	3.256235	-7.4336
20.600000	3.293551	-8.1002
21.200001	3.291815	-8.6454
21.799999	3.272158	-9.1959
22.400000	3.243103	-9.8272
23.000000	3.210046	-10.5438
23.600000	3.179274	-11.3212
24.299999	3.153185	-12.2680
25.000000	3.140786	-13.2199
25.799999	3.140701	-14.2693
26.500000	3.147181	-15.1194
27.200001	3.154947	-15.8896
28.000000	3.160468	-16.6839
29.000000	3.156934	-17.5941
30.000000	3.140598	-18.4933
30.700001	3.121501	-19.1428
31.500000	3.097637	-19.8986
32.500000	3.074684	-20.8924
33.500000	3.056264	-21.9290
34.500000	3.043701	-22.9152
35.500000	3.038906	-23.8440
36.500000	3.033199	-24.7163
37.500000	3.024074	-25.5376
38.700001	3.004054	-26.5121
40.000000	2.973747	-27.5583
41.200001	2.947991	-28.5437
42.500000	2.924587	-29.6340
43.700001	2.907002	-30.6112
45.000000	2.888660	-31.6391
46.200001	2.871483	-32.5099
47.500000	2.851502	-33.4933
48.700001	2.826172	-34.3458
50.000000	2.803581	-35.3415
51.500000	2.767746	-36.4144
53.000000	2.743115	-37.4742
54.500000	2.719671	-38.5219
56.000000	2.690598	-39.5176
58.000000	2.660500	-40.8660
60.000000	2.623524	-42.1794
61.500000	2.594832	-43.1345
63.000000	2.567700	-44.0781
65.000000	2.528922	-45.3281
67.000000	2.488961	-46.5510
69.000000	2.454617	-47.7726
71.000000	2.412174	-48.9612
73.000000	2.370948	-50.1168
75.000000	2.332305	-51.2522
77.500000	2.291325	-52.6515
80.000000	2.242639	-54.0497
82.500000	2.195519	-55.4123
85.000000	2.156860	-56.7575
87.500000	2.106412	-58.0546
90.000000	2.066287	-59.3664
92.500000	2.024733	-60.6594
95.000000	1.981274	-61.9146
