* Measurement data measured by REW V5.19
* Source: Microphone (2- USB Sound Device        ), no input selected, R, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at -20.0 dBFS  With no timing reference
* Dated: Apr 11, 2019 9:05:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Solaris (Right)
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	83.520363	-7.0584
20.600000	83.558067	-7.7104
21.200001	83.559540	-8.2527
21.799999	83.542267	-8.8185
22.400000	83.513077	-9.4619
23.000000	83.479950	-10.1745
23.600000	83.451302	-10.9457
24.299999	83.428169	-11.9004
25.000000	83.416794	-12.8616
25.799999	83.418419	-13.9129
26.500000	83.426910	-14.7736
27.200001	83.434929	-15.5562
28.000000	83.440590	-16.3522
29.000000	83.438568	-17.2658
30.000000	83.423737	-18.1641
30.700001	83.406990	-18.8183
31.500000	83.383881	-19.5919
32.500000	83.358994	-20.5845
33.500000	83.342590	-21.6048
34.500000	83.333229	-22.5970
35.500000	83.329498	-23.5335
36.500000	83.325874	-24.4081
37.500000	83.317978	-25.2442
38.700001	83.298691	-26.2089
40.000000	83.275253	-27.2767
41.200001	83.248688	-28.2866
42.500000	83.229218	-29.3780
43.700001	83.213638	-30.3674
45.000000	83.201843	-31.3903
46.200001	83.187080	-32.3005
47.500000	83.165131	-33.2686
48.700001	83.143250	-34.1176
50.000000	83.123695	-35.1130
51.500000	83.093422	-36.2258
53.000000	83.069679	-37.3199
54.500000	83.047836	-38.3667
56.000000	83.023315	-39.3883
58.000000	82.990334	-40.7317
60.000000	82.954056	-42.0679
61.500000	82.924858	-43.0667
63.000000	82.901169	-44.0348
65.000000	82.865784	-45.3114
67.000000	82.832039	-46.5661
69.000000	82.796364	-47.8055
71.000000	82.759468	-49.0126
73.000000	82.724403	-50.2106
75.000000	82.691818	-51.4159
77.500000	82.646492	-52.8375
80.000000	82.605698	-54.2308
82.500000	82.561531	-55.6451
85.000000	82.521133	-57.0167
87.500000	82.476143	-58.3559
90.000000	82.434418	-59.6856
92.500000	82.392670	-61.0094
95.000000	82.350479	-62.3003
97.500000	82.309288	-63.5518
100.000000	82.270706	-64.7762
103.000000	82.219475	-66.3020
106.000000	82.169304	-67.7683
109.000000	82.124329	-69.2129
112.000000	82.075920	-70.6264
115.000000	82.031509	-72.0270
118.000000	81.983253	-73.3889
122.000000	81.923996	-75.2051
125.000000	81.880020	-76.5319
128.000000	81.835953	-77.8407
132.000000	81.783546	-79.5896
136.000000	81.725403	-81.2923
140.000000	81.672722	-82.9943
145.000000	81.603378	-85.0380
150.000000	81.536003	-87.0254
155.000000	81.476875	-89.0870
160.000000	81.414917	-91.0468
165.000000	81.357216	-92.9894
170.000000	81.299568	-94.9045
175.000000	81.239975	-96.7792
180.000000	81.186485	-98.6318
185.000000	81.130463	-100.4841
190.000000	81.077339	-102.2865
195.000000	81.024445	-104.1144
200.000000	80.978889	-105.8738
206.000000	80.919037	-107.9505
212.000000	80.860497	-110.0341
218.000000	80.803452	-112.0677
224.000000	80.749847	-114.0792
230.000000	80.693466	-116.0676
236.000000	80.642181	-118.0453
243.000000	80.578972	-120.3062
250.000000	80.523087	-122.5450
258.000000	80.457207	-125.0352
265.000000	80.400818	-127.2486
272.000000	80.350044	-129.3310
280.000000	80.283836	-131.7924
290.000000	80.217010	-134.7839
300.000000	80.151535	-137.7041
307.000000	80.099030	-139.7680
315.000000	80.047562	-142.0506
325.000000	79.983025	-144.8600
335.000000	79.915794	-147.6506
345.000000	79.855637	-150.4038
355.000000	79.799553	-153.0902
365.000000	79.744301	-155.7381
375.000000	79.685623	-158.3601
387.000000	79.625847	-161.4495
400.000000	79.566872	-164.7788
412.000000	79.508354	-167.7411
425.000000	79.443970	-170.9682
437.000000	79.396729	-173.8479
450.000000	79.340775	-176.9502
462.000000	79.298355	-179.7982
475.000000	79.253616	177.1877
487.000000	79.207390	174.4443
500.000000	79.176567	171.5806
515.000000	79.123375	168.1719
530.000000	79.083618	164.8514
545.000000	79.043610	161.6048
560.000000	79.008774	158.3875
580.000000	78.956383	154.0989
600.000000	78.901718	149.9370
615.000000	78.908218	147.0185
630.000000	78.887383	143.5675
650.000000	78.797096	139.3902
670.000000	78.697998	135.5266
690.000000	78.632767	131.9725
710.000000	78.610283	128.4508
730.000000	78.601097	124.8323
750.000000	78.575371	121.1451
775.000000	78.543198	116.6394
800.000000	78.493271	112.1837
825.000000	78.440048	107.8890
850.000000	78.372200	103.7372
875.000000	78.305328	99.7874
900.000000	78.235062	96.0637
925.000000	78.176056	92.4835
950.000000	78.126892	89.1650
975.000000	78.095924	86.0382
1000.000000	78.095688	83.1424
1030.000000	78.119003	79.6959
1060.000000	78.194534	76.3812
1090.000000	78.312294	73.1113
1120.000000	78.464157	69.7770
1150.000000	78.644310	66.3640
1180.000000	78.840019	62.8110
1220.000000	79.110924	57.8919
1250.000000	79.312180	54.0947
1280.000000	79.508141	50.2554
1320.000000	79.758766	45.1092
1360.000000	79.990776	40.0467
1400.000000	80.216187	35.0827
1450.000000	80.501328	29.0922
1500.000000	80.804848	23.3062
1550.000000	81.145966	17.7209
1600.000000	81.522171	12.2272
1650.000000	81.951149	6.7627
1700.000000	82.434608	1.1879
1750.000000	82.964012	-4.6113
1800.000000	83.535812	-10.7957
1850.000000	84.133957	-17.4819
1900.000000	84.738731	-24.8140
1950.000000	85.314346	-32.8907
2000.000000	85.825691	-41.6960
2060.000000	86.287857	-53.1556
2120.000000	86.530327	-65.1765
2180.000000	86.528488	-77.1460
2240.000000	86.305237	-88.4494
2300.000000	85.919640	-98.6439
2360.000000	85.439018	-107.5413
2430.000000	84.837631	-116.3250
2500.000000	84.253654	-123.5953
2580.000000	83.656586	-130.3804
2650.000000	83.218864	-135.2310
2720.000000	82.874557	-139.2940
2800.000000	82.607704	-143.2019
2900.000000	82.476723	-147.2975
3000.000000	82.583923	-150.9597
3070.000000	82.811142	-153.5068
3150.000000	83.228043	-156.7310
3250.000000	83.981369	-161.8451
3350.000000	84.937836	-169.2769
3450.000000	85.882339	179.4952
3550.000000	86.338158	163.8999
3650.000000	85.776642	146.5604
3750.000000	84.185822	132.7132
3870.000000	81.713577	124.9692
4000.000000	79.364288	125.9583
4120.000000	77.983292	132.0041
4250.000000	77.253349	140.2550
4370.000000	77.239510	148.9977
4500.000000	78.044250	157.0275
4620.000000	79.257851	160.3837
4750.000000	80.442062	158.7272
4870.000000	80.970352	154.8484
5000.000000	80.964005	151.6010
5150.000000	80.602615	151.3377
5300.000000	80.254776	154.4926
5450.000000	80.105827	159.9879
5600.000000	80.223381	167.0162
5800.000000	80.858925	177.2660
6000.000000	82.005783	-172.5333
6150.000000	83.223831	-165.9782
6300.000000	84.716583	-161.7258
