* Measurement data measured by REW V5.20.13
* Source: C:\Users\Anthony\Desktop\storm.txt
* Format: Comma/Tab/Space delimited data
* Dated: Feb 20, 2023 4:31:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: storm
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	69.787	0.0000
20.600000	69.570	0.0000
21.200001	69.517	0.0000
21.799999	69.512	0.0000
22.400000	69.511	0.0000
23.000000	69.508	0.0000
23.600000	69.488	0.0000
24.299999	69.434	0.0000
25.000000	69.390	0.0000
25.799999	69.333	0.0000
26.500000	69.294	0.0000
27.200001	69.227	0.0000
28.000000	69.155	0.0000
29.000000	69.090	0.0000
30.000000	68.997	0.0000
30.700001	68.948	0.0000
31.500000	68.896	0.0000
32.500000	68.841	0.0000
33.500000	68.760	0.0000
34.500000	68.671	0.0000
35.500000	68.593	0.0000
36.500000	68.524	0.0000
37.500000	68.468	0.0000
38.700001	68.379	0.0000
40.000000	68.288	0.0000
41.200001	68.208	0.0000
42.500000	68.117	0.0000
43.700001	68.033	0.0000
45.000000	67.937	0.0000
46.200001	67.856	0.0000
47.500000	67.763	0.0000
48.700001	67.684	0.0000
50.000000	67.583	0.0000
51.500000	67.473	0.0000
53.000000	67.349	0.0000
54.500000	67.216	0.0000
56.000000	67.075	0.0000
58.000000	66.890	0.0000
60.000000	66.709	0.0000
61.500000	66.575	0.0000
63.000000	66.453	0.0000
65.000000	66.286	0.0000
67.000000	66.105	0.0000
69.000000	65.947	0.0000
71.000000	65.777	0.0000
73.000000	65.619	0.0000
75.000000	65.468	0.0000
77.500000	65.278	0.0000
80.000000	65.097	0.0000
82.500000	64.926	0.0000
85.000000	64.762	0.0000
87.500000	64.594	0.0000
90.000000	64.436	0.0000
92.500000	64.290	0.0000
95.000000	64.135	0.0000
97.500000	63.992	0.0000
100.000000	63.844	0.0000
103.000000	63.690	0.0000
106.000000	63.532	0.0000
109.000000	63.359	0.0000
112.000000	63.207	0.0000
115.000000	63.058	0.0000
118.000000	62.895	0.0000
122.000000	62.711	0.0000
125.000000	62.586	0.0000
128.000000	62.473	0.0000
132.000000	62.339	0.0000
136.000000	62.200	0.0000
140.000000	62.081	0.0000
145.000000	61.961	0.0000
150.000000	61.838	0.0000
155.000000	61.712	0.0000
160.000000	61.617	0.0000
165.000000	61.491	0.0000
170.000000	61.379	0.0000
175.000000	61.280	0.0000
180.000000	61.195	0.0000
185.000000	61.110	0.0000
190.000000	61.030	0.0000
195.000000	60.955	0.0000
200.000000	60.875	0.0000
206.000000	60.825	0.0000
212.000000	60.817	0.0000
218.000000	60.816	0.0000
224.000000	60.816	0.0000
230.000000	60.816	0.0000
236.000000	60.816	0.0000
243.000000	60.816	0.0000
250.000000	60.816	0.0000
258.000000	60.816	0.0000
265.000000	60.816	0.0000
272.000000	60.816	0.0000
280.000000	60.817	0.0000
290.000000	60.834	0.0000
300.000000	60.891	0.0000
307.000000	60.906	0.0000
315.000000	60.909	0.0000
325.000000	60.910	0.0000
335.000000	60.910	0.0000
345.000000	60.910	0.0000
355.000000	60.910	0.0000
365.000000	60.910	0.0000
375.000000	60.910	0.0000
387.000000	60.910	0.0000
400.000000	60.910	0.0000
412.000000	60.910	0.0000
425.000000	60.910	0.0000
437.000000	60.910	0.0000
450.000000	60.910	0.0000
462.000000	60.910	0.0000
475.000000	60.910	0.0000
487.000000	60.910	0.0000
500.000000	60.908	0.0000
515.000000	60.896	0.0000
530.000000	60.849	0.0000
545.000000	60.818	0.0000
560.000000	60.794	0.0000
580.000000	60.735	0.0000
600.000000	60.704	0.0000
615.000000	60.660	0.0000
630.000000	60.635	0.0000
650.000000	60.629	0.0000
670.000000	60.625	0.0000
690.000000	60.597	0.0000
710.000000	60.573	0.0000
730.000000	60.610	0.0000
750.000000	60.627	0.0000
775.000000	60.629	0.0000
800.000000	60.631	0.0000
825.000000	60.649	0.0000
850.000000	60.702	0.0000
875.000000	60.734	0.0000
900.000000	60.786	0.0000
925.000000	60.844	0.0000
950.000000	60.904	0.0000
975.000000	60.967	0.0000
1000.000000	61.058	0.0000
1030.000000	61.156	0.0000
1060.000000	61.266	0.0000
1090.000000	61.357	0.0000
1120.000000	61.457	0.0000
1150.000000	61.599	0.0000
1180.000000	61.727	0.0000
1220.000000	61.889	0.0000
1250.000000	61.998	0.0000
1280.000000	62.108	0.0000
1320.000000	62.251	0.0000
1360.000000	62.390	0.0000
1400.000000	62.498	0.0000
1450.000000	62.633	0.0000
1500.000000	62.831	0.0000
1550.000000	63.055	0.0000
1600.000000	63.280	0.0000
1650.000000	63.495	0.0000
1700.000000	63.723	0.0000
1750.000000	63.937	0.0000
1800.000000	64.154	0.0000
1850.000000	64.368	0.0000
1900.000000	64.582	0.0000
1950.000000	64.821	0.0000
2000.000000	65.076	0.0000
2060.000000	65.390	0.0000
2120.000000	65.677	0.0000
2180.000000	65.927	0.0000
2240.000000	66.127	0.0000
2300.000000	66.292	0.0000
2360.000000	66.394	0.0000
2430.000000	66.472	0.0000
2500.000000	66.564	0.0000
2580.000000	66.650	0.0000
2650.000000	66.756	0.0000
2720.000000	66.878	0.0000
2800.000000	67.068	0.0000
2900.000000	67.438	0.0000
3000.000000	67.919	0.0000
3070.000000	68.249	0.0000
3150.000000	68.431	0.0000
3250.000000	68.388	0.0000
3350.000000	68.059	0.0000
3450.000000	67.623	0.0000
3550.000000	67.405	0.0000
3650.000000	67.365	0.0000
3750.000000	67.360	0.0000
3870.000000	67.343	0.0000
4000.000000	67.175	0.0000
4120.000000	66.640	0.0000
4250.000000	65.670	0.0000
4370.000000	64.839	0.0000
4500.000000	64.472	0.0000
4620.000000	64.584	0.0000
4750.000000	64.961	0.0000
4870.000000	65.331	0.0000
5000.000000	65.758	0.0000
5150.000000	66.370	0.0000
5300.000000	66.936	0.0000
5450.000000	66.995	0.0000
5600.000000	66.267	0.0000
5800.000000	64.461	0.0000
6000.000000	62.745	0.0000
6150.000000	61.977	0.0000
6300.000000	61.822	0.0000
6500.000000	62.405	0.0000
6700.000000	63.634	0.0000
6900.000000	64.448	0.0000
7100.000000	64.199	0.0000
7300.000000	62.703	0.0000
7500.000000	60.691	0.0000
7750.000000	59.778	0.0000
8000.000000	60.888	0.0000
8250.000000	62.416	0.0000
8500.000000	62.839	0.0000
8750.000000	62.293	0.0000
9000.000000	61.207	0.0000
9250.000000	60.108	0.0000
9500.000000	59.229	0.0000
9750.000000	58.801	0.0000
10000.000000	58.818	0.0000
10300.000000	59.390	0.0000
10600.000000	60.345	0.0000
10900.000000	61.166	0.0000
11200.000000	61.557	0.0000
11500.000000	61.614	0.0000
11800.000000	61.508	0.0000
12200.000000	61.335	0.0000
12500.000000	61.373	0.0000
12800.000000	61.679	0.0000
13200.000000	62.489	0.0000
13600.000000	62.882	0.0000
14000.000000	62.249	0.0000
14500.000000	60.379	0.0000
15000.000000	58.568	0.0000
15500.000000	57.841	0.0000
16000.000000	58.202	0.0000
16500.000000	58.473	0.0000
17000.000000	57.649	0.0000
17500.000000	55.784	0.0000
18000.000000	53.548	0.0000
18500.000000	51.698	0.0000
19000.000000	50.513	0.0000
19500.000000	50.114	0.0000
