* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260. Timing signal peak level -21.6 dBFS, measurement signal peak level -21.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: Dec 18, 2020 6:51:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0318 ms (-11 mm, -0.43 in) using estimated IR delay relative to Acoustic reference on HEADPHONE R with no timing offset
* Measurement: Noble Sultan - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	93.826637	-141.4111
21.200001	93.894241	-142.8487
21.799999	93.962234	-144.2754
22.400000	94.029114	-145.7087
23.000000	94.086662	-147.0921
23.600000	94.135262	-148.3827
24.299999	94.188210	-149.8110
25.000000	94.236992	-151.2334
25.799999	94.280907	-152.8312
26.500000	94.314034	-154.1500
27.200001	94.347580	-155.4301
28.000000	94.378273	-156.8834
29.000000	94.401123	-158.5870
30.000000	94.421852	-160.1645
30.700001	94.432304	-161.2426
31.500000	94.437515	-162.4313
32.500000	94.439293	-163.8515
33.500000	94.436615	-165.2399
34.500000	94.428238	-166.5905
35.500000	94.418068	-167.8491
36.500000	94.405556	-169.0446
37.500000	94.382294	-170.2258
38.700001	94.348366	-171.5983
40.000000	94.318184	-172.9365
41.200001	94.289047	-174.1171
42.500000	94.236504	-175.3520
43.700001	94.197426	-176.4201
45.000000	94.152237	-177.5882
46.200001	94.100220	-178.5894
47.500000	94.046097	-179.6099
48.700001	93.995949	179.4930
50.000000	93.938614	178.5496
51.500000	93.868500	177.5329
53.000000	93.800537	176.5501
54.500000	93.727631	175.6352
56.000000	93.656006	174.7455
58.000000	93.556343	173.6766
60.000000	93.452415	172.6078
61.500000	93.382462	171.8927
63.000000	93.310165	171.2568
65.000000	93.210381	170.3859
67.000000	93.107986	169.5653
69.000000	93.009483	168.8263
71.000000	92.913445	168.1139
73.000000	92.812553	167.4872
75.000000	92.713974	166.8643
77.500000	92.594162	166.1808
80.000000	92.473885	165.4985
82.500000	92.355980	164.9095
85.000000	92.236603	164.4075
87.500000	92.129898	163.8962
90.000000	92.007538	163.5526
92.500000	91.902214	162.9872
95.000000	91.778992	162.4868
97.500000	91.664543	162.3953
100.000000	91.583664	161.9333
103.000000	91.461166	161.5890
106.000000	91.344749	161.2382
109.000000	91.229454	160.9850
112.000000	91.119812	160.7734
115.000000	91.008118	160.5753
118.000000	90.904175	160.4189
122.000000	90.769600	160.1967
125.000000	90.660629	160.0781
128.000000	90.560509	159.9980
132.000000	90.438049	159.8744
136.000000	90.314072	159.7933
140.000000	90.198563	159.7687
145.000000	90.060898	159.7268
150.000000	89.922920	159.7458
155.000000	89.795456	159.7841
160.000000	89.672951	159.8398
165.000000	89.554688	159.9075
170.000000	89.441849	160.0010
175.000000	89.334541	160.1190
180.000000	89.232605	160.2484
185.000000	89.129456	160.4145
190.000000	89.031990	160.5636
195.000000	88.939377	160.7406
200.000000	88.853073	160.8835
206.000000	88.748856	161.1236
212.000000	88.654083	161.3572
218.000000	88.559990	161.6195
224.000000	88.470543	161.8369
230.000000	88.387177	162.0847
236.000000	88.303635	162.3411
243.000000	88.212830	162.6426
250.000000	88.124115	162.9488
258.000000	88.029808	163.3065
265.000000	87.949493	163.6099
272.000000	87.873093	163.9222
280.000000	87.790077	164.2766
290.000000	87.688797	164.7488
300.000000	87.597672	165.1607
307.000000	87.534187	165.4884
315.000000	87.465012	165.8468
325.000000	87.381996	166.2918
335.000000	87.303070	166.7319
345.000000	87.226952	167.1838
355.000000	87.153275	167.6246
365.000000	87.084023	168.0639
375.000000	87.017792	168.5061
387.000000	86.938751	169.0356
400.000000	86.859062	169.6096
412.000000	86.788025	170.1221
425.000000	86.714096	170.7010
437.000000	86.648827	171.2229
450.000000	86.580627	171.7953
462.000000	86.519890	172.3178
475.000000	86.455658	172.8971
487.000000	86.399567	173.4209
500.000000	86.338943	173.9962
515.000000	86.272812	174.6733
530.000000	86.209747	175.3417
545.000000	86.148308	176.0318
560.000000	86.089561	176.7251
580.000000	86.013596	177.6493
600.000000	85.942574	178.6148
615.000000	85.892784	179.3384
630.000000	85.845627	-179.9179
650.000000	85.785133	-178.9140
670.000000	85.729134	-177.8844
690.000000	85.679916	-176.8292
710.000000	85.633804	-175.7484
730.000000	85.591507	-174.6547
