* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: Mar 3, 2023 1:05:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SuperNova R
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	84.199	-144.7159
21.200001	84.261	-146.4600
21.799999	84.308	-148.3113
22.400000	84.341	-150.1274
23.000000	84.369	-151.8956
23.600000	84.390	-153.6022
24.299999	84.399	-155.5179
25.000000	84.390	-157.3685
25.799999	84.365	-159.4407
26.500000	84.344	-161.2294
27.200001	84.327	-162.9600
28.000000	84.306	-164.8289
29.000000	84.276	-167.0598
30.000000	84.241	-169.2388
30.700001	84.206	-170.7349
31.500000	84.161	-172.4183
32.500000	84.111	-174.4453
33.500000	84.058	-176.3827
34.500000	84.003	-178.2655
35.500000	83.949	179.9288
36.500000	83.891	178.1658
37.500000	83.828	176.4384
38.700001	83.761	174.4156
40.000000	83.692	172.3831
41.200001	83.614	170.5811
42.500000	83.542	168.6248
43.700001	83.478	166.9370
45.000000	83.390	165.1630
46.200001	83.311	163.4776
47.500000	83.238	161.7450
48.700001	83.167	160.2936
50.000000	83.088	158.7243
51.500000	82.998	156.9282
53.000000	82.909	155.2173
54.500000	82.822	153.5780
56.000000	82.736	151.9771
58.000000	82.615	149.8973
60.000000	82.490	147.8912
61.500000	82.414	146.4647
63.000000	82.339	145.0762
65.000000	82.234	143.2731
67.000000	82.127	141.5202
69.000000	82.023	139.8394
71.000000	81.919	138.2088
73.000000	81.817	136.6310
75.000000	81.716	135.0856
77.500000	81.589	133.2011
80.000000	81.467	131.3953
82.500000	81.347	129.6725
85.000000	81.232	127.9971
87.500000	81.119	126.3658
90.000000	81.007	124.7905
92.500000	80.898	123.2628
95.000000	80.793	121.7725
97.500000	80.694	120.3261
100.000000	80.598	118.9134
103.000000	80.485	117.2656
106.000000	80.376	115.6771
109.000000	80.271	114.1423
112.000000	80.171	112.6497
115.000000	80.074	111.1919
118.000000	79.980	109.7672
122.000000	79.859	107.9418
125.000000	79.771	106.6229
128.000000	79.685	105.3300
132.000000	79.573	103.6572
136.000000	79.465	102.0601
140.000000	79.362	100.5054
145.000000	79.239	98.6263
150.000000	79.121	96.8170
155.000000	79.008	95.0792
160.000000	78.899	93.4103
165.000000	78.794	91.8150
170.000000	78.694	90.2787
175.000000	78.599	88.8052
180.000000	78.509	87.3886
185.000000	78.418	86.0095
190.000000	78.332	84.6780
195.000000	78.249	83.4023
200.000000	78.169	82.1777
206.000000	78.080	80.7557
212.000000	77.995	79.3918
218.000000	77.913	78.0845
224.000000	77.834	76.8315
230.000000	77.759	75.6400
236.000000	77.688	74.4924
243.000000	77.609	73.2007
250.000000	77.536	71.9733
258.000000	77.455	70.6528
265.000000	77.388	69.5453
272.000000	77.325	68.4878
280.000000	77.255	67.3411
290.000000	77.175	66.0010
300.000000	77.102	64.7524
307.000000	77.052	63.9102
315.000000	76.997	62.9938
325.000000	76.933	61.9233
335.000000	76.875	60.9269
345.000000	76.819	59.9988
355.000000	76.767	59.1314
365.000000	76.719	58.3258
375.000000	76.674	57.5686
387.000000	76.623	56.7197
400.000000	76.572	55.8834
412.000000	76.530	55.1842
425.000000	76.488	54.4971
437.000000	76.451	53.9190
450.000000	76.414	53.3558
462.000000	76.383	52.8863
475.000000	76.353	52.4311
487.000000	76.328	52.0579
500.000000	76.302	51.7101
515.000000	76.276	51.3690
530.000000	76.253	51.0755
545.000000	76.234	50.8362
560.000000	76.218	50.6539
580.000000	76.201	50.4902
600.000000	76.190	50.4095
615.000000	76.185	50.3906
630.000000	76.184	50.4069
650.000000	76.188	50.4749
670.000000	76.196	50.5970
690.000000	76.207	50.7643
710.000000	76.219	50.9627
730.000000	76.231	51.2053
750.000000	76.240	51.5212
775.000000	76.249	52.0745
800.000000	76.269	52.8461
825.000000	76.318	53.7889
850.000000	76.402	54.7955
875.000000	76.518	55.7994
900.000000	76.658	56.7677
925.000000	76.817	57.6727
950.000000	76.993	58.4942
975.000000	77.184	59.2282
1000.000000	77.388	59.8637
1030.000000	77.644	60.4810
1060.000000	77.908	60.9404
1090.000000	78.173	61.2345
1120.000000	78.435	61.3762
1150.000000	78.688	61.3738
1180.000000	78.930	61.2567
1220.000000	79.232	60.9602
1250.000000	79.442	60.6658
1280.000000	79.637	60.3390
1320.000000	79.876	59.8789
1360.000000	80.097	59.4151
1400.000000	80.302	58.9720
1450.000000	80.542	58.4606
1500.000000	80.771	57.9965
1550.000000	80.994	57.5686
1600.000000	81.213	57.1588
1650.000000	81.432	56.7491
1700.000000	81.649	56.3183
1750.000000	81.866	55.8487
1800.000000	82.081	55.3291
1850.000000	82.293	54.7454
1900.000000	82.499	54.0891
1950.000000	82.699	53.3568
2000.000000	82.889	52.5509
2060.000000	83.102	51.4874
2120.000000	83.295	50.3301
2180.000000	83.465	49.0979
2240.000000	83.611	47.8095
2300.000000	83.731	46.4922
2360.000000	83.825	45.1722
2430.000000	83.903	43.6641
2500.000000	83.952	42.2237
2580.000000	83.975	40.6958
2650.000000	83.973	39.4761
2720.000000	83.956	38.3684
2800.000000	83.923	37.2321
2900.000000	83.870	35.9781
3000.000000	83.806	34.8707
3070.000000	83.752	34.1790
3150.000000	83.682	33.5018
3250.000000	83.591	32.8824
3350.000000	83.516	32.4989
3450.000000	83.472	32.2270
3550.000000	83.456	31.9353
3650.000000	83.458	31.5474
3750.000000	83.467	31.0398
3870.000000	83.475	30.2898
4000.000000	83.470	29.3366
4120.000000	83.444	28.3788
4250.000000	83.391	27.3322
4370.000000	83.322	26.4280
4500.000000	83.236	25.5621
4620.000000	83.155	24.8738
4750.000000	83.076	24.2091
4870.000000	83.017	23.6163
5000.000000	82.965	22.9318
5150.000000	82.915	22.0192
5300.000000	82.866	20.9348
5450.000000	82.809	19.6688
5600.000000	82.733	18.2173
5800.000000	82.585	15.9764
6000.000000	82.352	13.5694
6150.000000	82.139	11.7751
6300.000000	81.897	9.7686
6500.000000	81.449	6.8314
6700.000000	80.825	4.2014
6900.000000	80.052	2.4272
7100.000000	79.181	1.8269
7300.000000	78.268	2.4677
7500.000000	77.334	4.5052
7750.000000	76.216	9.7650
8000.000000	75.483	18.4886
8250.000000	75.624	28.5742
8500.000000	76.629	36.1518
8750.000000	77.971	38.7035
9000.000000	79.106	36.3010
9250.000000	79.761	31.1650
9500.000000	79.960	25.9589
9750.000000	79.903	22.1935
10000.000000	79.807	19.9592
10300.000000	79.827	18.3389
10600.000000	80.047	16.5240
10900.000000	80.403	13.4041
11200.000000	80.783	8.3818
11500.000000	81.087	1.2383
11800.000000	81.228	-8.1090
12200.000000	80.987	-23.5997
12500.000000	80.390	-36.3800
12800.000000	79.455	-48.8883
13200.000000	77.872	-63.8141
13600.000000	76.212	-76.7288
14000.000000	74.671	-88.6282
