* Measurement data measured by REW V5.20 Beta 31
* Source: IEC-711 (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.530
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS With no timing reference
* Dated: Jan 20, 2020 7:07:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: WG T-One - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	82.673355	-120.3744
21.200001	82.776802	-120.5097
21.799999	82.853256	-120.6877
22.400000	82.902672	-120.9076
23.000000	82.945045	-121.0912
23.600000	83.007492	-121.3428
24.299999	83.085129	-121.9209
25.000000	83.122849	-122.5615
25.799999	83.162201	-122.8454
26.500000	83.251892	-122.9513
27.200001	83.348343	-123.2236
28.000000	83.425980	-123.4060
29.000000	83.542923	-123.4458
30.000000	83.620430	-123.7109
30.700001	83.645569	-123.7088
31.500000	83.695389	-123.6704
32.500000	83.744774	-123.8147
33.500000	83.788116	-123.8272
34.500000	83.851700	-123.9024
35.500000	83.902580	-123.9510
36.500000	83.958519	-123.8898
37.500000	84.008598	-123.7919
38.700001	84.066223	-123.5669
40.000000	84.122528	-123.4554
41.200001	84.141129	-123.2710
42.500000	84.191513	-123.0443
43.700001	84.217812	-122.9433
45.000000	84.258255	-122.6580
46.200001	84.294579	-122.4565
47.500000	84.328407	-122.1313
48.700001	84.362175	-121.8312
50.000000	84.389862	-121.5060
51.500000	84.431496	-121.0756
53.000000	84.445145	-120.6945
54.500000	84.489510	-120.1649
56.000000	84.514351	-119.7417
58.000000	84.559036	-119.2262
60.000000	84.539307	-118.7715
61.500000	84.604736	-117.9983
63.000000	84.625298	-117.5324
65.000000	84.691910	-116.7778
67.000000	84.716995	-116.1601
69.000000	84.745842	-115.4193
71.000000	84.781029	-114.6787
73.000000	84.823845	-113.9568
75.000000	84.854988	-113.3093
77.500000	84.883423	-112.3171
80.000000	84.917885	-111.4414
82.500000	84.936882	-110.5792
85.000000	84.982887	-109.6654
87.500000	85.009323	-108.8944
90.000000	85.031982	-107.9388
92.500000	85.050926	-107.0612
95.000000	85.072784	-106.2285
97.500000	85.095879	-105.3772
100.000000	85.118172	-104.5055
103.000000	85.123962	-103.4721
106.000000	85.132774	-102.3891
109.000000	85.146500	-101.4002
112.000000	85.163643	-100.2973
115.000000	85.162537	-99.2624
118.000000	85.145142	-98.3104
122.000000	85.145493	-96.8375
125.000000	85.149719	-95.8245
128.000000	85.140396	-94.7845
132.000000	85.132217	-93.2638
136.000000	85.117592	-91.8213
140.000000	85.089539	-90.4115
145.000000	85.076622	-88.5466
150.000000	85.042747	-86.7993
155.000000	85.012840	-85.0007
160.000000	84.982056	-83.1334
165.000000	84.956451	-81.2729
170.000000	84.915596	-79.4370
175.000000	84.875076	-77.6148
180.000000	84.838440	-75.7354
185.000000	84.794876	-73.8580
190.000000	84.758743	-72.0402
195.000000	84.711800	-70.2180
200.000000	84.666031	-68.3297
206.000000	84.611893	-66.1013
212.000000	84.557327	-63.8360
218.000000	84.497284	-61.5815
224.000000	84.437431	-59.4075
230.000000	84.377510	-57.1395
236.000000	84.316452	-54.8970
243.000000	84.249825	-52.3137
250.000000	84.178276	-49.7309
258.000000	84.092484	-46.8070
265.000000	84.024841	-44.2068
272.000000	83.953148	-41.6421
280.000000	83.872475	-38.6294
290.000000	83.757935	-34.9795
300.000000	83.657310	-31.2815
307.000000	83.575340	-28.6058
315.000000	83.488968	-25.7823
325.000000	83.377563	-22.0716
335.000000	83.272636	-18.4098
345.000000	83.162437	-14.7365
355.000000	83.053749	-11.0836
365.000000	82.934875	-7.3798
375.000000	82.843651	-3.7546
387.000000	82.708473	0.5535
400.000000	82.564140	5.2778
412.000000	82.447945	9.6243
425.000000	82.305038	14.3841
437.000000	82.173553	18.6817
450.000000	82.043953	23.4705
462.000000	81.936829	27.8236
475.000000	81.818130	32.4376
487.000000	81.702698	36.7939
500.000000	81.590706	41.4630
515.000000	81.447487	46.6981
530.000000	81.335114	51.9349
545.000000	81.206657	57.2749
560.000000	81.077507	62.4746
580.000000	80.915123	69.3750
600.000000	80.763000	76.3896
615.000000	80.658081	81.5576
630.000000	80.555519	86.6710
650.000000	80.407341	93.5935
670.000000	80.270386	100.4175
690.000000	80.147499	107.0531
710.000000	80.015244	113.8561
730.000000	79.900803	120.6474
750.000000	79.787064	127.3013
775.000000	79.665077	135.6719
800.000000	79.540192	143.9219
825.000000	79.443451	152.2394
850.000000	79.342751	160.5505
875.000000	79.260742	168.8767
900.000000	79.191925	177.1312
925.000000	79.148300	-174.3643
950.000000	79.154449	-165.9791
975.000000	79.195473	-157.7372
1000.000000	79.305023	-149.2405
1030.000000	79.419640	-139.8644
1060.000000	79.604958	-130.5322
1090.000000	79.837906	-121.4926
1120.000000	80.103661	-112.9203
1150.000000	80.382668	-104.7761
1180.000000	80.671989	-97.0648
1220.000000	81.050087	-87.3781
1250.000000	81.317245	-80.4953
1280.000000	81.553635	-73.8876
1320.000000	81.839737	-65.5130
1360.000000	82.071243	-57.2675
1400.000000	82.271957	-49.2147
1450.000000	82.506287	-39.2352
1500.000000	82.730797	-29.2364
1550.000000	82.959732	-19.4943
1600.000000	83.197495	-9.8743
1650.000000	83.459579	-0.5223
1700.000000	83.739471	8.5963
1750.000000	84.022705	17.4664
1800.000000	84.320526	26.0009
1850.000000	84.625748	34.2844
1900.000000	84.950989	42.2689
1950.000000	85.288193	49.9672
2000.000000	85.633049	57.4302
2060.000000	86.053467	65.7651
2120.000000	86.478752	73.7347
2180.000000	86.911270	81.1716
2240.000000	87.344025	88.1393
2300.000000	87.771576	94.5825
2360.000000	88.186508	100.5847
2430.000000	88.657455	106.8428
2500.000000	89.077942	112.3872
2580.000000	89.493187	117.9175
2650.000000	89.775116	122.1912
2720.000000	89.978729	126.0275
2800.000000	90.101349	130.0121
2900.000000	90.094162	134.7920
3000.000000	89.947029	139.7184
3070.000000	89.780205	143.2844
3150.000000	89.551674	147.5924
3250.000000	89.220802	153.3466
3350.000000	88.891922	159.5002
3450.000000	88.580185	165.9078
3550.000000	88.314705	172.5199
3650.000000	88.100769	179.1660
3750.000000	87.946808	-174.1438
3870.000000	87.857117	-166.3176
4000.000000	87.880493	-158.1379
4120.000000	88.026764	-151.0197
4250.000000	88.327911	-144.0717
4370.000000	88.732704	-138.5516
4500.000000	89.300354	-133.9291
4620.000000	89.936508	-131.2363
4750.000000	90.663757	-130.7288
4870.000000	91.196480	-132.9021
5000.000000	91.281685	-136.8116
5150.000000	90.999443	-138.0860
5300.000000	91.402267	-138.9414
5450.000000	91.816093	-145.6902
5600.000000	91.520821	-155.3435
5800.000000	90.103165	-166.3047
6000.000000	88.223083	-172.0237
6150.000000	86.893272	-173.5333
6300.000000	85.725540	-173.8066
6500.000000	84.450157	-173.1428
6700.000000	83.474014	-172.2010
6900.000000	82.765526	-171.3805
7100.000000	82.298943	-171.3510
7300.000000	82.015297	-171.8447
7500.000000	81.979317	-172.9023
7750.000000	82.332970	-175.5137
8000.000000	83.149559	179.7609
8250.000000	84.684174	171.1594
8500.000000	86.913284	155.3077
8750.000000	89.202454	124.2311
9000.000000	88.696983	79.1455
9250.000000	85.316956	46.1953
9500.000000	81.931473	27.1780
9750.000000	79.289291	13.8000
10000.000000	77.280952	2.2483
10300.000000	75.428566	-11.0081
10600.000000	74.118073	-24.1070
10900.000000	73.216377	-37.7108
11200.000000	72.748260	-52.0039
11500.000000	72.785675	-67.3593
11800.000000	73.358833	-84.4637
12200.000000	75.146011	-113.2075
12500.000000	76.983139	-143.3192
12800.000000	78.263733	177.5481
13200.000000	78.247490	121.4053
13600.000000	77.476868	68.7622
14000.000000	76.570534	15.6743
14500.000000	74.781441	-51.2277
15000.000000	72.528984	-114.7052
15500.000000	70.418205	-174.1868
16000.000000	68.785339	128.9194
16500.000000	68.050629	73.6008
17000.000000	68.491760	13.9493
17500.000000	67.854828	-59.3563
18000.000000	68.576752	-103.4277
18500.000000	72.618820	178.5059
19000.000000	74.694794	77.9144
19500.000000	73.478333	-28.7944
