* Measurement data measured by REW V5.20.13
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: Jan 16, 2023 1:54:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: T1 L
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	79.312	57.6730
20.600000	79.347	56.3131
21.200001	79.327	55.5219
21.799999	79.350	54.9481
22.400000	79.410	54.0711
23.000000	79.452	52.8322
23.600000	79.466	51.5246
24.299999	79.479	50.0673
25.000000	79.489	48.6335
25.799999	79.478	47.4121
26.500000	79.536	46.8998
27.200001	79.694	46.1687
28.000000	79.834	44.5157
29.000000	79.818	42.7398
30.000000	79.819	41.8097
30.700001	79.839	40.9471
31.500000	79.817	39.9026
32.500000	79.786	38.9329
33.500000	79.815	37.9899
34.500000	79.864	36.7162
35.500000	79.861	35.3926
36.500000	79.851	34.5400
37.500000	79.895	33.7410
38.700001	79.912	32.4966
40.000000	79.879	31.6047
41.200001	79.896	31.0264
42.500000	79.957	30.2068
43.700001	80.002	29.0352
45.000000	79.965	27.7935
46.200001	79.931	27.0237
47.500000	79.911	26.2466
48.700001	79.905	25.6984
50.000000	79.929	25.1176
51.500000	79.957	24.3292
53.000000	79.955	23.4707
54.500000	79.931	22.6639
56.000000	79.913	21.9072
58.000000	79.938	20.7992
60.000000	79.925	19.7260
61.500000	79.917	19.4524
63.000000	79.940	19.1569
65.000000	79.940	18.5012
67.000000	79.926	17.8708
69.000000	79.921	17.1546
71.000000	79.919	16.6140
73.000000	79.917	16.0423
75.000000	79.900	15.5339
77.500000	79.889	14.8451
80.000000	79.875	14.1954
82.500000	79.860	13.6196
85.000000	79.842	13.0928
87.500000	79.824	12.5616
90.000000	79.807	12.0533
92.500000	79.792	11.5967
95.000000	79.779	11.1804
97.500000	79.769	10.7605
100.000000	79.759	10.3423
103.000000	79.744	9.8718
106.000000	79.725	9.4504
109.000000	79.709	9.0466
112.000000	79.698	8.6450
115.000000	79.687	8.2754
118.000000	79.677	7.9407
122.000000	79.659	7.5071
125.000000	79.643	7.2009
128.000000	79.630	6.9167
132.000000	79.615	6.5652
136.000000	79.597	6.2428
140.000000	79.576	5.9084
145.000000	79.556	5.4834
150.000000	79.534	5.1687
155.000000	79.503	4.8958
160.000000	79.472	4.5850
165.000000	79.449	4.3125
170.000000	79.423	4.0693
175.000000	79.386	3.8341
180.000000	79.342	3.6050
185.000000	79.327	3.4233
190.000000	79.307	3.2615
195.000000	79.279	3.1151
200.000000	79.248	2.9660
206.000000	79.211	2.8057
212.000000	79.175	2.6754
218.000000	79.139	2.5603
224.000000	79.102	2.4649
230.000000	79.065	2.3946
236.000000	79.028	2.3374
243.000000	78.985	2.2872
250.000000	78.944	2.2421
258.000000	78.896	2.2153
265.000000	78.853	2.2252
272.000000	78.810	2.2523
280.000000	78.762	2.2919
290.000000	78.703	2.3904
300.000000	78.649	2.5497
307.000000	78.604	2.5946
315.000000	78.557	2.6692
325.000000	78.500	2.8342
335.000000	78.441	3.0277
345.000000	78.384	3.2347
355.000000	78.327	3.4594
365.000000	78.275	3.7020
375.000000	78.224	3.9655
387.000000	78.162	4.3120
400.000000	78.094	4.7051
412.000000	78.033	5.1008
425.000000	77.971	5.5356
437.000000	77.916	5.9471
450.000000	77.858	6.4340
462.000000	77.806	6.9164
475.000000	77.751	7.4446
487.000000	77.702	7.9443
500.000000	77.652	8.5056
515.000000	77.595	9.1738
530.000000	77.541	9.8796
545.000000	77.491	10.6024
560.000000	77.444	11.3329
580.000000	77.386	12.3580
600.000000	77.331	13.4136
615.000000	77.293	14.2312
630.000000	77.261	15.0713
650.000000	77.222	16.2256
670.000000	77.191	17.4043
690.000000	77.172	18.6276
710.000000	77.157	19.8749
730.000000	77.150	21.1516
750.000000	77.154	22.4602
775.000000	77.171	24.1004
800.000000	77.205	25.7794
825.000000	77.256	27.4725
850.000000	77.329	29.1629
875.000000	77.419	30.8347
900.000000	77.532	32.4637
925.000000	77.661	34.0170
950.000000	77.809	35.5070
975.000000	77.973	36.9021
1000.000000	78.151	38.1689
1030.000000	78.378	39.5159
1060.000000	78.612	40.6693
1090.000000	78.847	41.6244
1120.000000	79.078	42.3955
1150.000000	79.299	43.0002
1180.000000	79.507	43.4688
1220.000000	79.761	43.9357
1250.000000	79.934	44.2024
1280.000000	80.090	44.4288
1320.000000	80.277	44.7058
1360.000000	80.442	44.9845
1400.000000	80.593	45.2805
1450.000000	80.764	45.6994
1500.000000	80.921	46.1838
1550.000000	81.074	46.7416
1600.000000	81.226	47.3563
1650.000000	81.379	48.0093
1700.000000	81.536	48.6881
1750.000000	81.698	49.3845
1800.000000	81.867	50.0844
1850.000000	82.043	50.7646
1900.000000	82.227	51.4121
1950.000000	82.419	52.0152
2000.000000	82.618	52.5647
2060.000000	82.865	53.1311
2120.000000	83.117	53.5859
2180.000000	83.373	53.9237
2240.000000	83.630	54.1246
2300.000000	83.885	54.1851
2360.000000	84.135	54.1093
2430.000000	84.417	53.8550
2500.000000	84.680	53.4285
2580.000000	84.958	52.7468
2650.000000	85.175	52.0135
2720.000000	85.365	51.1724
2800.000000	85.548	50.1107
2900.000000	85.723	48.7227
3000.000000	85.840	47.3554
3070.000000	85.891	46.4575
3150.000000	85.923	45.5268
3250.000000	85.934	44.5415
3350.000000	85.924	43.7645
3450.000000	85.905	43.1945
3550.000000	85.885	42.7947
3650.000000	85.868	42.5366
3750.000000	85.856	42.4022
3870.000000	85.854	42.3893
4000.000000	85.874	42.5026
4120.000000	85.917	42.6740
4250.000000	85.993	42.8741
4370.000000	86.091	43.0153
4500.000000	86.227	43.0481
4620.000000	86.376	42.9056
4750.000000	86.556	42.5050
4870.000000	86.730	41.8605
5000.000000	86.913	40.8365
5150.000000	87.100	39.2578
5300.000000	87.249	37.3408
5450.000000	87.345	35.0893
5600.000000	87.364	32.6625
5800.000000	87.289	29.5284
6000.000000	87.118	26.6840
6150.000000	86.951	24.9230
6300.000000	86.780	23.5018
6500.000000	86.589	22.0176
6700.000000	86.476	20.7275
6900.000000	86.459	19.2611
7100.000000	86.534	17.1817
7300.000000	86.652	13.9785
7500.000000	86.708	9.4219
7750.000000	86.534	2.2358
8000.000000	85.977	-5.3309
8250.000000	85.077	-11.6844
8500.000000	83.994	-15.9914
8750.000000	82.896	-18.2499
9000.000000	81.925	-18.8140
9250.000000	81.201	-18.3380
9500.000000	80.799	-17.6218
9750.000000	80.759	-17.5647
10000.000000	81.079	-19.2678
10300.000000	81.797	-25.7367
10600.000000	82.347	-39.4733
10900.000000	81.955	-58.8328
11200.000000	80.339	-76.8531
11500.000000	77.912	-88.5305
11800.000000	75.317	-94.3267
12200.000000	72.302	-96.9913
12500.000000	70.523	-97.4808
12800.000000	69.137	-97.8403
13200.000000	67.819	-99.1083
13600.000000	67.038	-102.2213
14000.000000	66.729	-108.4415
14500.000000	66.797	-121.8668
15000.000000	67.103	-142.7892
15500.000000	67.421	-171.4201
16000.000000	67.772	151.0768
16500.000000	67.809	99.4008
17000.000000	66.182	33.7077
17500.000000	62.135	-31.2203
18000.000000	56.441	-90.7471
18500.000000	50.127	-154.9147
19000.000000	43.990	125.9841
19500.000000	39.408	36.8228
