* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 23, 2020 12:14:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tin T1 Plus - Final - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	80.083206	-77.7500
21.200001	80.371696	-79.5919
21.799999	80.651772	-81.3349
22.400000	80.922279	-82.9109
23.000000	81.166252	-84.3234
23.600000	81.380798	-85.6203
24.299999	81.619720	-87.1932
25.000000	81.862564	-89.0390
25.799999	82.141098	-91.2485
26.500000	82.391800	-92.9617
27.200001	82.631699	-94.4861
28.000000	82.862053	-96.0529
29.000000	83.124634	-97.9241
30.000000	83.370781	-99.9837
30.700001	83.524078	-101.3214
31.500000	83.705345	-102.7605
32.500000	83.930466	-104.7436
33.500000	84.133102	-106.7521
34.500000	84.317642	-108.4151
35.500000	84.502480	-109.8125
36.500000	84.670090	-111.3814
37.500000	84.818527	-113.0028
38.700001	85.014778	-114.8894
40.000000	85.203667	-116.6890
41.200001	85.362450	-118.1797
42.500000	85.509491	-119.9375
43.700001	85.642494	-121.5456
45.000000	85.782806	-123.2289
46.200001	85.887291	-124.7346
47.500000	86.016525	-126.1740
48.700001	86.139542	-127.5240
50.000000	86.236794	-128.9044
51.500000	86.347420	-130.5157
53.000000	86.451813	-132.1077
54.500000	86.550552	-133.6563
56.000000	86.663040	-135.2456
58.000000	86.770935	-136.8023
60.000000	86.867516	-138.5086
61.500000	86.936226	-139.7754
63.000000	86.971466	-141.0462
65.000000	87.069908	-142.6225
67.000000	87.136787	-144.1785
69.000000	87.197800	-145.6902
71.000000	87.254173	-147.0837
73.000000	87.303360	-148.4424
75.000000	87.347092	-149.7701
77.500000	87.398567	-151.3325
80.000000	87.445518	-152.8257
82.500000	87.477852	-154.2904
85.000000	87.503990	-155.6447
87.500000	87.505882	-157.0028
90.000000	87.545502	-158.3865
92.500000	87.551582	-159.5270
95.000000	87.566559	-160.7267
97.500000	87.569946	-161.8673
100.000000	87.571259	-162.9612
103.000000	87.575378	-164.2631
106.000000	87.561134	-165.4591
109.000000	87.559685	-166.6564
112.000000	87.536934	-167.8082
115.000000	87.519447	-168.8587
118.000000	87.494347	-169.9187
122.000000	87.464630	-171.2162
125.000000	87.434113	-172.1951
128.000000	87.405479	-173.1097
132.000000	87.361359	-174.2729
136.000000	87.314529	-175.3761
140.000000	87.265587	-176.4397
145.000000	87.200279	-177.7085
150.000000	87.129799	-178.8903
155.000000	87.056076	-179.9850
160.000000	86.979782	178.9478
165.000000	86.904221	177.9543
170.000000	86.821579	177.0225
175.000000	86.739914	176.1286
180.000000	86.659508	175.3023
185.000000	86.573273	174.5095
190.000000	86.486191	173.7607
195.000000	86.398529	173.0378
200.000000	86.312454	172.3968
206.000000	86.203651	171.6296
212.000000	86.099724	170.9596
218.000000	85.994385	170.3080
224.000000	85.887115	169.7016
230.000000	85.781433	169.1315
236.000000	85.675018	168.6138
243.000000	85.547791	168.0538
250.000000	85.424896	167.5499
258.000000	85.284920	167.0209
265.000000	85.164551	166.5992
272.000000	85.043747	166.2339
280.000000	84.907242	165.8452
290.000000	84.735466	165.4321
300.000000	84.567017	165.1020
307.000000	84.453659	164.8724
315.000000	84.323433	164.6748
325.000000	84.160194	164.4697
335.000000	84.002190	164.3201
345.000000	83.847092	164.2205
355.000000	83.693886	164.1641
365.000000	83.546089	164.1500
375.000000	83.398918	164.1622
387.000000	83.222237	164.2411
400.000000	83.039322	164.3757
412.000000	82.874115	164.5482
425.000000	82.698418	164.7773
437.000000	82.541183	165.0344
450.000000	82.372757	165.3590
462.000000	82.222885	165.6927
475.000000	82.063766	166.0834
487.000000	81.918854	166.4770
500.000000	81.765610	166.9468
515.000000	81.593483	167.5231
530.000000	81.426460	168.1395
545.000000	81.265877	168.8014
560.000000	81.108543	169.5000
580.000000	80.903770	170.4804
600.000000	80.707756	171.5291
615.000000	80.564880	172.3571
630.000000	80.425003	173.2206
650.000000	80.243835	174.4313
670.000000	80.075058	175.7014
690.000000	79.908905	177.0297
710.000000	79.745201	178.4216
730.000000	79.593727	179.9114
750.000000	79.448120	-178.5465
775.000000	79.280502	-176.5111
800.000000	79.123405	-174.3452
825.000000	78.982277	-172.0086
850.000000	78.866776	-169.5499
875.000000	78.772270	-166.9034
900.000000	78.714439	-164.0856
925.000000	78.698776	-161.1118
950.000000	78.741913	-158.0226
