* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 23, 2020 12:15:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tin T1 Plus - Final - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	80.573975	-75.0464
21.200001	80.892967	-76.9177
21.799999	81.194359	-78.7607
22.400000	81.454926	-80.4148
23.000000	81.676842	-81.7786
23.600000	81.889305	-82.9922
24.299999	82.151581	-84.6248
25.000000	82.412590	-86.6468
25.799999	82.682716	-88.9744
26.500000	82.902840	-90.6380
27.200001	83.118568	-91.9887
28.000000	83.367462	-93.4524
29.000000	83.681343	-95.6328
30.000000	83.943146	-98.0234
30.700001	84.103752	-99.4395
31.500000	84.297760	-100.9544
32.500000	84.513626	-102.9893
33.500000	84.704559	-104.7605
34.500000	84.921829	-106.4000
35.500000	85.120468	-108.1454
36.500000	85.295967	-109.9054
37.500000	85.448143	-111.5185
38.700001	85.642494	-113.1795
40.000000	85.830574	-115.2590
41.200001	85.987396	-116.9904
42.500000	86.153229	-118.8139
43.700001	86.271767	-120.3987
45.000000	86.426590	-122.1666
46.200001	86.563797	-123.7457
47.500000	86.686783	-125.2045
48.700001	86.801071	-126.6446
50.000000	86.901237	-128.2042
51.500000	87.027603	-129.8278
53.000000	87.126755	-131.5276
54.500000	87.223137	-133.0736
56.000000	87.319229	-134.5917
58.000000	87.424606	-136.5866
60.000000	87.535629	-138.4291
61.500000	87.601517	-139.7863
63.000000	87.667496	-141.0853
65.000000	87.741890	-142.7512
67.000000	87.801491	-144.3958
69.000000	87.873146	-145.9277
71.000000	87.922188	-147.4279
73.000000	87.971031	-148.8485
75.000000	88.011765	-150.2257
77.500000	88.049896	-151.9039
80.000000	88.090004	-153.5202
82.500000	88.126770	-155.0697
85.000000	88.143906	-156.5501
87.500000	88.163406	-157.8993
90.000000	88.162788	-159.3131
92.500000	88.185928	-160.6028
95.000000	88.185104	-161.8522
97.500000	88.179520	-163.0606
100.000000	88.178864	-164.2235
103.000000	88.169113	-165.5569
106.000000	88.151459	-166.8214
109.000000	88.133347	-168.0546
112.000000	88.107872	-169.1961
115.000000	88.079597	-170.3743
118.000000	88.052254	-171.4689
122.000000	88.014725	-172.8370
125.000000	87.978088	-173.8149
128.000000	87.937218	-174.7725
132.000000	87.887283	-176.0138
136.000000	87.827942	-177.1349
140.000000	87.771912	-178.2261
145.000000	87.692017	-179.5402
150.000000	87.609322	179.2607
155.000000	87.525162	178.1311
160.000000	87.436646	177.0359
165.000000	87.347542	176.0424
170.000000	87.256874	175.0789
175.000000	87.162926	174.1871
180.000000	87.071259	173.3300
185.000000	86.979935	172.5499
190.000000	86.883759	171.8195
195.000000	86.785805	171.1182
200.000000	86.691261	170.4578
206.000000	86.577126	169.7176
212.000000	86.460335	169.0375
218.000000	86.345833	168.4006
224.000000	86.232094	167.8257
230.000000	86.116608	167.2805
236.000000	86.006012	166.7693
243.000000	85.872253	166.2327
250.000000	85.741882	165.7556
258.000000	85.593246	165.2607
265.000000	85.465561	164.8721
272.000000	85.338181	164.5194
280.000000	85.194878	164.1733
290.000000	85.018173	163.8124
300.000000	84.847397	163.4997
307.000000	84.726654	163.3301
315.000000	84.593582	163.1815
325.000000	84.427071	163.0014
335.000000	84.267471	162.9121
345.000000	84.108559	162.8428
355.000000	83.956963	162.8409
365.000000	83.804306	162.8613
375.000000	83.657204	162.9383
387.000000	83.485588	163.0547
400.000000	83.300934	163.2491
412.000000	83.141716	163.4778
425.000000	82.966064	163.7645
437.000000	82.814316	164.0638
450.000000	82.651627	164.4283
462.000000	82.506287	164.8056
475.000000	82.353638	165.2401
487.000000	82.216232	165.6747
500.000000	82.072754	166.1812
515.000000	81.909920	166.7960
530.000000	81.755501	167.4392
545.000000	81.605682	168.1317
560.000000	81.461945	168.8371
580.000000	81.276382	169.8448
600.000000	81.100807	170.8918
615.000000	80.975250	171.7131
630.000000	80.854797	172.5593
650.000000	80.700676	173.7609
670.000000	80.553116	174.9691
690.000000	80.415276	176.2322
710.000000	80.288231	177.5364
730.000000	80.165070	178.8853
750.000000	80.054718	-179.7270
775.000000	79.928848	-177.9264
800.000000	79.815437	-176.0833
825.000000	79.722061	-174.1597
