* Measurement data measured by REW V5.20.13
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -3.0 dBFS with no timing reference
* Dated: Oct 19, 2022 9:34:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: T2 DLC R
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	82.586	-97.7942
20.600000	82.807	-99.8619
21.200001	82.994	-102.0064
21.799999	83.130	-104.1021
22.400000	83.230	-105.9744
23.000000	83.328	-107.6141
23.600000	83.437	-109.1987
24.299999	83.562	-111.1454
25.000000	83.658	-113.1387
25.799999	83.742	-115.3152
26.500000	83.806	-117.1427
27.200001	83.861	-118.9327
28.000000	83.913	-120.9070
29.000000	83.968	-123.2499
30.000000	84.018	-125.4550
30.700001	84.053	-126.9450
31.500000	84.086	-128.6089
32.500000	84.114	-130.5393
33.500000	84.147	-132.3449
34.500000	84.175	-134.1486
35.500000	84.190	-135.8809
36.500000	84.203	-137.5391
37.500000	84.212	-139.1625
38.700001	84.219	-141.0361
40.000000	84.218	-142.9898
41.200001	84.206	-144.6399
42.500000	84.196	-146.3304
43.700001	84.175	-147.8447
45.000000	84.146	-149.3518
46.200001	84.130	-150.6844
47.500000	84.119	-152.1665
48.700001	84.100	-153.5237
50.000000	84.075	-154.9045
51.500000	84.042	-156.4086
53.000000	84.004	-157.8208
54.500000	83.965	-159.1724
56.000000	83.927	-160.4663
58.000000	83.885	-162.1472
60.000000	83.821	-163.7484
61.500000	83.768	-164.7778
63.000000	83.716	-165.7560
65.000000	83.648	-167.0422
67.000000	83.580	-168.2824
69.000000	83.513	-169.4747
71.000000	83.442	-170.5985
73.000000	83.368	-171.6607
75.000000	83.294	-172.6626
77.500000	83.205	-173.8366
80.000000	83.114	-174.9238
82.500000	83.015	-175.9210
85.000000	82.918	-176.8640
87.500000	82.827	-177.7724
90.000000	82.738	-178.6328
92.500000	82.646	-179.4276
95.000000	82.552	179.8560
97.500000	82.460	179.1764
100.000000	82.373	178.5226
103.000000	82.274	177.7622
106.000000	82.173	177.0837
109.000000	82.075	176.4843
112.000000	81.980	175.9294
115.000000	81.879	175.4376
118.000000	81.765	174.9817
122.000000	81.644	174.4500
125.000000	81.578	173.9990
128.000000	81.501	173.6309
132.000000	81.389	173.1865
136.000000	81.279	172.7719
140.000000	81.171	172.4181
145.000000	81.037	172.1066
150.000000	80.907	171.8025
155.000000	80.785	171.5298
160.000000	80.666	171.3384
165.000000	80.550	171.1975
170.000000	80.438	171.0853
175.000000	80.330	170.9978
180.000000	80.224	170.9489
185.000000	80.124	170.9948
190.000000	80.026	171.1042
195.000000	79.930	171.1204
200.000000	79.839	171.1204
206.000000	79.736	171.2260
212.000000	79.634	171.3597
218.000000	79.533	171.5240
224.000000	79.440	171.7111
230.000000	79.353	171.9069
236.000000	79.268	172.1259
243.000000	79.168	172.4010
250.000000	79.073	172.7321
258.000000	78.977	173.1081
265.000000	78.892	173.4460
272.000000	78.814	173.7870
280.000000	78.728	174.1813
290.000000	78.625	174.7007
300.000000	78.530	175.2231
307.000000	78.467	175.6406
315.000000	78.396	176.1154
325.000000	78.315	176.6886
335.000000	78.241	177.2683
345.000000	78.168	177.8709
355.000000	78.103	178.4827
365.000000	78.040	179.0763
375.000000	77.982	179.6662
387.000000	77.917	-179.6072
400.000000	77.850	-178.7846
412.000000	77.791	-178.0249
425.000000	77.735	-177.2293
437.000000	77.689	-176.4944
450.000000	77.641	-175.6870
462.000000	77.599	-174.9268
475.000000	77.559	-174.1044
487.000000	77.523	-173.3560
500.000000	77.488	-172.5425
515.000000	77.454	-171.5959
530.000000	77.423	-170.6528
545.000000	77.395	-169.7010
560.000000	77.371	-168.7381
580.000000	77.345	-167.4542
600.000000	77.325	-166.1697
615.000000	77.313	-165.2103
630.000000	77.305	-164.2412
650.000000	77.299	-162.9368
670.000000	77.300	-161.6101
690.000000	77.309	-160.2723
710.000000	77.325	-158.9384
730.000000	77.349	-157.5928
750.000000	77.380	-156.2325
775.000000	77.431	-154.5177
800.000000	77.495	-152.7983
825.000000	77.574	-151.0755
850.000000	77.670	-149.3665
875.000000	77.785	-147.6800
900.000000	77.915	-146.0358
925.000000	78.062	-144.4483
950.000000	78.224	-142.9270
975.000000	78.400	-141.4953
1000.000000	78.589	-140.1655
1030.000000	78.828	-138.7166
1060.000000	79.076	-137.4213
1090.000000	79.327	-136.2857
1120.000000	79.579	-135.2928
1150.000000	79.831	-134.4236
1180.000000	80.082	-133.6604
1220.000000	80.420	-132.8043
1250.000000	80.675	-132.3719
1280.000000	80.905	-132.1628
1320.000000	81.162	-131.7397
1360.000000	81.460	-131.2050
1400.000000	81.767	-131.0853
1450.000000	82.089	-131.2603
1500.000000	82.356	-131.4342
1550.000000	82.593	-131.4989
1600.000000	82.819	-131.4786
1650.000000	83.043	-131.4119
1700.000000	83.267	-131.3316
1750.000000	83.494	-131.2685
1800.000000	83.723	-131.2412
1850.000000	83.954	-131.2685
1900.000000	84.186	-131.3692
1950.000000	84.416	-131.5442
2000.000000	84.644	-131.7995
2060.000000	84.911	-132.2205
2120.000000	85.170	-132.7663
2180.000000	85.416	-133.4328
2240.000000	85.649	-134.2126
2300.000000	85.863	-135.0924
2360.000000	86.059	-136.0565
2430.000000	86.260	-137.2597
2500.000000	86.433	-138.5176
2580.000000	86.597	-139.9779
2650.000000	86.712	-141.2376
2720.000000	86.802	-142.4573
2800.000000	86.882	-143.7775
2900.000000	86.951	-145.2820
3000.000000	86.999	-146.6165
3070.000000	87.027	-147.4579
3150.000000	87.055	-148.3405
