* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 3, 2021 4:20:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: T2 Evo L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	72.246460	-93.8326
21.200001	72.695503	-97.2789
21.799999	72.836861	-100.5948
22.400000	72.722404	-102.9411
23.000000	72.493790	-104.6585
23.600000	72.298592	-106.3169
24.299999	72.298729	-107.9922
25.000000	72.580803	-109.3410
25.799999	72.768433	-110.4250
26.500000	72.638817	-109.7165
27.200001	72.698280	-109.3290
28.000000	73.018967	-114.2299
29.000000	72.973656	-121.5061
30.000000	72.972672	-119.9429
30.700001	73.064857	-118.9022
31.500000	72.751839	-119.8585
32.500000	72.536392	-122.0454
33.500000	72.823608	-125.4925
34.500000	72.803726	-125.9389
35.500000	72.643585	-124.8030
36.500000	72.531075	-126.0154
37.500000	72.578804	-128.6796
38.700001	72.468857	-131.1627
40.000000	72.490479	-131.7772
41.200001	72.577080	-134.6960
42.500000	72.449760	-136.2624
43.700001	72.578377	-136.8558
45.000000	72.616486	-137.6324
46.200001	72.388809	-138.1895
47.500000	72.313789	-140.3168
48.700001	72.298882	-140.8474
50.000000	72.437805	-141.3653
51.500000	72.403999	-141.6606
53.000000	72.433418	-143.6378
54.500000	72.240868	-145.7338
56.000000	72.323433	-146.7870
58.000000	72.395096	-147.1535
60.000000	72.211327	-148.1794
61.500000	72.275833	-149.2237
63.000000	72.306480	-149.9248
65.000000	72.286453	-150.5127
67.000000	72.219971	-151.5421
69.000000	72.196014	-152.0874
71.000000	72.104294	-156.5936
73.000000	72.191544	-154.4626
75.000000	72.187057	-154.7919
77.500000	72.237885	-155.8647
80.000000	72.110504	-156.8486
82.500000	72.090096	-157.5877
85.000000	72.061798	-158.5340
87.500000	71.900658	-159.4447
90.000000	71.932098	-160.3607
92.500000	72.081757	-160.0771
95.000000	71.985046	-160.8703
97.500000	72.017212	-161.1859
100.000000	71.994064	-161.9964
103.000000	71.976654	-162.8254
106.000000	72.056404	-164.1217
109.000000	71.981934	-164.4011
112.000000	71.905472	-164.8668
115.000000	71.842316	-164.8923
118.000000	71.942482	-166.2901
122.000000	71.823280	-166.7469
125.000000	71.838593	-167.4857
128.000000	71.744431	-167.2575
132.000000	71.841942	-168.5109
136.000000	71.872986	-168.7151
140.000000	71.756485	-168.2215
145.000000	71.659645	-169.2654
150.000000	71.793045	-170.4111
155.000000	71.515984	-171.4548
160.000000	71.661140	-171.4516
165.000000	71.687500	-171.5433
170.000000	71.662148	-172.6337
175.000000	71.688087	-172.4750
180.000000	71.508797	-173.3141
185.000000	71.580055	-173.4212
190.000000	71.574135	-173.5298
195.000000	71.519897	-173.2834
200.000000	71.394714	-173.6405
206.000000	71.445221	-173.5429
212.000000	71.372284	-174.4060
218.000000	71.362686	-175.3001
224.000000	71.410988	-174.7386
230.000000	71.160683	-175.6597
236.000000	71.236099	-175.4564
243.000000	71.219681	-174.9389
250.000000	71.246635	-175.8568
258.000000	71.162277	-175.6881
265.000000	71.109032	-175.8458
272.000000	71.045761	-175.5990
280.000000	70.911606	-176.8037
290.000000	70.902046	-176.1720
300.000000	70.811966	-176.7931
307.000000	70.712059	-177.1070
315.000000	70.701942	-176.2027
325.000000	70.639633	-176.3722
335.000000	70.553673	-175.8727
345.000000	70.490822	-175.9467
355.000000	70.413879	-175.6006
365.000000	70.407806	-175.4843
375.000000	70.269043	-174.8306
387.000000	70.202408	-175.2802
400.000000	70.045135	-174.6406
412.000000	70.013649	-174.5291
425.000000	69.943062	-174.2194
437.000000	69.897827	-173.5451
450.000000	69.791718	-173.3093
462.000000	69.728485	-172.7879
475.000000	69.651947	-172.4087
487.000000	69.612526	-171.8861
500.000000	69.503960	-171.1319
515.000000	69.416023	-170.4888
530.000000	69.340675	-169.5579
545.000000	69.273819	-168.8539
560.000000	69.188576	-167.7604
580.000000	69.121750	-166.8687
600.000000	69.050827	-165.7275
615.000000	69.006493	-164.7556
630.000000	68.908951	-163.7867
650.000000	68.880028	-162.5735
670.000000	68.810501	-160.9651
690.000000	68.786461	-159.4911
710.000000	68.757294	-158.1125
730.000000	68.703453	-156.5455
750.000000	68.765373	-155.3152
775.000000	68.815758	-154.7964
800.000000	68.410828	-152.0168
825.000000	68.523743	-148.6871
850.000000	68.667023	-146.3750
875.000000	68.751152	-144.2250
900.000000	68.858398	-141.5481
925.000000	69.059433	-139.0633
950.000000	69.282837	-136.8610
975.000000	69.554871	-134.8026
1000.000000	69.833031	-132.9659
1030.000000	70.203751	-131.2784
1060.000000	70.602333	-129.9596
1090.000000	70.971458	-129.0795
1120.000000	71.335991	-128.4471
1150.000000	71.671623	-128.1782
1180.000000	71.974686	-128.0930
1220.000000	72.324074	-128.2154
1250.000000	72.543152	-128.3810
1280.000000	72.729668	-128.5614
1320.000000	72.946457	-128.8351
1360.000000	73.132889	-128.9469
1400.000000	73.286049	-129.0444
1450.000000	73.457741	-128.9690
1500.000000	73.600319	-128.7922
1550.000000	73.746979	-128.4576
1600.000000	73.882645	-128.0113
1650.000000	74.018303	-127.5208
1700.000000	74.161530	-126.9789
1750.000000	74.310516	-126.3258
1800.000000	74.453217	-125.7271
1850.000000	74.615150	-125.0528
1900.000000	74.777122	-124.4223
1950.000000	74.945671	-123.8090
2000.000000	75.121185	-123.1726
2060.000000	75.339470	-122.5238
2120.000000	75.553307	-121.9005
2180.000000	75.775269	-121.3783
2240.000000	75.999680	-120.8584
2300.000000	76.225578	-120.4164
2360.000000	76.455215	-120.0694
2430.000000	76.720467	-119.7317
2500.000000	76.976418	-119.4996
2580.000000	77.268097	-119.3635
2650.000000	77.518730	-119.2958
2720.000000	77.755684	-119.3082
2800.000000	78.020683	-119.4037
2900.000000	78.341080	-119.5907
3000.000000	78.641144	-119.8819
3070.000000	78.846909	-120.1048
3150.000000	79.073181	-120.3791
3250.000000	79.349594	-120.7844
3350.000000	79.620178	-121.1991
3450.000000	79.885040	-121.6592
3550.000000	80.147865	-122.1697
3650.000000	80.416000	-122.7308
3750.000000	80.684464	-123.3797
3870.000000	81.015099	-124.2751
4000.000000	81.376976	-125.4229
4120.000000	81.722862	-126.7083
4250.000000	82.101692	-128.3942
4370.000000	82.457413	-130.2887
4500.000000	82.840172	-132.8006
4620.000000	83.176094	-135.6211
4750.000000	83.500473	-139.3031
4870.000000	83.739456	-143.2849
5000.000000	83.890030	-148.1954
5150.000000	83.881027	-154.4053
5300.000000	83.632462	-160.7590
5450.000000	83.122925	-166.6581
5600.000000	82.347504	-170.5589
5800.000000	81.706757	-174.5902
6000.000000	80.673317	-178.3160
6150.000000	79.891708	-179.5410
6300.000000	79.163269	-179.8656
6500.000000	78.297508	-179.3275
6700.000000	77.559700	-178.0344
6900.000000	76.954620	-176.2487
7100.000000	76.495987	-174.1270
7300.000000	76.193390	-172.1728
7500.000000	75.994148	-170.5401
7750.000000	75.882500	-169.0343
8000.000000	75.910858	-168.4617
8250.000000	76.027779	-169.0920
8500.000000	76.179581	-171.2663
8750.000000	76.262917	-175.0462
9000.000000	76.190987	179.7332
9250.000000	75.857101	173.5285
9500.000000	75.195374	167.3020
9750.000000	74.229507	162.2821
10000.000000	73.133904	159.5077
10300.000000	71.950676	158.8090
10600.000000	71.056175	159.7086
10900.000000	70.485847	161.0565
11200.000000	70.203590	162.2756
11500.000000	70.224266	162.9083
11800.000000	70.540291	162.5251
12200.000000	71.450569	159.3965
12500.000000	72.511803	153.8807
12800.000000	73.832764	143.9359
13200.000000	75.416626	120.2449
13600.000000	75.364166	86.8162
14000.000000	73.191025	55.5770
14500.000000	69.854675	28.7358
15000.000000	66.762482	6.7251
15500.000000	64.576149	-14.0605
16000.000000	62.994362	-40.0809
16500.000000	61.295856	-73.5807
17000.000000	58.719391	-110.5364
17500.000000	55.655445	-143.3239
18000.000000	53.595150	-174.1029
18500.000000	53.577335	164.5469
19000.000000	57.530968	96.8830
19500.000000	58.087223	2.4802
