* Measurement data measured by REW V5.20 Beta 55
* Source: IEC-60711 (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -3.0 dBFS with no timing reference
* Dated: Jun 22, 2020 7:44:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tin T2 Plus - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	83.516571	-134.4595
21.200001	83.634766	-135.4574
21.799999	83.704407	-136.2120
22.400000	83.749390	-136.8157
23.000000	83.786041	-137.4361
23.600000	83.851089	-138.2641
24.299999	83.950813	-138.7420
25.000000	83.944260	-138.9732
25.799999	83.979187	-139.8524
26.500000	84.043114	-140.2862
27.200001	84.049995	-140.7129
28.000000	84.147408	-141.3044
29.000000	84.295738	-141.8915
30.000000	84.225677	-142.5614
30.700001	84.273125	-142.2281
31.500000	84.287079	-142.4439
32.500000	84.356598	-144.2973
33.500000	84.305214	-144.6127
34.500000	84.409309	-144.8755
35.500000	84.396965	-145.4857
36.500000	84.431458	-145.8279
37.500000	84.469223	-145.9289
38.700001	84.443184	-146.4662
40.000000	84.466408	-146.8266
41.200001	84.505585	-147.2590
42.500000	84.477875	-147.7229
43.700001	84.532089	-147.9079
45.000000	84.510612	-147.9187
46.200001	84.514961	-148.2898
47.500000	84.564407	-148.3665
48.700001	84.571030	-148.4443
50.000000	84.529816	-148.6262
51.500000	84.614174	-149.0433
53.000000	84.624542	-148.9480
54.500000	84.601685	-149.0197
56.000000	84.587845	-149.0042
58.000000	84.592354	-149.2638
60.000000	84.610764	-148.5999
61.500000	84.566826	-149.3032
63.000000	84.575249	-149.1298
65.000000	84.550606	-149.2262
67.000000	84.564217	-149.1937
69.000000	84.555923	-149.1229
71.000000	84.540848	-148.9616
73.000000	84.524918	-147.9633
75.000000	84.507507	-148.3474
77.500000	84.515579	-148.6111
80.000000	84.485168	-148.6358
82.500000	84.451561	-148.6330
85.000000	84.444534	-148.1779
87.500000	84.404243	-147.8455
90.000000	84.458374	-147.3834
92.500000	84.379013	-147.4870
95.000000	84.357483	-147.1714
97.500000	84.330536	-146.7596
100.000000	84.285309	-146.5474
103.000000	84.259155	-146.2594
106.000000	84.229836	-145.8149
109.000000	84.192924	-145.3115
112.000000	84.171021	-144.9867
115.000000	84.121140	-144.5817
118.000000	84.092628	-144.1823
122.000000	84.033356	-143.5442
125.000000	84.007935	-143.0783
128.000000	83.966110	-142.6018
132.000000	83.899567	-141.9902
136.000000	83.860870	-141.2840
140.000000	83.819809	-140.7223
145.000000	83.758102	-139.9317
150.000000	83.683586	-138.9635
155.000000	83.609390	-138.1151
160.000000	83.561172	-137.2525
165.000000	83.495560	-136.3454
170.000000	83.443413	-135.3231
175.000000	83.337463	-134.5243
180.000000	83.282791	-133.3513
185.000000	83.204842	-132.5585
190.000000	83.140396	-131.5690
195.000000	83.081116	-130.6483
200.000000	83.017883	-129.6393
206.000000	82.906815	-128.5276
212.000000	82.845100	-127.1927
218.000000	82.738579	-126.0873
224.000000	82.690979	-124.8452
230.000000	82.599976	-123.6355
236.000000	82.518158	-122.3485
243.000000	82.416069	-120.8176
250.000000	82.328850	-119.4271
258.000000	82.236092	-117.6695
265.000000	82.163414	-116.2540
272.000000	82.072647	-114.6188
280.000000	81.960396	-112.8187
