* Measurement data measured by REW V5.20 Beta 55
* Source: IEC-60711 (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -3.0 dBFS with no timing reference
* Dated: Jun 22, 2020 7:45:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tin T2 Plus - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	83.722092	-134.5757
21.200001	83.744118	-135.5510
21.799999	83.810883	-136.5043
22.400000	83.853653	-136.9416
23.000000	83.879402	-137.5114
23.600000	83.970970	-138.0213
24.299999	84.034340	-138.5780
25.000000	84.042374	-139.6586
25.799999	84.075768	-140.6911
26.500000	84.197578	-140.7991
27.200001	84.183311	-141.0211
28.000000	84.204742	-142.5064
29.000000	84.317451	-142.6526
30.000000	84.343910	-143.4756
30.700001	84.433899	-143.2889
31.500000	84.456879	-143.0059
32.500000	84.437103	-144.5800
33.500000	84.481766	-145.0499
34.500000	84.504257	-145.2076
35.500000	84.528915	-145.7703
36.500000	84.551735	-146.3855
37.500000	84.570030	-146.8263
38.700001	84.581299	-147.0623
40.000000	84.573212	-147.3597
41.200001	84.602142	-147.7008
42.500000	84.617592	-147.9906
43.700001	84.622658	-148.4343
45.000000	84.651688	-148.5418
46.200001	84.676331	-148.8862
47.500000	84.645905	-148.4277
48.700001	84.694138	-149.2308
50.000000	84.661949	-149.3014
51.500000	84.654793	-149.6133
53.000000	84.709587	-149.6063
54.500000	84.702667	-149.9288
56.000000	84.659607	-149.7346
58.000000	84.675774	-149.9234
60.000000	84.578064	-150.8433
61.500000	84.654549	-150.0777
63.000000	84.644791	-150.5387
65.000000	84.623062	-150.2290
67.000000	84.630821	-150.1223
69.000000	84.610374	-150.1543
71.000000	84.603806	-149.9134
73.000000	84.590576	-149.8480
75.000000	84.575600	-149.8558
77.500000	84.552727	-149.6491
80.000000	84.525108	-149.5021
82.500000	84.498161	-149.3283
85.000000	84.483643	-149.2455
87.500000	84.447556	-148.9344
90.000000	84.392792	-148.2995
92.500000	84.383316	-148.5225
95.000000	84.378510	-148.3597
97.500000	84.340561	-147.9887
100.000000	84.304192	-147.5770
103.000000	84.265297	-147.3146
106.000000	84.249489	-147.0324
109.000000	84.207695	-146.6711
112.000000	84.157936	-146.2147
115.000000	84.123550	-145.7323
118.000000	84.066498	-145.3423
122.000000	84.042870	-144.7277
125.000000	83.966080	-144.3714
128.000000	83.944473	-143.8817
132.000000	83.889046	-143.2332
136.000000	83.823944	-142.6044
140.000000	83.769402	-141.8728
145.000000	83.702126	-141.1283
150.000000	83.621056	-140.3372
155.000000	83.529404	-139.5829
160.000000	83.476822	-138.5240
165.000000	83.408844	-137.5661
170.000000	83.325706	-136.6940
175.000000	83.261307	-135.8347
180.000000	83.154884	-134.8226
185.000000	83.109138	-133.8821
190.000000	83.037636	-132.8981
195.000000	82.953247	-131.9340
200.000000	82.891769	-130.9317
206.000000	82.809082	-129.6353
212.000000	82.716904	-128.4017
218.000000	82.627571	-127.2178
224.000000	82.542145	-126.1439
230.000000	82.458313	-124.7397
236.000000	82.371017	-123.5082
243.000000	82.276215	-122.0237
250.000000	82.179619	-120.4149
258.000000	82.084602	-118.8574
265.000000	81.980469	-117.3755
272.000000	81.886139	-115.7324
280.000000	81.791664	-113.9922
290.000000	81.657837	-111.7935
300.000000	81.561043	-109.6731
307.000000	81.481445	-108.1759
315.000000	81.365997	-106.2616
325.000000	81.257973	-104.1324
335.000000	81.131119	-101.8107
345.000000	81.025101	-99.6040
355.000000	80.932007	-97.3480
365.000000	80.819450	-95.0346
375.000000	80.732422	-92.7906
387.000000	80.622780	-90.0608
400.000000	80.474106	-87.2795
412.000000	80.386276	-84.4273
425.000000	80.262627	-81.4208
437.000000	80.168793	-78.8789
450.000000	80.073288	-75.8871
462.000000	79.963005	-73.1693
475.000000	79.857231	-70.2598
487.000000	79.793945	-67.7081
500.000000	79.698891	-64.8292
515.000000	79.602921	-61.5251
530.000000	79.507767	-58.2554
545.000000	79.381203	-54.8843
560.000000	79.333939	-51.4387
580.000000	79.208145	-47.4130
600.000000	79.114136	-42.8540
615.000000	79.047432	-39.5651
630.000000	78.956604	-36.4248
650.000000	78.818642	-31.7707
670.000000	78.820702	-26.8998
690.000000	78.780380	-22.9372
710.000000	78.753174	-18.7555
730.000000	78.671371	-14.5490
750.000000	78.603966	-10.3733
775.000000	78.568634	-5.1420
800.000000	78.510742	0.4732
825.000000	78.482269	5.8828
850.000000	78.473434	11.2330
875.000000	78.479584	17.0737
900.000000	78.505859	22.6210
925.000000	78.571198	28.1950
950.000000	78.656288	33.8435
975.000000	78.825417	39.5338
1000.000000	79.038895	45.7199
1030.000000	79.257812	52.0795
1060.000000	79.612038	58.4856
1090.000000	80.039734	64.7807
1120.000000	80.554504	70.4457
1150.000000	81.122078	75.6726
1180.000000	81.748734	80.1337
1220.000000	82.563118	84.8172
1250.000000	83.137619	87.3992
1280.000000	83.665268	89.3506
1320.000000	84.219933	91.2736
1360.000000	84.645569	92.8793
1400.000000	84.954735	94.4433
1450.000000	85.224869	96.5574
1500.000000	85.425415	98.8436
1550.000000	85.553795	101.4187
1600.000000	85.645676	104.0189
1650.000000	85.741432	106.9396
1700.000000	85.811386	109.8633
1750.000000	85.867409	112.7124
1800.000000	85.936432	115.5834
1850.000000	85.979851	118.4822
1900.000000	86.019989	121.2428
1950.000000	86.050079	123.9565
2000.000000	86.105209	126.7250
2060.000000	86.109100	129.6744
2120.000000	86.117493	132.7755
2180.000000	86.106575	135.7029
2240.000000	86.085663	138.6007
2300.000000	86.064842	141.4218
2360.000000	86.008919	144.2371
2430.000000	85.949120	147.4282
2500.000000	85.862312	150.6004
2580.000000	85.754723	154.2832
2650.000000	85.654648	157.4441
2720.000000	85.556381	160.5538
2800.000000	85.433777	164.1262
2900.000000	85.291710	168.6908
3000.000000	85.137436	173.0373
3070.000000	85.051125	176.2265
3150.000000	84.942902	179.7741
3250.000000	84.830460	-175.9087
3350.000000	84.752045	-171.5509
3450.000000	84.683022	-167.4284
3550.000000	84.640495	-163.2709
3650.000000	84.609177	-159.4128
3750.000000	84.613083	-155.6075
3870.000000	84.650604	-151.2246
4000.000000	84.732407	-146.8110
4120.000000	84.841820	-142.8939
4250.000000	85.000641	-139.0076
4370.000000	85.197563	-135.6109
4500.000000	85.483978	-132.3300
4620.000000	85.830307	-129.6229
4750.000000	86.342758	-127.2523
4870.000000	86.971733	-125.9695
5000.000000	87.826172	-126.7618
5150.000000	88.800888	-132.0536
5300.000000	89.115952	-142.4281
5450.000000	88.315895	-152.2812
5600.000000	87.016235	-157.0132
5800.000000	85.464722	-157.7500
6000.000000	84.357872	-155.7990
6150.000000	83.773720	-153.7230
6300.000000	83.365082	-151.7527
6500.000000	83.025970	-149.4923
6700.000000	82.915421	-147.8550
6900.000000	82.987732	-147.0041
7100.000000	83.218407	-147.4737
7300.000000	83.633408	-148.6458
7500.000000	84.229149	-152.1006
7750.000000	85.063484	-160.2796
8000.000000	85.719101	-173.3086
8250.000000	85.666779	169.6220
8500.000000	84.709106	152.6927
8750.000000	83.195007	139.2448
9000.000000	81.571800	129.7337
9250.000000	80.107254	122.8110
9500.000000	78.924797	117.3877
9750.000000	78.020767	112.6218
10000.000000	77.404083	108.1666
10300.000000	76.991249	101.6451
10600.000000	76.932060	93.6932
10900.000000	77.126694	82.8702
11200.000000	77.259033	67.9153
11500.000000	76.801804	50.7240
11800.000000	75.801208	37.4216
12200.000000	75.786003	22.7792
12500.000000	75.987267	4.5250
12800.000000	75.603264	-14.5147
13200.000000	74.974289	-38.7185
13600.000000	74.603111	-64.4630
14000.000000	74.169159	-92.8104
14500.000000	73.421852	-131.5751
15000.000000	72.059212	-174.6947
15500.000000	69.543045	144.6687
16000.000000	67.110382	106.7455
16500.000000	64.113571	69.1880
17000.000000	60.929428	39.7079
17500.000000	58.680561	13.4506
18000.000000	57.292252	-15.8043
18500.000000	55.596165	-105.6292
19000.000000	54.286625	171.1107
19500.000000	52.663048	-25.8345
