* Measurement data measured by REW V5.20 Beta 26
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS With no timing reference
* Dated: Nov 6, 2019 9:49:02 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tin Hifi T4 - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	83.266388	-144.8192
21.200001	83.359756	-145.7639
21.799999	83.419250	-146.7329
22.400000	83.454536	-147.7119
23.000000	83.481834	-148.6660
23.600000	83.518364	-149.6097
24.299999	83.580322	-150.7625
25.000000	83.653481	-152.0050
25.799999	83.728355	-153.4433
26.500000	83.780251	-154.5596
27.200001	83.831833	-155.4814
28.000000	83.899506	-156.4151
29.000000	83.972717	-157.5873
30.000000	84.015686	-158.7048
30.700001	84.042366	-159.4523
31.500000	84.073578	-160.4019
32.500000	84.080933	-161.6919
33.500000	84.076538	-162.6913
34.500000	84.121117	-163.6146
35.500000	84.162590	-164.6710
36.500000	84.195999	-165.6018
37.500000	84.217468	-166.5493
38.700001	84.216011	-167.3617
40.000000	84.270195	-168.3018
41.200001	84.274544	-169.4454
42.500000	84.252151	-170.4977
43.700001	84.244827	-171.2525
45.000000	84.253098	-172.2973
46.200001	84.230347	-172.9820
47.500000	84.248695	-173.8825
48.700001	84.210930	-174.4132
50.000000	84.270752	-174.8555
51.500000	84.290451	-175.8369
53.000000	84.281357	-176.6104
54.500000	84.215805	-177.4147
56.000000	84.204552	-177.7847
58.000000	84.142273	-179.0860
60.000000	84.140167	-179.5684
61.500000	84.204117	179.3226
63.000000	84.148254	179.0460
65.000000	84.150436	177.8572
67.000000	84.053673	176.7029
69.000000	84.127708	176.5977
71.000000	84.083260	175.2933
73.000000	84.096115	174.4073
75.000000	84.049217	173.8045
77.500000	84.012558	173.0074
80.000000	83.986725	172.1818
82.500000	83.967522	171.3908
85.000000	83.928856	170.6265
87.500000	83.894783	169.8651
90.000000	83.858070	169.1300
92.500000	83.822067	168.4153
95.000000	83.779205	167.7270
97.500000	83.736763	166.9932
100.000000	83.694290	166.3174
103.000000	83.638947	165.5837
106.000000	83.583832	164.8859
109.000000	83.531349	164.1845
112.000000	83.466995	163.5035
115.000000	83.395241	162.8503
118.000000	83.346611	162.2868
122.000000	83.253990	161.5010
