* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 9, 2024 2:18:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: T5S R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 37.315 115.2117
0.732422 44.785 77.1663
1.098633 51.448 53.1234
1.464844 56.767 34.3193
1.831055 60.936 18.0039
2.197266 64.192 3.3803
2.563477 66.732 -9.7427
2.929688 68.715 -21.3691
3.295899 70.279 -31.4832
3.662110 71.541 -40.1426
4.028321 72.599 -47.5222
4.394532 73.525 -53.8935
4.760743 74.357 -59.5482
5.126954 75.112 -64.7127
5.493164 75.793 -69.5145
5.859375 76.404 -74.0053
6.225586 76.952 -78.2055
6.591797 77.442 -82.1309
6.958008 77.881 -85.7919
7.324219 78.275 -89.1848
7.690430 78.632 -92.2983
8.056641 78.964 -95.1387
8.422852 79.285 -97.7541
8.789063 79.600 -100.2316
9.155274 79.908 -102.6597
9.521485 80.199 -105.0838
9.887696 80.463 -107.4866
10.253907 80.697 -109.8099
10.620118 80.906 -111.9987
10.986329 81.099 -114.0388
11.352540 81.286 -115.9647
11.718751 81.469 -117.8354
12.084962 81.644 -119.6978
12.451173 81.803 -121.5618
12.817384 81.942 -123.4003
13.183595 82.060 -125.1671
13.549806 82.162 -126.8227
13.916017 82.257 -128.3560
14.282228 82.353 -129.7949
14.648439 82.455 -131.2001
15.014650 82.559 -132.6368
15.380861 82.657 -134.1365
15.747072 82.737 -135.6720
16.113283 82.796 -137.1663
16.479493 82.839 -138.5375
16.845704 82.883 -139.7566
17.211915 82.940 -140.8787
17.578126 83.014 -142.0146
17.944337 83.096 -143.2555
18.310548 83.166 -144.6069
18.676759 83.214 -145.9858
19.042970 83.240 -147.2815
19.409181 83.259 -148.4364
19.775392 83.285 -149.4851
20.141603 83.318 -150.5190
20.507814 83.349 -151.6022
20.874025 83.356 -152.7097
21.240236 83.339 -153.7428
21.606447 83.308 -154.6099
21.972658 83.285 -155.3110
22.338869 83.283 -155.9568
22.705080 83.300 -156.6978
23.071291 83.317 -157.6172
23.437502 83.311 -158.6745
23.803713 83.272 -159.7389
24.169924 83.209 -160.6756
24.536135 83.140 -161.4272
24.902346 83.084 -162.0400
25.268557 83.049 -162.6220
25.634768 83.028 -163.2690
26.000979 83.010 -164.0143
26.367190 82.985 -164.8298
26.733401 82.949 -165.6616
27.099612 82.905 -166.4648
27.465823 82.857 -167.2182
27.832033 82.809 -167.9206
28.198244 82.765 -168.5816
28.564455 82.725 -169.2159
28.930666 82.688 -169.8406
29.296877 82.655 -170.4688
29.663088 82.621 -171.1015
30.029299 82.584 -171.7237
30.395510 82.544 -172.3113
30.761721 82.504 -172.8476
31.127932 82.469 -173.3382
31.494143 82.442 -173.8138
31.860354 82.423 -174.3177
32.226565 82.405 -174.8838
32.592776 82.382 -175.5194
32.958987 82.348 -176.2002
33.325198 82.298 -176.8796
33.691409 82.235 -177.5067
34.057620 82.164 -178.0466
34.423831 82.093 -178.4946
34.790042 82.029 -178.8764
35.156253 81.974 -179.2342
35.522464 81.925 -179.6031
35.888675 81.879 -179.9942
36.254886 81.832 179.6064
36.621097 81.784 179.2220
36.987308 81.737 178.8658
37.353519 81.696 178.5309
37.719730 81.662 178.1950
38.085941 81.633 177.8365
38.452152 81.605 177.4476
38.818363 81.577 177.0350
39.184573 81.546 176.6122
39.550784 81.513 176.1900
39.916995 81.477 175.7734
40.283206 81.439 175.3653
40.649417 81.399 174.9705
41.015628 81.356 174.5956
41.381839 81.313 174.2447
41.748050 81.271 173.9156
42.114261 81.229 173.6009
42.480472 81.188 173.2928
42.846683 81.148 172.9870
43.212894 81.108 172.6840
43.579105 81.067 172.3851
43.945316 81.028 172.0905
44.311527 80.989 171.7981
44.677738 80.951 171.5051
45.043949 80.913 171.2088
45.410160 80.877 170.9056
45.776371 80.841 170.5911
46.142582 80.804 170.2626
46.508793 80.765 169.9234
46.875004 80.722 169.5865
47.241215 80.675 169.2712
47.607426 80.626 168.9944
47.973637 80.579 168.7596
48.339848 80.538 168.5523
48.706059 80.503 168.3459
49.072270 80.473 168.1149
49.438481 80.443 167.8487
49.804692 80.410 167.5573
50.170902 80.372 167.2641
50.537113 80.330 166.9927
50.903324 80.288 166.7532
51.269535 80.247 166.5384
51.635746 80.210 166.3304
52.001957 80.176 166.1139
52.368168 80.142 165.8859
52.734379 80.106 165.6557
53.100590 80.071 165.4348
53.466801 80.036 165.2255
53.833012 80.004 165.0179
54.199223 79.973 164.7995
54.565434 79.941 164.5682
54.931645 79.906 164.3391
55.297856 79.867 164.1362
55.664067 79.829 163.9734
56.030278 79.796 163.8409
56.396489 79.769 163.7088
56.762700 79.745 163.5490
57.128911 79.719 163.3577
57.495122 79.687 163.1611
57.861333 79.650 162.9958
58.227544 79.613 162.8799
58.593755 79.582 162.7950
58.959966 79.559 162.6961
59.326177 79.539 162.5435
59.692388 79.516 162.3312
60.058599 79.483 162.0914
60.424810 79.440 161.8717
60.791021 79.394 161.7036
61.157232 79.349 161.5840
61.523442 79.310 161.4832
61.889653 79.276 161.3697
62.255864 79.243 161.2329
62.622075 79.208 161.0858
62.988286 79.172 160.9489
63.354497 79.137 160.8311
63.720708 79.107 160.7220
64.086919 79.080 160.6017
64.453130 79.055 160.4571
64.819341 79.029 160.2930
65.185552 78.999 160.1284
65.551763 78.966 159.9827
65.917974 78.934 159.8630
66.284185 78.904 159.7614
66.650396 78.877 159.6625
67.016607 78.851 159.5555
67.382818 78.824 159.4408
67.749029 78.795 159.3274
68.115240 78.765 159.2239
68.481451 78.735 159.1308
68.847662 78.706 159.0396
69.213873 78.678 158.9400
69.580084 78.650 158.8288
69.946295 78.619 158.7122
70.312506 78.586 158.6002
70.678717 78.553 158.4977
71.044928 78.522 158.3994
71.411139 78.492 158.2942
71.777350 78.461 158.1762
72.143561 78.430 158.0518
72.509771 78.396 157.9370
72.875982 78.362 157.8446
73.242193 78.332 157.7733
73.608404 78.307 157.7050
73.974615 78.285 157.6169
74.340826 78.264 157.4988
74.707037 78.240 157.3619
75.073248 78.210 157.2333
75.439459 78.178 157.1387
75.805670 78.148 157.0848
76.171881 78.122 157.0546
76.538092 78.102 157.0172
76.904303 78.084 156.9475
77.270514 78.065 156.8422
77.636725 78.040 156.7199
78.002936 78.008 156.6096
78.369147 77.973 156.5319
78.735358 77.939 156.4872
79.101569 77.908 156.4579
79.467780 77.880 156.4215
79.833991 77.853 156.3663
80.200202 77.824 156.2979
80.566413 77.793 156.2319
80.932624 77.761 156.1807
81.298835 77.732 156.1430
81.665046 77.705 156.1060
82.031257 77.681 156.0562
82.397468 77.659 155.9898
82.763679 77.636 155.9136
83.129890 77.613 155.8355
83.496101 77.591 155.7557
83.862311 77.570 155.6660
84.228522 77.548 155.5598
84.594733 77.523 155.4438
84.960944 77.494 155.3391
85.327155 77.462 155.2688
85.693366 77.431 155.2421
86.059577 77.405 155.2452
86.425788 77.385 155.2499
86.791999 77.369 155.2303
87.158210 77.352 155.1786
87.524421 77.333 155.1050
87.890632 77.310 155.0275
88.256843 77.284 154.9592
88.623054 77.255 154.9038
88.989265 77.226 154.8606
89.355476 77.196 154.8305
89.721687 77.165 154.8176
90.087898 77.137 154.8229
90.454109 77.112 154.8377
90.820320 77.092 154.8436
91.186531 77.075 154.8216
91.552742 77.058 154.7632
91.918953 77.038 154.6763
92.285164 77.013 154.5810
92.651375 76.985 154.4989
93.017586 76.954 154.4432
93.383797 76.924 154.4149
93.750008 76.898 154.4055
94.116219 76.874 154.4034
94.482430 76.854 154.3991
94.848641 76.836 154.3861
95.214851 76.820 154.3604
95.581062 76.804 154.3200
95.947273 76.786 154.2666
96.313484 76.766 154.2078
96.679695 76.743 154.1559
97.045906 76.718 154.1244
97.412117 76.692 154.1198
97.778328 76.670 154.1363
98.144539 76.651 154.1567
98.510750 76.636 154.1603
98.876961 76.622 154.1343
99.243172 76.604 154.0824
99.609383 76.582 154.0225
99.975594 76.555 153.9774
100.341805 76.527 153.9617
100.708016 76.500 153.9739
101.074227 76.477 153.9987
101.440438 76.458 154.0170
101.806649 76.440 154.0166
102.172860 76.423 153.9977
102.539071 76.404 153.9692
102.905282 76.384 153.9411
103.271493 76.364 153.9171
103.637704 76.346 153.8941
104.003915 76.328 153.8649
104.370126 76.311 153.8246
104.736337 76.292 153.7741
105.102548 76.272 153.7205
105.468759 76.250 153.6734
105.834970 76.227 153.6401
106.201180 76.204 153.6221
106.567391 76.183 153.6151
106.933602 76.163 153.6125
107.299813 76.144 153.6101
107.666024 76.126 153.6086
108.032235 76.107 153.6118
108.398446 76.089 153.6218
108.764657 76.072 153.6363
109.130868 76.057 153.6501
109.497079 76.042 153.6600
109.863290 76.026 153.6682
110.229501 76.011 153.6796
110.595712 75.997 153.6955
110.961923 75.984 153.7092
111.328134 75.972 153.7097
111.694345 75.960 153.6914
112.060556 75.945 153.6612
112.426767 75.927 153.6337
112.792978 75.908 153.6191
113.159189 75.891 153.6126
113.525400 75.875 153.5974
113.891611 75.858 153.5607
114.257822 75.838 153.5081
114.624033 75.814 153.4625
114.990244 75.787 153.4455
115.356455 75.761 153.4580
115.722666 75.739 153.4789
116.088877 75.720 153.4847
116.455088 75.700 153.4737
116.821299 75.677 153.4702
117.187510 75.653 153.5001
117.553720 75.635 153.5604
117.919931 75.626 153.6100
118.286142 75.622 153.5983
118.652353 75.614 153.5109
119.018564 75.594 153.3914
119.384775 75.560 153.3190
119.750986 75.522 153.3542
120.117197 75.493 153.4917
120.483408 75.482 153.6590
120.849619 75.486 153.7665
121.215830 75.494 153.7691
121.582041 75.494 153.6912
121.948252 75.481 153.6014
122.314463 75.459 153.5608
122.680674 75.437 153.5851
123.046885 75.421 153.6448
123.413096 75.412 153.6954
123.779307 75.406 153.7122
124.145518 75.397 153.7000
124.511729 75.385 153.6803
124.877940 75.370 153.6703
125.244151 75.355 153.6730
125.610362 75.340 153.6807
125.976573 75.326 153.6854
126.342784 75.311 153.6840
126.708995 75.296 153.6774
127.075206 75.280 153.6678
127.441417 75.263 153.6577
127.807628 75.245 153.6507
128.173839 75.227 153.6506
128.540049 75.208 153.6580
128.906260 75.191 153.6686
129.272471 75.175 153.6757
129.638682 75.160 153.6760
130.004893 75.143 153.6732
130.371104 75.126 153.6742
130.737315 75.110 153.6826
131.103526 75.094 153.6951
131.469737 75.079 153.7051
131.835948 75.065 153.7097
132.202159 75.050 153.7130
132.568370 75.034 153.7225
132.934581 75.019 153.7406
133.300792 75.005 153.7618
133.667003 74.992 153.7771
134.033214 74.979 153.7832
134.399425 74.963 153.7873
134.765636 74.946 153.8014
135.131847 74.929 153.8323
135.498058 74.913 153.8754
135.864269 74.900 153.9190
136.230480 74.888 153.9541
136.596691 74.875 153.9819
136.962902 74.861 154.0112
137.329113 74.848 154.0476
137.695324 74.836 154.0869
138.061535 74.827 154.1164
138.427746 74.818 154.1259
138.793957 74.808 154.1164
139.160168 74.795 154.1007
139.526379 74.779 154.0937
139.892589 74.763 154.1019
140.258800 74.748 154.1209
140.625011 74.734 154.1409
140.991222 74.721 154.1561
141.357433 74.708 154.1686
141.723644 74.694 154.1843
142.089855 74.681 154.2051
142.456066 74.670 154.2257
142.822277 74.660 154.2373
143.188488 74.649 154.2361
143.554699 74.636 154.2280
143.920910 74.621 154.2262
144.287121 74.604 154.2428
144.653332 74.587 154.2808
145.019543 74.574 154.3320
145.385754 74.564 154.3821
145.751965 74.556 154.4193
146.118176 74.548 154.4395
146.484387 74.539 154.4477
146.850598 74.528 154.4525
147.216809 74.516 154.4614
147.583020 74.504 154.4766
147.949231 74.491 154.4955
148.315442 74.480 154.5138
148.681653 74.468 154.5296
149.047864 74.455 154.5455
149.414075 74.442 154.5671
149.780286 74.429 154.5979
150.146497 74.417 154.6356
150.512708 74.407 154.6716
