* Measurement data measured by REW V5.19
* Source: Microphone (2- USB Sound Device        ), no input selected, R, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at -20.0 dBFS  With no timing reference
* Dated: May 28, 2019 10:23:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tripowin TP10 - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	74.173050	32.7841
20.600000	74.281509	31.5551
21.200001	74.348900	30.5528
21.799999	74.399376	29.5307
22.400000	74.434021	28.5130
23.000000	74.473282	27.4933
23.600000	74.529564	26.3496
24.299999	74.588959	24.7592
25.000000	74.610123	23.1741
25.799999	74.628922	21.7707
26.500000	74.686554	20.7395
27.200001	74.762054	19.6182
28.000000	74.819603	18.2859
29.000000	74.850845	16.9466
30.000000	74.909401	15.8364
30.700001	74.956566	14.8893
31.500000	74.983086	13.7214
32.500000	75.003822	12.3629
33.500000	75.025726	10.9788
34.500000	75.031036	9.7104
35.500000	75.048637	8.6913
36.500000	75.099289	7.7145
37.500000	75.137802	6.5433
38.700001	75.135582	5.4048
40.000000	75.172241	4.1853
41.200001	75.167984	3.0245
42.500000	75.200592	1.7212
43.700001	75.187996	0.5048
45.000000	75.223091	-0.6726
46.200001	75.211304	-1.8317
47.500000	75.234512	-2.6495
48.700001	75.250824	-3.6921
50.000000	75.247765	-4.4840
51.500000	75.267410	-5.7109
53.000000	75.243988	-6.9322
54.500000	75.219978	-8.0200
56.000000	75.250046	-9.1616
58.000000	75.245689	-10.5755
60.000000	75.339928	-12.3916
61.500000	75.226311	-13.1221
63.000000	75.256409	-13.7998
65.000000	75.224663	-14.9499
67.000000	75.215103	-16.0903
69.000000	75.243736	-17.5315
71.000000	75.182236	-18.6733
73.000000	75.169205	-19.9198
75.000000	75.171257	-20.8461
77.500000	75.152939	-22.2374
80.000000	75.180199	-23.6437
82.500000	75.143570	-24.9354
85.000000	75.148758	-26.2123
87.500000	75.103104	-27.8793
90.000000	75.080429	-28.9825
92.500000	75.061295	-30.1700
95.000000	75.023682	-31.5883
97.500000	74.979393	-32.9459
100.000000	74.978149	-34.1356
103.000000	74.938614	-35.5423
106.000000	74.884827	-36.8762
109.000000	74.819733	-38.2114
112.000000	74.784256	-39.6326
115.000000	74.738281	-40.9084
118.000000	74.677917	-42.1726
122.000000	74.578339	-44.1129
125.000000	74.510315	-45.2560
128.000000	74.490158	-46.3571
132.000000	74.384369	-47.9438
136.000000	74.303215	-49.5938
140.000000	74.215324	-51.1697
145.000000	74.117615	-52.6666
150.000000	73.995209	-54.7121
155.000000	73.871933	-56.3869
160.000000	73.793213	-57.9269
165.000000	73.691658	-59.5600
170.000000	73.595581	-61.0078
175.000000	73.463661	-62.4811
180.000000	73.395195	-63.9851
185.000000	73.253113	-65.3296
190.000000	73.138283	-66.5872
195.000000	73.080414	-68.1068
200.000000	73.003136	-69.2536
206.000000	72.822472	-70.6074
212.000000	72.744102	-71.9944
218.000000	72.616463	-73.1688
224.000000	72.490356	-74.7343
230.000000	72.387177	-75.8686
236.000000	72.292107	-77.1014
243.000000	72.158440	-78.7667
250.000000	72.023529	-79.9355
258.000000	71.913338	-81.4578
265.000000	71.763672	-82.4011
272.000000	71.696831	-83.6642
280.000000	71.573921	-84.7101
290.000000	71.407295	-86.5250
300.000000	71.268562	-87.5432
307.000000	71.205879	-88.8787
315.000000	71.072029	-89.8706
325.000000	70.956795	-91.1129
335.000000	70.884811	-92.4084
345.000000	70.734222	-93.4457
355.000000	70.676231	-94.5760
365.000000	70.575134	-95.8476
375.000000	70.513680	-96.5796
387.000000	70.416443	-97.6904
400.000000	70.247887	-98.3799
412.000000	70.239136	-99.5147
425.000000	70.176048	-100.3608
437.000000	70.104393	-101.3047
450.000000	70.034973	-102.2365
462.000000	70.019020	-102.8269
475.000000	70.025604	-103.4576
487.000000	69.957031	-104.0244
500.000000	69.984840	-104.7199
515.000000	69.946571	-105.4678
530.000000	69.975258	-106.0159
545.000000	69.987579	-106.3841
560.000000	70.031525	-106.7533
580.000000	70.110855	-107.3636
600.000000	70.177811	-108.0434
615.000000	70.240479	-108.3497
630.000000	70.296104	-108.7590
650.000000	70.416885	-108.9856
670.000000	70.574722	-109.4826
690.000000	70.676636	-109.7521
710.000000	70.873154	-110.1179
730.000000	71.021965	-110.5669
750.000000	71.174232	-110.7745
775.000000	71.434990	-111.2854
800.000000	71.681763	-111.6596
825.000000	71.945869	-112.0483
850.000000	72.211174	-112.3859
875.000000	72.490677	-112.8282
900.000000	72.789459	-113.0445
925.000000	73.100403	-113.5411
950.000000	73.442650	-114.0324
975.000000	73.782349	-114.5155
1000.000000	74.226166	-114.7982
1030.000000	74.576294	-115.6787
1060.000000	75.019264	-116.6305
1090.000000	75.493881	-117.9790
1120.000000	75.953453	-119.2660
1150.000000	76.401039	-120.8558
