* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Mar 7, 2022 6:37:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: TTROMS L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	96.461807	73.4778
21.200001	96.619896	71.4646
21.799999	96.745529	69.5238
22.400000	96.848816	67.6562
23.000000	96.935814	65.9108
23.600000	97.015671	64.1910
24.299999	97.109589	62.1871
25.000000	97.178604	60.2745
25.799999	97.228714	58.1338
26.500000	97.278458	56.3698
27.200001	97.322968	54.6769
28.000000	97.370102	52.7891
29.000000	97.399460	50.5765
30.000000	97.441711	48.3569
30.700001	97.463905	46.9666
31.500000	97.480377	45.2913
32.500000	97.504929	43.3515
33.500000	97.517487	41.4812
34.500000	97.529320	39.6945
35.500000	97.537544	37.9851
36.500000	97.543434	36.3365
37.500000	97.544044	34.7173
38.700001	97.543518	32.8963
40.000000	97.532150	30.9817
41.200001	97.525566	29.3129
42.500000	97.507927	27.5487
43.700001	97.487968	26.0021
45.000000	97.469170	24.4228
46.200001	97.448944	22.9673
47.500000	97.412651	21.4681
48.700001	97.393219	20.1448
50.000000	97.358856	18.7872
51.500000	97.320473	17.2648
53.000000	97.280838	15.7420
54.500000	97.219383	14.4969
56.000000	97.185776	13.1089
58.000000	97.133659	11.3112
60.000000	97.064407	9.6841
61.500000	97.019547	8.4884
63.000000	96.968178	7.3751
65.000000	96.900375	5.9458
67.000000	96.827721	4.5732
69.000000	96.753448	3.2419
71.000000	96.677750	1.9958
73.000000	96.600212	0.8023
75.000000	96.521957	-0.3362
77.500000	96.422287	-1.6953
80.000000	96.321121	-2.9609
82.500000	96.217773	-4.2033
85.000000	96.110596	-5.3658
87.500000	96.005424	-6.4528
90.000000	95.896873	-7.5210
92.500000	95.796211	-8.4954
95.000000	95.692482	-9.4335
97.500000	95.589638	-10.3194
100.000000	95.487869	-11.1399
103.000000	95.368736	-12.1446
106.000000	95.248970	-13.0605
109.000000	95.131058	-13.9178
112.000000	95.016197	-14.7233
115.000000	94.902016	-15.4841
118.000000	94.788399	-16.2058
122.000000	94.637886	-17.0981
125.000000	94.526215	-17.7334
128.000000	94.416679	-18.3036
132.000000	94.269707	-19.0339
136.000000	94.122963	-19.7129
140.000000	93.979477	-20.3347
145.000000	93.801231	-21.0465
150.000000	93.629044	-21.6856
155.000000	93.457405	-22.2545
160.000000	93.288132	-22.7613
165.000000	93.122139	-23.2156
170.000000	92.958916	-23.6127
175.000000	92.799248	-23.9691
180.000000	92.642693	-24.2803
185.000000	92.488106	-24.5288
190.000000	92.336571	-24.7693
195.000000	92.188934	-24.9622
200.000000	92.043480	-25.1156
206.000000	91.871887	-25.2623
212.000000	91.706688	-25.3633
218.000000	91.543533	-25.4282
224.000000	91.384537	-25.4586
230.000000	91.230103	-25.4474
236.000000	91.079239	-25.4110
243.000000	90.908218	-25.3280
250.000000	90.742088	-25.2162
258.000000	90.557526	-25.0479
265.000000	90.402069	-24.8505
272.000000	90.249756	-24.6480
280.000000	90.081238	-24.3706
290.000000	89.880310	-23.9853
300.000000	89.686211	-23.5699
307.000000	89.554672	-23.2322
315.000000	89.409439	-22.8381
325.000000	89.234642	-22.3230
335.000000	89.066963	-21.7683
345.000000	88.906273	-21.1893
355.000000	88.752197	-20.5877
365.000000	88.604233	-19.9652
375.000000	88.461861	-19.3238
387.000000	88.300583	-18.5322
400.000000	88.133781	-17.6448
412.000000	87.987358	-16.8055
425.000000	87.837662	-15.8749
437.000000	87.706520	-15.0028
450.000000	87.571678	-14.0416
462.000000	87.454956	-13.1378
475.000000	87.334526	-12.1498
487.000000	87.229355	-11.2273
500.000000	87.122086	-10.2160
515.000000	87.006416	-9.0379
530.000000	86.899353	-7.8540
545.000000	86.800278	-6.6541
560.000000	86.709137	-5.4484
580.000000	86.598557	-3.8307
600.000000	86.499557	-2.2045
615.000000	86.434708	-0.9778
630.000000	86.374870	0.2571
650.000000	86.306587	1.9073
670.000000	86.249840	3.5634
690.000000	86.204018	5.2260
710.000000	86.171349	6.8864
730.000000	86.148331	8.5648
750.000000	86.138023	10.2346
775.000000	86.142090	12.3114
800.000000	86.164177	14.3940
825.000000	86.207985	16.4399
850.000000	86.271294	18.4662
875.000000	86.355865	20.4485
900.000000	86.460052	22.3717
925.000000	86.584427	24.2173
950.000000	86.727493	25.9758
975.000000	86.887383	27.6188
1000.000000	87.062057	29.1315
1030.000000	87.286819	30.7582
1060.000000	87.523689	32.1215
1090.000000	87.716248	33.2040
1120.000000	87.951370	34.4479
1150.000000	88.150528	35.6092
1180.000000	88.404724	36.5471
1220.000000	88.710587	37.4045
1250.000000	88.921196	37.9262
1280.000000	89.120224	38.3819
1320.000000	89.370483	38.9101
1360.000000	89.606628	39.3613
1400.000000	89.831261	39.7611
1450.000000	90.101112	40.1883
1500.000000	90.361832	40.5377
1550.000000	90.615234	40.8091
1600.000000	90.863388	40.9823
1650.000000	91.106064	41.0613
1700.000000	91.342285	41.0250
1750.000000	91.569702	40.8688
1800.000000	91.786385	40.5898
1850.000000	91.989227	40.1914
1900.000000	92.175209	39.6817
1950.000000	92.341621	39.0713
2000.000000	92.485275	38.3787
2060.000000	92.625214	37.4730
2120.000000	92.727669	36.5245
2180.000000	92.792442	35.5831
2240.000000	92.820915	34.7010
2300.000000	92.815926	33.9174
2360.000000	92.783249	33.2747
2430.000000	92.716530	32.7371
2500.000000	92.628799	32.4443
2580.000000	92.514847	32.4335
2650.000000	92.412918	32.6965
2720.000000	92.316788	33.1897
2800.000000	92.221657	34.0140
2900.000000	92.136330	35.3666
3000.000000	92.096298	36.9986
3070.000000	92.099419	38.2635
3150.000000	92.136009	39.7899
3250.000000	92.233337	41.7644
3350.000000	92.389702	43.7503
3450.000000	92.605820	45.6797
3550.000000	92.882660	47.4903
3650.000000	93.221062	49.1209
3750.000000	93.622398	50.4912
3870.000000	94.189003	51.6670
4000.000000	94.912254	52.1013
4120.000000	95.668488	50.9417
4250.000000	96.171883	49.8765
4370.000000	97.200508	47.4483
4500.000000	98.051132	41.4351
4620.000000	98.567078	33.8842
4750.000000	98.675705	24.3144
4870.000000	98.297913	15.6475
5000.000000	97.470520	7.9911
5150.000000	96.234833	2.2620
5300.000000	94.946060	-0.4001
5450.000000	93.746300	-0.7343
5600.000000	92.691490	0.5589
5800.000000	91.535126	3.9524
6000.000000	90.660072	8.5206
6150.000000	90.178452	12.3918
6300.000000	89.841064	16.4652
6500.000000	89.606750	21.9775
6700.000000	89.611771	27.3161
6900.000000	89.857193	32.2023
7100.000000	90.351868	36.3033
