* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Mar 7, 2022 6:36:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: TTROMS R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	96.777153	73.9220
21.200001	96.921852	71.9076
21.799999	97.054474	69.9958
22.400000	97.169014	68.1230
23.000000	97.257935	66.2628
23.600000	97.335266	64.4838
24.299999	97.417366	62.5403
25.000000	97.484787	60.5830
25.799999	97.548721	58.4101
26.500000	97.591560	56.6773
27.200001	97.633392	54.9732
28.000000	97.676407	53.0533
29.000000	97.715698	50.7961
30.000000	97.756599	48.6181
30.700001	97.779449	47.1426
31.500000	97.800743	45.5092
32.500000	97.822662	43.5376
33.500000	97.830536	41.6547
34.500000	97.847191	39.8637
35.500000	97.857574	38.0916
36.500000	97.855453	36.4561
37.500000	97.854988	34.8740
38.700001	97.851578	32.9583
40.000000	97.843773	31.0862
41.200001	97.832382	29.3821
42.500000	97.810814	27.6259
43.700001	97.796989	26.0341
45.000000	97.772530	24.4373
46.200001	97.752060	22.9731
47.500000	97.721603	21.4869
48.700001	97.691109	20.1392
50.000000	97.658813	18.7790
51.500000	97.619965	17.2271
53.000000	97.576637	15.7482
54.500000	97.531059	14.3377
56.000000	97.484344	12.9746
58.000000	97.422546	11.2533
60.000000	97.351158	9.6635
61.500000	97.305748	8.4352
63.000000	97.250999	7.3067
65.000000	97.176491	5.8628
67.000000	97.104942	4.5085
69.000000	97.031052	3.1906
71.000000	96.951286	1.9526
73.000000	96.870682	0.7480
75.000000	96.790848	-0.3888
77.500000	96.685287	-1.7285
80.000000	96.578735	-3.0081
82.500000	96.476044	-4.2287
85.000000	96.365234	-5.3790
87.500000	96.259865	-6.4763
90.000000	96.171265	-7.4130
92.500000	96.045807	-8.4799
95.000000	95.939857	-9.4068
97.500000	95.835228	-10.2970
100.000000	95.730759	-11.1407
103.000000	95.609016	-12.0983
106.000000	95.488205	-12.9762
109.000000	95.368820	-13.8362
112.000000	95.251274	-14.6241
115.000000	95.134476	-15.3669
118.000000	95.019798	-16.0714
122.000000	94.866585	-16.9375
125.000000	94.754265	-17.5469
128.000000	94.641235	-18.1148
132.000000	94.495621	-18.8279
136.000000	94.347488	-19.4822
140.000000	94.204163	-20.0141
145.000000	94.024689	-20.7504
150.000000	93.849747	-21.3646
155.000000	93.679695	-21.9113
160.000000	93.508438	-22.3855
165.000000	93.342705	-22.8137
170.000000	93.180145	-23.1905
175.000000	93.020332	-23.5111
180.000000	92.862473	-23.7986
185.000000	92.710983	-24.0337
190.000000	92.560341	-24.2366
195.000000	92.412842	-24.3993
200.000000	92.269234	-24.5367
206.000000	92.100204	-24.6495
212.000000	91.935783	-24.7340
218.000000	91.774834	-24.7691
224.000000	91.618317	-24.7698
230.000000	91.466347	-24.7471
236.000000	91.317497	-24.6859
243.000000	91.149475	-24.5798
250.000000	90.986237	-24.4413
258.000000	90.805595	-24.2463
265.000000	90.653343	-24.0436
272.000000	90.504379	-23.8129
280.000000	90.339828	-23.5185
290.000000	90.142746	-23.1090
300.000000	89.954254	-22.6551
307.000000	89.825462	-22.3348
315.000000	89.684532	-21.9308
325.000000	89.514847	-21.4029
335.000000	89.352875	-20.8442
345.000000	89.197853	-20.2627
355.000000	89.047867	-19.6526
365.000000	88.904716	-19.0369
375.000000	88.768616	-18.3914
387.000000	88.612221	-17.6043
400.000000	88.451134	-16.7245
412.000000	88.310791	-15.8953
425.000000	88.166351	-14.9814
437.000000	88.040771	-14.1163
450.000000	87.910904	-13.1771
462.000000	87.799423	-12.2903
475.000000	87.684357	-11.3262
487.000000	87.582954	-10.4245
500.000000	87.479706	-9.4382
515.000000	87.368500	-8.2917
530.000000	87.264130	-7.1410
545.000000	87.170555	-5.9832
560.000000	87.080383	-4.8170
580.000000	86.973480	-3.2509
600.000000	86.877892	-1.6714
615.000000	86.813118	-0.4865
630.000000	86.754967	0.7064
650.000000	86.687737	2.3026
670.000000	86.629379	3.9093
690.000000	86.583038	5.5182
710.000000	86.548187	7.1347
730.000000	86.523682	8.7486
750.000000	86.509872	10.3734
775.000000	86.509331	12.4000
800.000000	86.526001	14.4223
825.000000	86.562889	16.4302
850.000000	86.619553	18.4182
875.000000	86.696205	20.3657
900.000000	86.791702	22.2607
925.000000	86.908325	24.0936
950.000000	87.042313	25.8309
975.000000	87.193214	27.4752
1000.000000	87.357498	28.9904
1030.000000	87.569199	30.6412
1060.000000	87.786774	32.0957
1090.000000	88.000305	33.3338
1120.000000	88.167801	34.7127
1150.000000	88.514290	36.2671
1180.000000	88.753937	36.5243
1220.000000	89.021584	37.2976
1250.000000	89.217926	37.8346
1280.000000	89.406960	38.3149
1320.000000	89.648346	38.8818
1360.000000	89.877892	39.3871
1400.000000	90.098602	39.8443
1450.000000	90.366577	40.3474
1500.000000	90.628059	40.7792
1550.000000	90.886612	41.1288
1600.000000	91.142944	41.3897
1650.000000	91.396019	41.5329
1700.000000	91.646423	41.5556
1750.000000	91.890602	41.4450
1800.000000	92.126343	41.1938
1850.000000	92.350708	40.8031
1900.000000	92.558914	40.2697
1950.000000	92.748306	39.6092
2000.000000	92.915497	38.8356
2060.000000	93.080750	37.7935
2120.000000	93.206070	36.6729
2180.000000	93.288773	35.5327
2240.000000	93.329239	34.4226
2300.000000	93.330505	33.3978
2360.000000	93.297127	32.5085
2430.000000	93.221970	31.6899
2500.000000	93.118507	31.1429
2580.000000	92.979240	30.8646
2650.000000	92.851593	30.9292
2720.000000	92.725433	31.2578
2800.000000	92.594101	31.9306
2900.000000	92.461189	33.1394
3000.000000	92.371902	34.6841
3070.000000	92.340508	35.9134
3150.000000	92.337372	37.4242
3250.000000	92.383865	39.4091
3350.000000	92.488945	41.4420
3450.000000	92.651886	43.4566
3550.000000	92.874168	45.3937
3650.000000	93.155373	47.1977
3750.000000	93.495964	48.8068
3870.000000	93.984596	50.3844
4000.000000	94.613472	51.4929
4120.000000	95.285446	51.7379
4250.000000	96.103775	50.7853
4370.000000	96.892242	48.0754
4500.000000	97.368675	44.2963
4620.000000	98.274986	40.3670
4750.000000	98.817223	31.6016
4870.000000	98.819611	22.6390
5000.000000	98.310387	13.5945
5150.000000	97.252563	5.7510
5300.000000	95.983841	1.2168
5450.000000	94.722458	-0.5135
5600.000000	93.572662	-0.1902
5800.000000	92.275307	2.3871
6000.000000	91.258827	6.5163
6150.000000	90.673767	10.2352
6300.000000	90.233971	14.2769
6500.000000	89.863853	19.9201
6700.000000	89.734077	25.6041
6900.000000	89.842339	31.0743
7100.000000	90.201630	36.0827
7300.000000	90.832230	40.0582
7500.000000	91.701370	42.4209
7750.000000	93.077835	41.9352
8000.000000	94.502037	35.5193
8250.000000	95.247780	22.5552
8500.000000	94.666550	8.1946
8750.000000	93.143639	-0.9519
9000.000000	91.489822	-4.0294
9250.000000	90.122833	-3.1493
9500.000000	89.153366	-0.1528
9750.000000	88.593788	3.7804
10000.000000	88.444336	7.8715
10300.000000	88.829132	12.0363
10600.000000	89.895874	14.0432
10900.000000	91.694473	11.2946
11200.000000	94.031181	-1.5181
11500.000000	95.133820	-29.6228
11800.000000	93.311333	-57.3458
12200.000000	89.621292	-73.8800
12500.000000	87.596542	-78.9454
12800.000000	86.048981	-83.5302
13200.000000	84.454559	-88.4600
13600.000000	84.058296	-86.8726
14000.000000	85.093872	-102.9289
14500.000000	84.222313	-138.5443
15000.000000	80.246483	-168.7061
15500.000000	76.150925	178.1722
16000.000000	74.034752	162.3793
16500.000000	71.703865	143.0568
17000.000000	70.026093	123.1475
17500.000000	69.566772	100.9989
18000.000000	70.983582	66.9845
18500.000000	73.473236	15.2965
19000.000000	75.348785	-62.1262
19500.000000	74.398506	-157.4546
