* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Feb 11, 2022 3:41:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tea 2 R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	99.449715	-123.7857
21.200001	99.537834	-125.6294
21.799999	99.606064	-127.3950
22.400000	99.658470	-129.1137
23.000000	99.697319	-130.7590
23.600000	99.727585	-132.3506
24.299999	99.753761	-134.1360
25.000000	99.760216	-135.8400
25.799999	99.764969	-137.7581
26.500000	99.768982	-139.3538
27.200001	99.754562	-140.9196
28.000000	99.738235	-142.6468
29.000000	99.723106	-144.6631
30.000000	99.695076	-146.6181
30.700001	99.674316	-147.9116
31.500000	99.647453	-149.3208
32.500000	99.609856	-151.0660
33.500000	99.574219	-152.7288
34.500000	99.532249	-154.3163
35.500000	99.493889	-155.8234
36.500000	99.452675	-157.2816
37.500000	99.404984	-158.6489
38.700001	99.346603	-160.2510
40.000000	99.289375	-161.9297
41.200001	99.226715	-163.3388
42.500000	99.155396	-164.8715
43.700001	99.095512	-166.1924
45.000000	99.023529	-167.5364
46.200001	98.958977	-168.7830
47.500000	98.884750	-170.0130
48.700001	98.819344	-171.1123
50.000000	98.749313	-172.2456
51.500000	98.660324	-173.4998
53.000000	98.574547	-174.6721
54.500000	98.486603	-175.8286
56.000000	98.402733	-176.8841
58.000000	98.287727	-178.2646
60.000000	98.166473	-179.5336
61.500000	98.085999	179.5826
63.000000	98.005745	178.7300
65.000000	97.889824	177.6531
67.000000	97.772316	176.6608
69.000000	97.657822	175.6819
71.000000	97.543304	174.8040
73.000000	97.429375	173.9593
75.000000	97.316521	173.1751
77.500000	97.174553	172.2614
80.000000	97.034927	171.4246
82.500000	96.893860	170.6490
85.000000	96.758232	169.9361
87.500000	96.622849	169.2559
90.000000	96.498100	168.4777
92.500000	96.359177	168.1080
95.000000	96.232155	167.6098
97.500000	96.105560	167.1400
100.000000	95.985573	166.7280
