* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 25, 2024 12:06:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Terra L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 50.238 85.6940
0.732422 59.476 45.3056
1.098633 66.471 25.8727
1.464844 71.753 11.8731
1.831055 75.843 -0.2365
2.197266 79.050 -11.2599
2.563477 81.584 -21.2895
2.929688 83.605 -30.2502
3.295898 85.244 -38.0896
3.662109 86.610 -44.8553
4.028320 87.786 -50.7076
4.394531 88.827 -55.8696
4.760742 89.762 -60.5478
5.126953 90.604 -64.8730
5.493164 91.358 -68.8964
5.859375 92.034 -72.6273
6.225586 92.646 -76.0768
6.591797 93.205 -79.2776
6.958008 93.721 -82.2763
7.324219 94.197 -85.1139
7.690430 94.637 -87.8136
8.056641 95.043 -90.3852
8.422852 95.420 -92.8372
8.789062 95.772 -95.1842
9.155273 96.101 -97.4446
9.521484 96.408 -99.6322
9.887695 96.695 -101.7511
10.253906 96.963 -103.7988
10.620117 97.214 -105.7740
10.986328 97.452 -107.6822
11.352539 97.678 -109.5349
11.718750 97.892 -111.3431
12.084961 98.094 -113.1120
12.451172 98.285 -114.8393
12.817383 98.464 -116.5196
13.183594 98.633 -118.1486
13.549805 98.793 -119.7269
13.916016 98.946 -121.2593
14.282227 99.092 -122.7525
14.648438 99.231 -124.2124
15.014648 99.363 -125.6421
15.380859 99.488 -127.0419
15.747070 99.605 -128.4094
16.113281 99.716 -129.7425
16.479492 99.820 -131.0408
16.845703 99.920 -132.3069
17.211914 100.014 -133.5456
17.578125 100.104 -134.7612
17.944336 100.190 -135.9555
18.310547 100.270 -137.1271
18.676758 100.346 -138.2738
19.042969 100.418 -139.3950
19.409180 100.487 -140.4939
19.775391 100.554 -141.5760
20.141602 100.616 -142.6457
20.507812 100.673 -143.7039
20.874023 100.716 -144.7474
21.240234 100.752 -145.7704
21.606445 100.778 -146.7687
21.972656 100.799 -147.7416
22.338867 100.816 -148.6930
22.705078 100.828 -149.6289
23.071289 100.838 -150.5548
23.437500 100.843 -151.4727
23.803711 100.844 -152.3803
24.169922 100.841 -153.2725
24.536133 100.835 -154.1437
24.902344 100.827 -154.9916
25.268555 100.818 -155.8188
25.634766 100.808 -156.6315
26.000977 100.798 -157.4366
26.367188 100.787 -158.2376
26.733398 100.775 -159.0329
27.099609 100.760 -159.8170
27.465820 100.744 -160.5841
27.832031 100.727 -161.3321
28.198242 100.711 -162.0645
28.564453 100.695 -162.7878
28.930664 100.680 -163.5082
29.296875 100.666 -164.2279
29.663086 100.649 -164.9448
30.029297 100.632 -165.6540
30.395508 100.613 -166.3507
30.761719 100.593 -167.0332
31.127930 100.574 -167.7022
31.494141 100.554 -168.3603
31.860352 100.535 -169.0098
32.226562 100.515 -169.6513
32.592773 100.494 -170.2840
32.958984 100.473 -170.9055
33.325195 100.452 -171.5143
33.691406 100.431 -172.1103
34.057617 100.410 -172.6961
34.423828 100.390 -173.2759
34.790039 100.371 -173.8538
35.156250 100.351 -174.4311
35.522461 100.331 -175.0065
35.888672 100.310 -175.5766
36.254883 100.288 -176.1386
36.621094 100.266 -176.6919
36.987305 100.244 -177.2380
37.353516 100.222 -177.7780
37.719727 100.199 -178.3113
38.085938 100.177 -178.8369
38.452148 100.154 -179.3547
38.818359 100.132 -179.8674
39.184570 100.111 179.6212
39.550781 100.089 179.1099
39.916992 100.065 178.6028
40.283203 100.040 178.1070
40.649414 100.015 177.6276
41.015625 99.991 177.1621
41.381836 99.969 176.7007
41.748047 99.948 176.2330
42.114258 99.927 175.7564
42.480469 99.902 175.2795
42.846680 99.876 174.8167
43.212891 99.849 174.3777
43.579102 99.824 173.9592
43.945312 99.803 173.5456
44.311523 99.784 173.1187
44.677734 99.765 172.6700
45.043945 99.744 172.2062
45.410156 99.718 171.7443
45.776367 99.690 171.3010
46.142578 99.661 170.8834
46.508789 99.634 170.4867
46.875000 99.609 170.0990
47.241211 99.586 169.7095
47.607422 99.564 169.3134
47.973633 99.541 168.9124
48.339844 99.517 168.5117
48.706055 99.493 168.1163
49.072266 99.468 167.7288
49.438477 99.444 167.3489
49.804688 99.419 166.9740
50.170898 99.396 166.6008
50.537109 99.373 166.2265
50.903320 99.349 165.8514
51.269531 99.324 165.4787
51.635742 99.298 165.1127
52.001953 99.273 164.7565
52.368164 99.248 164.4093
52.734375 99.223 164.0668
53.100586 99.200 163.7237
53.466797 99.178 163.3765
53.833008 99.154 163.0262
54.199219 99.130 162.6769
54.565430 99.104 162.3342
54.931641 99.079 162.0020
55.297852 99.054 161.6809
55.664062 99.030 161.3676
56.030273 99.007 161.0557
56.396484 98.986 160.7389
56.762695 98.965 160.4143
57.128906 98.942 160.0854
57.495117 98.917 159.7613
57.861328 98.891 159.4515
58.227539 98.866 159.1595
58.593750 98.844 158.8783
58.959961 98.824 158.5934
59.326172 98.805 158.2914
59.692383 98.785 157.9695
60.058594 98.762 157.6385
60.424805 98.735 157.3167
60.791016 98.707 157.0181
61.157227 98.679 156.7438
61.523438 98.653 156.4820
61.889648 98.631 156.2169
62.255859 98.609 155.9390
62.622070 98.586 155.6511
62.988281 98.561 155.3637
63.354492 98.535 155.0867
63.720703 98.510 154.8221
64.086914 98.486 154.5634
64.453125 98.464 154.3021
64.819336 98.442 154.0337
65.185547 98.419 153.7605
65.551758 98.395 153.4890
65.917969 98.371 153.2240
66.284180 98.347 152.9661
66.650391 98.324 152.7116
67.016602 98.301 152.4570
67.382812 98.278 152.2012
67.749023 98.255 151.9465
68.115234 98.231 151.6960
68.481445 98.208 151.4509
68.847656 98.185 151.2098
69.213867 98.163 150.9697
69.580078 98.141 150.7288
69.946289 98.118 150.4872
70.312500 98.096 150.2465
70.678711 98.073 150.0084
71.044922 98.050 149.7729
71.411133 98.027 149.5396
71.777344 98.004 149.3076
72.143555 97.981 149.0776
72.509766 97.958 148.8502
72.875977 97.935 148.6256
73.242188 97.913 148.4029
73.608398 97.890 148.1800
73.974609 97.868 147.9559
74.340820 97.845 147.7315
74.707031 97.822 147.5095
75.073242 97.799 147.2918
75.439453 97.776 147.0786
75.805664 97.754 146.8675
76.171875 97.732 146.6556
76.538086 97.710 146.4422
76.904297 97.687 146.2288
77.270508 97.665 146.0182
77.636719 97.642 145.8126
78.002930 97.619 145.6107
78.369141 97.598 145.4100
78.735352 97.576 145.2076
79.101562 97.555 145.0034
79.467773 97.532 144.7992
79.833984 97.510 144.5977
80.200195 97.487 144.4005
80.566406 97.465 144.2070
80.932617 97.443 144.0154
81.298828 97.422 143.8239
81.665039 97.400 143.6316
82.031250 97.379 143.4388
82.397461 97.357 143.2464
82.763672 97.336 143.0556
83.129883 97.314 142.8671
83.496094 97.292 142.6809
83.862305 97.271 142.4965
84.228516 97.249 142.3127
84.594727 97.228 142.1288
84.960938 97.207 141.9452
85.327148 97.185 141.7632
85.693359 97.164 141.5845
86.059570 97.142 141.4099
86.425781 97.121 141.2382
86.791992 97.101 141.0667
87.158203 97.081 140.8931
87.524414 97.061 140.7166
87.890625 97.041 140.5387
88.256836 97.020 140.3618
88.623047 96.999 140.1878
88.989258 96.978 140.0175
89.355469 96.957 139.8500
89.721680 96.936 139.6846
90.087891 96.915 139.5204
90.454102 96.895 139.3572
90.820312 96.875 139.1947
91.186523 96.855 139.0321
91.552734 96.835 138.8691
91.918945 96.816 138.7058
92.285156 96.795 138.5433
92.651367 96.775 138.3825
93.017578 96.756 138.2239
93.383789 96.736 138.0668
93.750000 96.716 137.9102
94.116211 96.697 137.7534
94.482422 96.677 137.5969
94.848633 96.658 137.4417
95.214844 96.638 137.2884
95.581055 96.619 137.1369
95.947266 96.600 136.9861
96.313477 96.581 136.8352
96.679688 96.562 136.6841
97.045898 96.543 136.5341
97.412109 96.524 136.3864
97.778320 96.505 136.2416
98.144531 96.486 136.0989
98.510742 96.468 135.9561
98.876953 96.450 135.8115
99.243164 96.432 135.6647
99.609375 96.414 135.5174
99.975586 96.395 135.3719
100.341797 96.376 135.2300
100.708008 96.358 135.0915
101.074219 96.340 134.9539
101.440430 96.323 134.8150
101.806641 96.305 134.6736
102.172852 96.287 134.5312
102.539062 96.269 134.3909
102.905273 96.250 134.2549
103.271484 96.232 134.1234
103.637695 96.215 133.9935
104.003906 96.198 133.8618
104.370117 96.182 133.7266
104.736328 96.164 133.5891
105.102539 96.147 133.4528
105.468750 96.129 133.3210
105.834961 96.111 133.1942
106.201172 96.094 133.0701
106.567383 96.078 132.9449
106.933594 96.062 132.8163
107.299805 96.046 132.6847
107.666016 96.029 132.5526
108.032227 96.012 132.4229
108.398438 95.995 132.2968
108.764648 95.978 132.1733
109.130859 95.962 132.0505
109.497070 95.946 131.9271
109.863281 95.929 131.8033
110.229492 95.913 131.6801
110.595703 95.897 131.5580
110.961914 95.881 131.4368
111.328125 95.865 131.3155
111.694336 95.849 131.1935
112.060547 95.833 131.0714
112.426758 95.816 130.9510
112.792969 95.800 130.8332
113.159180 95.784 130.7179
113.525391 95.768 130.6031
113.891602 95.753 130.4873
114.257812 95.738 130.3697
114.624023 95.722 130.2515
114.990234 95.706 130.1346
115.356445 95.691 130.0199
115.722656 95.675 129.9071
116.088867 95.660 129.7944
116.455078 95.645 129.6807
116.821289 95.630 129.5664
117.187500 95.614 129.4532
117.553711 95.599 129.3423
117.919922 95.584 129.2336
118.286133 95.569 129.1252
118.652344 95.554 129.0156
119.018555 95.540 128.9042
119.384766 95.525 128.7928
119.750977 95.510 128.6834
120.117188 95.495 128.5773
120.483398 95.480 128.4730
120.849609 95.466 128.3682
121.215820 95.452 128.2610
121.582031 95.437 128.1518
121.948242 95.423 128.0427
122.314453 95.408 127.9359
122.680664 95.393 127.8322
123.046875 95.378 127.7303
123.413086 95.364 127.6284
123.779297 95.350 127.5254
124.145508 95.336 127.4217
124.511719 95.321 127.3187
124.877930 95.307 127.2172
125.244141 95.293 127.1169
125.610352 95.279 127.0169
125.976562 95.265 126.9162
126.342773 95.251 126.8152
126.708984 95.237 126.7150
127.075195 95.223 126.6167
127.441406 95.209 126.5203
127.807617 95.196 126.4244
128.173828 95.182 126.3274
128.540039 95.169 126.2286
128.906250 95.156 126.1285
129.272461 95.142 126.0289
129.638672 95.128 125.9313
130.004883 95.114 125.8364
130.371094 95.100 125.7437
130.737305 95.086 125.6518
131.103516 95.073 125.5591
131.469727 95.060 125.4653
131.835938 95.047 125.3706
132.202148 95.033 125.2763
132.568359 95.020 125.1836
132.934570 95.006 125.0930
133.300781 94.993 125.0041
133.666992 94.980 124.9158
134.033203 94.967 124.8268
134.399414 94.954 124.7363
134.765625 94.941 124.6445
135.131836 94.928 124.5523
135.498047 94.915 124.4610
135.864258 94.902 124.3712
136.230469 94.889 124.2828
136.596680 94.876 124.1949
136.962891 94.864 124.1063
137.329102 94.851 124.0168
137.695312 94.838 123.9268
138.061523 94.825 123.8376
138.427734 94.812 123.7505
138.793945 94.799 123.6660
139.160156 94.786 123.5832
139.526367 94.774 123.5007
139.892578 94.762 123.4174
140.258789 94.750 123.3326
140.625000 94.738 123.2468
140.991211 94.726 123.1605
141.357422 94.713 123.0747
141.723633 94.701 122.9899
142.089844 94.689 122.9062
142.456055 94.676 122.8235
142.822266 94.664 122.7415
143.188477 94.652 122.6599
143.554688 94.640 122.5781
143.920898 94.628 122.4961
144.287109 94.616 122.4140
144.653320 94.604 122.3323
145.019531 94.592 122.2516
145.385742 94.581 122.1719
145.751953 94.569 122.0926
146.118164 94.557 122.0129
146.484375 94.545 121.9326
146.850586 94.534 121.8523
147.216797 94.522 121.7732
147.583008 94.510 121.6960
147.949219 94.498 121.6208
148.315430 94.486 121.5461
148.681641 94.475 121.4705
149.047852 94.464 121.3930
149.414062 94.453 121.3141
149.780273 94.441 121.2353
150.146484 94.430 121.1580
