* Measurement data measured by REW V5.20 Beta 21
* Source: Input device not selected, no input selected, R, volume: 0.000
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Aug 24, 2019 2:52:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64 Audio Trio - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	60.635025	82.9908
20.600000	60.928162	81.1616
21.200001	61.182266	79.1901
21.799999	61.372940	77.3453
22.400000	61.532730	75.7270
23.000000	61.681911	74.1520
23.600000	61.805695	72.5038
24.299999	61.914055	70.6082
25.000000	62.013393	68.8047
25.799999	62.137470	66.7192
26.500000	62.246216	64.8453
27.200001	62.350037	63.0149
28.000000	62.467541	61.0565
29.000000	62.614788	58.8069
30.000000	62.757767	56.7272
30.700001	62.850433	55.2885
31.500000	62.935947	53.6382
32.500000	63.018200	51.6304
33.500000	63.085468	49.6286
34.500000	63.140446	47.6768
35.500000	63.198566	45.7911
36.500000	63.254471	43.9298
37.500000	63.299026	42.1621
38.700001	63.347141	40.1781
40.000000	63.382507	38.1029
41.200001	63.405312	36.2888
42.500000	63.425575	34.3711
43.700001	63.440975	32.6322
45.000000	63.447296	30.8324
46.200001	63.453323	29.2550
47.500000	63.452610	27.5766
48.700001	63.446449	26.0909
50.000000	63.436756	24.5304
51.500000	63.426064	22.7988
53.000000	63.404171	21.1462
54.500000	63.383934	19.5825
56.000000	63.353924	18.0835
58.000000	63.310226	16.0290
60.000000	63.254089	14.1529
61.500000	63.212334	12.8450
63.000000	63.172607	11.5327
65.000000	63.107224	9.9041
67.000000	63.046951	8.3350
69.000000	62.983780	6.8480
71.000000	62.920044	5.4325
73.000000	62.853645	4.1062
75.000000	62.783535	2.8213
77.500000	62.700443	1.3124
80.000000	62.610378	-0.1230
82.500000	62.525490	-1.4622
85.000000	62.446171	-2.7063
87.500000	62.354683	-3.9338
90.000000	62.266937	-5.0592
92.500000	62.178635	-6.1106
95.000000	62.092575	-7.1276
97.500000	62.003616	-8.0858
100.000000	61.920273	-8.9647
103.000000	61.816704	-9.9894
106.000000	61.719208	-10.9311
109.000000	61.620644	-11.8375
112.000000	61.521370	-12.6515
115.000000	61.427395	-13.4104
118.000000	61.334877	-14.1621
122.000000	61.220173	-15.0594
125.000000	61.119720	-15.7040
128.000000	61.030846	-16.2486
132.000000	60.914124	-16.9880
136.000000	60.800690	-17.6706
140.000000	60.689491	-18.2558
145.000000	60.551857	-18.9571
150.000000	60.422859	-19.5443
155.000000	60.292603	-20.0951
160.000000	60.164341	-20.5566
165.000000	60.041298	-21.0027
170.000000	59.914253	-21.3214
175.000000	59.780369	-21.5964
180.000000	59.649780	-21.7332
185.000000	59.510620	-21.6676
190.000000	59.405090	-21.1244
195.000000	59.416073	-20.5524
200.000000	59.473354	-20.8012
206.000000	59.438885	-21.5343
212.000000	59.349606	-22.0633
218.000000	59.251873	-22.3191
224.000000	59.162365	-22.5232
230.000000	59.073254	-22.6188
236.000000	58.993851	-22.6539
243.000000	58.906494	-22.6742
250.000000	58.828354	-22.6052
258.000000	58.753994	-22.5666
265.000000	58.688408	-22.4715
272.000000	58.628429	-22.3761
280.000000	58.569721	-22.2446
290.000000	58.502068	-22.0240
300.000000	58.450298	-21.7924
307.000000	58.418823	-21.6359
315.000000	58.393196	-21.4558
325.000000	58.362450	-21.2141
335.000000	58.340477	-20.9769
345.000000	58.325687	-20.7345
355.000000	58.318024	-20.4920
365.000000	58.321682	-20.2549
375.000000	58.328190	-20.0258
387.000000	58.350243	-19.7796
400.000000	58.386547	-19.5044
412.000000	58.425816	-19.2989
425.000000	58.484020	-19.1375
437.000000	58.538609	-18.9736
450.000000	58.608124	-18.8969
462.000000	58.684261	-18.8660
475.000000	58.771111	-18.9002
487.000000	58.851112	-18.9805
500.000000	58.944595	-19.1193
515.000000	59.059006	-19.4071
530.000000	59.174324	-19.7764
545.000000	59.288631	-20.2578
560.000000	59.403034	-20.8767
580.000000	59.536602	-21.9242
600.000000	59.643242	-22.9612
615.000000	59.727104	-23.8794
630.000000	59.784931	-24.8832
650.000000	59.845108	-26.2397
670.000000	59.888878	-27.7816
690.000000	59.882324	-29.4164
