* Measurement data measured by REW V5.20 Beta 21
* Source: Input device not selected, no input selected, R, volume: 0.000
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Aug 24, 2019 2:53:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64 Audio Trio - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	62.256634	76.7311
20.600000	62.445934	74.7689
21.200001	62.616344	72.9390
21.799999	62.765244	71.2053
22.400000	62.893646	69.5231
23.000000	63.000568	67.8558
23.600000	63.089348	66.2135
24.299999	63.184570	64.3098
25.000000	63.276421	62.3427
25.799999	63.369118	60.0486
26.500000	63.444061	58.0996
27.200001	63.518982	56.2336
28.000000	63.603638	54.2167
29.000000	63.701469	51.8572
30.000000	63.781334	49.6766
30.700001	63.828278	48.2078
31.500000	63.865284	46.5503
32.500000	63.897957	44.5745
33.500000	63.931248	42.5733
34.500000	63.951748	40.5875
35.500000	63.975216	38.7008
36.500000	63.997959	36.8726
37.500000	64.016907	35.1516
38.700001	64.034744	33.1655
40.000000	64.038757	31.1026
41.200001	64.036865	29.2664
42.500000	64.028801	27.3268
43.700001	64.013184	25.6599
45.000000	64.008270	24.0316
46.200001	64.009644	22.5475
47.500000	64.011986	20.9468
48.700001	64.002480	19.3830
50.000000	63.967575	17.7456
51.500000	63.929028	16.0201
53.000000	63.886868	14.2840
54.500000	63.837158	12.7362
56.000000	63.787975	11.1604
58.000000	63.719635	9.2462
60.000000	63.644165	7.4099
61.500000	63.586773	6.1727
63.000000	63.532368	5.0571
65.000000	63.476547	3.5842
67.000000	63.417271	2.0838
69.000000	63.359375	0.6669
71.000000	63.300701	-0.7080
73.000000	63.235710	-2.1140
75.000000	63.158882	-3.3569
77.500000	63.069618	-4.9138
80.000000	62.967728	-6.3270
82.500000	62.874680	-7.6238
85.000000	62.774281	-8.8878
87.500000	62.672855	-10.0254
90.000000	62.580719	-11.1444
92.500000	62.488213	-12.1562
95.000000	62.402138	-13.1597
97.500000	62.305576	-14.0651
100.000000	62.220940	-14.9378
103.000000	62.115192	-15.9234
106.000000	62.007343	-16.8277
109.000000	61.908516	-17.6947
112.000000	61.804619	-18.5140
115.000000	61.703281	-19.2527
118.000000	61.605186	-19.9391
122.000000	61.474388	-20.8305
125.000000	61.387554	-21.4251
128.000000	61.289192	-22.0091
132.000000	61.158024	-22.6711
136.000000	61.038872	-23.3212
140.000000	60.921894	-23.9049
145.000000	60.769520	-24.5103
150.000000	60.617142	-24.9342
155.000000	60.475861	-25.1841
160.000000	60.399048	-25.1983
165.000000	60.350060	-25.7191
170.000000	60.263718	-26.3081
175.000000	60.150505	-26.8364
180.000000	60.048157	-27.2080
185.000000	59.938335	-27.5481
190.000000	59.834793	-27.7809
195.000000	59.728310	-27.9822
200.000000	59.635834	-28.1641
206.000000	59.521496	-28.2973
212.000000	59.410797	-28.3736
218.000000	59.312126	-28.3178
224.000000	59.237526	-28.2438
230.000000	59.175888	-28.2679
236.000000	59.101498	-28.3682
243.000000	59.010857	-28.3573
250.000000	58.926167	-28.2160
258.000000	58.862194	-28.0897
265.000000	58.810638	-28.0288
272.000000	58.753235	-28.0476
280.000000	58.689583	-27.9728
290.000000	58.614876	-27.8373
300.000000	58.551903	-27.6604
307.000000	58.517746	-27.5171
315.000000	58.480961	-27.3928
325.000000	58.443161	-27.1807
335.000000	58.413933	-26.9746
345.000000	58.390560	-26.7991
355.000000	58.373009	-26.5955
365.000000	58.365410	-26.4175
375.000000	58.368141	-26.2502
387.000000	58.378399	-26.0534
400.000000	58.402245	-25.8839
412.000000	58.431194	-25.7514
425.000000	58.474129	-25.6566
437.000000	58.523506	-25.6143
450.000000	58.582363	-25.6093
462.000000	58.644585	-25.6807
475.000000	58.715897	-25.7935
487.000000	58.787544	-25.9935
500.000000	58.868576	-26.2735
515.000000	58.967438	-26.6937
530.000000	59.069832	-27.2580
545.000000	59.167091	-27.9480
560.000000	59.267319	-28.8819
580.000000	59.325878	-30.4864
600.000000	59.345306	-31.5674
615.000000	59.397232	-32.5173
630.000000	59.428699	-33.8005
650.000000	59.381641	-35.5726
670.000000	59.323059	-36.8552
690.000000	59.229656	-38.3144
710.000000	59.104706	-39.7872
730.000000	58.938957	-41.0958
750.000000	58.738491	-42.1707
775.000000	58.454414	-43.0947
800.000000	58.146328	-43.5099
825.000000	57.835762	-43.3994
850.000000	57.537998	-42.7803
875.000000	57.270885	-41.6795
900.000000	57.039833	-40.1588
925.000000	56.860004	-38.3093
950.000000	56.731873	-36.1383
975.000000	56.673195	-33.8136
1000.000000	56.677525	-31.3702
1030.000000	56.757984	-28.3895
1060.000000	56.936893	-25.5440
1090.000000	57.189522	-22.8977
1120.000000	57.508881	-20.5852
1150.000000	57.873440	-18.6789
1180.000000	58.267418	-17.2240
1220.000000	58.802933	-15.9653
1250.000000	59.192738	-15.4674
1280.000000	59.570175	-15.3171
1320.000000	60.024540	-15.5248
1360.000000	60.421448	-16.0826
1400.000000	60.765072	-16.8727
1450.000000	61.119408	-18.0481
1500.000000	61.412727	-19.3490
1550.000000	61.649132	-20.7266
1600.000000	61.834003	-22.1052
1650.000000	61.980530	-23.4832
1700.000000	62.093769	-24.8254
1750.000000	62.178848	-26.1181
1800.000000	62.232040	-27.3286
1850.000000	62.258976	-28.3116
1900.000000	62.284462	-28.9959
1950.000000	62.343746	-29.4150
2000.000000	62.463272	-29.9309
2060.000000	62.609306	-31.2532
2120.000000	62.647064	-32.8102
2180.000000	62.620564	-34.0665
2240.000000	62.574245	-34.9791
2300.000000	62.522797	-35.6064
2360.000000	62.490479	-36.0584
2430.000000	62.483963	-36.5912
2500.000000	62.475262	-37.2126
2580.000000	62.391224	-37.9814
2650.000000	62.280655	-38.3967
2720.000000	62.161682	-38.4660
2800.000000	62.032887	-38.3670
2900.000000	61.872116	-38.0248
3000.000000	61.738850	-37.5532
3070.000000	61.652195	-37.2632
3150.000000	61.528648	-36.8609
3250.000000	61.377319	-36.0199
3350.000000	61.255051	-34.9387
3450.000000	61.169235	-33.7314
3550.000000	61.120880	-32.4678
3650.000000	61.095886	-31.4206
3750.000000	61.061420	-30.5479
3870.000000	60.973572	-29.6345
4000.000000	60.678226	-28.2089
4120.000000	60.343285	-24.6206
4250.000000	60.328583	-18.4395
4370.000000	60.795506	-13.3977
4500.000000	61.496647	-10.5611
4620.000000	62.161358	-10.1875
4750.000000	62.846699	-12.5263
4870.000000	63.232002	-18.3196
5000.000000	62.938515	-26.9512
5150.000000	61.623295	-31.2570
5300.000000	60.373566	-26.4167
5450.000000	59.920586	-18.0648
5600.000000	60.063976	-10.5689
5800.000000	60.639313	-3.3598
6000.000000	61.285545	2.0136
6150.000000	61.801590	5.6088
6300.000000	62.398560	9.0935
6500.000000	63.411594	13.0675
6700.000000	64.728111	14.7578
6900.000000	66.216080	11.1232
7100.000000	67.172989	-2.0048
7300.000000	66.517960	-21.1359
7500.000000	64.249779	-32.6488
7750.000000	61.329479	-30.4188
8000.000000	59.160423	-23.4099
8250.000000	57.609077	-12.4678
8500.000000	56.586956	-0.7761
8750.000000	55.778469	11.1710
9000.000000	55.221416	24.9828
9250.000000	55.172226	39.5111
